Store,Program,Wk,Pallet Count
85,Kids,22,1
85,Kids,22,1
85,Kids,23,1
85,Kids,22,1
85,Kids,22,1
85,Kids,22,1
86,Mens,18,1 
86,Mens,26,1 
86,Intimates, 20 ,1 
86,Intimates, 20 ,1 
86,Kids,22,1
86,Kids,23,1
86,Kids,22,1
86,Kids,22,1
86,Kids,23,1
87,Mens,18,1 
87,Mens,26,1 
87,Intimates, 20 ,2 
87,Intimates, 20 ,1 
87,Intimates, 24 ,1 
87,Intimates, 20 ,1 
87,Kids,22,1
87,Kids,22,1
87,Kids,22,1
87,Kids,22,1
87,Kids,22,1
87,Kids,23,1
87,Kids,22,1
87,Kids,23,1
87,Kids,22,1
87,Uniforms,21,1
88,Kids,22,1
88,Kids,22,1
89,Mens,18,1 
89,Intimates, 20 ,1 
89,Intimates, 20 ,1 
89,Kids,22,1
89,Kids,22,1
90,Kids,22,1
90,Kids,22,1
90,Kids,22,1
90,Kids,22,1
91,Mens,18,1 
91,Intimates, 20 ,1 
91,Kids,22,1
91,Kids,22,1
91,Kids,22,1
91,Kids,23,1
91,Kids,22,1
91,Kids,22,1
91,Kids,23,2
92,Intimates, 20 ,1 
92,Intimates, 20 ,1 
92,Kids,22,1
93,Mens,19,1 
93,Mens,19,1 
93,Mens,23,1 
93,Mens,18,1 
93,Intimates, 20 ,2 
93,Intimates, 20 ,1 
93,Intimates, 32 ,1 
93,Intimates, 20 ,1 
93,Intimates, 28 ,1 
93,Kids,22,1
93,Kids,22,1
93,Kids,22,1
93,Kids,22,1
93,Kids,22,1
93,Kids,22,1
93,Kids,22,1
93,Kids,22,1
93,Kids,22,1
93,Kids,23,1
94,Mens,18,1 
94,Intimates, 20 ,2 
94,Intimates, 20 ,1 
94,Intimates, 20 ,1 
94,Intimates, 24 ,1 
94,Kids,22,1
94,Kids,22,1
94,Kids,23,1
94,Kids,22,1
94,Kids,23,1
94,Kids,22,1
94,Kids,22,1
94,Kids,23,2
94,Kids,22,1
94,Kids,23,1
94,Kids,22,1
94,Kids,22,1
94,Kids,22,1
94,Kids,23,1
94,Kids,22,1
94,Kids,23,2
94,Kids,22,1
94,Kids,22,1
95,Mens,28,1 
95,Mens,28,1 
95,Mens,29,1 
95,Intimates, 20 ,1 
95,Intimates, 20 ,1 
95,Intimates, 20 ,1 
95,Kids,22,1
95,Kids,22,1
95,Kids,22,1
95,Kids,22,1
95,Kids,22,1
96,Mens,18,1 
96,Intimates, 20 ,2 
96,Intimates, 20 ,1 
96,Intimates, 20 ,1 
96,Kids,22,1
96,Kids,22,1
96,Kids,23,1
97,Mens,19,1 
97,Mens,19,1 
97,Mens,19,1 
97,Intimates, 20 ,1 
97,Intimates, 20 ,1 
97,Kids,22,1
97,Uniforms,21,1
98,Mens,23,1 
98,Mens,24,1 
98,Uniforms,21,1
99,Intimates, 20 ,1 
99,Intimates, 20 ,1 
99,Kids,22,1
99,Kids,22,1
100,Mens,28,2 
100,Mens,28,2 
100,Intimates, 20 ,1 
100,Intimates, 20 ,1 
100,Intimates, 24 ,1 
100,Intimates, 20 ,1 
100,Intimates, 20 ,1 
100,Kids,22,1
100,Kids,23,1
100,Kids,22,1
100,Kids,23,1
100,Kids,22,1
100,Kids,23,1
100,Kids,22,1
100,Kids,22,1
100,Kids,22,1
100,Kids,23,1
100,Kids,22,1
100,Kids,22,1
100,Kids,22,1
100,Kids,22,1
100,Kids,22,1
100,Kids,23,1
101,Mens,18,1 
101,Mens,18,1 
101,Mens,26,1 
101,Intimates, 20 ,2 
101,Intimates, 20 ,1 
101,Intimates, 24 ,1 
101,Intimates, 20 ,1 
101,Kids,22,1
101,Kids,22,1
101,Kids,23,1
101,Kids,22,1
101,Kids,22,1
101,Kids,23,1
101,Kids,22,1
101,Kids,22,1
101,Kids,22,1
101,Kids,22,1
101,Kids,23,1
103,Mens,18,1 
103,Mens,26,1 
103,Intimates, 20 ,2 
103,Intimates, 20 ,1 
103,Intimates, 24 ,1 
103,Intimates, 20 ,1 
103,Intimates, 20 ,1 
103,Kids,22,1
103,Kids,23,1
103,Kids,22,1
103,Kids,23,1
103,Kids,22,1
103,Kids,22,1
103,Kids,23,1
103,Kids,22,1
103,Kids,22,1
103,Kids,22,1
103,Kids,22,1
103,Kids,22,1
103,Kids,23,2
103,Kids,22,1
103,Kids,22,1
104,Mens,23,1 
104,Mens,23,1 
104,Mens,18,1 
104,Intimates, 28 ,1 
104,Intimates, 28 ,1 
104,Intimates, 20 ,1 
104,Kids,22,1
104,Kids,22,1
104,Uniforms,21,1
105,Mens,18,1 
105,Intimates, 20 ,1 
105,Intimates, 20 ,1 
105,Intimates, 20 ,1 
105,Kids,22,1
105,Kids,22,1
105,Kids,22,1
105,Kids,22,1
105,Kids,23,1
105,Kids,22,1
105,Kids,22,1
105,Kids,22,1
107,Intimates, 20 ,1 
107,Kids,22,1
108,Intimates, 20 ,1 
108,Intimates, 20 ,1 
108,Kids,22,1
109,Intimates, 20 ,1 
109,Intimates, 20 ,1 
109,Kids,22,1
110,Mens,18,1 
110,Intimates, 20 ,2 
110,Intimates, 20 ,1 
110,Intimates, 20 ,1 
110,Kids,22,1
110,Kids,22,1
110,Kids,23,1
110,Kids,22,1
110,Kids,22,1
110,Kids,23,1
110,Kids,22,1
110,Kids,23,1
110,Kids,25,1
110,Kids,22,1
110,Kids,22,1
110,Kids,22,1
110,Kids,22,1
110,Kids,23,1
111,Intimates, 20 ,1 
111,Intimates, 20 ,1 
112,Mens,28,1 
112,Mens,28,1 
112,Mens,29,1 
112,Mens,28,1 
112,Intimates, 20 ,2 
112,Intimates, 20 ,1 
112,Intimates, 24 ,1 
112,Intimates, 20 ,1 
112,Kids,22,1
112,Kids,23,1
112,Kids,22,1
112,Kids,22,1
112,Kids,22,1
112,Kids,22,1
112,Kids,22,1
112,Kids,22,1
112,Kids,23,1
112,Kids,22,1
112,Kids,23,1
112,Kids,22,1
112,Kids,22,1
112,Kids,22,1
113,Intimates, 20 ,1 
113,Intimates, 20 ,1 
113,Kids,22,1
113,Kids,22,1
113,Kids,22,1
114,Intimates, 20 ,1 
114,Intimates, 20 ,1 
114,Intimates, 20 ,1 
114,Kids,22,1
115,Uniforms,21,1
118,Intimates, 20 ,2 
118,Intimates, 20 ,1 
118,Kids,22,1
118,Kids,22,1
119,Mens,18,1 
119,Intimates, 20 ,2 
119,Intimates, 20 ,1 
119,Intimates, 20 ,1 
119,Intimates, 20 ,2 
119,Kids,22,1
119,Kids,22,1
119,Kids,23,1
119,Kids,22,1
119,Kids,23,1
119,Kids,22,1
119,Kids,22,1
119,Kids,22,1
119,Kids,22,1
119,Kids,22,1
120,Intimates, 20 ,1 
120,Intimates, 20 ,1 
120,Intimates, 20 ,1 
120,Kids,22,1
120,Kids,22,1
120,Kids,22,1
120,Uniforms,21,1
121,Mens,18,1 
121,Intimates, 20 ,2 
121,Intimates, 20 ,1 
121,Intimates, 20 ,1 
121,Kids,22,1
121,Kids,22,1
123,Intimates, 20 ,1 
123,Kids,22,1
123,Kids,22,1
124,Intimates, 20 ,2 
124,Intimates, 20 ,1 
124,Intimates, 20 ,1 
124,Kids,22,1
124,Kids,23,1
124,Kids,22,1
124,Kids,23,1
124,Kids,22,1
124,Kids,22,1
124,Kids,23,1
124,Kids,22,1
124,Kids,22,1
124,Kids,23,1
124,Kids,22,1
124,Kids,23,1
124,Kids,22,1
124,Kids,22,1
124,Uniforms,21,1
126,Mens,18,1 
126,Mens,26,1 
126,Intimates, 20 ,1 
126,Kids,22,1
126,Kids,22,1
126,Kids,22,1
126,Kids,23,1
126,Kids,22,1
126,Kids,22,1
126,Kids,23,1
126,Kids,22,1
126,Kids,23,1
126,Kids,22,1
126,Kids,23,1
126,Kids,25,1
126,Kids,27,1
126,Kids,29,1
126,Kids,22,1
126,Kids,23,1
126,Kids,22,1
126,Kids,23,1
126,Uniforms,21,1
127,Mens,18,1 
