Store NBR,LY,TY,YOY Case QTY,Feature Wave WK27,SET Wave WK31,Replen Wave WK33,Replen Wave WK35,Replen Wave WK36
537,8986,4189,-53%,1%,51%,43%,5%,0%
538,6829,4097,-40%,1%,61%,35%,3%,0%
539,4335,1588,-63%,1%,64%,33%,2%,0%
540,4668,1840,-61%,2%,72%,25%,1%,0%
541,8960,4394,-51%,2%,54%,42%,2%,0%
542,5617,2096,-63%,2%,60%,35%,2%,0%
543,5064,1341,-74%,3%,62%,33%,3%,0%
544,5424,3076,-43%,1%,66%,30%,2%,0%
545,421,393,-7%,1%,63%,34%,2%,0%
546,6963,3059,-56%,1%,57%,38%,3%,0%
547,2973,2644,-11%,3%,49%,43%,5%,0%
548,1779,1648,-7%,1%,67%,30%,2%,0%
