Store Number,Footage,"
16"" Shelves"," 
1x48 Snap Rail","
Snap Rail Pegs 8"""
1826,40FT,7,10,87
1841,40FT,7,10,87
1842,40FT,7,10,87
1847,40FT,7,10,87
1849,40FT,7,10,87
1856,40FT,7,10,87
1861,40FT,7,10,87
1862,40FT,7,10,87
1871,40FT,7,10,87
1872,40FT,7,10,87
1885,40FT,7,10,87
1903,40FT,7,10,87
1913,40FT,7,10,87
1931,40FT,7,10,87
1932,40FT,7,10,87
1939,40FT,7,10,87
1946,40FT,7,10,87
1969,40FT,7,10,87
1973,40FT,7,10,87
1993,40FT,7,10,87
1995,40FT,7,10,87
1996,40FT,7,10,87
2010,40FT,7,10,87
2019,40FT,7,10,87
2025,40FT,7,10,87
2027,40FT,7,10,87
2035,40FT,7,10,87
2046,40FT,7,10,87
2059,40FT,7,10,87
2061,40FT,7,10,87
2066,40FT,7,10,87
2068,40FT,7,10,87
2069,40FT,7,10,87
2093,40FT,7,10,87
2100,40FT,7,10,87
2108,40FT,7,10,87
2124,40FT,7,10,87
2134,40FT,7,10,87
2136,40FT,7,10,87
2145,40FT,7,10,87
2158,40FT,7,10,87
2169,40FT,7,10,87
2178,40FT,7,10,87
2189,40FT,7,10,87
2192,40FT,7,10,87
2193,40FT,7,10,87
2199,40FT,7,10,87
2213,40FT,7,10,87
2222,40FT,7,10,87
2256,40FT,7,10,87
2261,40FT,7,10,87
2275,40FT,7,10,87
2285,40FT,7,10,87
2297,40FT,7,10,87
2314,40FT,7,10,87
2318,40FT,7,10,87
2323,40FT,7,10,87
2348,40FT,7,10,87
2350,40FT,7,10,87
2355,40FT,7,10,87
2359,40FT,7,10,87
2385,40FT,7,10,87
2398,40FT,7,10,87
2405,40FT,7,10,87
2422,40FT,7,10,87
2472,40FT,7,10,87
2480,40FT,7,10,87
2506,40FT,7,10,87
2511,40FT,7,10,87
2523,40FT,7,10,87
2532,40FT,7,10,87
2537,40FT,7,10,87
2539,40FT,7,10,87
2541,40FT,7,10,87
2544,40FT,7,10,87
2586,40FT,7,10,87
2588,40FT,7,10,87
2591,40FT,7,10,87
2595,40FT,7,10,87
2596,40FT,7,10,87
2599,40FT,7,10,87
2608,40FT,7,10,87
2618,40FT,7,10,87
2631,40FT,7,10,87
2634,40FT,7,10,87
2636,40FT,7,10,87
2647,40FT,7,10,87
2679,40FT,7,10,87
2715,40FT,7,10,87
2719,40FT,7,10,87
2726,40FT,7,10,87
2735,40FT,7,10,87
2752,40FT,7,10,87
2756,40FT,7,10,87
2781,40FT,7,10,87
2790,40FT,7,10,87
2830,40FT,7,10,87
2836,40FT,7,10,87
2844,40FT,7,10,87
2855,40FT,7,10,87
2859,40FT,7,10,87
2860,40FT,7,10,87
2864,40FT,7,10,87
2866,40FT,7,10,87
2867,40FT,7,10,87
2869,40FT,7,10,87
2874,40FT,7,10,87
2882,40FT,7,10,87
2886,40FT,7,10,87
2888,40FT,7,10,87
2890,40FT,7,10,87
2938,40FT,7,10,87
2956,40FT,7,10,87
2987,40FT,7,10,87
2990,40FT,7,10,87
3004,40FT,7,10,87
3014,40FT,7,10,87
3058,40FT,7,10,87
3067,40FT,7,10,87
3093,40FT,7,10,87
3119,40FT,7,10,87
3182,40FT,7,10,87
3197,40FT,7,10,87
3201,40FT,7,10,87
3205,40FT,7,10,87
3214,40FT,7,10,87
3225,40FT,7,10,87
3232,40FT,7,10,87
3235,40FT,7,10,87
3251,40FT,7,10,87
3254,40FT,7,10,87
3281,40FT,7,10,87
3282,40FT,7,10,87
3285,40FT,7,10,87
3304,40FT,7,10,87
3322,40FT,7,10,87
3324,40FT,7,10,87
3328,40FT,7,10,87
3347,40FT,7,10,87
3367,40FT,7,10,87
3388,40FT,7,10,87
3389,40FT,7,10,87
3391,40FT,7,10,87
3394,40FT,7,10,87
3417,40FT,7,10,87
3425,40FT,7,10,87
3439,40FT,7,10,87
3453,40FT,7,10,87
3463,40FT,7,10,87
3464,40FT,7,10,87
3495,40FT,7,10,87
3497,40FT,7,10,87
3502,40FT,7,10,87
3503,40FT,7,10,87
3516,40FT,7,10,87
3531,40FT,7,10,87
3535,40FT,7,10,87
3582,40FT,7,10,87
3587,40FT,7,10,87
3591,40FT,7,10,87
3601,40FT,7,10,87
3611,40FT,7,10,87
3620,40FT,7,10,87
3624,40FT,7,10,87
3627,40FT,7,10,87
