Store Number,Patio Set Week,Parking Lot Set
1580,6,No Set
1581,13,13
1583,1,No Set
1584,52,No Set
1585,11,11
1586,4,No Set
1587,1,No Set
1588,1,1
1589,49,No Set
1590,49,No Set
1591,6,6
1592,7,7
1593,7,7
1594,6,6
1595,6,6
1596,5,No Set
1597,4,4
1598,52,No Set
1599,5,5
1600,2,No Set
1601,5,5
1602,7,7
1603,4,No Set
1604,8,No Set
1605,52,No Set
1606,2,2
1607,7,7
1608,52,52
1609,13,13
1610,10,10
1611,7,No Set
1612,52,No Set
1613,6,No Set
1614,6,No Set
1615,1,No Set
1616,4,4
1617,13,13
1618,7,7
1619,10,No Set
1620,52,52
1621,7,7
1622,6,6
1623,7,7
1624,1,No Set
1625,7,7
1626,3,3
1627,13,13
1628,6,No Set
1629,5,5
1630,6,6
1631,3,No Set
1632,13,13
1633,12,12
1634,9,9
1635,6,No Set
1636,13,13
1637,11,11
1638,1,1
1639,6,6
1640,6,No Set
1641,4,No Set
1642,7,7
1643,9,9
1644,7,7
1645,1,1
1646,52,No Set
1647,6,6
1648,52,52
1649,13,13
1650,8,8
1651,2,No Set
1652,8,8
1653,6,No Set
1654,13,13
1655,6,6
1656,7,7
1657,12,12
1658,4,4
1659,11,11
1660,52,No Set
1661,2,2
1662,6,6
1663,8,8
1664,2,2
1665,5,5
1666,4,No Set
1667,4,4
1668,7,7
1669,9,9
1670,6,No Set
1671,No Set,No Set
1672,10,10
1673,10,10
1674,7,7
1675,4,No Set
1676,5,5
1677,10,10
1678,6,No Set
1679,9,9
1680,52,No Set
1681,7,7
1682,5,5
1683,7,7
1684,6,6
1685,12,12
1686,11,No Set
1687,5,5
1688,3,No Set
1689,11,11
1690,7,7
1691,5,5
1692,52,No Set
1693,52,No Set
1694,6,6
1695,13,13
1696,13,13
1697,1,1
1698,8,8
1699,11,11
1700,2,2
1701,4,4
1702,52,52
1703,8,8
1704,4,No Set
1705,10,10
1707,8,8
1708,11,11
1709,5,5
1710,52,No Set
1711,1,No Set
1712,52,No Set
1713,7,7
1714,8,8
1715,7,7
1716,7,7
1717,7,No Set
1718,4,No Set
1719,7,7
1720,4,No Set
1721,7,7
1722,12,12
1723,7,7
1724,8,8
1726,8,No Set
1727,8,8
1728,5,5
1729,6,6
1730,4,4
1731,8,No Set
1732,7,7
1733,7,No Set
1734,5,No Set
