Store Number,Outpost in Week 20,Outpost in March,Had an Outpost,Have an Organic Table,Have a Nut Rack,
2355,Yes,,,Yes,,
1858,Yes,,,,,
2358,,,Yes,Yes,,
2359,,,Yes,Yes,,
2362,,,Yes,Yes,,
2365,Yes,,,Yes,Yes,
2366,Yes,,,Yes,,
2367,Yes,,,Yes,Yes,
2368,,,Yes,Yes,,
1667,Yes,,,,,
2370,,,Yes,Yes,,
2371,,,Yes,Yes,Yes,
2385,Yes,,,Yes,,
2386,Yes,,,Yes,,
2387,,,Yes,Yes,Yes,
4377,Yes,,,,,
2399,Yes,,,Yes,,
2400,Yes,,,Yes,Yes,
2402,Yes,,,Yes,,
2403,Yes,,,Yes,,
2404,Yes,,,,,
2405,Yes,,,Yes,,
2412,Yes,,,Yes,Yes,
2417,Yes,,,Yes,,
2420,Yes,,,Yes,Yes,
2421,Yes,,,Yes,,
2424,Yes,,,Yes,,
2426,,,Yes,Yes,,
2427,Yes,,,Yes,,
2428,Yes,,,Yes,Yes,
2432,Yes,,,Yes,,
2434,,,Yes,Yes,,
2263,,,Yes,,,
2436,Yes,,,Yes,,
2437,Yes,,,Yes,,
2438,Yes,,,Yes,,
2439,Yes,,,Yes,,
2440,Yes,,,Yes,,
173,Yes,,,,,
2443,Yes,,,Yes,Yes,
2444,Yes,,,Yes,,
2445,Yes,,,Yes,,
2446,Yes,,,Yes,Yes,
2388,Yes,,,,,
2448,Yes,,,Yes,,
2452,Yes,,,Yes,Yes,
2453,,,Yes,Yes,,
2455,Yes,,,Yes,Yes,
2457,Yes,,,Yes,,
2708,,,Yes,,,
2459,,,Yes,Yes,,
2460,,,Yes,Yes,,
2463,Yes,,,Yes,,
2464,,,Yes,Yes,,
2469,Yes,,,Yes,Yes,
2471,Yes,,,Yes,,
2472,Yes,,,Yes,,
2475,,Yes,,Yes,,
2476,,,Yes,Yes,Yes,
2477,Yes,,,Yes,,
2479,Yes,,,Yes,,
2480,,,Yes,Yes,,
2567,Yes,,,,,
2482,Yes,,,Yes,,
2483,Yes,,,Yes,,
2484,,Yes,,Yes,,
2485,Yes,,,Yes,,
2967,Yes,,,,,
2492,,,Yes,Yes,,
5374,Yes,,,,,
2494,Yes,,,Yes,,
2496,,,Yes,Yes,,
2497,,,Yes,Yes,Yes,
2502,Yes,,,Yes,,
2503,Yes,,,Yes,Yes,
2504,,,Yes,Yes,,
2505,Yes,,,Yes,,
2506,,,Yes,Yes,Yes,
2508,Yes,,,Yes,Yes,
3791,Yes,,,,,
2510,Yes,,,Yes,Yes,
2511,Yes,,,Yes,Yes,
2512,Yes,,,Yes,,
2513,,,Yes,Yes,Yes,
2514,Yes,,,Yes,,
2515,Yes,,,,,
2516,,,Yes,Yes,,
2519,,,Yes,Yes,,
2520,Yes,,,Yes,,
2522,Yes,,,Yes,,
2526,Yes,,,Yes,,
2528,Yes,,,Yes,Yes,
2529,Yes,,,Yes,,
2532,Yes,,,Yes,Yes,
2533,,,Yes,Yes,,
2534,,Yes,,Yes,,
2535,,,Yes,Yes,Yes,
2537,Yes,,,Yes,Yes,
2539,Yes,,,Yes,Yes,
2540,Yes,,,Yes,,
2541,Yes,,,Yes,Yes,
2542,Yes,,,Yes,Yes,
2543,Yes,,,Yes,Yes,
2544,Yes,,,Yes,Yes,
2545,,,Yes,Yes,Yes,
2547,Yes,,,Yes,,
4392,,,Yes,,,
2549,,,Yes,Yes,Yes,
2550,Yes,,,Yes,,
2554,Yes,,,,,
2557,Yes,,,Yes,,
2559,Yes,,,Yes,,
2560,Yes,,,Yes,,
2561,Yes,,,Yes,Yes,
801,,,Yes,,,
4374,Yes,,,,,
3760,Yes,,,,,
2565,Yes,,,Yes,,
2566,,,Yes,Yes,,
2481,,,Yes,,,
2574,Yes,,,Yes,Yes,
2575,Yes,,,Yes,,
2576,Yes,,,Yes,Yes,
2577,Yes,,,Yes,Yes,
2579,Yes,,,Yes,,
2580,Yes,,,Yes,,
2581,Yes,,,Yes,Yes,
2584,,,Yes,,,
2586,,,Yes,Yes,,
2587,Yes,,,Yes,Yes,
2588,Yes,,,Yes,Yes,
5806,Yes,,,,,
2591,,,Yes,,,
2592,,,Yes,Yes,,
2593,Yes,,,Yes,Yes,
2595,Yes,,,Yes,,
2596,,,Yes,Yes,,
2597,Yes,,,Yes,Yes,
2599,Yes,,,,,
2600,Yes,,,Yes,Yes,
2602,Yes,,,,,
2605,Yes,,,Yes,Yes,
1787,Yes,,,,,
436,Yes,,,,,
2700,Yes,,,,,
2610,Yes,,,Yes,,
2611,Yes,,,Yes,Yes,
2612,Yes,,,,,
2833,Yes,,,,,
2614,Yes,,,Yes,,
2615,,Yes,,Yes,Yes,
2616,Yes,,,Yes,Yes,
2617,Yes,,,Yes,,
2609,Yes,,,,,
2619,Yes,,,Yes,Yes,
2620,Yes,,,Yes,,
2626,,,Yes,Yes,,
2627,,Yes,,Yes,,
2628,Yes,,,Yes,Yes,
2629,Yes,,,Yes,Yes,
2630,Yes,,,Yes,,
2631,Yes,,,Yes,,
2634,Yes,,,Yes,,
2637,Yes,,,Yes,,
2638,Yes,,,Yes,,
2641,Yes,,,Yes,,
2642,Yes,,,Yes,,
2643,Yes,,,Yes,Yes,
2644,Yes,,,Yes,Yes,
5355,Yes,,,,,
2771,,,Yes,,,
2647,Yes,,,Yes,,
2649,Yes,,,Yes,Yes,
2650,,,Yes,Yes,,
2651,Yes,,,Yes,Yes,
2652,Yes,,,,,
2653,Yes,,,Yes,,
2250,Yes,,,,,
2656,Yes,,,Yes,,
2658,Yes,,,Yes,Yes,
1386,Yes,,,,,
2663,,,Yes,Yes,Yes,
2563,Yes,,,,,
2665,Yes,,,Yes,Yes,
2667,Yes,,,,,
2668,,,Yes,Yes,Yes,
2671,Yes,,,Yes,Yes,
4734,Yes,,,,,
2674,,,Yes,Yes,,
2678,,,Yes,Yes,,
2679,,,Yes,Yes,,
2684,Yes,,,Yes,,
2687,Yes,,,Yes,Yes,
2688,,,Yes,Yes,Yes,
2690,,,Yes,Yes,Yes,
3784,Yes,,,,,
2692,Yes,,,Yes,Yes,
2693,Yes,,,Yes,Yes,
2694,Yes,,,Yes,,
2695,,Yes,,Yes,,
1912,Yes,,,,,
2697,,,Yes,Yes,,
2618,Yes,,,,,
2702,Yes,,,Yes,,
2082,,,Yes,,,
2704,Yes,,,Yes,,
2706,Yes,,,Yes,Yes,
1574,Yes,,,,,
2712,Yes,,,Yes,,
2713,,Yes,,Yes,Yes,
2950,Yes,,,,,
2715,Yes,,,Yes,Yes,
2716,Yes,,,Yes,,
2717,Yes,,,Yes,Yes,
2720,,Yes,,Yes,Yes,
2722,Yes,,,Yes,Yes,
2723,Yes,,,,,
2724,Yes,,,,,
2725,Yes,,,Yes,,
2726,,,Yes,Yes,,
2727,,,Yes,,,
2728,,,Yes,Yes,,
2729,Yes,,,Yes,,
2292,Yes,,,,,
2732,,Yes,,Yes,,
2733,Yes,,,,,
2734,,,Yes,Yes,,
2735,,,Yes,Yes,,
2737,Yes,,,,,
2739,Yes,,,,,
2740,,,Yes,Yes,Yes,
2748,,Yes,,Yes,Yes,
2749,,,Yes,,,
2751,Yes,,,Yes,,
2752,Yes,,,Yes,,
2753,Yes,,,Yes,,
2754,Yes,,,,,
2755,,Yes,,Yes,Yes,
2756,Yes,,,Yes,,
2757,,Yes,,Yes,,
1596,Yes,,,,Yes,
2760,,,Yes,,,
1625,Yes,,,,,
2763,Yes,,,,,
2764,Yes,,,Yes,Yes,
2765,Yes,,,,,
2766,Yes,,,Yes,Yes,
2767,,,Yes,Yes,Yes,
2768,,,Yes,Yes,Yes,
2769,Yes,,,,,
166,Yes,,,,,
2772,,,Yes,Yes,,
1368,Yes,,,,,
2777,,,Yes,Yes,Yes,
2778,,,Yes,,,
2780,Yes,,,Yes,Yes,
2781,,,Yes,Yes,,
2782,Yes,,,Yes,,
2783,Yes,,,Yes,,
2784,Yes,,,Yes,Yes,
2786,Yes,,,Yes,Yes,
4259,Yes,,,,,
2788,Yes,,,Yes,,
2789,,Yes,,Yes,,
2790,,,Yes,Yes,Yes,
2791,Yes,,,Yes,,
2793,Yes,,,Yes,Yes,
2794,Yes,,,Yes,,
2795,Yes,,,Yes,,
2796,,,Yes,Yes,Yes,
2800,Yes,,,,,
2803,Yes,,,Yes,,
2804,Yes,,,Yes,,
5435,,,Yes,,,
2806,,,Yes,Yes,,
2807,Yes,,,Yes,,
2808,Yes,,,Yes,,
2809,,,Yes,Yes,,
2811,,,Yes,Yes,Yes,
2812,Yes,,,Yes,Yes,
2813,,,Yes,Yes,,
2814,,,Yes,,,
2817,Yes,,,Yes,Yes,
2818,Yes,,,Yes,Yes,
2819,Yes,,,Yes,,
2820,Yes,,,Yes,,
2821,Yes,,,Yes,Yes,
2822,Yes,,,Yes,Yes,
2823,Yes,,,Yes,,
2827,Yes,,,Yes,Yes,
2828,Yes,,,Yes,Yes,
2831,Yes,,,Yes,,
2832,Yes,,,Yes,,
1410,Yes,,,,,
2834,,,Yes,Yes,,
2836,Yes,,,Yes,,
2838,Yes,,,Yes,Yes,
2886,,,Yes,,,
2843,,Yes,,Yes,Yes,
2844,,,Yes,Yes,,
2845,Yes,,,Yes,,
2846,,,Yes,Yes,Yes,
2847,Yes,,,Yes,,
2850,Yes,,,Yes,,
2852,,,Yes,Yes,Yes,
2854,Yes,,,Yes,,
2855,,,Yes,Yes,,
1521,Yes,,,,,
2857,Yes,,,Yes,,
2859,Yes,,,Yes,,
2860,Yes,,,Yes,,
2861,,,Yes,Yes,,
2862,Yes,,,Yes,,
2864,Yes,,,,,
2869,,,Yes,Yes,,
2871,Yes,,,Yes,,
2872,Yes,,,Yes,,
2873,Yes,,,Yes,Yes,
2874,Yes,,,Yes,Yes,
2881,Yes,,,,,
2882,Yes,,,Yes,Yes,
2883,Yes,,,Yes,,
2884,Yes,,,Yes,Yes,
1655,Yes,,,,,
6476,Yes,,,,,
2889,Yes,,,Yes,,
2890,Yes,,,,,
2891,Yes,,,,,
2892,Yes,,,Yes,Yes,
2893,Yes,,,Yes,Yes,
2894,,,Yes,Yes,,
2493,Yes,,,,,
1211,Yes,,,,,
2910,Yes,,,Yes,Yes,
2911,,,Yes,Yes,Yes,
2912,Yes,,,Yes,Yes,
2913,Yes,,,Yes,,
2914,Yes,,,Yes,Yes,
2918,,,Yes,Yes,,
2920,,Yes,,Yes,,
2921,,,Yes,Yes,Yes,
2922,Yes,,,Yes,,
2923,Yes,,,Yes,,
2924,Yes,,,Yes,Yes,
2925,Yes,,,Yes,,
2926,,,Yes,Yes,,
2927,Yes,,,Yes,Yes,
2928,Yes,,,Yes,,
2929,,,Yes,Yes,,
2931,Yes,,,Yes,,
2932,,Yes,,Yes,,
2933,Yes,,,Yes,,
1595,Yes,,,,,
2937,Yes,,,Yes,Yes,
2938,,,Yes,Yes,Yes,
2939,Yes,,,,,
2941,,Yes,,Yes,Yes,
2945,,,Yes,Yes,,
2946,,,Yes,Yes,,
1093,Yes,,,,,
1038,Yes,,,,,
2953,Yes,,,Yes,,
2955,Yes,,,Yes,Yes,
2956,Yes,,,Yes,Yes,
2957,Yes,,,Yes,Yes,
2958,Yes,,,Yes,,
1510,Yes,,,,,
2962,,,Yes,Yes,Yes,
2963,,,Yes,Yes,Yes,
2964,,,Yes,Yes,Yes,
2966,Yes,,,Yes,Yes,
1480,Yes,,,,,
5676,Yes,,,,,
2973,Yes,,,Yes,Yes,
2978,,,Yes,Yes,Yes,
2980,,,Yes,Yes,Yes,
2985,,,Yes,Yes,,
2986,Yes,,,Yes,,
2987,,,Yes,Yes,,
2988,,,Yes,,,
2990,Yes,,,Yes,Yes,
2991,Yes,,,Yes,,
2992,Yes,,,Yes,,
2993,Yes,,,Yes,Yes,
2994,Yes,,,Yes,,
2996,Yes,,,Yes,,
135,Yes,,,,,
3014,,,Yes,,,
3017,,Yes,,Yes,,
3018,Yes,,,Yes,Yes,
3035,,,Yes,Yes,,
3044,,,Yes,,,
3053,,,Yes,Yes,,
3055,Yes,,,Yes,,
3056,Yes,,,,,
3057,Yes,,,,,
3058,Yes,,,,,
3059,Yes,,,,,
3060,Yes,,,,,
3061,Yes,,,Yes,Yes,
3067,,,Yes,Yes,,
3075,,Yes,,Yes,Yes,
3077,Yes,,,Yes,,
3078,Yes,,,Yes,,
3081,Yes,,,Yes,,
5411,Yes,,,,,
3089,Yes,,,,,
3093,Yes,,,Yes,,
3102,Yes,,,Yes,Yes,
3103,Yes,,,,,
3106,Yes,,,,,
3107,Yes,,,,,
3112,Yes,,,,Yes,
3114,,,Yes,Yes,,
3118,,Yes,,Yes,Yes,
3119,,Yes,,Yes,,
3464,Yes,,,,,
3136,Yes,,,,,
3137,,,Yes,,,
3150,Yes,,,Yes,Yes,
638,,,Yes,,,
3159,,,Yes,Yes,Yes,
3163,,,Yes,Yes,,
3167,Yes,,,Yes,Yes,
3169,Yes,,,,,
3170,Yes,,,,,
3404,Yes,,,,,
2110,Yes,,,,,
3181,Yes,,,,,
3182,,,Yes,Yes,Yes,
3188,,Yes,,Yes,,
5425,,,Yes,,,
3197,,Yes,,Yes,,
3201,,,Yes,Yes,,
3205,,Yes,,Yes,,
3206,Yes,,,Yes,Yes,
3207,,Yes,,Yes,Yes,
3208,,,Yes,Yes,,
3209,Yes,,,Yes,,
3210,Yes,,,Yes,,
3212,Yes,,,Yes,,
3213,Yes,,,Yes,Yes,
3214,Yes,,,Yes,Yes,
3215,,,Yes,Yes,,
3216,Yes,,,Yes,Yes,
3217,Yes,,,Yes,,
3218,Yes,,,Yes,,
3219,Yes,,,Yes,,
3220,Yes,,,Yes,,
3221,Yes,,,Yes,,
3222,Yes,,,Yes,,
3223,Yes,,,Yes,,
3224,Yes,,,Yes,Yes,
3225,Yes,,,Yes,Yes,
3226,Yes,,,Yes,Yes,
3227,Yes,,,Yes,,
3228,Yes,,,Yes,Yes,
3229,Yes,,,,,
3230,,,Yes,Yes,Yes,
3231,Yes,,,Yes,,
3232,,,Yes,Yes,,
3233,Yes,,,Yes,,
3234,Yes,,,,,
3235,,,Yes,Yes,Yes,
3236,Yes,,,Yes,,
3237,Yes,,,Yes,Yes,
3239,,,Yes,Yes,Yes,
3241,,,Yes,Yes,Yes,
3243,Yes,,,Yes,,
5064,Yes,,,,Yes,
3247,Yes,,,Yes,,
3004,Yes,,,,,
3250,,,Yes,Yes,Yes,
3253,Yes,,,Yes,,
3254,Yes,,,Yes,,
3255,Yes,,,Yes,,
3258,Yes,,,Yes,,
3259,,,Yes,Yes,,
3260,Yes,,,Yes,,
3261,Yes,,,Yes,Yes,
3262,Yes,,,Yes,,
3265,Yes,,,Yes,Yes,
3267,Yes,,,Yes,,
3268,Yes,,,Yes,Yes,
3270,Yes,,,Yes,,
3271,,Yes,,Yes,,
3273,,,Yes,Yes,Yes,
3274,Yes,,,Yes,Yes,
3277,Yes,,,Yes,,
3278,Yes,,,Yes,Yes,
3279,Yes,,,,,
3280,Yes,,,Yes,,
3281,Yes,,,Yes,Yes,
3328,Yes,,,,,
3283,Yes,,,Yes,,
3284,,,Yes,Yes,,
3285,,,Yes,Yes,,
3286,Yes,,,Yes,,
3288,Yes,,,Yes,Yes,
3289,,,Yes,Yes,,
3293,,,Yes,Yes,Yes,
3294,Yes,,,Yes,,
3295,Yes,,,Yes,Yes,
3296,Yes,,,Yes,,
3297,Yes,,,Yes,,
3298,,,Yes,Yes,,
3300,Yes,,,Yes,,
3302,Yes,,,,,
3088,Yes,,,,,
3307,,,Yes,Yes,,
3308,,,Yes,Yes,Yes,
3309,,Yes,,Yes,Yes,
3310,,,Yes,Yes,,
3311,,,Yes,Yes,,
3313,Yes,,,Yes,Yes,
3319,,,Yes,Yes,,
3320,Yes,,,,,
3324,,,Yes,Yes,,
1761,Yes,,,,,
3329,Yes,,,Yes,Yes,
3331,Yes,,,Yes,,
3332,Yes,,,Yes,,
3336,Yes,,,Yes,Yes,
3339,,,Yes,Yes,,
2002,,,Yes,,,
3344,Yes,,,Yes,,
3347,,,Yes,Yes,Yes,
3348,,Yes,,Yes,Yes,
3349,,Yes,,Yes,,
3350,Yes,,,Yes,Yes,
3351,Yes,,,Yes,,
3352,Yes,,,Yes,Yes,
3360,Yes,,,Yes,,
3362,,,Yes,Yes,,
3363,Yes,,,Yes,Yes,
3364,Yes,,,Yes,,
3366,Yes,,,Yes,,
3367,Yes,,,Yes,Yes,
3370,,Yes,,Yes,,
3371,Yes,,,Yes,,
3372,,,Yes,Yes,Yes,
3379,Yes,,,Yes,,
3380,Yes,,,Yes,Yes,
3381,Yes,,,,,
3382,,,Yes,Yes,,
3383,Yes,,,Yes,Yes,
3384,,,Yes,,,
3386,Yes,,,,,
3387,,,Yes,Yes,,
3388,,Yes,,Yes,Yes,
3389,,Yes,,Yes,Yes,
3390,Yes,,,Yes,Yes,
3391,Yes,,,Yes,,
3395,Yes,,,Yes,Yes,
3397,,,Yes,Yes,Yes,
3400,Yes,,,Yes,,
3401,,,Yes,Yes,,
3402,,,Yes,Yes,,
3403,,Yes,,Yes,Yes,
56,,,Yes,,,
3406,Yes,,,Yes,Yes,
3407,Yes,,,,,
3408,,,Yes,Yes,Yes,
3409,Yes,,,Yes,,
4399,,,Yes,,,
3415,,Yes,,Yes,,
3417,,,Yes,Yes,,
3418,,Yes,,Yes,Yes,
3422,,,Yes,Yes,,
3423,Yes,,,Yes,Yes,
3425,Yes,,,,,
3427,Yes,,,,,
3428,Yes,,,Yes,Yes,
3429,Yes,,,Yes,,
3430,Yes,,,,,
3431,,,Yes,Yes,Yes,
3432,,,Yes,Yes,Yes,
3433,,,Yes,Yes,,
3434,Yes,,,Yes,,
3435,Yes,,,Yes,Yes,
1624,Yes,,,,,
3439,,,Yes,Yes,,
3445,Yes,,,Yes,,
3447,,,Yes,Yes,,
3453,Yes,,,Yes,Yes,
3454,Yes,,,Yes,Yes,
3458,Yes,,,Yes,,
3459,Yes,,,Yes,Yes,
3460,Yes,,,Yes,Yes,
3461,,,Yes,Yes,Yes,
3462,,Yes,,Yes,Yes,
3463,,,Yes,Yes,,
591,Yes,,,,,
3465,,,Yes,,,
3469,,,Yes,Yes,,
3471,,Yes,,Yes,,
3472,Yes,,,Yes,,
3473,,,Yes,Yes,,
3474,,,Yes,Yes,,
3475,,,Yes,Yes,,
3476,Yes,,,Yes,Yes,
3477,Yes,,,Yes,,
5386,Yes,,,,,
3482,,,Yes,Yes,,
3483,Yes,,,Yes,,
3484,,,Yes,Yes,Yes,
3485,Yes,,,Yes,,
3486,Yes,,,Yes,Yes,
3487,Yes,,,Yes,,
3488,Yes,,,Yes,,
3489,Yes,,,Yes,,
3492,Yes,,,Yes,,
3495,,Yes,,Yes,Yes,
3497,Yes,,,Yes,Yes,
3498,Yes,,,Yes,,
3499,,,Yes,Yes,,
3500,,,Yes,,,
3501,,,Yes,Yes,,
3502,Yes,,,Yes,,
3503,Yes,,,Yes,Yes,
3505,Yes,,,Yes,,
3510,Yes,,,Yes,,
3511,Yes,,,Yes,,
3513,Yes,,,Yes,,
3514,Yes,,,Yes,Yes,
2951,Yes,,,,,
1832,,,Yes,,,
3518,Yes,,,,,
3520,,,Yes,Yes,Yes,
2369,Yes,,,,,
3523,Yes,,,Yes,,
3525,Yes,,,Yes,Yes,
3526,,Yes,,Yes,,
3527,,Yes,,Yes,,
3528,Yes,,,Yes,,
3529,Yes,,,Yes,,
3531,Yes,,,Yes,,
3533,Yes,,,Yes,,
3534,Yes,,,Yes,Yes,
3537,,,Yes,Yes,,
3538,,,Yes,Yes,Yes,
3541,,,Yes,Yes,,
3560,Yes,,,Yes,,
3564,Yes,,,Yes,Yes,
3566,Yes,,,Yes,,
3567,Yes,,,,,
3568,Yes,,,Yes,,
3569,Yes,,,,,
3570,,Yes,,Yes,Yes,
1862,Yes,,,,,
3572,Yes,,,Yes,Yes,
3573,Yes,,,Yes,Yes,
3580,,,Yes,Yes,,
1941,Yes,,,,,
3582,Yes,,,Yes,Yes,
3583,Yes,,,Yes,,
3584,Yes,,,Yes,,
3585,Yes,,,,,
3587,,,Yes,Yes,,
3588,Yes,,,Yes,,
3589,Yes,,,Yes,,
3590,Yes,,,Yes,Yes,
3591,Yes,,,Yes,,
3595,Yes,,,Yes,,
3596,Yes,,,Yes,Yes,
3597,Yes,,,Yes,,
3601,Yes,,,Yes,Yes,
3602,Yes,,,Yes,Yes,
4101,Yes,,,,,
3608,Yes,,,Yes,,
3609,,Yes,,Yes,,
3611,,,Yes,Yes,Yes,
3612,Yes,,,Yes,Yes,
3616,Yes,,,Yes,,
3620,Yes,,,Yes,Yes,
3621,,Yes,,Yes,Yes,
3623,Yes,,,,,
3624,,,Yes,Yes,,
3625,,,Yes,Yes,,
3626,Yes,,,Yes,,
3627,,,Yes,Yes,Yes,
3630,Yes,,,Yes,,
3631,,,Yes,Yes,,
3633,,,Yes,Yes,Yes,
5448,,,Yes,,,
3639,Yes,,,Yes,Yes,
3640,Yes,,,,,
2061,,,Yes,,,
3644,Yes,,,Yes,,
3645,,,Yes,,,
3648,Yes,,,Yes,Yes,
3652,Yes,,,Yes,Yes,
3658,Yes,,,Yes,,
3659,,,Yes,Yes,Yes,
3660,,,Yes,Yes,Yes,
3700,Yes,,,Yes,,
5104,Yes,,,,,
3702,,Yes,,Yes,Yes,
3705,Yes,,,Yes,,
3708,Yes,,,Yes,,
3709,,,Yes,Yes,,
3710,Yes,,,,,
3712,,,Yes,Yes,,
3717,Yes,,,Yes,,
3720,,,Yes,Yes,,
3722,Yes,,,Yes,,
3725,Yes,,,Yes,,
3726,Yes,,,Yes,Yes,
3728,Yes,,,Yes,Yes,
3729,Yes,,,Yes,Yes,
3730,Yes,,,Yes,Yes,
3731,Yes,,,Yes,Yes,
3732,Yes,,,Yes,,
3733,,,Yes,Yes,,
4350,Yes,,,,,
3738,Yes,,,Yes,,
3739,Yes,,,Yes,Yes,
3741,,Yes,,Yes,Yes,
3742,Yes,,,Yes,,
1423,Yes,,,,,
3748,,Yes,,Yes,,
1899,Yes,,,,,
3750,Yes,,,Yes,,
3751,Yes,,,Yes,,
3754,Yes,,,Yes,,
3757,,,Yes,Yes,,
5888,Yes,,,,,
4594,Yes,,,,,
1328,Yes,,,,,
3762,Yes,,,Yes,Yes,
3763,Yes,,,,,
3764,,,Yes,Yes,Yes,
2458,,,Yes,,,
5028,Yes,,,,,
3771,Yes,,,,,
3773,Yes,,,Yes,Yes,
3774,Yes,,,Yes,,
3777,Yes,,,Yes,,
3778,Yes,,,Yes,Yes,
3780,Yes,,,Yes,Yes,
3781,Yes,,,Yes,,
3782,,,Yes,,,
3783,Yes,,,Yes,Yes,
5886,Yes,,,,,
3785,,,Yes,Yes,Yes,
3786,,Yes,,Yes,Yes,
3790,Yes,,,Yes,Yes,
3796,Yes,,,,,
1451,Yes,,,,,
3794,,,Yes,Yes,,
3795,,,Yes,Yes,Yes,
2062,Yes,,,,Yes,
3799,Yes,,,Yes,,
3801,,,Yes,Yes,Yes,
3802,Yes,,,Yes,Yes,
3804,Yes,,,Yes,,
3805,Yes,,,Yes,,
2959,Yes,,,,,
3807,Yes,,,Yes,,
627,Yes,,,,,
3812,,,Yes,Yes,,
3823,Yes,,,Yes,Yes,
3824,Yes,,,Yes,,
3825,Yes,,,Yes,,
3826,Yes,,,,,
3827,Yes,,,Yes,,
3828,,,Yes,Yes,Yes,
3829,,,Yes,Yes,,
3830,,,Yes,Yes,,
3833,Yes,,,Yes,,
3835,,,Yes,Yes,Yes,
3837,Yes,,,Yes,,
3838,Yes,,,Yes,Yes,
3840,,,Yes,Yes,Yes,
3842,Yes,,,Yes,,
3843,Yes,,,Yes,,
3847,Yes,,,Yes,Yes,
3848,Yes,,,Yes,,
3850,Yes,,,Yes,,
3851,,,Yes,Yes,,
3852,,,Yes,,,
3853,Yes,,,Yes,,
3857,,,Yes,Yes,,
3858,,,Yes,Yes,,
3860,Yes,,,Yes,Yes,
3861,Yes,,,Yes,Yes,
3864,Yes,,,Yes,Yes,
3867,Yes,,,Yes,Yes,
3868,Yes,,,Yes,,
3869,Yes,,,Yes,,
3872,Yes,,,Yes,Yes,
3874,,,Yes,Yes,Yes,
5154,Yes,,,,,
751,Yes,,,,,
3877,,,Yes,Yes,Yes,
3884,Yes,,,Yes,,
3886,Yes,,,,,
3887,,Yes,,Yes,,
3888,Yes,,,,,
3889,Yes,,,Yes,Yes,
3891,Yes,,,Yes,Yes,
3893,Yes,,,Yes,,
3894,Yes,,,Yes,Yes,
3896,Yes,,,Yes,Yes,
3897,Yes,,,Yes,Yes,
3912,Yes,,,Yes,Yes,
4049,Yes,,,Yes,Yes,
4055,Yes,,,,,
4063,,Yes,,Yes,Yes,
4064,Yes,,,Yes,,
4065,Yes,,,Yes,,
4068,Yes,,,Yes,,
1840,Yes,,,,,
4102,Yes,,,,,
4103,Yes,,,,,
4108,Yes,,,Yes,,
4111,Yes,,,,,
4112,Yes,,,,,
4115,,,Yes,Yes,Yes,
1504,Yes,,,,,
4129,Yes,,,Yes,,
4130,Yes,,,,,
4131,Yes,,,,,
6887,Yes,,,,,
4137,,,Yes,Yes,Yes,
4144,,Yes,,Yes,,
4153,,,Yes,Yes,,
1157,Yes,,,,,
4161,,,Yes,,,
4162,Yes,,,,,
4163,Yes,,,,,
4164,,,Yes,Yes,,
4165,Yes,,,,,
4166,Yes,,,,,
4168,Yes,,,Yes,,
3765,Yes,,,,,
4176,Yes,,,Yes,,
4183,,,Yes,,,
4185,,Yes,,Yes,,
4187,,,Yes,Yes,,
4191,Yes,,,Yes,,
4194,Yes,,,,,
4195,Yes,,,Yes,Yes,
4200,,,Yes,Yes,Yes,
4201,Yes,,,Yes,Yes,
4202,,,Yes,Yes,,
4203,Yes,,,Yes,,
3191,Yes,,,,,
4215,Yes,,,Yes,,
4216,Yes,,,Yes,Yes,
4219,Yes,,,,,
4221,,,Yes,Yes,,
4223,,Yes,,Yes,Yes,
4224,Yes,,,Yes,,
4226,,,Yes,,,
4230,Yes,,,Yes,Yes,
4231,Yes,,,Yes,,
4232,Yes,,,,,
4235,,,Yes,Yes,Yes,
4237,,,Yes,Yes,Yes,
4239,Yes,,,Yes,,
4240,,,Yes,Yes,,
4241,Yes,,,Yes,Yes,
4243,Yes,,,Yes,,
4244,Yes,,,Yes,,
4247,,,Yes,Yes,Yes,
4250,Yes,,,Yes,Yes,
4252,Yes,,,Yes,,
4253,Yes,,,Yes,,
4255,Yes,,,Yes,Yes,
4256,Yes,,,Yes,Yes,
4257,Yes,,,Yes,,
4258,Yes,,,Yes,,
2703,Yes,,,,,
4260,,,Yes,Yes,,
4262,,Yes,,Yes,,
4272,Yes,,,Yes,Yes,
4273,Yes,,,Yes,Yes,
4274,Yes,,,Yes,,
4276,,,Yes,Yes,,
4277,Yes,,,Yes,,
4279,Yes,,,Yes,,
4283,,,Yes,Yes,Yes,
4284,Yes,,,Yes,,
4285,Yes,,,Yes,Yes,
4286,Yes,,,Yes,,
4288,Yes,,,Yes,Yes,
4295,Yes,,,Yes,,
4298,Yes,,,,,
4299,Yes,,,Yes,Yes,
4303,Yes,,,,,
4309,,,Yes,Yes,,
4317,Yes,,,Yes,,
4318,,Yes,,Yes,Yes,
4321,Yes,,,Yes,Yes,
4323,,,Yes,Yes,Yes,
2094,Yes,,,,,
4330,,Yes,,Yes,Yes,
4332,,,Yes,Yes,,
4333,,,Yes,Yes,Yes,
4334,Yes,,,Yes,Yes,
4335,Yes,,,Yes,Yes,
4336,Yes,,,Yes,Yes,
4341,Yes,,,Yes,,
4348,Yes,,,Yes,,
5193,Yes,,,,,
4352,Yes,,,Yes,,
4355,Yes,,,Yes,,
4356,,,Yes,Yes,,
4358,Yes,,,Yes,,
4359,Yes,,,Yes,Yes,
