Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
60,Dept 23,Men's Gildan 10 Pack Tees - 84 pc,Half Stack,1,,
60,Dept 23,"Mens Wrangler Thermals, Socks, Beanie, And Sleep",Full Stack,2,,
60,Dept 24,200 PC LEVIS SIGNATURE BOYS HAT GLOVE SET,Half Stack,1,,
60,Dept 29,Holiday Time 7pack Underwear - 168 units,Half Stack,2,,
60,Dept 31,174pc Ozark Trail Ski Acc - Half Pallet,Half Stack,1,,
60,Dept 31,428pc Licensed Character Sets (feature has multi pricepoints),Half Stack,1,,
60,Dept 40,24PC EQ APAP 4OZ PDQ,PDQ,1,,
60,Dept 71,"MS 4ft Folding Table, Black, 20 Unit",Full Endcap,1,,Cancel due to tariffs.
60,Dept 71,"MS 5PC Folding Chairs & Table Set, 9 Unit",Full Endcap,2,,Cancel due to tariffs.
60,Dept 71,"MS 6FT FLD TABLE BLK, 10 units",Full Endcap,1,,Cancel due to tariffs.
60,Dept 71,"MS Fabric Folding Chair, Black, 24Units",Full Endcap,1,,Cancel due to tariffs.
60,Dept 92,"Chex Flankers Pallet, 270 ct",Full Stack,1,,
60,Dept 92,"Fall Flavors Cheerios Pallet, 272ct",Full Stack,1,,
60,Dept 92,"MOM SSZ Dyno Smores Flakes, 144 ct",Full Stack,1,,
60,Dept 92,"Quaker Instant Oatmeal Value Pack, 90 ct",Half Stack,1,,
60,Dept 95,Keebler Export Soda Crackers 28oz,Full Endcap,2,,
60,Dept 95,SkinnyPop Original & Dairy Free White Cheddar 4.4o,Full Stack,1,,
62,Dept 11,"GT BUNDLED FIREWOOD, 80 units",Full Stack,3,,
63,Dept 09,"Coleman 120qt Cooler, 6 units",Full Stack,1,,
63,Dept 14,Holiday Time Gadgets,Full Stack,1,,
63,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,2,,
63,Dept 31,180pc Muk Luks 2pk Beanie & 3pk Glove Sets,Half Stack,1,,
63,Dept 74,"Frigidaire 6.5cu ft Upright Freezer, 4 units",Full Stack,1,,
64,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,1,,
64,Dept 16,"BABY SLED, 24 units",PDQ,1,,
64,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,1,,Item Replacement due to tariffs: 48in USA sled
64,Dept 16,PREM BLEND ICE MELT (100 Units),Full Stack,1,,
65,Dept 07,Tonka Steel Classics $ 19.97 Assortment,Full Endcap,1,,
65,Dept 14,Holiday Time Gadgets,Full Stack,1,,
65,Dept 16,18IN SNOWSHVL COMBO (CASEPACK: 10),PDQ,5,,
65,Dept 16,"BABY SLED, 24 units",PDQ,1,,
65,Dept 16,"BLUE SNOWFLAKE SLED, 12 units",PDQ,3,,Item Replacement due to tariffs: 48in USA sled
65,Dept 22,"Flannel Sheet Half Pallet 44 pcs (F, Q, K)",Half Stack,1,,
65,Dept 22,Oversize Realtree & Mossy Oak Throws,Full Stack,1,,
65,Dept 31,216pc Licensed CW - Half Pallet - AI,Half Stack,1,,
66,Dept 14,Holiday Time Gadgets,Full Stack,1,,
67,Dept 74,"Hamilton Beach 10.1 Upright Freezer, 4 units",Full Stack,2,,
