Region,Market,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
2,24,878,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,24,878,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,24,878,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,24,1314,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
2,24,1314,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,24,1314,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,24,1314,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,24,1314,233,Tablets,,,4 feet,Moved tablets to the table
2,24,1373,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,24,1373,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,24,1373,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,24,2154,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,24,2154,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,24,2154,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,24,2154,233,Tablets,,,4 feet,Moved tablets to the table
2,24,2941,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,24,2941,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,24,2941,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,24,3462,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
2,24,3462,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,24,3462,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,24,4185,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
2,24,4185,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
2,24,4436,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
2,24,4436,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,24,4436,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,24,4436,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,24,4436,233,Tablets,,,4 feet,Moved tablets to the table
2,24,7185,100,Laptops,16 feet,28,12 feet,Increasing laptop footage
2,24,7185,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,25,459,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,25,459,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,25,459,233,Tablets,,,4 feet,Moved tablets to the table
2,25,459,267,Tonies,,,4 feet,Repurposed tablet – footage
2,25,459,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,25,520,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,25,520,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,25,520,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,25,548,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,25,548,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,25,548,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,25,780,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
2,25,780,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,25,780,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,25,780,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,25,780,233,Tablets,,,4 feet,Moved tablets to the table
2,25,1720,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,25,1720,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,25,1720,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,25,3388,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,25,3388,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,25,3388,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,25,3389,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,25,3389,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,25,3389,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,25,3389,233,Tablets,,,4 feet,Moved tablets to the table
2,25,3786,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,25,3786,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
2,25,3786,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,25,4558,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
2,25,5252,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,25,5252,104,Samsung Ecosystem,,,8 feet,Repurposed tablet – fixtures/footage
2,25,5252,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,25,5252,233,Tablets,,,8 feet,Moved tablets to the table
2,26,518,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
2,26,518,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
