Store Number,Market,Approved Installation Date,Planned Go-Live Date,Boxed Coin Delivery Date
1580,249,8/12/2024,8/13/2024,8/5/2024
177,146,8/12/2024,8/13/2024,8/6/2024
209,321,8/12/2024,8/13/2024,8/5/2024
2150,458,8/12/2024,8/13/2024,8/5/2024
22,347,8/12/2024,8/13/2024,8/6/2024
2282,162,8/12/2024,8/13/2024,8/5/2024
247,351,8/12/2024,8/13/2024,8/6/2024
2550,476,8/12/2024,8/13/2024,8/6/2024
2686,534,8/12/2024,8/13/2024,8/5/2024
2906,171,8/12/2024,8/13/2024,8/5/2024
2953,160,8/12/2024,8/13/2024,8/5/2024
2968,243,8/12/2024,8/13/2024,8/5/2024
3464,462,8/12/2024,8/13/2024,8/5/2024
5236,254,8/12/2024,8/13/2024,8/5/2024
5867,176,8/12/2024,8/13/2024,8/5/2024
5874,465,8/12/2024,8/13/2024,8/5/2024
5930,464,8/12/2024,8/13/2024,8/5/2024
1420,264,8/13/2024,8/14/2024,8/5/2024
143,253,8/13/2024,8/14/2024,8/5/2024
1456,381,8/13/2024,8/14/2024,8/6/2024
2286,171,8/13/2024,8/14/2024,8/5/2024
2479,459,8/13/2024,8/14/2024,8/5/2024
2546,464,8/13/2024,8/14/2024,8/5/2024
2787,249,8/13/2024,8/14/2024,8/5/2024
2901,154,8/13/2024,8/14/2024,8/5/2024
3479,534,8/13/2024,8/14/2024,8/5/2024
3615,533,8/13/2024,8/14/2024,8/5/2024
3796,462,8/13/2024,8/14/2024,8/5/2024
388,321,8/13/2024,8/14/2024,8/5/2024
5752,577,8/13/2024,8/14/2024,8/5/2024
576,345,8/13/2024,8/14/2024,8/5/2024
5807,465,8/13/2024,8/14/2024,8/5/2024
584,260,8/13/2024,8/14/2024,8/5/2024
711,257,8/13/2024,8/14/2024,8/5/2024
1468,136,8/13/2024,8/13/2024,7/22/2024
1441,221,8/14/2024,8/15/2024,8/5/2024
1922,462,8/14/2024,8/15/2024,8/5/2024
