STORE_NBR,ITEM_NBR,ITEM1_DESC,CURRENT_RTL
35,675562121,HELLO KITTY PD/ER,7.88
35,675677756,STITCH KEYCHAIN BAG,9.88
37,675562064,STITCH/ANGEL BFF PD,8.88
37,675562357,JACK PLUSH KEYCHAIN,9.88
37,675562524,STITCH BOW CLIP SET,8.88
37,675677756,STITCH KEYCHAIN BAG,9.88
37,675562685,HELLOKITTY SCRUNCHIE,7.88
37,675625455,HELLOKITTY EAR SET,7.88
37,675561998,CHEER BEAR KEYCHAIN,8.88
37,675562014,HELLOKITTY PLSH KYCH,9.88
37,675625453,HELLO KITTY CRY ER,8.88
37,675562057,HKITTY CRYSTAL PD,8.88
37,675562075,HELLO KITTY BFF PDS,8.88
37,675562010,HELLOKITTY KEYCH BAG,9.88
37,675562121,HELLO KITTY PD/ER,7.88
37,675562099,HELLO KITTY CRYS ER,8.88
37,675562001,STITCH/ANGEL KEYCHN,8.88
37,675562123,HELLOKITTY HRT PD/ER,7.88
37,676314867,HELLOKITTY CLIP 4PC,7.88
37,675562002,SNOOPY BFF KEYCHAIN,8.88
37,675562097,KUROMI HOOP EARRING,7.88
37,675562005,STITCH/ANGEL KEYCHN,9.88
37,675562083,STITCH CRYSTAL PEND,8.88
37,675677758,HELLOKITTY BFF KEYCH,9.88
38,675677762,KUROMI PLUSH KEYCH,9.88
38,675562002,SNOOPY BFF KEYCHAIN,8.88
38,675562028,HELLOKITTY BFF KEYCH,9.88
38,675562057,HKITTY CRYSTAL PD,8.88
38,675562064,STITCH/ANGEL BFF PD,8.88
38,675562021,STITCH DIARY KEYCH,9.88
38,675562524,STITCH BOW CLIP SET,8.88
38,675562016,MYMELODY PLUSH KEYCH,9.88
38,675562821,HKITTY/KEROPPI KYCH,8.88
38,675562083,STITCH CRYSTAL PEND,8.88
38,675562010,HELLOKITTY KEYCH BAG,9.88
38,675677756,STITCH KEYCHAIN BAG,9.88
38,675562685,HELLOKITTY SCRUNCHIE,7.88
38,676314867,HELLOKITTY CLIP 4PC,7.88
38,675562357,JACK PLUSH KEYCHAIN,9.88
38,675562097,KUROMI HOOP EARRING,7.88
40,675562821,HKITTY/KEROPPI KYCH,8.88
40,675562021,STITCH DIARY KEYCH,9.88
40,675561998,CHEER BEAR KEYCHAIN,8.88
40,675562685,HELLOKITTY SCRUNCHIE,7.88
40,675562057,HKITTY CRYSTAL PD,8.88
40,675562524,STITCH BOW CLIP SET,8.88
41,675562002,SNOOPY BFF KEYCHAIN,8.88
41,675625465,DEADPL/WLVERNE BFFPD,8.88
41,675562005,STITCH/ANGEL KEYCHN,9.88
41,675562009,HKITTY POMPOM KEYCH,9.88
41,675562021,STITCH DIARY KEYCH,9.88
41,675677758,HELLOKITTY BFF KEYCH,9.88
41,675562524,STITCH BOW CLIP SET,8.88
41,675562075,HELLO KITTY BFF PDS,8.88
41,675562097,KUROMI HOOP EARRING,7.88
41,675562083,STITCH CRYSTAL PEND,8.88
41,675562357,JACK PLUSH KEYCHAIN,9.88
42,675562016,MYMELODY PLUSH KEYCH,9.88
42,675562021,STITCH DIARY KEYCH,9.88
42,675562524,STITCH BOW CLIP SET,8.88
42,675562685,HELLOKITTY SCRUNCHIE,7.88
42,675561998,CHEER BEAR KEYCHAIN,8.88
42,676314867,HELLOKITTY CLIP 4PC,7.88
42,675562014,HELLOKITTY PLSH KYCH,9.88
