Store #,Program
1943,Everday 
1949,Everday 
1950,Everday 
1951,Everday 
1954,Everday 
1956,Everday 
1956,Patriotic 
1957,Everday 
1958,Everday 
1959,Everday 
1959,Patriotic 
1961,Everday 
1962,Everday 
1962,Patriotic 
1963,Everday 
1965,Everday 
1966,Everday 
1970,Everday 
1971,Everday 
1977,Everday 
1977,Patriotic 
1979,Everday 
1980,Everday 
1982,Everday 
1983,Everday 
1983,Patriotic 
1985,Everday 
1987,Everday 
1987,Patriotic 
1988,Everday 
1988,Patriotic 
1991,Everday 
1991,Patriotic 
1992,Everday 
1995,Everday 
1997,Everday 
2001,Everday 
2002,Everday 
2004,Everday 
2007,Everday 
2009,Everday 
2012,Everday 
2015,Everday 
2016,Everday 
2019,Everday 
2019,Patriotic 
2021,Everday 
2021,Patriotic 
2023,Everday 
2024,Everday 
2025,Everday 
2025,Patriotic 
2028,Everday 
2031,Everday 
2032,Everday 
2036,Everday 
2037,Everday 
2038,Everday 
2039,Everday 
2044,Everday 
2045,Everday 
2046,Everday 
2047,Everday 
2048,Everday 
2049,Everday 
2049,Patriotic 
2050,Everday 
2051,Everday 
2052,Everday 
2053,Everday 
2058,Everday 
2059,Everday 
2059,Patriotic 
2061,Everday 
2062,Everday 
2064,Everday 
2064,Patriotic 
2065,Everday 
2066,Everday 
2068,Everday 
2068,Patriotic 
2070,Everday 
2071,Everday 
2073,Everday 
2074,Everday 
2077,Everday 
2077,Patriotic 
2078,Everday 
2079,Everday 
2080,Everday 
2081,Everday 
2082,Everday 
2083,Everday 
2084,Everday 
2086,Everday 
2087,Everday 
2087,Patriotic 
2088,Everday 
2091,Everday 
2091,Patriotic 
2094,Everday 
2096,Everday 
2097,Everday 
2098,Everday 
2098,Everday 
2098,Everday 
2098,Everday 
2098,Everday 
2098,Everday 
2098,Everday 
2098,Everday 
2098,Everday 
2098,Everday 
2098,Everday 
2101,Everday 
2101,Patriotic 
2102,Everday 
2104,Everday 
2105,Everday 
2106,Everday 
2107,Everday 
2108,Everday 
2109,Everday 
2111,Everday 
2112,Everday 
2114,Everday 
2115,Everday 
2115,Patriotic 
2122,Everday 
2123,Everday 
2124,Everday 
2126,Everday 
2126,Patriotic 
2127,Everday 
2127,Patriotic 
2129,Everday 
2130,Everday 
2132,Everday 
2133,Everday 
2134,Everday 
2135,Everday 
2136,Everday 
2136,Patriotic 
2137,Everday 
2138,Everday 
2140,Everday 
2141,Everday 
2142,Everday 
2143,Everday 
2145,Everday 
2145,Patriotic 
2146,Everday 
2147,Everday 
2149,Everday 
2150,Everday 
2151,Everday 
2152,Everday 
2154,Everday 
2157,Everday 
2159,Everday 
2161,Everday 
2164,Everday 
2167,Everday 
2169,Everday 
2169,Patriotic 
2170,Everday 
2177,Everday 
2181,Everday 
2184,Everday 
2185,Everday 
2187,Everday 
2188,Everday 
2189,Everday 
2190,Everday 
2193,Everday 
2195,Everday 
2198,Everday 
2198,Patriotic 
2199,Everday 
2199,Patriotic 
2201,Everday 
2206,Everday 
2208,Everday 
2210,Everday 
2211,Everday 
2213,Everday 
2214,Everday 
2218,Everday 
2218,Patriotic 
2221,Everday 
2223,Everday 
2226,Everday 
2230,Everday 
2231,Everday 
2232,Everday 
2233,Everday 
2233,Patriotic 
2234,Everday 
2236,Everday 
2238,Everday 
2239,Everday 
2241,Everday 
2242,Everday 
2244,Everday 
2245,Everday 
2247,Everday 
2248,Everday 
2251,Everday 
2252,Everday 
2252,Patriotic 
2253,Everday 
2255,Everday 
2255,Patriotic 
2256,Everday 
2257,Everday 
2259,Everday 
2259,Patriotic 
2263,Everday 
2265,Everday 
2269,Everday 
2271,Everday 
2271,Patriotic 
2272,Everday 
2274,Everday 
2278,Everday 
2279,Everday 
2281,Everday 
2281,Patriotic 
2287,Everday 
2288,Everday 
