Club List,Grower,Rack QTY,RECEIPT UNITS WK 30,Wk 30 Racks,RECEIPT UNITS WK  31,Wk 31 racks,RECEIPT UNITS WK 32,Wk 32 racks,RECEIPT UNITS WK 33,Wk 33 racks ,RECEIPT UNITS WK 34,Wk 34 Racks,RECEIPT WUNITS K 35,Wk 35 Racks,RECEIPT UNITS WK 36,Wk 36 Racks,RECEIPT  UNITS WK 37,Wk 37 Racks,RECEIPT UNITS WK 38,Wk 38 Racks
4804,Metrolina,24,0,0,82,3,102,4,112,5,117,5,95,4,49,2,0,0,0,0.0
4820,Metrolina,24,0,0,54,2,123,5,105,4,57,2,98,4,6,0,0,0,0,0.0
4831,Metrolina,24,0,0,93,4,149,6,178,7,63,3,67,3,107,4,70,3,45,1.9
4860,Metrolina,24,57,2,155,6,195,8,175,7,19,1,38,2,13,1,5,0,0,0.0
4872,Metrolina,24,0,0,101,4,124,5,159,7,122,5,106,4,79,3,0,0,0,0.0
4879,Metrolina,24,0,0,127,5,211,9,213,9,115,5,92,4,79,3,10,0,-6,-0.2
4901,Metrolina,24,73,3,236,10,375,16,284,12,98,4,175,7,66,3,0,0,0,0.0
4917,Metrolina,24,0,0,124,5,83,3,127,5,129,5,56,2,72,3,1,0,0,0.0
4946,Metrolina,24,62,3,169,7,216,9,252,11,213,9,176,7,60,3,5,0,0,0.0
4950,Metrolina,24,137,6,63,3,209,9,201,8,67,3,21,1,15,1,0,0,0,0.0
4996,Metrolina,24,68,3,110,5,125,5,99,4,46,2,29,1,28,1,23,1,23,1.0
6203,Metrolina,24,0,0,168,7,167,7,82,3,105,4,44,2,1,0,0,0,0,0.0
6204,Metrolina,24,99,4,74,3,121,5,121,5,31,1,50,2,9,0,-2,0,0,0.0
6216,Metrolina,24,76,3,210,9,223,9,225,9,207,9,108,4,67,3,51,2,0,0.0
6236,Metrolina,24,171,7,220,9,301,13,266,11,145,6,162,7,120,5,-2,0,0,0.0
6343,Metrolina,24,44,2,101,4,83,3,118,5,77,3,64,3,52,2,60,3,23,1.0
6348,Metrolina,24,0,0,70,3,109,5,84,4,91,4,57,2,59,2,0,0,-1,0.0
6351,Metrolina,24,0,0,168,7,199,8,155,6,124,5,38,2,-1,0,0,0,0,0.0
6353,Metrolina,24,96,4,171,7,332,14,196,8,220,9,225,9,136,6,95,4,0,0.0
6354,Metrolina,24,32,1,119,5,144,6,112,5,110,5,72,3,58,2,83,3,0,0.0
6355,Metrolina,24,52,2,86,4,187,8,139,6,59,2,14,1,23,1,23,1,0,0.0
6365,Metrolina,24,62,3,90,4,121,5,34,1,108,4,61,3,10,0,85,4,15,0.6
6368,Metrolina,24,106,4,85,4,286,12,60,3,190,8,121,5,69,3,92,4,0,0.0
6402,Metrolina,24,0,0,137,6,112,5,82,3,90,4,47,2,68,3,5,0,44,1.8
6409,Metrolina,24,0,0,82,3,46,2,30,1,114,5,25,1,41,2,-6,0,0,0.0
6414,Metrolina,24,0,0,154,6,181,8,241,10,98,4,115,5,148,6,0,0,0,0.0
6443,Metrolina,24,44,2,153,6,166,7,150,6,148,6,64,3,43,2,8,0,5,0.2
6452,Metrolina,24,156,6,223,9,284,12,245,10,94,4,8,0,6,0,0,0,0,0.0
6457,Metrolina,24,106,4,278,12,302,13,305,13,241,10,141,6,85,4,12,0,-1,0.0
6458,Metrolina,24,111,5,192,8,371,15,172,7,170,7,177,7,91,4,90,4,0,0.0
6463,Metrolina,24,53,2,195,8,303,13,229,10,102,4,163,7,89,4,0,0,45,1.9
6506,Metrolina,24,0,0,24,1,97,4,75,3,61,3,92,4,27,1,-1,0,0,0.0
6509,Metrolina,24,0,0,94,4,117,5,185,8,150,6,68,3,86,4,6,0,0,0.0
6518,Metrolina,24,50,2,131,5,253,11,5,0,111,5,97,4,17,1,2,0,45,1.9
6524,Metrolina,24,82,3,189,8,219,9,138,6,249,10,176,7,75,3,5,0,46,1.9
6540,Metrolina,24,0,0,21,1,58,2,40,2,83,3,11,0,45,2,46,2,46,1.9
6569,Metrolina,24,67,3,146,6,188,8,170,7,109,5,85,4,38,2,0,0,0,0.0
6570,Metrolina,24,0,0,64,3,110,5,88,4,90,4,27,1,2,0,46,2,0,0.0
6571,Metrolina,24,0,0,50,2,134,6,69,3,92,4,27,1,1,0,0,0,0,0.0
6572,Metrolina,24,151,6,238,10,237,10,279,12,206,9,101,4,41,2,23,1,23,1.0
6573,Metrolina,24,54,2,145,6,139,6,100,4,125,5,93,4,35,1,6,0,0,0.0
6582,Metrolina,24,188,8,299,12,444,19,532,22,331,14,261,11,39,2,-1,0,-3,-0.1
6643,Metrolina,24,0,0,88,4,134,6,102,4,62,3,92,4,53,2,-1,0,0,0.0
6644,Metrolina,24,53,2,132,5,0,0,182,8,113,5,88,4,22,1,0,0,0,0.0
6646,Metrolina,24,0,0,167,7,179,7,202,8,161,7,151,6,131,5,59,2,-1,0.0
6976,Metrolina,24,211,9,347,14,330,14,490,20,515,21,280,12,190,8,15,1,0,0.0
7658,Metrolina,24,0,0,154,6,142,6,170,7,106,4,116,5,38,2,9,0,-1,0.0
8115,Metrolina,24,0,0,170,7,1,0,119,5,72,3,31,1,8,0,-1,0,0,0.0
