Store Number,Sub Division Name,Phase,Op Model Expansion Tier
1571,NORTH BU,Week 37,3
1572,WEST BU,LIVE,2
1573,WEST BU,Week 37,2
1574,WEST BU,Week 37,1
1575,WEST BU,Week 37,2
1576,NORTH BU,LIVE,1
1577,WEST BU,Week 37,3
1578,SOUTHEAST BU,Week 37,2
1579,EAST BU,Week 37,3
1580,NORTH BU,Week 37,2
1581,WEST BU,Week 37,2
1583,WEST BU,Week 37,1
1584,WEST BU,Week 37,2
1585,WEST BU,Week 37,2
1586,SOUTHEAST BU,LIVE,2
1587,WEST BU,Week 37,1
1588,WEST BU,Week 37,1
1589,SOUTHEAST BU,LIVE,2
1590,SOUTHEAST BU,LIVE,1
1591,EAST BU,LIVE,1
1592,NORTH BU,LIVE,3
1593,NORTH BU,LIVE,2
1594,NORTH BU,Week 37,1
1595,NORTH BU,Week 37,2
1596,NORTH BU,Week 37,2
1597,SOUTHWEST BU,LIVE,2
1598,SOUTHWEST BU,LIVE,2
1599,NORTH BU,Week 37,3
1600,WEST BU,Week 37,2
1601,NORTH BU,Week 37,3
1602,NORTH BU,Week 37,3
1603,EAST BU,Week 37,3
1604,WEST BU,Week 37,1
1605,SOUTHEAST BU,Week 37,2
1606,SOUTHEAST BU,Week 37,2
1607,EAST BU,LIVE,1
1608,WEST BU,Week 37,2
1609,WEST BU,Week 37,2
1610,EAST BU,Week 37,2
1611,NORTH BU,LIVE,1
1612,SOUTHWEST BU,Week 37,1
1613,EAST BU,Week 37,2
1614,EAST BU,Week 37,2
1615,WEST BU,Week 37,2
1616,WEST BU,Week 37,3
1617,WEST BU,Week 37,2
1618,NORTH BU,LIVE,2
1619,EAST BU,Week 37,1
1620,SOUTHEAST BU,Week 37,2
1621,WEST BU,Week 37,3
1622,NORTH BU,LIVE,2
1623,EAST BU,Week 37,1
1624,WEST BU,Week 37,1
1625,WEST BU,LIVE,3
1626,SOUTHWEST BU,Week 37,2
1627,WEST BU,Week 37,2
1628,NORTH BU,LIVE,2
1629,NORTH BU,Week 37,3
1630,WEST BU,Week 37,3
1631,EAST BU,Week 37,2
1632,WEST BU,Week 37,2
1633,WEST BU,Week 37,2
1634,WEST BU,Week 37,2
1635,NORTH BU,Week 37,3
1636,WEST BU,Week 37,1
1637,WEST BU,LIVE,2
1638,SOUTHEAST BU,Week 37,3
1639,NORTH BU,Week 37,3
1640,EAST BU,LIVE,3
1641,EAST BU,Week 37,2
1642,NORTH BU,LIVE,3
1643,NORTH BU,Week 37,2
1644,EAST BU,LIVE,1
1645,WEST BU,Week 37,1
1646,SOUTHWEST BU,Week 37,2
1647,NORTH BU,Week 37,3
1648,WEST BU,Week 37,2
1649,WEST BU,Week 37,3
1650,NORTH BU,Week 37,3
1651,WEST BU,Week 37,1
1652,EAST BU,Week 37,3
1653,EAST BU,LIVE,3
1654,WEST BU,Week 37,2
1655,NORTH BU,Week 37,2
1656,EAST BU,Week 37,2
1657,NORTH BU,Week 37,3
1658,SOUTHEAST BU,Week 37,3
1659,WEST BU,LIVE,2
1660,WEST BU,Week 37,1
1661,EAST BU,Week 37,2
1662,EAST BU,Week 37,2
1663,EAST BU,Week 37,1
1664,EAST BU,Week 37,1
1665,NORTH BU,Week 37,2
1666,EAST BU,Week 37,2
1667,NORTH BU,Week 37,2
1668,NORTH BU,LIVE,2
1669,NORTH BU,Week 37,2
1670,EAST BU,LIVE,2
1671,WEST BU,LIVE,2
1672,NORTH BU,Week 37,3
1673,EAST BU,Week 37,2
1674,EAST BU,Week 37,1
1675,NORTH BU,Week 37,3
1676,NORTH BU,Week 37,3
1677,EAST BU,Week 37,2
1678,NORTH BU,Week 37,3
1679,NORTH BU,Week 37,2
1680,SOUTHEAST BU,LIVE,1
1681,NORTH BU,Week 37,3
1682,EAST BU,Week 37,2
1683,WEST BU,Week 37,3
1684,EAST BU,LIVE,3
1685,WEST BU,Week 37,2
1686,WEST BU,LIVE,1
1687,EAST BU,Week 37,2
1688,EAST BU,Week 37,2
1689,WEST BU,LIVE,2
1690,NORTH BU,Week 37,2
1691,NORTH BU,Week 37,2
1692,WEST BU,Week 37,2
1693,WEST BU,Week 37,1
1694,SOUTHEAST BU,Week 37,2
1695,WEST BU,Week 37,3
1696,WEST BU,Week 37,3
1697,WEST BU,Week 37,2
1698,EAST BU,Week 37,2
1699,WEST BU,LIVE,2
1700,WEST BU,Week 37,2
1701,SOUTHEAST BU,Week 37,3
1702,SOUTHEAST BU,LIVE,2
1703,EAST BU,Week 37,2
1704,WEST BU,Week 37,2
1705,EAST BU,Week 37,3
1707,NORTH BU,Week 37,2
1708,WEST BU,LIVE,2
1709,NORTH BU,Week 37,2
1710,SOUTHEAST BU,Week 37,2
1711,SOUTHEAST BU,Week 37,2
1712,SOUTHEAST BU,Week 37,2
1713,NORTH BU,Week 37,3
1714,EAST BU,LIVE,2
1715,EAST BU,LIVE,3
1716,EAST BU,Week 37,2
1717,EAST BU,Week 37,1
1718,NORTH BU,LIVE,2
1719,NORTH BU,LIVE,2
1720,SOUTHEAST BU,Week 37,2
1721,WEST BU,Week 37,3
1722,WEST BU,Week 37,3
1723,WEST BU,Week 37,1
1724,NORTH BU,Week 37,3
1725,WEST BU,LIVE,2
1726,EAST BU,LIVE,2
1727,NORTH BU,Week 37,3
1728,NORTH BU,Week 37,1
1729,NORTH BU,Week 37,3
1730,EAST BU,Week 37,3
1731,EAST BU,Week 37,3
1732,WEST BU,Week 37,3
1733,NORTH BU,LIVE,2
1734,NORTH BU,Week 37,2
1735,NORTH BU,LIVE,2
1736,EAST BU,LIVE,2
1737,NORTH BU,Week 37,2
1738,WEST BU,Week 37,3
1739,NORTH BU,Week 37,1
1740,NORTH BU,Week 37,2
1741,EAST BU,LIVE,1
1742,EAST BU,LIVE,1
1743,NORTH BU,Week 37,3
1744,EAST BU,Week 37,2
1745,NORTH BU,Week 37,2
1746,SOUTHWEST BU,Week 37,1
1747,WEST BU,Week 37,1
1748,EAST BU,Week 37,2
1749,EAST BU,Week 37,2
1750,NORTH BU,LIVE,2
1751,EAST BU,Week 37,3
1752,NORTH BU,LIVE,2
1753,EAST BU,Week 37,2
1754,NORTH BU,LIVE,2
1755,WEST BU,Week 37,1
1756,WEST BU,Week 37,1
1757,WEST BU,Week 37,2
1758,NORTH BU,Week 37,2
1759,EAST BU,Week 37,2
1760,WEST BU,Week 37,2
1761,NORTH BU,Week 37,3
1762,EAST BU,Week 37,1
1763,NORTH BU,Week 37,2
1764,WEST BU,Week 37,2
1765,EAST BU,Week 37,2
1766,SOUTHEAST BU,Week 37,3
1767,EAST BU,Week 37,2
1768,WEST BU,LIVE,1
1769,EAST BU,LIVE,2
1770,NORTH BU,LIVE,2
1771,NORTH BU,LIVE,3
1772,WEST BU,Week 37,2
1773,EAST BU,Week 37,2
1774,EAST BU,Week 37,2
1775,WEST BU,Week 37,2
1776,NORTH BU,Week 37,3
1777,EAST BU,LIVE,2
1778,WEST BU,Week 37,2
1779,NORTH BU,Week 37,1
1780,EAST BU,LIVE,2
1781,EAST BU,Week 37,2
1782,NORTH BU,Week 37,2
1783,NORTH BU,LIVE,2
1784,WEST BU,Week 37,2
1785,EAST BU,Week 37,1
1786,WEST BU,Week 37,3
1787,WEST BU,Week 37,3
1788,EAST BU,Week 37,1
1789,WEST BU,Week 37,1
1790,NORTH BU,LIVE,2
1791,NORTH BU,LIVE,3
1792,EAST BU,LIVE,3
1793,WEST BU,Week 37,2
1794,EAST BU,LIVE,1
1795,EAST BU,Week 37,3
1796,EAST BU,Week 37,1
1797,EAST BU,Week 37,3
1798,NORTH BU,LIVE,3
1799,NORTH BU,Week 37,3
1800,SOUTHWEST BU,LIVE,1
1801,SOUTHWEST BU,LIVE,1
1802,WEST BU,Week 37,2
1803,SOUTHWEST BU,LIVE,2
1804,NORTH BU,Week 37,2
1805,WEST BU,LIVE,1
1806,EAST BU,Week 37,2
1807,EAST BU,LIVE,2
1808,WEST BU,LIVE,3
1809,NORTH BU,LIVE,2
1810,EAST BU,Week 37,1
1811,EAST BU,Week 37,2
1812,NORTH BU,Week 37,2
1813,EAST BU,Week 37,3
1814,NORTH BU,Week 37,2
1815,WEST BU,Week 37,1
1816,EAST BU,Week 37,3
1817,WEST BU,Week 37,2
1819,NORTH BU,Week 37,2
1820,NORTH BU,LIVE,3
1821,EAST BU,Week 37,2
1823,EAST BU,LIVE,2
1825,EAST BU,Week 37,1
1826,WEST BU,Week 37,1
1827,WEST BU,LIVE,3
1828,NORTH BU,Week 37,2
1829,EAST BU,Week 37,3
1830,EAST BU,Week 37,2
1831,EAST BU,Week 37,2
1832,WEST BU,LIVE,1
1833,EAST BU,Week 37,2
1834,WEST BU,Week 37,2
1835,EAST BU,Week 37,1
1836,NORTH BU,LIVE,2
1837,SOUTHWEST BU,LIVE,1
1838,WEST BU,Week 37,2
1839,NORTH BU,Week 37,2
1840,WEST BU,Week 37,2
1841,EAST BU,Week 37,1
1842,EAST BU,LIVE,1
1843,WEST BU,Week 37,2
1844,EAST BU,LIVE,2
1845,SOUTHEAST BU,LIVE,2
1846,SOUTHWEST BU,Week 37,2
1847,SOUTHEAST BU,Week 37,1
1848,NORTH BU,Week 37,2
1849,EAST BU,Week 37,2
1850,EAST BU,LIVE,2
1851,SOUTHEAST BU,LIVE,2
1852,EAST BU,Week 37,1
1853,WEST BU,Week 37,1
1855,WEST BU,Week 37,3
1856,EAST BU,Week 37,1
1857,NORTH BU,Week 37,2
1858,WEST BU,Week 37,3
1859,WEST BU,LIVE,1
1860,EAST BU,LIVE,1
1861,WEST BU,Week 37,2
1862,WEST BU,Week 37,1
1863,NORTH BU,Week 37,2
1864,WEST BU,Week 37,1
1865,WEST BU,Week 37,3
1866,EAST BU,Week 37,3
1867,EAST BU,Week 37,2
1868,EAST BU,Week 37,1
1869,EAST BU,LIVE,2
1870,WEST BU,Week 37,3
1871,EAST BU,LIVE,1
1872,WEST BU,Week 37,2
1873,EAST BU,Week 37,2
1874,SOUTHEAST BU,LIVE,3
1875,EAST BU,Week 37,1
1876,WEST BU,Week 37,2
1877,WEST BU,Week 37,1
1878,WEST BU,Week 37,2
1879,WEST BU,Week 37,2
1880,WEST BU,Week 37,2
1881,WEST BU,Week 37,3
1882,WEST BU,Week 37,2
1883,NORTH BU,LIVE,2
1884,EAST BU,Week 37,1
1885,NORTH BU,LIVE,2
1886,EAST BU,LIVE,1
1887,EAST BU,LIVE,2
1888,WEST BU,LIVE,2
1889,WEST BU,Week 37,3
1890,EAST BU,LIVE,2
1891,EAST BU,Week 37,1
1892,NORTH BU,Week 37,1
1893,EAST BU,Week 37,1
1894,NORTH BU,Week 37,2
1895,NORTH BU,Week 37,2
1896,WEST BU,LIVE,2
1897,NORTH BU,Week 37,2
1898,NORTH BU,Week 37,3
1899,WEST BU,Week 37,1
1900,WEST BU,Week 37,2
1901,WEST BU,Week 37,2
1902,WEST BU,Week 37,1
1903,WEST BU,Week 37,1
1904,EAST BU,Week 37,1
1905,WEST BU,Week 37,3
1906,EAST BU,Week 37,2
1907,EAST BU,Week 37,3
1908,NORTH BU,LIVE,2
1909,EAST BU,Week 37,1
1910,WEST BU,Week 37,3
1911,NORTH BU,Week 37,2
1912,WEST BU,Week 37,2
1913,NORTH BU,LIVE,2
1914,WEST BU,Week 37,1
1915,WEST BU,LIVE,2
1916,SOUTHEAST BU,LIVE,2
1917,WEST BU,Week 37,2
1918,EAST BU,Week 37,1
1919,EAST BU,Week 37,3
1920,WEST BU,Week 37,2
1921,EAST BU,LIVE,2
1922,WEST BU,Week 37,1
1923,NORTH BU,LIVE,2
1924,EAST BU,Week 37,2
1925,WEST BU,Week 37,3
1926,EAST BU,Week 37,3
1927,NORTH BU,Week 37,2
1928,NORTH BU,LIVE,2
1929,WEST BU,Week 37,2
1930,EAST BU,Week 37,2
1931,NORTH BU,LIVE,2
1932,EAST BU,Week 37,2
1933,NORTH BU,Week 37,1
1934,EAST BU,Week 37,2
1935,EAST BU,Week 37,1
1936,NORTH BU,Week 37,2
1937,NORTH BU,Week 37,2
1938,NORTH BU,Week 37,1
1939,EAST BU,Week 37,2
1940,EAST BU,Week 37,2
1941,WEST BU,Week 37,2
1942,NORTH BU,LIVE,2
1943,WEST BU,Week 37,1
1945,EAST BU,Week 37,3
1946,EAST BU,LIVE,2
1947,WEST BU,Week 37,2
1948,NORTH BU,Week 37,2
1949,EAST BU,Week 37,2
1950,EAST BU,Week 37,3
1951,WEST BU,Week 37,1
1952,WEST BU,Week 37,2
1953,EAST BU,Week 37,3
1954,EAST BU,Week 37,2
1955,NORTH BU,Week 37,2
1956,WEST BU,Week 37,1
1957,SOUTHEAST BU,LIVE,3
1958,SOUTHWEST BU,LIVE,1
1959,EAST BU,Week 37,1
1960,SOUTHEAST BU,Week 37,1
1961,NORTH BU,Week 37,2
1962,NORTH BU,Week 37,1
1963,WEST BU,Week 37,1
1964,EAST BU,Week 37,3
1965,WEST BU,LIVE,2
1966,EAST BU,Week 37,2
1967,EAST BU,Week 37,1
1968,EAST BU,Week 37,2
1969,EAST BU,Week 37,2
1970,EAST BU,Week 37,2
1971,NORTH BU,Week 37,2
1972,WEST BU,Week 37,3
1973,EAST BU,Week 37,2
1974,EAST BU,Week 37,3
1975,EAST BU,Week 37,2
1976,EAST BU,Week 37,1
1977,EAST BU,LIVE,2
1978,NORTH BU,Week 37,2
1979,WEST BU,Week 37,2
1980,EAST BU,Week 37,2
1981,EAST BU,Week 37,2
1982,NORTH BU,Week 37,2
1983,WEST BU,Week 37,1
1984,EAST BU,Week 37,3
1985,EAST BU,Week 37,1
1986,NORTH BU,LIVE,2
1987,NORTH BU,LIVE,2
1988,WEST BU,Week 37,2
1989,WEST BU,Week 37,2
1990,NORTH BU,Week 37,3
1991,NORTH BU,Week 37,2
1992,WEST BU,Week 37,2
1993,EAST BU,Week 37,2
1994,EAST BU,LIVE,1
1995,WEST BU,Week 37,1
1996,SOUTHEAST BU,LIVE,1
1997,EAST BU,Week 37,2
1998,NORTH BU,Week 37,1
1999,WEST BU,Week 37,2
2000,EAST BU,Week 37,2
2001,WEST BU,Week 37,1
2002,WEST BU,LIVE,1
2003,EAST BU,Week 37,1
2004,WEST BU,Week 37,2
2005,EAST BU,Week 37,1
2006,WEST BU,Week 37,1
2007,WEST BU,Week 37,1
2008,NORTH BU,LIVE,3
2009,EAST BU,Week 37,3
2010,NORTH BU,LIVE,2
2012,EAST BU,Week 37,2
2013,EAST BU,Week 37,2
2014,NORTH BU,LIVE,2
2015,EAST BU,Week 37,3
2016,WEST BU,Week 37,2
2019,NORTH BU,Week 37,1
2020,NORTH BU,Week 37,3
2021,EAST BU,Week 37,1
2022,EAST BU,Week 37,2
2023,EAST BU,LIVE,2
2024,EAST BU,Week 37,2
2025,WEST BU,Week 37,1
2027,EAST BU,LIVE,1
2028,WEST BU,Week 37,1
2030,WEST BU,Week 37,2
2031,WEST BU,Week 37,1
2032,WEST BU,Week 37,1
2033,WEST BU,Week 37,3
2035,NORTH BU,Week 37,2
2036,NORTH BU,Week 37,1
2037,WEST BU,Week 37,2
2038,EAST BU,Week 37,1
2039,WEST BU,Week 37,2
2040,EAST BU,LIVE,2
2041,EAST BU,LIVE,2
2043,EAST BU,Week 37,3
2044,WEST BU,Week 37,2
2045,EAST BU,Week 37,2
2046,EAST BU,Week 37,2
2047,EAST BU,Week 37,2
2048,WEST BU,Week 37,2
2049,EAST BU,LIVE,1
2050,WEST BU,Week 37,2
2051,WEST BU,Week 37,1
2052,WEST BU,Week 37,2
2053,WEST BU,Week 37,3
2054,WEST BU,Week 37,2
2055,EAST BU,Week 37,1
2056,EAST BU,Week 37,2
2057,EAST BU,Week 37,3
2058,EAST BU,Week 37,2
2059,EAST BU,Week 37,2
2061,NORTH BU,LIVE,3
2062,NORTH BU,LIVE,2
2063,NORTH BU,Week 37,2
2064,EAST BU,Week 37,1
2065,SOUTHEAST BU,Week 37,1
2066,SOUTHWEST BU,LIVE,1
2068,EAST BU,LIVE,1
2069,WEST BU,Week 37,2
2070,WEST BU,Week 37,2
2071,WEST BU,Week 37,1
2073,NORTH BU,Week 37,2
2074,WEST BU,Week 37,1
2075,WEST BU,Week 37,2
2077,WEST BU,Week 37,2
2078,NORTH BU,Week 37,2
2079,NORTH BU,Week 37,2
2080,NORTH BU,LIVE,2
2081,SOUTHEAST BU,Week 37,2
2082,WEST BU,Week 37,1
2083,EAST BU,LIVE,2
2084,WEST BU,Week 37,2
2086,SOUTHWEST BU,LIVE,2
2087,WEST BU,Week 37,2
2088,EAST BU,Week 37,2
2089,NORTH BU,Week 37,2
2090,EAST BU,Week 37,2
2091,SOUTHEAST BU,LIVE,1
2092,EAST BU,LIVE,3
2093,EAST BU,Week 37,2
2094,WEST BU,Week 37,2
2095,EAST BU,Week 37,2
2096,EAST BU,LIVE,3
2097,EAST BU,Week 37,3
2098,NORTH BU,Week 37,1
2099,WEST BU,Week 37,1
2100,NORTH BU,Week 37,3
2101,WEST BU,Week 37,1
2102,NORTH BU,LIVE,3
2103,EAST BU,Week 37,1
2104,EAST BU,Week 37,1
2105,SOUTHWEST BU,LIVE,1
2106,WEST BU,Week 37,2
2107,EAST BU,Week 37,2
2108,EAST BU,LIVE,2
2109,EAST BU,LIVE,2
2110,WEST BU,Week 37,1
2111,SOUTHEAST BU,Week 37,2
2112,SOUTHWEST BU,Week 37,2
2113,SOUTHWEST BU,LIVE,1
2114,SOUTHEAST BU,Week 37,3
2115,NORTH BU,Week 37,1
2116,EAST BU,LIVE,1
2117,WEST BU,LIVE,2
2118,EAST BU,Week 37,2
2119,WEST BU,Week 37,2
2120,EAST BU,Week 37,2
2121,WEST BU,Week 37,2
2122,EAST BU,Week 37,2
2123,SOUTHWEST BU,Week 37,2
2124,NORTH BU,Week 37,2
2125,WEST BU,LIVE,2
2126,WEST BU,Week 37,1
2127,NORTH BU,LIVE,2
2128,EAST BU,Week 37,3
2129,EAST BU,LIVE,3
2130,EAST BU,Week 37,3
2131,WEST BU,Week 37,3
2132,SOUTHWEST BU,Week 37,2
2133,SOUTHWEST BU,Week 37,1
2134,EAST BU,Week 37,2
2135,EAST BU,Week 37,3
2136,EAST BU,Week 37,2
2137,EAST BU,Week 37,2
2138,EAST BU,Week 37,2
2139,EAST BU,Week 37,1
2140,EAST BU,Week 37,2
2141,EAST BU,LIVE,1
2142,EAST BU,Week 37,1
2143,EAST BU,Week 37,3
2144,EAST BU,Week 37,2
2145,EAST BU,LIVE,1
2146,EAST BU,Week 37,2
2147,WEST BU,Week 37,3
2149,NORTH BU,Week 37,2
2150,WEST BU,Week 37,1
2151,SOUTHEAST BU,LIVE,1
2152,EAST BU,Week 37,2
2153,EAST BU,Week 37,2
2154,SOUTHEAST BU,Week 37,1
2155,EAST BU,Week 37,2
2156,EAST BU,Week 37,2
2157,EAST BU,Week 37,2
2158,EAST BU,Week 37,2
2159,EAST BU,Week 37,1
2160,EAST BU,Week 37,3
2161,WEST BU,Week 37,2
2163,EAST BU,Week 37,1
2164,EAST BU,Week 37,2
2166,EAST BU,Week 37,1
2167,EAST BU,LIVE,2
2169,EAST BU,LIVE,1
2170,EAST BU,Week 37,2
2174,EAST BU,Week 37,1
2175,NORTH BU,Week 37,3
2176,SOUTHEAST BU,LIVE,2
2177,WEST BU,Week 37,1
2178,EAST BU,Week 37,3
2180,EAST BU,Week 37,1
2181,WEST BU,LIVE,1
2183,EAST BU,Week 37,3
2184,EAST BU,Week 37,2
2185,EAST BU,LIVE,2
2187,WEST BU,Week 37,2
2188,WEST BU,Week 37,3
2189,WEST BU,Week 37,2
2190,WEST BU,Week 37,2
2191,NORTH BU,LIVE,3
2192,NORTH BU,Week 37,3
2193,NORTH BU,Week 37,2
2194,EAST BU,Week 37,1
2195,EAST BU,LIVE,2
2196,WEST BU,Week 37,2
2197,NORTH BU,Week 37,1
2198,WEST BU,Week 37,2
2199,NORTH BU,Week 37,2
2200,EAST BU,Week 37,2
2201,SOUTHWEST BU,Week 37,1
2202,EAST BU,Week 37,2
2204,NORTH BU,Week 37,1
2205,EAST BU,LIVE,2
2206,WEST BU,Week 37,2
2207,WEST BU,LIVE,3
2208,EAST BU,Week 37,2
2209,NORTH BU,Week 37,2
2210,EAST BU,Week 37,1
2211,NORTH BU,Week 37,2
2213,NORTH BU,Week 37,2
2214,EAST BU,Week 37,2
2215,NORTH BU,Week 37,2
2218,WEST BU,Week 37,2
2221,NORTH BU,Week 37,2
2222,EAST BU,Week 37,1
2223,WEST BU,LIVE,1
2224,EAST BU,Week 37,2
2225,EAST BU,Week 37,2
2227,EAST BU,Week 37,2
2228,EAST BU,Week 37,2
2229,SOUTHEAST BU,Week 37,3
2230,EAST BU,LIVE,2
2231,NORTH BU,Week 37,2
2232,EAST BU,Week 37,2
2233,EAST BU,Week 37,1
2234,EAST BU,Week 37,2
2236,EAST BU,LIVE,3
2237,SOUTHEAST BU,LIVE,1
2238,NORTH BU,LIVE,2
2239,SOUTHWEST BU,Week 37,1
2241,WEST BU,Week 37,2
2242,WEST BU,Week 37,1
2243,WEST BU,Week 37,1
2244,NORTH BU,Week 37,2
2245,WEST BU,Week 37,2
2247,EAST BU,Week 37,2
2248,EAST BU,Week 37,1
2249,WEST BU,Week 37,1
2250,NORTH BU,Week 37,2
2251,WEST BU,LIVE,2
2252,EAST BU,LIVE,1
2253,WEST BU,Week 37,1
2254,EAST BU,LIVE,3
2255,EAST BU,LIVE,1
2256,EAST BU,Week 37,2
2257,SOUTHWEST BU,LIVE,1
2258,EAST BU,Week 37,2
2259,WEST BU,Week 37,1
2261,EAST BU,Week 37,3
2262,EAST BU,Week 37,2
2263,EAST BU,LIVE,3
2264,EAST BU,Week 37,2
2265,EAST BU,Week 37,2
2266,NORTH BU,Week 37,2
2267,EAST BU,Week 37,2
2269,WEST BU,Week 37,1
2270,SOUTHWEST BU,Week 37,2
2271,NORTH BU,LIVE,2
2272,EAST BU,LIVE,3
2273,NORTH BU,LIVE,2
2274,WEST BU,Week 37,2
2275,NORTH BU,Week 37,3
2276,NORTH BU,LIVE,2
2277,WEST BU,Week 37,2
2278,EAST BU,Week 37,2
2279,EAST BU,Week 37,1
2280,WEST BU,LIVE,1
2281,NORTH BU,Week 37,1
2282,EAST BU,Week 37,1
2283,EAST BU,Week 37,1
2284,EAST BU,Week 37,2
2285,EAST BU,Week 37,1
2286,EAST BU,Week 37,1
2287,NORTH BU,LIVE,2
2288,WEST BU,Week 37,2
2289,EAST BU,Week 37,3
2291,WEST BU,Week 37,1
2292,WEST BU,LIVE,2
2293,WEST BU,LIVE,3
2294,EAST BU,Week 37,3
2295,EAST BU,Week 37,2
2297,WEST BU,Week 37,2
2299,EAST BU,Week 37,2
2300,NORTH BU,Week 37,2
2306,SOUTHEAST BU,Week 37,2
2307,WEST BU,LIVE,2
2308,WEST BU,Week 37,1
2309,NORTH BU,Week 37,2
2310,SOUTHEAST BU,Week 37,2
2311,NORTH BU,Week 37,2
2312,EAST BU,Week 37,2
2313,NORTH BU,Week 37,3
2314,WEST BU,Week 37,2
2315,WEST BU,Week 37,3
2316,NORTH BU,Week 37,2
2317,WEST BU,Week 37,2
2318,EAST BU,Week 37,2
2319,WEST BU,Week 37,2
2320,WEST BU,Week 37,3
2321,WEST BU,Week 37,1
2322,SOUTHEAST BU,Week 37,2
2323,NORTH BU,Week 37,2
2325,WEST BU,Week 37,2
2326,EAST BU,Week 37,2
2329,EAST BU,Week 37,3
2330,EAST BU,Week 37,1
2331,EAST BU,Week 37,2
2332,EAST BU,Week 37,2
2333,WEST BU,Week 37,2
2334,EAST BU,LIVE,1
2335,NORTH BU,Week 37,2
2336,EAST BU,Week 37,2
2337,EAST BU,Week 37,3
2338,NORTH BU,Week 37,2
2339,NORTH BU,Week 37,2
2340,EAST BU,LIVE,2
2341,EAST BU,Week 37,1
2348,EAST BU,Week 37,3
2350,NORTH BU,LIVE,2
2351,EAST BU,Week 37,2
2352,WEST BU,Week 37,2
2354,NORTH BU,LIVE,2
2355,EAST BU,Week 37,2
2357,EAST BU,Week 37,1
2358,NORTH BU,Week 37,3
2359,NORTH BU,Week 37,1
2361,NORTH BU,Week 37,2
2362,NORTH BU,Week 37,2
2365,EAST BU,Week 37,1
2366,EAST BU,Week 37,1
2367,WEST BU,Week 37,3
2368,EAST BU,Week 37,1
2369,EAST BU,Week 37,2
2370,EAST BU,Week 37,2
2371,EAST BU,Week 37,1
2373,EAST BU,Week 37,2
2385,WEST BU,LIVE,1
2386,EAST BU,Week 37,2
2387,SOUTHEAST BU,Week 37,1
2388,NORTH BU,Week 37,3
2398,EAST BU,Week 37,3
2399,EAST BU,Week 37,2
2400,NORTH BU,Week 37,2
2401,WEST BU,LIVE,1
2402,WEST BU,Week 37,2
2403,WEST BU,LIVE,1
2404,SOUTHWEST BU,LIVE,1
2405,EAST BU,Week 37,1
2412,EAST BU,Week 37,2
2417,NORTH BU,Week 37,3
2418,WEST BU,Week 37,2
2419,EAST BU,LIVE,2
2420,NORTH BU,Week 37,2
2421,NORTH BU,Week 37,3
2422,WEST BU,Week 37,3
2424,EAST BU,LIVE,3
2426,NORTH BU,Week 37,2
2427,SOUTHWEST BU,LIVE,2
2428,SOUTHWEST BU,Week 37,3
2429,NORTH BU,Week 37,2
2432,WEST BU,Week 37,3
2434,NORTH BU,Week 37,2
2435,EAST BU,Week 37,1
2436,EAST BU,Week 37,2
2437,EAST BU,Week 37,3
2438,EAST BU,Week 37,2
2439,SOUTHWEST BU,LIVE,2
2440,EAST BU,Week 37,2
2441,NORTH BU,Week 37,2
2443,WEST BU,Week 37,2
2444,EAST BU,Week 37,2
2445,EAST BU,LIVE,2
2446,EAST BU,LIVE,1
2447,NORTH BU,Week 37,2
2448,WEST BU,Week 37,2
2450,WEST BU,Week 37,1
2452,NORTH BU,Week 37,2
2453,WEST BU,Week 37,2
2455,WEST BU,Week 37,2
2457,WEST BU,Week 37,3
2458,WEST BU,LIVE,2
2459,SOUTHEAST BU,LIVE,2
2460,EAST BU,LIVE,2
2463,SOUTHWEST BU,LIVE,3
2464,WEST BU,Week 37,2
2469,WEST BU,Week 37,2
2471,NORTH BU,Week 37,3
2472,EAST BU,Week 37,2
2473,WEST BU,Week 37,1
2474,EAST BU,LIVE,3
2475,SOUTHEAST BU,Week 37,2
2476,WEST BU,Week 37,2
2477,WEST BU,Week 37,2
2479,WEST BU,Week 37,1
2480,EAST BU,Week 37,2
2481,EAST BU,LIVE,2
2482,SOUTHWEST BU,Week 37,1
2483,WEST BU,Week 37,2
2484,SOUTHEAST BU,LIVE,2
2485,WEST BU,Week 37,2
2490,NORTH BU,Week 37,2
2491,NORTH BU,Week 37,2
2492,WEST BU,Week 37,3
2493,NORTH BU,LIVE,2
2494,WEST BU,Week 37,2
2495,WEST BU,Week 37,2
2496,SOUTHEAST BU,Week 37,3
2497,EAST BU,Week 37,2
2502,EAST BU,Week 37,2
2503,EAST BU,Week 37,3
2504,EAST BU,Week 37,2
2505,SOUTHWEST BU,LIVE,2
2506,NORTH BU,Week 37,3
2507,WEST BU,Week 37,1
2508,WEST BU,Week 37,1
2509,NORTH BU,Week 37,3
2510,NORTH BU,LIVE,3
2511,WEST BU,LIVE,2
2512,SOUTHWEST BU,Week 37,1
2513,SOUTHEAST BU,Week 37,3
2514,EAST BU,LIVE,3
2515,SOUTHWEST BU,LIVE,1
2516,WEST BU,LIVE,1
2517,WEST BU,Week 37,1
2518,EAST BU,LIVE,1
2519,EAST BU,LIVE,2
2520,EAST BU,Week 37,3
2522,NORTH BU,Week 37,2
2523,WEST BU,Week 37,2
2526,WEST BU,Week 37,1
2527,WEST BU,Week 37,3
2528,EAST BU,LIVE,2
2529,EAST BU,Week 37,2
2530,EAST BU,Week 37,2
