,,,,,,Action Alley ,,
1297,93,3,WM Supercenter,,3,1,1,1
1298,302,26,WM Supercenter,,3,1,1,1
1299,364,58,WM Supercenter,,3,1,1,1
1300,302,26,WM Supercenter,,1,,,1
1301,312,75,WM Supercenter,,3,1,1,1
1302,311,20,WM Supercenter,,3,1,1,1
1303,81,7,WM Supercenter,,3,1,1,1
1304,247,21,WM Supercenter,,3,1,1,1
1305,441,53,WM Supercenter,,3,1,1,1
1306,387,46,WM Supercenter,,3,1,1,1
1307,262,25,WM Supercenter,,3,1,1,1
1308,380,54,WM Supercenter,,3,1,1,1
1309,312,75,WM Supercenter,,3,1,1,1
1310,251,41,WM Supercenter,,3,1,1,1
1311,16,14,WM Supercenter,,3,1,1,1
1312,310,4,WM Supercenter,,2,,1,1
1313,77,7,WM Supercenter,,3,1,1,1
1314,24,2,WM Supercenter,,3,1,1,1
1315,381,47,WM Supercenter,,3,1,1,1
1316,439,53,WM Supercenter,,0,,,
1317,294,4,WM Supercenter,,0,,,
1318,122,12,WM Supercenter,,3,1,1,1
1319,122,12,WM Supercenter,,3,1,1,1
1320,122,12,WM Supercenter,,1,,1,
1321,299,26,WM Supercenter,,3,1,1,1
1322,308,26,WM Supercenter,,3,1,1,1
1323,278,25,Wal-Mart,,0,,,
1324,366,46,WM Supercenter,,3,1,1,1
1325,366,46,Wal-Mart,,0,,,
1326,433,47,WM Supercenter,,3,1,1,1
1327,242,41,WM Supercenter,,3,1,1,1
1328,364,58,WM Supercenter,,3,1,1,1
1329,246,21,WM Supercenter,,3,1,1,1
1330,222,21,WM Supercenter,,3,1,1,1
1331,239,21,WM Supercenter,,3,1,1,1
1332,426,52,WM Supercenter,,3,1,1,1
1333,222,21,WM Supercenter,,2,1,1,
1334,372,46,WM Supercenter,,0,,,
1335,315,75,WM Supercenter,,3,1,1,1
1336,311,20,Wal-Mart,,0,,,
1337,304,26,WM Supercenter,,3,1,1,1
1338,16,14,WM Supercenter,,3,1,1,1
1339,41,4,WM Supercenter,,3,1,1,1
1340,25,2,WM Supercenter,,3,1,1,1
1341,254,41,WM Supercenter,,3,1,1,1
1342,128,13,WM Supercenter,,3,1,1,1
1344,315,75,WM Supercenter,,3,1,1,1
1345,314,75,WM Supercenter,,1,,,1
1346,143,13,WM Supercenter,,3,1,1,1
1347,87,7,WM Supercenter,,3,1,1,1
1348,300,4,WM Supercenter,,3,1,1,1
1349,109,9,WM Supercenter,,1,,,1
1350,315,75,WM Supercenter,,3,1,1,1
1351,317,20,WM Supercenter,,3,1,1,1
1352,300,4,WM Supercenter,,3,1,1,1
1353,128,13,WM Supercenter,,1,,,1
1354,301,26,WM Supercenter,,3,1,1,1
1355,302,26,WM Supercenter,,3,1,1,1
1356,251,41,WM Supercenter,,3,1,1,1
1357,387,46,WM Supercenter,,3,1,1,1
1358,33,4,WM Supercenter,,3,1,1,1
1359,36,4,WM Supercenter,,3,1,1,1
1360,317,20,WM Supercenter,,3,1,1,1
1361,426,52,WM Supercenter,,3,1,1,1
1362,15,14,WM Supercenter,,3,1,1,1
1363,21,2,WM Supercenter,,3,1,1,1
1364,365,58,WM Supercenter,,3,1,1,1
1365,436,53,Wal-Mart,,0,,,
1366,440,53,WM Supercenter,,0,,,
1367,32,2,WM Supercenter,,0,,,
1368,218,21,WM Supercenter,,0,,,
1369,364,58,WM Supercenter,,3,1,1,1
1370,365,58,WM Supercenter,,3,1,1,1
1371,580,41,WM Supercenter,,3,1,1,1
1372,299,26,WM Supercenter,,3,1,1,1
1373,23,2,WM Supercenter,,3,1,1,1
1374,91,9,Wal-Mart,,0,,,
1375,97,14,WM Supercenter,,3,1,1,1
1376,152,12,WM Supercenter,,3,1,1,1
1377,270,25,WM Supercenter,,3,1,1,1
1378,247,21,WM Supercenter,,3,1,1,1
1379,301,26,WM Supercenter,,3,1,1,1
1380,375,46,WM Supercenter,,3,1,1,1
1381,372,46,WM Supercenter,,3,1,1,1
1382,39,4,WM Supercenter,,3,1,1,1
1383,33,4,WM Supercenter,,3,1,1,1
1384,389,54,WM Supercenter,,3,1,1,1
1385,305,26,WM Supercenter,,3,1,1,1
1386,262,25,WM Supercenter,,3,1,1,1
1387,108,9,WM Supercenter,,3,1,1,1
1388,248,21,WM Supercenter,,3,1,1,1
1389,414,52,WM Supercenter,,0,,,
1390,111,3,WM Supercenter,,3,1,1,1
1391,94,3,WM Supercenter,,3,1,1,1
1392,300,4,WM Supercenter,,3,1,1,1
1393,413,52,WM Supercenter,,3,1,1,1
1394,435,53,WM Supercenter,,3,1,1,1
1395,272,25,WM Supercenter,,3,1,1,1
1396,441,53,WM Supercenter,,3,1,1,1
1397,384,46,WM Supercenter,,3,1,1,1
1398,108,9,WM Supercenter,,3,1,1,1
1399,314,75,WM Supercenter,,2,,1,1
1400,21,2,WM Supercenter,,3,1,1,1
1401,265,25,WM Supercenter,,3,1,1,1
1403,18,2,WM Supercenter,,3,1,1,1
1404,269,25,WM Supercenter,,2,,1,1
1405,61,6,WM Supercenter,,3,1,1,1
1406,286,76,WM Supercenter,,3,1,1,1
1407,221,21,WM Supercenter,,3,1,1,1
1408,97,14,WM Supercenter,,0,,,
1409,65,6,WM Supercenter,,3,1,1,1
1410,223,21,WM Supercenter,,3,1,1,1
1411,366,46,WM Supercenter,,2,,1,1
1412,381,47,WM Supercenter,,3,1,1,1
1413,270,25,WM Supercenter,,3,1,1,1
1414,384,46,WM Supercenter,,3,1,1,1
1415,421,52,WM Supercenter,,3,1,1,1
1416,207,19,WM Supercenter,,3,1,1,1
1417,364,58,WM Supercenter,,3,1,1,1
1418,341,40,WM Supercenter,,3,1,1,1
1419,248,21,WM Supercenter,,3,1,1,1
1420,264,25,WM Supercenter,,3,1,1,1
1421,278,25,WM Supercenter,,3,1,1,1
1422,204,19,WM Supercenter,,3,1,1,1
1423,203,19,WM Supercenter,,3,1,1,1
1424,290,75,WM Supercenter,,2,,1,1
1425,247,21,WM Supercenter,,1,,,1
1426,259,21,WM Supercenter,,3,1,1,1
1427,218,21,WM Supercenter,,3,1,1,1
1428,204,19,WM Supercenter,,3,1,1,1
1429,213,19,WM Supercenter,,3,1,1,1
1430,439,53,WM Supercenter,,3,1,1,1
1431,418,52,WM Supercenter,,3,1,1,1
1432,204,19,WM Supercenter,,3,1,1,1
1433,222,21,WM Supercenter,,3,1,1,1
1434,391,54,WM Supercenter,,3,1,1,1
1435,413,52,WM Supercenter,,3,1,1,1
1436,107,9,WM Supercenter,,2,1,1,
1437,406,47,WM Supercenter,,3,1,1,1
1438,405,57,WM Supercenter,,3,1,1,1
1439,405,57,WM Supercenter,,3,1,1,1
1440,403,54,WM Supercenter,,3,1,1,1
1441,221,21,WM Supercenter,,3,1,1,1
1442,405,57,WM Supercenter,,3,1,1,1
1443,221,21,WM Supercenter,,3,1,1,1
1444,98,3,WM Supercenter,,3,1,1,1
1445,213,19,WM Supercenter,,3,1,1,1
1446,436,53,WM Supercenter,,3,1,1,1
1447,419,52,WM Supercenter,,3,1,1,1
1448,213,19,WM Supercenter,,3,1,1,1
1449,439,53,WM Supercenter,,3,1,1,1
1450,316,20,WM Supercenter,,3,1,1,1
1451,275,25,WM Supercenter,,0,,,
1452,309,26,WM Supercenter,,0,,,
1453,440,53,WM Supercenter,,3,1,1,1
1454,275,25,WM Supercenter,,3,1,1,1
1455,44,5,WM Supercenter,,3,1,1,1
1456,381,47,WM Supercenter,,2,,1,1
1457,381,47,WM Supercenter,,3,1,1,1
1458,120,12,WM Supercenter,,3,1,1,1
1459,249,41,WM Supercenter,,3,1,1,1
1460,433,47,WM Supercenter,,3,1,1,1
1461,381,47,WM Supercenter,,3,1,1,1
1462,7,14,WM Supercenter,,3,1,1,1
1463,223,21,WM Supercenter,,3,1,1,1
1464,305,26,WM Supercenter,,3,1,1,1
1465,314,75,WM Supercenter,,3,1,1,1
1466,122,12,WM Supercenter,,3,1,1,1
1467,121,12,WM Supercenter,,0,,,
1468,136,11,WM Supercenter,,2,,1,1
1469,119,12,WM Supercenter,,3,1,1,1
1470,421,52,WM Supercenter,,3,1,1,1
1471,439,53,Wal-Mart,,0,,,
1472,423,52,WM Supercenter,,3,1,1,1
1473,421,52,WM Supercenter,,3,1,1,1
1474,365,58,WM Supercenter,,3,1,1,1
1475,418,52,WM Supercenter,,0,,,
1476,243,41,WM Supercenter,,3,1,1,1
1477,317,20,WM Supercenter,,3,1,1,1
1478,259,21,WM Supercenter,,3,1,1,1
1479,238,19,WM Supercenter,,3,1,1,1
1480,239,21,WM Supercenter,,0,,,
1481,13,14,WM Supercenter,,1,,,1
1482,112,3,Wal-Mart,,0,,,
1483,430,47,WM Supercenter,,3,1,1,1
1484,51,5,WM Supercenter,,0,,,
1485,382,47,WM Supercenter,,3,1,1,1
1486,314,75,WM Supercenter,,3,1,1,1
1487,238,19,WM Supercenter,,3,1,1,1
1488,22,2,WM Supercenter,,3,1,1,1
1489,269,25,Wal-Mart,,0,,,
1490,263,53,WM Supercenter,,3,1,1,1
1491,413,52,WM Supercenter,,3,1,1,1
1492,376,54,WM Supercenter,,0,,,
1493,14,14,WM Supercenter,,0,,,
1494,78,6,WM Supercenter,,3,1,1,1
1495,223,21,WM Supercenter,,3,1,1,1
1496,415,52,WM Supercenter,,1,,,1
1497,266,25,WM Supercenter,,3,1,1,1
1498,298,26,WM Supercenter,,3,1,1,1
1499,317,20,WM Supercenter,,3,1,1,1
1500,430,47,WM Supercenter,,3,1,1,1
1501,112,3,Wal-Mart,,0,,,
1502,301,26,WM Supercenter,,1,,,1
1503,223,21,WM Supercenter,,3,1,1,1
1504,223,21,WM Supercenter,,3,1,1,1
1505,258,20,WM Supercenter,,3,1,1,1
1506,415,52,WM Supercenter,,0,,,
1507,409,44,WM Supercenter,,3,1,1,1
1508,382,47,WM Supercenter,,3,1,1,1
1509,415,52,WM Supercenter,,0,,,
1510,225,21,WM Supercenter,,3,1,1,1
1511,553,9,WM Supercenter,,3,1,1,1
1512,371,46,WM Supercenter,,0,,,
1513,111,3,WM Supercenter,,0,,,
1514,340,40,WM Supercenter,,3,1,1,1
1515,442,53,WM Supercenter,,3,1,1,1
1516,70,7,WM Supercenter,,3,1,1,1
1517,108,9,WM Supercenter,,0,,,
1518,482,41,WM Supercenter,,3,1,1,1
1519,218,21,WM Supercenter,,3,1,1,1
1520,430,47,WM Supercenter,,3,1,1,1
1521,225,21,WM Supercenter,,3,1,1,1
1522,320,76,WM Supercenter,,3,1,1,1
1523,290,75,WM Supercenter,,3,1,1,1
1524,290,75,WM Supercenter,,3,1,1,1
1525,287,75,WM Supercenter,,3,1,1,1
1526,426,52,WM Supercenter,,2,,1,1
1527,301,26,WM Supercenter,,3,1,1,1
1528,415,52,WM Supercenter,,3,1,1,1
1529,233,22,WM Supercenter,,3,1,1,1
1530,136,11,WM Supercenter,,3,1,1,1
1531,270,25,WM Supercenter,,3,1,1,1
1532,369,46,WM Supercenter,,0,,,
1533,369,46,WM Supercenter,,3,1,1,1
1534,427,47,WM Supercenter,,3,1,1,1
1535,430,47,WM Supercenter,,3,1,1,1
1536,111,3,WM Supercenter,,3,1,1,1
1537,234,22,Wal-Mart,,0,,,
1538,430,47,WM Supercenter,,3,1,1,1
1539,213,19,WM Supercenter,,3,1,1,1
1540,201,19,WM Supercenter,,3,1,1,1
1541,107,9,WM Supercenter,,3,1,1,1
1542,196,53,WM Supercenter,,3,1,1,1
1543,429,47,WM Supercenter,,3,1,1,1
1544,320,76,WM Supercenter,,3,1,1,1
1545,412,52,WM Supercenter,,3,1,1,1
1546,426,52,Wal-Mart,,0,,,
1547,246,21,WM Supercenter,,3,1,1,1
1548,262,25,WM Supercenter,,0,,,
1549,368,46,WM Supercenter,,3,1,1,1
1550,388,54,Wal-Mart,,0,,,
1551,435,53,WM Supercenter,,2,,1,1
1552,308,26,WM Supercenter,,3,1,1,1
1553,264,25,WM Supercenter,,3,1,1,1
1554,452,56,WM Supercenter,,3,1,1,1
1555,463,58,WM Supercenter,,3,1,1,1
1556,266,25,WM Supercenter,,3,1,1,1
1557,482,41,WM Supercenter,,3,1,1,1
1558,298,26,WM Supercenter,,3,1,1,1
1559,394,57,Wal-Mart,,0,,,
1560,396,57,WM Supercenter,,3,1,1,1
1561,145,11,WM Supercenter,,3,1,1,1
1562,424,52,Wal-Mart,,0,,,
1563,448,57,WM Supercenter,,3,1,1,1
1564,218,21,WM Supercenter,,3,1,1,1
1565,382,47,WM Supercenter,,3,1,1,1
1566,247,21,WM Supercenter,,3,1,1,1
1567,382,47,WM Supercenter,,3,1,1,1
1568,229,20,WM Supercenter,,3,1,1,1
1569,259,21,WM Supercenter,,3,1,1,1
1570,248,21,WM Supercenter,,3,1,1,1
1571,435,53,WM Supercenter,,3,1,1,1
1572,582,54,WM Supercenter,,3,1,1,1
1573,405,57,WM Supercenter,,2,,1,1
1574,447,57,WM Supercenter,,3,1,1,1
1575,457,56,WM Supercenter,,3,1,1,1
1576,238,19,Wal-Mart,,0,,,
1577,424,52,WM Supercenter,,3,1,1,1
1578,24,2,WM Supercenter,,3,1,1,1
1579,296,26,WM Supercenter,,1,,,1
1580,249,41,WM Supercenter,,3,1,1,1
1581,427,47,WM Supercenter,,3,1,1,1
1583,449,57,Wal-Mart,,0,,,
1584,396,57,WM Supercenter,,3,1,1,1
1585,429,47,WM Supercenter,,3,1,1,1
1586,26,2,WM Supercenter,,3,1,1,1
1587,450,56,Wal-Mart,,0,,,
1588,445,58,WM Supercenter,,3,1,1,1
1589,108,9,WM Supercenter,,0,,,
1590,553,9,WM Supercenter,,3,1,1,1
1591,234,22,WM Supercenter,,3,1,1,1
1592,205,19,WM Supercenter,,3,1,1,1
1593,202,19,WM Supercenter,,3,1,1,1
1594,219,21,WM Supercenter,,3,1,1,1
1595,217,21,WM Supercenter,,3,1,1,1
1596,265,25,WM Supercenter,,2,,1,1
1597,356,44,WM Supercenter,,3,1,1,1
1598,370,46,WM Supercenter,,3,1,1,1
1599,362,40,WM Supercenter,,3,1,1,1
1600,447,57,WM Supercenter,,3,1,1,1
1601,482,41,WM Supercenter,,3,1,1,1
1602,275,25,WM Supercenter,,3,1,1,1
1603,39,4,WM Supercenter,,0,,,
1604,429,47,WM Supercenter,,3,1,1,1
1605,14,14,WM Supercenter,,3,1,1,1
1606,119,12,WM Supercenter,,3,1,1,1
1607,237,22,WM Supercenter,,3,1,1,1
1608,457,56,WM Supercenter,,3,1,1,1
1609,419,52,WM Supercenter,,3,1,1,1
1610,195,76,Wal-Mart,,0,,,
1611,205,19,WM Supercenter,,3,1,1,1
1612,366,46,WM Supercenter,,3,1,1,1
1613,308,26,WM Supercenter,,3,1,1,1
1614,297,26,WM Supercenter,,2,1,,1
1615,452,56,Wal-Mart,,0,,,
1616,392,56,Wal-Mart,,0,,,
1617,381,47,WM Supercenter,,3,1,1,1
1618,238,19,WM Supercenter,,3,1,1,1
1619,192,76,WM Supercenter,,3,1,1,1
1620,14,14,WM Supercenter,,3,1,1,1
1621,418,52,WM Supercenter,,0,,,
1622,213,19,WM Supercenter,,3,1,1,1
1623,226,17,WM Supercenter,,3,1,1,1
1624,447,57,WM Supercenter,,3,1,1,1
1625,426,52,WM Supercenter,,3,1,1,1
1626,352,44,WM Supercenter,,3,1,1,1
1627,427,47,WM Supercenter,,3,1,1,1
1628,213,19,WM Supercenter,,3,1,1,1
1629,251,41,Wal-Mart,,0,,,
1630,468,56,WM Supercenter,,0,,,
1631,288,75,WM Supercenter,,3,1,1,1
1632,412,52,WM Supercenter,,3,1,1,1
1633,424,52,WM Supercenter,,3,1,1,1
1634,419,52,WM Supercenter,,3,1,1,1
1635,442,53,WM Supercenter,,3,1,1,1
1636,427,47,WM Supercenter,,3,1,1,1
1637,432,47,WM Supercenter,,1,,,1
1638,7,14,WM Supercenter,,3,1,1,1
1639,247,21,WM Supercenter,,0,,,
1640,237,22,WM Supercenter,,3,1,1,1
1641,301,26,WM Supercenter,,1,,,1
1642,202,19,WM Supercenter,,3,1,1,1
1643,444,53,WM Supercenter,,3,1,1,1
1644,232,22,WM Supercenter,,3,1,1,1
1645,581,57,WM Supercenter,,3,1,1,1
1646,372,46,WM Supercenter,,3,1,1,1
1647,248,21,WM Supercenter,,3,1,1,1
1648,455,56,WM Supercenter,,3,1,1,1
1649,427,47,WM Supercenter,,3,1,1,1
1650,444,53,WM Supercenter,,3,1,1,1
1651,452,56,WM Supercenter,,3,1,1,1
1652,312,75,WM Supercenter,,3,1,1,1
1653,320,76,WM Supercenter,,0,,,
1654,419,52,WM Supercenter,,1,,,1
1655,482,41,WM Supercenter,,3,1,1,1
1656,228,76,WM Supercenter,,3,1,1,1
1657,425,53,WM Supercenter,,1,,,1
1658,30,2,WM Supercenter,,3,1,1,1
1659,379,54,WM Supercenter,,3,1,1,1
1660,448,57,WM Supercenter,,1,,,1
1661,302,26,WM Supercenter,,3,1,1,1
1662,304,26,WM Supercenter,,3,1,1,1
1663,294,4,WM Supercenter,,3,1,1,1
1664,299,26,WM Supercenter,,2,1,1,
1665,239,21,WM Supercenter,,3,1,1,1
1666,309,26,WM Supercenter,,1,,,1
1667,247,21,WM Supercenter,,3,1,1,1
1668,269,25,WM Supercenter,,3,1,1,1
1669,438,53,WM Supercenter,,3,1,1,1
1670,168,22,Wal-Mart,,0,,,
1671,432,47,WM Supercenter,,3,1,1,1
1672,436,53,WM Supercenter,,3,1,1,1
1673,192,76,WM Supercenter,,1,,,1
1674,280,76,WM Supercenter,,3,1,1,1
1675,256,41,WM Supercenter,,3,1,1,1
1676,254,41,WM Supercenter,,0,,,
1677,189,76,WM Supercenter,,3,1,1,1
1678,442,53,WM Supercenter,,0,,,
1679,438,53,WM Supercenter,,3,1,1,1
1680,110,9,WM Supercenter,,0,,,
1681,268,25,WM Supercenter,,3,1,1,1
1682,288,75,WM Supercenter,,3,1,1,1
1683,413,52,WM Supercenter,,0,,,
1684,237,22,Wal-Mart,,0,,,
1685,430,47,WM Supercenter,,3,1,1,1
1686,403,54,WM Supercenter,,3,1,1,1
1687,288,75,WM Supercenter,,3,1,1,1
1688,289,75,WM Supercenter,,0,,,
1689,376,54,WM Supercenter,,3,1,1,1
1690,275,25,WM Supercenter,,3,1,1,1
1691,362,40,Wal-Mart,,0,,,
1692,445,58,WM Supercenter,,1,,,1
1693,445,58,Wal-Mart,,0,,,
1694,124,12,WM Supercenter,,3,1,1,1
1695,427,47,WM Supercenter,,0,,,
1696,412,52,WM Supercenter,,3,1,1,1
1697,454,56,Wal-Mart,,0,,,
1698,183,16,WM Supercenter,,1,,,1
1699,401,54,WM Supercenter,,3,1,1,1
1700,459,58,WM Supercenter,,3,1,1,1
1701,21,2,Wal-Mart,,0,,,
1702,92,9,WM Supercenter,,3,1,1,1
1703,280,76,WM Supercenter,,3,1,1,1
1704,453,56,WM Supercenter,,2,1,1,
1705,191,76,WM Supercenter,,1,,,1
1707,208,20,WM Supercenter,,3,1,1,1
1708,401,54,WM Supercenter,,3,1,1,1
1709,248,21,WM Supercenter,,2,,1,1
1710,140,11,WM Supercenter,,3,1,1,1
1711,2,14,WM Supercenter,,3,1,1,1
1712,111,3,WM Supercenter,,3,1,1,1
1713,278,25,Wal-Mart,,0,,,
1714,320,76,WM Supercenter,,3,1,1,1
1715,285,22,Wal-Mart,,0,,,
1716,508,75,Wal-Mart,,0,,,
1717,508,75,Wal-Mart,,0,,,
1718,222,21,WM Supercenter,,3,1,1,1
1719,204,19,WM Supercenter,,3,1,1,1
1720,23,2,WM Supercenter,,3,1,1,1
1721,418,52,WM Supercenter,,3,1,1,1
1722,421,52,WM Supercenter,,3,1,1,1
1723,413,52,WM Supercenter,,3,1,1,1
1724,216,20,WM Supercenter,,2,1,1,
1725,582,54,WM Supercenter,,0,,,
1726,315,75,WM Supercenter,,3,1,1,1
1727,439,53,WM Supercenter,,0,,,
1728,246,21,WM Supercenter,,3,1,1,1
1729,239,21,WM Supercenter,,2,,1,1
1730,287,75,WM Supercenter,,3,1,1,1
1731,192,76,WM Supercenter,,1,,,1
1732,414,52,WM Supercenter,,0,,,
1733,203,19,WM Supercenter,,1,,,1
1734,273,25,WM Supercenter,,3,1,1,1
1735,269,25,WM Supercenter,,3,1,1,1
1736,284,22,WM Supercenter,,3,1,1,1
1737,268,25,WM Supercenter,,3,1,1,1
1738,421,52,WM Supercenter,,3,1,1,1
1739,235,20,WM Supercenter,,3,1,1,1
1740,263,53,WM Supercenter,,3,1,1,1
1741,284,22,WM Supercenter,,3,1,1,1
1742,165,22,WM Supercenter,,3,1,1,1
1743,258,20,Wal-Mart,,0,,,
1744,192,76,WM Supercenter,,3,1,1,1
1745,239,21,WM Supercenter,,3,1,1,1
1746,371,46,WM Supercenter,,1,,,1
1747,461,58,WM Supercenter,,3,1,1,1
1748,33,4,WM Supercenter,,3,1,1,1
1749,183,16,WM Supercenter,,3,1,1,1
1750,222,21,WM Supercenter,,3,1,1,1
1751,297,26,Wal-Mart,,0,,,
1752,204,19,WM Supercenter,,3,1,1,1
1753,184,16,WM Supercenter,,3,1,1,1
1754,203,19,WM Supercenter,,3,1,1,1
1755,452,56,Wal-Mart,,0,,,
1756,462,58,Wal-Mart,,0,,,
1757,419,52,WM Supercenter,,3,1,1,1
1758,239,21,WM Supercenter,,3,1,1,1
1759,288,75,WM Supercenter,,3,1,1,1
1760,455,56,WM Supercenter,,3,1,1,1
1761,341,40,WM Supercenter,,2,,1,1
1762,157,16,WM Supercenter,,3,1,1,1
1763,311,20,WM Supercenter,,3,1,1,1
1764,413,52,WM Supercenter,,3,1,1,1
1765,231,76,WM Supercenter,,3,1,1,1
1766,24,2,WM Supercenter,,0,,,
1767,37,4,WM Supercenter,,3,1,1,1
1768,582,54,WM Supercenter,,3,1,1,1
1769,237,22,WM Supercenter,,3,1,1,1
1770,229,20,WM Supercenter,,3,1,1,1
1771,202,19,WM Supercenter,,3,1,1,1
1772,468,56,WM Supercenter,,3,1,1,1
1773,288,75,WM Supercenter,,3,1,1,1
1774,310,4,WM Supercenter,,3,1,1,1
1775,478,60,WM Supercenter,,3,1,1,1
1776,442,53,WM Supercenter,,3,1,1,1
1777,168,22,WM Supercenter,,3,1,1,1
1778,381,47,WM Supercenter,,3,1,1,1
1779,265,25,Wal-Mart,,0,,,
1780,315,75,WM Supercenter,,3,1,1,1
1781,190,17,WM Supercenter,,2,,1,1
1782,216,20,WM Supercenter,,3,1,1,1
1783,580,41,WM Supercenter,,2,,1,1
1784,477,60,WM Supercenter,,1,,,1
1785,184,16,Wal-Mart,,0,,,
1786,423,52,Wal-Mart,,0,,,
1787,414,52,WM Supercenter,,3,1,1,1
1788,183,16,WM Supercenter,,3,1,1,1
1789,454,56,WM Supercenter,,3,1,1,1
1790,197,19,WM Supercenter,,3,1,1,1
1791,200,19,WM Supercenter,,0,,,
1792,237,22,WM Supercenter,,3,1,1,1
1793,477,60,WM Supercenter,,3,1,1,1
1794,232,22,WM Supercenter,,3,1,1,1
1795,294,4,Wal-Mart,,0,,,
1796,184,16,WM Supercenter,,3,1,1,1
1797,179,16,WM Supercenter,,3,1,1,1
1798,205,19,WM Supercenter,,3,1,1,1
1799,441,53,WM Supercenter,,3,1,1,1
1800,583,5,WM Supercenter,,3,1,1,1
1801,44,5,WM Supercenter,,3,1,1,1
1802,411,47,WM Supercenter,,3,1,1,1
1803,87,7,WM Supercenter,,3,1,1,1
1804,248,21,WM Supercenter,,3,1,1,1
1805,463,58,WM Supercenter,,3,1,1,1
1806,189,76,WM Supercenter,,3,1,1,1
1807,558,22,WM Supercenter,,3,1,1,1
1808,388,54,Wal-Mart,,0,,,
1809,202,19,WM Supercenter,,3,1,1,1
1810,164,17,WM Supercenter,,3,1,1,1
1811,289,75,WM Supercenter,,1,,,1
1812,215,20,WM Supercenter,,3,1,1,1
1813,192,76,WM Supercenter,,1,,,1
1814,264,25,WM Supercenter,,3,1,1,1
1815,449,57,WM Supercenter,,3,1,1,1
1816,297,26,Wal-Mart,,0,,,
1817,475,60,WM Supercenter,,3,1,1,1
1819,436,53,WM Supercenter,,3,1,1,1
1820,229,20,WM Supercenter,,3,1,1,1
1821,306,26,Wal-Mart,,0,,,
1823,234,22,WM Supercenter,,1,,,1
1825,286,76,WM Supercenter,,3,1,1,1
1826,581,57,WM Supercenter,,3,1,1,1
1827,582,54,WM Supercenter,,0,,,
1828,439,53,WM Supercenter,,3,1,1,1
1829,38,4,WM Supercenter,,3,1,1,1
1830,191,76,WM Supercenter,,3,1,1,1
1831,191,76,WM Supercenter,,3,1,1,1
1832,463,58,WM Supercenter,,3,1,1,1
1833,291,75,WM Supercenter,,3,1,1,1
1834,468,56,WM Supercenter,,3,1,1,1
1835,190,17,WM Supercenter,,1,,,1
1836,202,19,WM Supercenter,,3,1,1,1
1837,59,6,WM Supercenter,,2,,1,1
1838,394,57,Wal-Mart,,0,,,
1839,214,20,WM Supercenter,,2,,1,1
1840,450,56,WM Supercenter,,0,,,
1841,289,75,WM Supercenter,,3,1,1,1
1842,298,26,WM Supercenter,,3,1,1,1
1843,477,60,Wal-Mart,,0,,,
1844,178,22,Wal-Mart,,0,,,
1845,109,9,WM Supercenter,,3,1,1,1
1846,366,46,WM Supercenter,,3,1,1,1
1847,93,3,WM Supercenter,,3,1,1,1
1848,264,25,WM Supercenter,,3,1,1,1
1849,308,26,WM Supercenter,,3,1,1,1
1850,234,22,WM Supercenter,,3,1,1,1
1851,109,9,WM Supercenter,,2,1,,1
1852,291,75,WM Supercenter,,3,1,1,1
1853,461,58,WM Supercenter,,3,1,1,1
1855,423,52,WM Supercenter,,0,,,
1856,179,16,WM Supercenter,,3,1,1,1
1857,209,20,Wal-Mart,,0,,,
1858,421,52,WM Supercenter,,3,1,1,1
1859,463,58,WM Supercenter,,3,1,1,1
1860,284,22,WM Supercenter,,3,1,1,1
1861,422,52,WM Supercenter,,3,1,1,1
1862,462,58,WM Supercenter,,3,1,1,1
1863,209,20,WM Supercenter,,1,,,1
1864,422,52,WM Supercenter,,3,1,1,1
1865,421,52,WM Supercenter,,0,,,
1866,180,16,WM Supercenter,,3,1,1,1
1867,293,75,Wal-Mart,,0,,,
1868,180,16,WM Supercenter,,3,1,1,1
1869,558,22,Wal-Mart,,0,,,
1870,475,60,WM Supercenter,,3,1,1,1
1871,187,16,WM Supercenter,,3,1,1,1
1872,383,47,WM Supercenter,,3,1,1,1
1873,161,17,WM Supercenter,,0,,,
1874,118,9,WM Supercenter,,3,1,1,1
1875,282,75,WM Supercenter,,3,1,1,1
1876,476,60,Wal-Mart,,0,,,
1877,581,57,Wal-Mart,,0,,,
1878,400,56,WM Supercenter,,3,1,1,1
1879,445,58,WM Supercenter,,3,1,1,1
1880,468,56,WM Supercenter,,3,1,1,1
1881,453,56,WM Supercenter,,0,,,
1882,581,57,WM Supercenter,,0,,,
1883,229,20,WM Supercenter,,3,1,1,1
1884,226,17,WM Supercenter,,3,1,1,1
1885,229,20,WM Supercenter,,3,1,1,1
1886,234,22,WM Supercenter,,3,1,1,1
1887,232,22,Wal-Mart,,0,,,
1888,401,54,WM Supercenter,,3,1,1,1
1889,475,60,WM Supercenter,,3,1,1,1
1890,285,22,WM Supercenter,,3,1,1,1
1891,162,17,WM Supercenter,,3,1,1,1
1892,268,25,WM Supercenter,,3,1,1,1
1893,508,75,Wal-Mart,,0,,,
1894,215,20,WM Supercenter,,3,1,1,1
1895,215,20,Wal-Mart,,0,,,
1896,391,54,WM Supercenter,,3,1,1,1
1897,268,25,WM Supercenter,,3,1,1,1
1898,264,25,WM Supercenter,,3,1,1,1
1899,461,58,WM Supercenter,,3,1,1,1
1900,400,56,WM Supercenter,,1,,,1
1901,383,47,WM Supercenter,,3,1,1,1
1902,400,56,WM Supercenter,,3,1,1,1
