Store,DSL Gen,DSL Start Date ,Resource Link,Toolkit Link by Gen,RDC,APD Phase 1,APD Phase 2,APD Phase 3,HVDC Start Date,FDD Start Date,CoSTL Install Date,Digital Lock Install Date,Digital Lock Survey Date,Next Gen Cash Recycler Install Date,Initial Change Order Delivery Date,Mobile Calling,
2928,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6040,8/15/2024,12/22/2025,4/22/2027,Completed,Completed,9/17/2024,TBD,TBD,Completed,Completed,6/12/2025,
2938,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,TBD,1/14/2025,Completed,4/11/2025,3/31/2025,TBD,
2939,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,TBD,TBD,TBD,3/31/2025,3/24/2025,TBD,
2962,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7038,1/1/2028,4/1/2029,,9/16/2024,9/16/2024,9/30/2024,LIVE,Completed,Completed,Completed,6/24/2025,
2963,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7038,1/1/2028,4/1/2029,,9/16/2024,9/16/2024,TBD,TBD,TBD,Completed,Completed,TBD,
2973,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6036,Complete,12/5/2024,4/5/2026,9/16/2024,9/16/2024,5/13/2024,TBD,TBD,3/6/2025,2/24/2025,TBD,
3013,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,TBD,TBD,TBD,Completed,Completed,7/8/2025,
3058,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,TBD,TBD,TBD,4/10/2025,3/31/2025,TBD,
3106,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,9/4/2024,TBD,TBD,Completed,Completed,TBD,
3112,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,TBD,TBD,TBD,4/7/2025,3/31/2025,TBD,
3162,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,TBD,TBD,TBD,Completed,Completed,TBD,
3183,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7038,1/1/2028,4/1/2029,,9/16/2024,9/16/2024,TBD,TBD,TBD,Completed,Completed,7/8/2025,
3184,Gen 3,6/7/2026,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6006,8/22/2024,4/2/2026,8/2/2027,8/19/2024,8/19/2024,TBD,TBD,TBD,4/3/2025,3/24/2025,TBD,
