Store Number,Vendor,Regular Visits,Plus up Visits,Total WK20 Visits,Regular Visits,Plus up Visits,Total Weekend Visits
1981,American Greetings,3,2,5,1,2,3
510,American Greetings,3,2,5,1,2,3
515,American Greetings,2,3,5,0,3,3
530,American Greetings,2,3,5,0,3,3
532,American Greetings,3,2,5,1,2,3
537,American Greetings,3,2,5,1,2,3
543,American Greetings,3,2,5,1,2,3
2006,American Greetings,3,2,5,1,2,3
2010,American Greetings,3,2,5,1,2,3
2012,American Greetings,3,2,5,1,2,3
555,American Greetings,2,3,5,0,3,3
2019,American Greetings,3,2,5,1,2,3
2024,American Greetings,3,2,5,1,2,3
2025,American Greetings,3,2,5,1,2,3
2027,American Greetings,3,2,5,1,2,3
574,American Greetings,3,2,5,1,2,3
576,American Greetings,3,2,5,1,2,3
577,American Greetings,3,2,5,1,2,3
578,American Greetings,3,2,5,1,2,3
589,American Greetings,2,3,5,0,3,3
598,American Greetings,3,2,5,1,2,3
605,American Greetings,2,3,5,0,3,3
608,American Greetings,3,2,5,1,2,3
613,American Greetings,3,2,5,1,2,3
615,American Greetings,3,2,5,1,2,3
2037,American Greetings,3,2,5,1,2,3
635,American Greetings,2,3,5,0,3,3
639,American Greetings,3,2,5,1,2,3
640,American Greetings,3,3,6,1,3,4
641,American Greetings,2,3,5,0,3,3
643,American Greetings,2,4,6,0,4,4
651,American Greetings,3,2,5,1,2,3
657,American Greetings,3,2,5,1,2,3
2043,American Greetings,3,2,5,1,2,3
658,American Greetings,3,2,5,1,2,3
661,American Greetings,3,2,5,1,2,3
671,American Greetings,3,2,5,1,2,3
680,American Greetings,3,2,5,1,2,3
2059,American Greetings,3,2,5,1,2,3
687,American Greetings,3,2,5,1,2,3
688,American Greetings,2,3,5,0,3,3
695,American Greetings,2,3,5,0,3,3
698,American Greetings,2,3,5,0,3,3
709,American Greetings,3,3,6,1,3,4
720,American Greetings,3,2,5,1,2,3
722,American Greetings,3,2,5,1,2,3
2071,American Greetings,3,2,5,1,2,3
2074,American Greetings,3,2,5,1,2,3
2079,American Greetings,3,2,5,1,2,3
754,American Greetings,3,2,5,1,2,3
755,American Greetings,3,2,5,1,2,3
768,American Greetings,3,2,5,1,2,3
805,American Greetings,3,2,5,1,2,3
2133,American Greetings,3,2,5,1,2,3
2192,American Greetings,3,2,5,1,2,3
861,American Greetings,3,2,5,1,2,3
862,American Greetings,3,2,5,1,2,3
870,American Greetings,3,2,5,1,2,3
872,American Greetings,3,2,5,1,2,3
890,American Greetings,2,3,5,0,3,3
909,American Greetings,2,3,5,0,3,3
911,American Greetings,3,2,5,1,2,3
915,American Greetings,3,2,5,1,2,3
919,American Greetings,3,2,5,1,2,3
923,American Greetings,3,2,5,1,2,3
929,American Greetings,3,2,5,1,2,3
935,American Greetings,3,2,5,1,2,3
939,American Greetings,3,2,5,1,2,3
941,American Greetings,3,2,5,1,2,3
947,American Greetings,3,2,5,1,2,3
953,American Greetings,3,2,5,1,2,3
972,American Greetings,3,2,5,1,2,3
990,American Greetings,3,2,5,1,2,3
1004,American Greetings,3,2,5,1,2,3
1014,American Greetings,3,2,5,1,2,3
1016,American Greetings,3,2,5,1,2,3
1022,American Greetings,3,2,5,1,2,3
1037,American Greetings,3,2,5,1,2,3
1041,American Greetings,2,3,5,0,3,3
1062,American Greetings,3,2,5,1,2,3
1084,American Greetings,2,3,5,0,3,3
1087,American Greetings,3,2,5,1,2,3
1103,American Greetings,3,2,5,1,2,3
1118,American Greetings,2,3,5,0,3,3
1129,American Greetings,3,2,5,1,2,3
1132,American Greetings,3,2,5,1,2,3
1153,American Greetings,2,3,5,0,3,3
1161,American Greetings,3,2,5,1,2,3
1165,American Greetings,3,2,5,1,2,3
1177,American Greetings,3,2,5,1,2,3
1194,American Greetings,3,2,5,1,2,3
1200,American Greetings,3,2,5,1,2,3
1202,American Greetings,3,2,5,1,2,3
1216,American Greetings,2,3,5,0,3,3
1222,American Greetings,3,2,5,1,2,3
1229,American Greetings,3,2,5,1,2,3
1235,American Greetings,2,3,5,0,3,3
1236,American Greetings,2,3,5,0,3,3
1242,American Greetings,3,2,5,1,2,3
1244,American Greetings,2,3,5,0,3,3
1253,American Greetings,3,2,5,1,2,3
1263,American Greetings,3,2,5,1,2,3
1270,American Greetings,3,2,5,1,2,3
1279,American Greetings,3,2,5,1,2,3
1304,American Greetings,3,2,5,1,2,3
1305,American Greetings,3,2,5,1,2,3
1313,American Greetings,3,2,5,1,2,3
1315,American Greetings,3,2,5,1,2,3
1319,American Greetings,3,2,5,1,2,3
1326,American Greetings,3,2,5,1,2,3
1330,American Greetings,3,2,5,1,2,3
1341,American Greetings,3,2,5,1,2,3
1350,American Greetings,3,2,5,1,2,3
1355,American Greetings,3,2,5,1,2,3
1365,American Greetings,3,2,5,1,2,3
1394,American Greetings,3,2,5,1,2,3
1409,American Greetings,3,2,5,1,2,3
1427,American Greetings,3,2,5,1,2,3
1441,American Greetings,3,2,5,1,2,3
1443,American Greetings,3,2,5,1,2,3
1458,American Greetings,3,4,7,0,4,4
1463,American Greetings,3,2,5,1,2,3
1479,American Greetings,3,2,5,1,2,3
1487,American Greetings,2,3,5,0,3,3
1498,American Greetings,2,3,5,0,3,3
1510,American Greetings,3,2,5,1,2,3
1513,American Greetings,3,2,5,1,2,3
1514,American Greetings,3,2,5,1,2,3
1521,American Greetings,2,3,5,0,3,3
1544,American Greetings,3,2,5,1,2,3
1549,American Greetings,3,2,5,1,2,3
1564,American Greetings,3,2,5,1,2,3
1574,American Greetings,3,2,5,1,2,3
1583,American Greetings,3,2,5,1,2,3
1594,American Greetings,3,2,5,1,2,3
1597,American Greetings,3,2,5,1,2,3
1601,American Greetings,3,2,5,1,2,3
35,American Greetings,3,2,5,1,2,3
372,American Greetings,3,2,5,1,2,3
549,American Greetings,3,2,5,1,2,3
1623,American Greetings,3,2,5,1,2,3
601,American Greetings,3,2,5,1,2,3
1660,American Greetings,3,2,5,1,2,3
1662,American Greetings,3,2,5,1,2,3
1668,American Greetings,3,2,5,1,2,3
1671,American Greetings,3,2,5,1,2,3
648,American Greetings,3,2,5,1,2,3
1679,American Greetings,3,2,5,1,2,3
1697,American Greetings,3,2,5,1,2,3
1704,American Greetings,3,2,5,1,2,3
1714,American Greetings,3,2,5,1,2,3
1716,American Greetings,3,2,5,1,2,3
1736,American Greetings,3,2,5,1,2,3
1739,American Greetings,3,2,5,1,2,3
1748,American Greetings,3,2,5,1,2,3
1763,American Greetings,3,2,5,1,2,3
1023,American Greetings,3,2,5,1,2,3
1770,American Greetings,3,2,5,1,2,3
1794,American Greetings,3,2,5,1,2,3
1815,American Greetings,3,2,5,1,2,3
1826,American Greetings,3,2,5,1,2,3
1834,American Greetings,3,2,5,1,2,3
1460,American Greetings,3,2,5,1,2,3
1523,American Greetings,3,2,5,1,2,3
1837,American Greetings,3,2,5,1,2,3
1537,American Greetings,3,2,5,1,2,3
2038,American Greetings,3,2,5,1,2,3
1604,American Greetings,3,2,5,1,2,3
1636,American Greetings,3,2,5,1,2,3
1769,American Greetings,3,2,5,1,2,3
1823,American Greetings,3,2,5,1,2,3
