Store,Patio Live Plant Set Wk,Patio Live Plant Layout,Link,Parking Lot Set Wk,Parking Lot Layout,Link,Indoor Live Plant Layout,Link
1905,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1906,4,N/A,,4,N/A,,N/A,
1907,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,N/A,,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1908,7,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,7,N/A,,N/A,
1909,7,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,7,N/A,,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1910,49,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,49,N/A,,N/A,
1911,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,N/A,,N/A,
1912,49,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,49,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1913,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,N/A,,B,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout B.pdf
1914,49,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,49,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1915,49,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,49,N/A,,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1916,49,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,49,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1917,49,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,49,SMALL PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/SMALL Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1918,7,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,7,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1919,9,N/A,,9,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,N/A,
1920,1,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,1,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1921,4,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,4,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1922,49,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,49,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1923,7,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,7,N/A,,B,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout B.pdf
1924,9,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,9,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,E,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout E.pdf
1925,49,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,49,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,N/A,
1926,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,SMALL PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/SMALL Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1927,7,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,7,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1928,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,N/A,,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1929,9,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,9,SMALL PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/SMALL Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1930,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,SMALL PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/SMALL Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1931,9,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,9,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1932,7,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,7,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1933,7,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,7,SMALL PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/SMALL Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1934,1,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,1,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1935,7,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,7,N/A,,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1936,9,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,9,N/A,,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1937,7,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,7,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1938,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,N/A,,E,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout E.pdf
1939,7,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,7,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,E,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout E.pdf
1940,7,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,7,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1941,49,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,49,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1942,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1943,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1945,7,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,7,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1946,9,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,9,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1947,4,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,4,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1948,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1949,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1950,1,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,1,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1951,4,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,4,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1952,9,Small,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Small Patio Layouts.pdf,9,N/A,,N/A,
1953,1,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,1,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
1954,7,Large,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Large Patio Layouts.pdf,7,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,C,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout C.pdf
1955,7,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,7,MEDIUM PARKING LOT,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/Med Parking Lot.pdf,B,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout B.pdf
1956,9,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,9,LARGE PARKING LOT ,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/parking-lot-layouts/LARGE Parking Lot.pdf,B,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout B.pdf
1957,49,Medium,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/patio-live-plant-layouts/Medium Patio Layouts.pdf,49,N/A,,D,https://one.walmart.com/content/uswire/en_us/tools/pdf-viewer.html/content/dam/us-wire-wm1/documents/work/playbooks/operations/2024/spring-lawn-and-garden/indoor-live-plant-layouts/Indoor Live Plant Layout D.pdf
