Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
1939,POINTPICKUP,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202222,60.78%,60.68%,25.1,85.70%,66.70%,64.50%,54.50%
1939,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202222,75.82%,61.93%,19.5,84.40%,72.70%,72.70%,73.30%
2202,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202222,91.63%,97.49%,8.7,96.50%,97.10%,87.00%,86.20%
2369,UBER,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202222,66.67%,96.55%,7.8,68.80%,63.60%,78.60%,50.00%
2682,DOORDASH,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202222,76.32%,77.39%,14.7,45.80%,88.90%,82.10%,83.30%
2682,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202222,85.41%,82.33%,11.6,82.20%,92.90%,90.40%,76.00%
1698,DOORDASH,Scheduled Standard Delivery,15,Executive Review,Recovering,Store Focus,202222,89.58%,81.07%,12.2,95.50%,87.30%,87.70%,90.60%
1788,POINTPICKUP,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202222,72.50%,93.75%,9.2,85.70%,81.10%,69.40%,68.70%
2055,DOORDASH,Scheduled Standard Delivery,24,Executive Review,Recovering,Store Focus,202222,85.02%,61.72%,21.1,94.90%,89.50%,88.10%,75.00%
2055,SPARK,Scheduled Standard Delivery,35,Executive Review,Degrading,Store Focus,202222,68.94%,65.64%,16.1,72.20%,66.30%,77.80%,58.10%
2130,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202222,73.15%,79.64%,12.2,0.00%,69.40%,80.00%,72.20%
2130,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202222,87.30%,83.09%,11.7,85.40%,83.90%,87.40%,92.40%
1796,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202222,77.41%,65.02%,17.5,86.60%,88.50%,68.80%,67.20%
1191,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202222,81.08%,72.22%,13.8,79.20%,79.50%,81.60%,84.00%
1287,POINTPICKUP,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202222,50.34%,51.96%,37.5,65.50%,42.10%,30.40%,58.90%
