Region,Store,Format,BU,City,St
75,1736,Large,F - EAST BU,DOVER,DE
25,1737,Large,E - NORTH BU,VILLA PARK,IL
20,1739,Large,E - NORTH BU,WASHINGTON,PA
19,1752,Large,E - NORTH BU,BAY CITY,MI
19,1754,Large,E - NORTH BU,HOWELL,MI
57,1756,Large,M - WEST BU,FONTANA,CA
20,1770,Large,E - NORTH BU,CRANBERRY TOWNSHIP,PA
60,1775,Large,M - WEST BU,LEBANON,OR
19,1790,Large,E - NORTH BU,MONROE,MI
22,1794,Large,F - EAST BU,BLOOMSBURG,PA
47,1802,Large,M - WEST BU,TOPEKA,KS
17,1810,Large,F - EAST BU,FISHKILL,NY
57,1815,Large,M - WEST BU,FRESNO,CA
60,1817,Large,M - WEST BU,HERMISTON,OR
17,1831,Large,F - EAST BU,LIVERPOOL,NY
26,1842,Large,F - EAST BU,GREENSBORO,NC
9,1851,Large,A - SOUTHEAST BU,NORTH LAUDERDALE,FL
57,1853,Large,M - WEST BU,HEMET,CA
16,1856,Large,F - EAST BU,BANGOR,ME
57,1882,Large,M - WEST BU,SELMA,CA
17,1884,Large,F - EAST BU,DICKSON CITY,PA
54,1888,Large,M - WEST BU,NORTH LOGAN,UT
75,1890,Large,F - EAST BU,SALISBURY,MD
17,1891,Large,F - EAST BU,MANCHESTER,CT
47,1896,Large,M - WEST BU,COLORADO SPRINGS,CO
57,1899,Large,M - WEST BU,RIVERSIDE,CA
56,1900,Large,M - WEST BU,BURLEY,ID
56,1903,Large,M - WEST BU,YUBA CITY,CA
57,1914,Large,M - WEST BU,HIGHLAND,CA
9,1916,Large,A - SOUTHEAST BU,COCONUT CREEK,FL
19,1923,Large,E - NORTH BU,COMSTOCK PARK,MI
25,1933,Large,E - NORTH BU,NORTHLAKE,IL
16,1939,Large,F - EAST BU,BRUNSWICK,ME
47,1943,Large,M - WEST BU,LINCOLN,NE
56,1951,Large,M - WEST BU,ONTARIO,OR
16,1954,Large,F - EAST BU,SANFORD,ME
54,1956,Large,M - WEST BU,BILLINGS,MT
17,1959,Large,F - EAST BU,MIDDLETOWN,NY
47,1965,Large,M - WEST BU,COUNCIL BLUFFS,IA
16,1967,Large,F - EAST BU,SPRINGFIELD,MA
75,1968,Large,F - EAST BU,ABERDEEN,MD
22,1977,Large,F - EAST BU,BRICK,NJ
57,1989,Large,M - WEST BU,LOMPOC,CA
57,1992,Large,M - WEST BU,UPLAND,CA
9,1996,Large,A - SOUTHEAST BU,HALLANDALE BEACH,FL
60,2006,Large,M - WEST BU,CLARKSTON,WA
19,2010,Large,E - NORTH BU,NILES,MI
16,2013,Large,F - EAST BU,WATERVILLE,ME
17,2022,Large,F - EAST BU,NORTH WINDHAM,CT
17,2024,Large,F - EAST BU,TUNKHANNOCK,PA
20,2036,Large,E - NORTH BU,SOUTH CHARLESTON,WV
56,2048,Large,M - WEST BU,FAIRFIELD,CA
46,2051,Large,B - SOUTHWEST BU,KINGMAN,AZ
56,2054,Large,M - WEST BU,JACKSON,CA
22,2068,Large,F - EAST BU,LEVITTOWN,PA
57,2077,Large,M - WEST BU,LAKE ELSINORE,CA
22,2096,Large,F - EAST BU,WARMINSTER,PA
5,2105,Large,B - SOUTHWEST BU,DALLAS,TX
56,2106,Large,M - WEST BU,RENO,NV
22,2109,Large,F - EAST BU,MILLVILLE,NJ
56,2119,Large,M - WEST BU,MILPITAS,CA
13,2132,Large,B - SOUTHWEST BU,BATON ROUGE,LA
26,2137,Large,F - EAST BU,DURHAM,NC
16,2140,Large,F - EAST BU,NORTH CONWAY,NH
22,2141,Large,F - EAST BU,PHILADELPHIA,PA
57,2150,Large,M - WEST BU,SAN DIEGO,CA
40,2175,Large,E - NORTH BU,BRANSON WEST,MO
9,2237,Large,A - SOUTHEAST BU,LEHIGH ACRES,FL
19,2238,Large,E - NORTH BU,MUSKEGON,MI
6,2239,Large,B - SOUTHWEST BU,SAN ANTONIO,TX
57,2245,Large,M - WEST BU,OCEANSIDE,CA
60,2249,Large,M - WEST BU,CHEHALIS,WA
57,2253,Large,M - WEST BU,EL CAJON,CA
6,2257,Large,B - SOUTHWEST BU,HOUSTON,TX
60,2269,Large,M - WEST BU,YAKIMA,WA
75,2272,Large,F - EAST BU,CAMBRIDGE,MD
56,2280,Large,M - WEST BU,MOUNTAIN VIEW,CA
20,2281,Large,E - NORTH BU,WEST MIFFLIN,PA
17,2286,Large,F - EAST BU,CENTEREACH,NY
16,2289,Large,F - EAST BU,BENNINGTON,VT
17,2299,Large,F - EAST BU,CROMWELL,CT
17,2331,Large,F - EAST BU,WATERFORD,CT
22,2334,Large,F - EAST BU,LANCASTER,PA
75,2357,Large,F - EAST BU,GERMANTOWN,MD
20,2359,Large,E - NORTH BU,ASHTABULA,OH
2,2360,Large,A - SOUTHEAST BU,DUNWOODY,GA
52,2367,Large,M - WEST BU,PINE CITY,MN
17,2368,Large,F - EAST BU,EAST STROUDSBURG,PA
9,2387,Large,A - SOUTHEAST BU,BRANDON,FL
16,2399,Large,F - EAST BU,MANCHESTER,NH
56,2402,Large,M - WEST BU,ELKO,NV
60,2403,Large,M - WEST BU,PUYALLUP,WA
53,2434,Large,E - NORTH BU,IRON MOUNTAIN,MI
22,2445,Large,F - EAST BU,HATFIELD,PA
53,2452,Large,E - NORTH BU,MILWAUKEE,WI
54,2455,Large,M - WEST BU,GREAT FALLS,MT
5,2463,Large,B - SOUTHWEST BU,FRISCO,TX
57,2479,Large,M - WEST BU,SAN DIEGO,CA
17,2504,Large,F - EAST BU,KINGSTON,NY
57,2526,Large,M - WEST BU,PORTER RANCH,CA
17,2531,Large,F - EAST BU,MOHEGAN LAKE,NY
56,2537,Large,M - WEST BU,REDDING,CA
60,2549,Large,M - WEST BU,SPOKANE,WA
26,2580,Large,F - EAST BU,CLINTON,NC
42,2587,Large,A - SOUTHEAST BU,CABOT,AR
20,2588,Large,E - NORTH BU,NORTH VERSAILLES,PA
60,2595,Large,M - WEST BU,MARYSVILLE,WA
60,2596,Large,M - WEST BU,MOUNT VERNON,WA
40,2600,Large,E - NORTH BU,CHESTERFIELD,MO
57,2609,Large,M - WEST BU,LAKEWOOD,CA
46,2652,Large,B - SOUTHWEST BU,GRANTS,NM
5,2667,Large,B - SOUTHWEST BU,DALLAS,TX
16,2682,Large,F - EAST BU,BERLIN,VT
19,2693,Large,E - NORTH BU,FENTON,MI
56,2697,Large,M - WEST BU,ANTIOCH,CA
19,2700,Large,E - NORTH BU,WHITE LAKE,MI
13,2706,Large,B - SOUTHWEST BU,HARVEY,LA
57,2708,Large,M - WEST BU,TEMECULA,CA
17,2719,Large,F - EAST BU,BRISTOL,CT
9,2727,Large,A - SOUTHEAST BU,FLORIDA CITY,FL
54,2729,Large,M - WEST BU,FORT COLLINS,CO
