Division,Region,Market,Facility,Bucket
M,57,460,2952,Increase to Market-$17
M,57,462,3796,Increase to Market-$17
M,57,464,2546,Increase to Market-$17
M,57,465,2110,Increase to Market-$17
M,57,461,1747,Increase to Market-$17
M,57,484,2886,Increase to Market-$17
O,61,515,3132,Increase to Market-$17
M,57,462,2288,Increase to Market-$17
M,57,462,1922,Increase to Market-$17
O,61,515,5600,Increase to Market-$17
M,57,445,1693,Increase to Market-$17
O,61,515,3131,Increase to Market-$17
M,57,462,1862,Increase to Market-$17
M,57,461,1899,Increase to Market-$17
M,57,461,2028,Increase to Market-$17
M,57,484,5154,Increase to Market-$17
M,57,445,3276,Increase to Market-$17
M,57,460,2527,Increase to Market-$17
M,57,466,2517,Increase to Market-$17
M,57,484,2948,Increase to Market-$17
M,57,446,3180,Increase to Market-$17
O,61,551,4134,Increase to Market-$17
M,57,460,2708,Increase to Market-$17
O,61,481,2226,Increase to Market-$17
M,57,465,5874,Increase to Market-$17
O,61,515,5691,Increase to Market-$17
M,57,462,1992,Increase to Market-$17
M,57,484,5954,Increase to Market-$17
M,57,466,2495,Increase to Market-$17
M,57,448,5686,Increase to Market-$17
O,61,481,5664,Increase to Market-$17
M,57,448,1563,Increase to Market-$17
M,57,448,2951,Increase to Market-$17
O,61,481,5643,Increase to Market-$17
M,57,446,2032,Increase to Market-$17
M,57,446,3087,Increase to Market-$17
O,61,515,5689,Increase to Market-$17
M,57,448,1660,Increase to Market-$17
M,57,448,2950,Increase to Market-$17
M,57,448,3523,Increase to Market-$17
M,57,448,5162,Increase to Market-$17
O,61,481,3147,Increase to Market-$17
M,57,446,2621,Increase to Market-$17
O,61,481,3179,Increase to Market-$17
M,57,446,3650,Increase to Market-$17
M,57,463,5156,Increase to Market-$17
M,57,463,5335,Increase to Market-$17
M,57,463,1859,Increase to Market-$17
O,61,515,2826,Increase to Market-$17
M,57,463,1555,Increase to Market-$17
O,61,551,5008,Increase to Market-$17
M,57,461,1853,Increase to Market-$17
O,61,515,8958,Increase to Market-$17
M,57,463,2181,Increase to Market-$17
M,57,463,1805,Increase to Market-$17
O,61,515,3026,Increase to Market-$17
M,57,463,5096,Increase to Market-$17
M,57,463,1832,Increase to Market-$17
M,57,461,5425,Increase to Market-$17
M,57,463,1915,Increase to Market-$17
M,57,447,2556,Increase to Market-$17
M,57,447,1989,Increase to Market-$17
M,57,447,2099,Increase to Market-$17
O,61,481,5658,Increase to Market-$17
O,61,481,5659,Increase to Market-$17
M,57,447,2507,Increase to Market-$17
M,56,511,2989,Increase to Market-$18
M,56,511,5426,Increase to Market-$18
M,56,451,2002,Increase to Market-$18
M,56,451,4488,Increase to Market-$18
M,56,451,2119,Increase to Market-$18
M,56,451,5766,Increase to Market-$18
M,56,451,2458,Increase to Market-$18
M,56,451,5751,Increase to Market-$18
O,61,512,2486,Increase to Market-$18
O,61,512,3023,Increase to Market-$18
O,61,512,4174,Increase to Market-$18
M,56,451,5435,Increase to Market-$18
M,56,451,5884,Increase to Market-$18
M,56,511,2648,Increase to Market-$18
M,56,511,5434,Increase to Market-$18
M,56,511,2031,Increase to Market-$18
M,54,389,1019,Increase to Market-$15
O,61,490,3082,Increase to Market-$15
O,61,490,3083,Increase to Market-$15
O,61,490,3175,Increase to Market-$15
O,61,490,3176,Increase to Market-$15
M,54,391,1200,Increase to Market-$15
M,54,391,1434,Increase to Market-$15
M,54,391,1896,Increase to Market-$15
M,54,391,3582,Increase to Market-$15
M,54,391,5123,Increase to Market-$15
M,54,391,4335,Increase to Market-$15
M,54,389,1273,Increase to Market-$15
M,54,389,3018,Increase to Market-$15
M,54,389,1384,Increase to Market-$15
O,61,490,5828,Increase to Market-$15
M,54,389,842,Increase to Market-$15
M,54,389,1001,Increase to Market-$15
M,54,389,3382,Increase to Market-$15
M,54,389,962,Increase to Market-$15
F,16,180,1866,Increase to Market-$16
F,16,180,3269,Increase to Market-$16
F,16,180,2183,Increase to Market-$16
F,16,180,2634,Increase to Market-$16
F,16,154,5278,Increase to Market-$16
F,16,154,2683,Increase to Market-$16
F,16,154,1984,Increase to Market-$16
F,16,154,2901,Increase to Market-$16
F,16,154,2228,Increase to Market-$16
F,16,154,1967,Increase to Market-$16
F,16,154,2386,Increase to Market-$16
F,16,154,2174,Increase to Market-$16
F,16,181,1975,Increase to Market-$16
F,16,181,2639,Increase to Market-$16
F,16,181,2758,Increase to Market-$16
F,16,181,2369,Increase to Market-$16
F,16,181,4389,Increase to Market-$16
F,16,154,2289,Increase to Market-$16
F,16,181,4156,Increase to Market-$16
F,16,181,2530,Increase to Market-$16
F,16,181,2332,Increase to Market-$16
F,16,183,2055,Increase to Market-$16
F,16,184,1753,Increase to Market-$16
F,16,157,3535,Increase to Market-$16
F,16,184,1907,Increase to Market-$16
F,16,183,1698,Increase to Market-$16
F,16,184,1785,Increase to Market-$16
F,16,184,2399,Increase to Market-$16
F,16,183,2398,Increase to Market-$16
F,16,184,1930,Increase to Market-$16
F,16,183,2130,Increase to Market-$16
F,16,184,2057,Increase to Market-$16
F,16,183,2330,Increase to Market-$16
F,16,184,2142,Increase to Market-$16
F,16,183,1749,Increase to Market-$16
F,16,159,2227,Increase to Market-$16
F,16,159,2122,Increase to Market-$16
F,16,156,1918,Increase to Market-$16
F,16,159,2904,Increase to Market-$16
F,16,160,1906,Increase to Market-$16
F,16,160,3560,Increase to Market-$16
F,16,156,2155,Increase to Market-$16
F,16,159,2128,Increase to Market-$16
F,16,159,1970,Increase to Market-$16
F,16,156,3409,Increase to Market-$16
F,16,156,2964,Increase to Market-$16
F,16,156,2118,Increase to Market-$16
F,16,160,2366,Increase to Market-$16
F,16,160,2157,Increase to Market-$16
F,16,156,2012,Increase to Market-$16
F,16,156,2158,Increase to Market-$16
F,16,156,2329,Increase to Market-$16
F,16,159,2336,Increase to Market-$16
F,16,159,2341,Increase to Market-$16
F,16,160,2021,Increase to Market-$16
F,16,160,5448,Increase to Market-$16
F,16,160,2184,Increase to Market-$16
F,16,154,2797,Increase to Market-$16
F,16,160,2953,Increase to Market-$16
F,16,160,3561,Increase to Market-$16
F,16,159,2103,Increase to Market-$16
F,16,160,2095,Increase to Market-$16
F,16,156,2267,Increase to Market-$16
F,16,159,3200,Increase to Market-$16
F,16,156,2629,Increase to Market-$16
F,16,156,4387,Increase to Market-$16
B,46,375,869,Increase to Market-$15
B,46,375,966,Increase to Market-$15
M,60,470,2473,Increase to Market-$16
M,60,470,3149,Increase to Market-$16
M,60,470,3478,Increase to Market-$16
M,60,470,3290,Increase to Market-$16
M,60,470,3883,Increase to Market-$16
M,60,470,2126,Increase to Market-$16
M,60,470,5274,Increase to Market-$16
M,60,470,2314,Increase to Market-$16
E,53,425,3534,Increase to Market-$15
E,53,425,1971,Increase to Market-$15
M,52,424,1999,Increase to Market-$15
M,52,423,2448,Increase to Market-$15
M,52,423,1472,Increase to Market-$15
M,52,424,3102,Increase to Market-$15
M,52,424,1633,Increase to Market-$15
M,52,424,3088,Increase to Market-$15
M,52,422,2643,Increase to Market-$15
B,46,367,1149,Increase to Market-$15
M,56,468,1880,Increase to Market-$15
M,56,468,2320,Increase to Market-$15
M,56,468,5424,Increase to Market-$15
M,60,478,2538,Increase to Market-$15
M,60,478,3258,Increase to Market-$15
M,56,468,1834,Increase to Market-$15
M,56,468,5839,Increase to Market-$15
M,56,468,2477,Increase to Market-$15
M,60,478,3239,Increase to Market-$15
M,60,478,5396,Increase to Market-$16
O,61,550,3050,Increase to Market-$16
O,61,550,5993,Increase to Market-$16
M,60,477,4221,Increase to Market-$16
M,60,478,2315,Increase to Market-$16
O,61,550,2590,Increase to Market-$16
M,60,476,1876,Increase to Market-$16
M,60,478,1775,Increase to Market-$16
M,60,477,1843,Increase to Market-$16
O,61,550,3144,Increase to Market-$16
M,60,478,1925,Increase to Market-$16
M,60,477,1784,Increase to Market-$16
M,60,477,1920,Increase to Market-$16
M,60,477,5368,Increase to Market-$16
M,60,477,4176,Increase to Market-$16
M,60,477,5935,Increase to Market-$16
M,60,467,5861,Increase to Market-$16
O,61,550,5994,Increase to Market-$16
M,60,477,1793,Increase to Market-$16
M,56,392,2106,Increase to Market-$15
M,56,392,2189,Increase to Market-$15
M,56,392,3254,Increase to Market-$15
M,56,392,3277,Increase to Market-$15
M,56,392,4239,Increase to Market-$15
M,56,392,3729,Increase to Market-$15
E,25,264,5442,Increase to Market-$16
E,25,264,4405,Increase to Market-$16
E,25,264,5352,Increase to Market-$16
E,25,264,1553,Increase to Market-$16
E,25,265,1596,Increase to Market-$16
E,25,265,1779,Increase to Market-$16
E,25,266,5486,Increase to Market-$16
E,25,265,2215,Increase to Market-$16
E,25,264,786,Increase to Market-$16
E,25,264,1814,Increase to Market-$16
E,25,268,1897,Increase to Market-$16
E,25,264,1848,Increase to Market-$16
E,25,268,1892,Increase to Market-$16
E,25,266,1256,Increase to Market-$16
E,25,265,3790,Increase to Market-$16
E,25,265,4286,Increase to Market-$16
E,25,265,1401,Increase to Market-$16
E,25,266,4529,Increase to Market-$16
E,25,266,4049,Increase to Market-$16
E,25,266,1556,Increase to Market-$16
E,25,265,3400,Increase to Market-$16
E,25,266,1497,Increase to Market-$16
E,25,265,4531,Increase to Market-$16
E,25,264,1898,Increase to Market-$16
E,25,262,2956,Increase to Market-$16
E,25,264,1420,Increase to Market-$16
E,25,268,1737,Increase to Market-$16
F,16,157,2903,Increase to Market-$16
F,16,157,2180,Increase to Market-$16
F,16,157,2139,Increase to Market-$16
F,16,184,3491,Increase to Market-$16
F,16,157,2660,Increase to Market-$16
F,16,157,2640,Increase to Market-$16
F,16,157,3114,Increase to Market-$16
F,16,157,2222,Increase to Market-$16
E,25,269,5199,Increase to Market-$16
E,25,269,1668,Increase to Market-$16
E,25,269,1404,Increase to Market-$16
E,19,238,2817,Increase to Market-$16
E,25,268,1681,Increase to Market-$16
E,25,267,2816,Increase to Market-$16
E,25,267,3725,Increase to Market-$16
E,25,269,5276,Increase to Market-$16
E,25,268,2815,Increase to Market-$16
E,25,269,1228,Increase to Market-$16
E,25,267,1998,Increase to Market-$16
E,25,269,1489,Increase to Market-$16
E,25,269,3891,Increase to Market-$16
E,25,269,1735,Increase to Market-$16
E,25,269,3893,Increase to Market-$16
A,42,323,1,FSR Investment - $14
A,42,322,2,FSR Investment - $14
A,2,21,3,FSR Investment - $14
A,42,323,4,FSR Investment - $14
A,42,326,5,FSR Investment - $14
A,42,326,7,FSR Investment - $14
A,42,326,8,FSR Investment - $14
E,40,335,9,FSR Investment - $14
B,44,347,10,FSR Investment - $14
A,42,328,11,FSR Investment - $14
B,44,347,12,FSR Investment - $14
A,42,334,13,FSR Investment - $14
E,40,357,14,FSR Investment - $14
E,40,333,15,FSR Investment - $14
A,42,321,16,FSR Investment - $14
A,42,334,17,FSR Investment - $14
A,42,328,18,FSR Investment - $14
E,40,335,19,FSR Investment - $14
E,40,357,20,FSR Investment - $14
E,40,336,21,FSR Investment - $14
B,44,347,22,FSR Investment - $14
A,42,135,23,FSR Investment - $14
A,42,326,24,FSR Investment - $14
E,40,359,25,FSR Investment - $14
E,40,357,27,FSR Investment - $14
B,44,347,28,FSR Investment - $14
E,40,359,29,FSR Investment - $14
E,40,335,30,FSR Investment - $14
B,44,351,31,FSR Investment - $14
A,42,325,33,FSR Investment - $14
A,42,334,34,FSR Investment - $14
M,47,407,35,FSR Investment - $14
A,12,329,36,FSR Investment - $14
E,40,335,37,FSR Investment - $14
B,44,410,39,FSR Investment - $14
E,40,359,40,FSR Investment - $14
B,44,345,41,FSR Investment - $14
B,44,410,42,FSR Investment - $14
M,47,407,43,FSR Investment - $14
E,40,336,44,FSR Investment - $14
A,12,329,45,FSR Investment - $14
E,40,357,46,FSR Investment - $14
B,44,351,47,FSR Investment - $14
A,42,334,48,FSR Investment - $14
B,44,47,49,FSR Investment - $14
B,44,347,50,FSR Investment - $14
E,40,339,51,FSR Investment - $14
A,42,325,52,FSR Investment - $14
A,42,322,54,FSR Investment - $14
A,42,321,55,FSR Investment - $14
E,40,333,56,FSR Investment - $14
A,42,328,57,FSR Investment - $14
A,42,325,58,FSR Investment - $14
A,42,334,59,FSR Investment - $14
E,40,361,61,FSR Investment - $14
A,12,329,62,FSR Investment - $14
B,44,347,63,FSR Investment - $14
E,41,146,64,FSR Investment - $14
E,40,336,65,FSR Investment - $14
A,42,321,66,FSR Investment - $14
A,42,321,67,FSR Investment - $14
A,12,329,68,FSR Investment - $14
E,40,335,69,FSR Investment - $14
A,42,328,71,FSR Investment - $14
B,44,410,72,FSR Investment - $14
B,44,356,73,FSR Investment - $14
A,12,329,74,FSR Investment - $14
B,13,134,75,FSR Investment - $14
A,42,322,76,FSR Investment - $14
B,5,83,77,FSR Investment - $14
E,40,357,78,FSR Investment - $14
A,42,334,79,FSR Investment - $14
E,40,359,80,FSR Investment - $14
B,44,347,81,FSR Investment - $14
E,40,335,82,FSR Investment - $14
A,42,327,83,FSR Investment - $14
A,42,324,85,FSR Investment - $14
E,40,357,86,FSR Investment - $14
A,42,127,87,FSR Investment - $14
E,40,357,88,FSR Investment - $14
E,40,336,89,FSR Investment - $14
B,44,347,90,FSR Investment - $14
A,12,329,91,FSR Investment - $14
A,42,334,92,FSR Investment - $14
A,12,145,93,FSR Investment - $14
E,40,335,95,FSR Investment - $14
E,41,146,97,FSR Investment - $14
A,42,135,98,FSR Investment - $14
E,40,336,99,FSR Investment - $14
A,42,323,100,FSR Investment - $14
E,40,336,101,FSR Investment - $14
A,42,327,102,FSR Investment - $14
B,44,351,103,FSR Investment - $14
E,41,146,104,FSR Investment - $14
A,12,4,105,FSR Investment - $14
E,41,146,106,FSR Investment - $14
E,41,146,107,FSR Investment - $14
B,44,344,108,FSR Investment - $14
E,40,360,109,FSR Investment - $14
A,9,89,110,FSR Investment - $14
B,44,410,111,FSR Investment - $14
A,14,138,112,FSR Investment - $14
B,44,349,113,FSR Investment - $14
A,12,4,114,FSR Investment - $14
A,14,138,115,FSR Investment - $14
A,42,127,116,FSR Investment - $14
A,12,4,118,FSR Investment - $14
A,42,328,119,FSR Investment - $14
E,41,146,120,FSR Investment - $14
B,44,351,121,FSR Investment - $14
E,40,335,122,FSR Investment - $14
B,44,351,123,FSR Investment - $14
A,42,324,124,FSR Investment - $14
A,42,321,125,FSR Investment - $14
A,42,324,126,FSR Investment - $14
A,42,325,127,FSR Investment - $14
A,12,329,128,FSR Investment - $14
B,44,350,129,FSR Investment - $14
B,44,347,130,FSR Investment - $14
B,44,47,131,FSR Investment - $14
B,44,344,132,FSR Investment - $14
A,42,325,133,FSR Investment - $14
B,44,344,134,FSR Investment - $14
E,40,360,135,FSR Investment - $14
B,44,345,136,FSR Investment - $14
B,44,352,137,FSR Investment - $14
E,40,357,138,FSR Investment - $14
B,44,353,139,FSR Investment - $14
B,6,503,140,FSR Investment - $14
A,42,321,141,FSR Investment - $14
E,41,253,143,FSR Investment - $14
A,42,322,144,FSR Investment - $14
B,5,46,146,FSR Investment - $14
B,44,350,147,FSR Investment - $14
B,44,47,148,FSR Investment - $14
A,42,135,149,FSR Investment - $14
B,44,344,150,FSR Investment - $14
B,44,351,151,FSR Investment - $14
E,40,335,152,FSR Investment - $14
A,12,4,153,FSR Investment - $14
A,12,136,155,FSR Investment - $14
A,42,328,157,FSR Investment - $14
B,44,350,158,FSR Investment - $14
E,40,359,159,FSR Investment - $14
A,42,328,160,FSR Investment - $14
A,12,147,161,FSR Investment - $14
B,44,349,162,FSR Investment - $14
B,6,503,163,FSR Investment - $14
A,12,4,164,FSR Investment - $14
B,5,46,165,FSR Investment - $14
E,40,357,166,FSR Investment - $14
A,42,327,167,FSR Investment - $14
B,44,345,168,FSR Investment - $14
A,42,326,169,FSR Investment - $14
B,13,134,170,FSR Investment - $14
A,42,327,171,FSR Investment - $14
E,40,336,172,FSR Investment - $14
E,40,357,173,FSR Investment - $14
A,9,92,174,FSR Investment - $14
A,12,4,176,FSR Investment - $14
E,41,146,177,FSR Investment - $14
B,44,344,178,FSR Investment - $14
E,40,357,179,FSR Investment - $14
B,5,46,180,FSR Investment - $14
B,44,47,181,FSR Investment - $14
A,12,136,182,FSR Investment - $14
A,14,138,183,FSR Investment - $14
B,44,350,185,FSR Investment - $14
B,44,409,186,FSR Investment - $14
E,40,335,188,FSR Investment - $14
E,40,359,189,FSR Investment - $14
A,12,329,190,FSR Investment - $14
A,12,147,192,FSR Investment - $14
B,6,60,194,FSR Investment - $14
E,25,272,198,FSR Investment - $14
E,25,278,199,FSR Investment - $14
E,25,275,200,FSR Investment - $14
B,5,51,202,FSR Investment - $14
E,40,359,203,FSR Investment - $14
E,41,253,204,FSR Investment - $14
A,14,138,205,FSR Investment - $14
B,5,52,206,FSR Investment - $14
B,44,345,207,FSR Investment - $14
A,42,321,209,FSR Investment - $14
B,44,351,210,FSR Investment - $14
B,5,76,211,FSR Investment - $14
B,44,353,212,FSR Investment - $14
E,25,272,213,FSR Investment - $14
B,6,503,214,FSR Investment - $14
B,5,53,217,FSR Investment - $14
A,12,147,218,FSR Investment - $14
E,40,359,219,FSR Investment - $14
B,5,48,220,FSR Investment - $14
B,44,344,221,FSR Investment - $14
B,44,350,225,FSR Investment - $14
B,44,47,226,FSR Investment - $14
B,44,344,227,FSR Investment - $14
B,5,48,228,FSR Investment - $14
A,12,329,229,FSR Investment - $14
A,42,321,230,FSR Investment - $14
B,44,350,231,FSR Investment - $14
B,44,350,232,FSR Investment - $14
B,6,503,236,FSR Investment - $14
A,12,147,238,FSR Investment - $14
A,14,138,239,FSR Investment - $14
B,44,47,240,FSR Investment - $14
A,42,323,241,FSR Investment - $14
A,42,135,244,FSR Investment - $14
B,5,44,245,FSR Investment - $14
B,44,345,246,FSR Investment - $14
B,44,351,247,FSR Investment - $14
B,5,76,248,FSR Investment - $14
B,6,503,249,FSR Investment - $14
E,40,336,250,FSR Investment - $14
B,5,45,251,FSR Investment - $14
E,25,272,253,FSR Investment - $14
E,41,254,257,FSR Investment - $14
A,12,4,258,FSR Investment - $14
B,5,583,259,FSR Investment - $14
B,5,55,260,FSR Investment - $14
A,42,325,261,FSR Investment - $14
B,5,45,265,FSR Investment - $14
B,5,50,266,FSR Investment - $14
A,42,334,267,FSR Investment - $14
A,12,147,268,FSR Investment - $14
B,44,349,269,FSR Investment - $14
B,44,349,271,FSR Investment - $14
A,12,4,273,FSR Investment - $14
A,12,4,274,FSR Investment - $14
B,6,503,275,FSR Investment - $14
B,44,351,276,FSR Investment - $14
B,44,353,277,FSR Investment - $14
A,42,127,278,FSR Investment - $14
A,42,321,279,FSR Investment - $14
B,5,83,280,FSR Investment - $14
A,42,328,281,FSR Investment - $14
E,41,253,282,FSR Investment - $14
B,13,66,283,FSR Investment - $14
B,5,44,284,FSR Investment - $14
B,6,503,285,FSR Investment - $14
B,5,55,286,FSR Investment - $14
A,14,11,287,FSR Investment - $14
B,6,503,288,FSR Investment - $14
A,42,327,289,FSR Investment - $14
B,6,77,290,FSR Investment - $14
B,6,87,292,FSR Investment - $14
B,6,85,293,FSR Investment - $14
E,41,253,294,FSR Investment - $14
A,42,325,296,FSR Investment - $14
B,6,59,297,FSR Investment - $14
A,12,5,298,FSR Investment - $14
E,41,254,299,FSR Investment - $14
A,14,3,300,FSR Investment - $14
A,14,3,301,FSR Investment - $14
A,12,4,303,FSR Investment - $14
A,14,138,305,FSR Investment - $14
A,12,5,306,FSR Investment - $14
A,42,135,307,FSR Investment - $14
E,41,152,308,FSR Investment - $14
B,13,132,309,FSR Investment - $14
B,13,132,310,FSR Investment - $14
B,13,129,311,FSR Investment - $14
B,13,134,312,FSR Investment - $14
A,12,151,314,FSR Investment - $14
A,14,3,315,FSR Investment - $14
A,14,3,316,FSR Investment - $14
E,25,272,317,FSR Investment - $14
A,42,325,318,FSR Investment - $14
B,5,76,320,FSR Investment - $14
B,6,85,321,FSR Investment - $14
B,6,85,322,FSR Investment - $14
A,42,127,323,FSR Investment - $14
B,44,356,324,FSR Investment - $14
E,40,360,325,FSR Investment - $14
E,40,361,326,FSR Investment - $14
A,14,10,329,FSR Investment - $14
B,6,84,330,FSR Investment - $14
B,13,66,331,FSR Investment - $14
A,12,5,332,FSR Investment - $14
E,41,254,333,FSR Investment - $14
E,25,275,334,FSR Investment - $14
E,41,146,335,FSR Investment - $14
A,42,325,336,FSR Investment - $14
E,40,335,337,FSR Investment - $14
A,42,334,338,FSR Investment - $14
A,42,327,339,FSR Investment - $14
B,44,351,340,FSR Investment - $14
M,47,407,341,FSR Investment - $14
M,47,411,342,FSR Investment - $14
E,25,275,343,FSR Investment - $14
B,6,65,344,FSR Investment - $14
B,5,46,345,FSR Investment - $14
B,44,409,346,FSR Investment - $14
A,12,136,347,FSR Investment - $14
A,42,327,348,FSR Investment - $14
B,6,68,351,FSR Investment - $14
B,5,48,353,FSR Investment - $14
E,40,336,354,FSR Investment - $14
A,14,10,355,FSR Investment - $14
A,14,10,356,FSR Investment - $14
E,40,336,357,FSR Investment - $14
A,42,321,358,FSR Investment - $14
A,42,322,359,FSR Investment - $14
B,44,352,360,FSR Investment - $14
A,14,11,362,FSR Investment - $14
E,40,361,363,FSR Investment - $14
B,6,503,364,FSR Investment - $14
B,13,140,365,FSR Investment - $14
A,2,121,366,FSR Investment - $14
B,44,410,368,FSR Investment - $14
M,47,406,369,FSR Investment - $14
M,47,406,370,FSR Investment - $14
B,5,48,371,FSR Investment - $14
M,47,406,372,FSR Investment - $14
A,42,322,373,FSR Investment - $14
B,44,347,374,FSR Investment - $14
A,12,5,375,FSR Investment - $14
A,42,127,376,FSR Investment - $14
O,59,497,377,FSR Investment - $14
E,40,333,379,FSR Investment - $14
B,5,81,381,FSR Investment - $14
B,13,66,383,FSR Investment - $14
B,13,66,384,FSR Investment - $14
B,6,84,385,FSR Investment - $14
B,13,132,386,FSR Investment - $14
B,44,352,387,FSR Investment - $14
A,42,321,388,FSR Investment - $14
B,44,352,389,FSR Investment - $14
A,12,149,390,FSR Investment - $14
A,12,4,391,FSR Investment - $14
B,44,344,392,FSR Investment - $14
A,12,147,393,FSR Investment - $14
A,12,137,394,FSR Investment - $14
B,6,80,395,FSR Investment - $14
A,2,39,396,FSR Investment - $14
B,6,80,397,FSR Investment - $14
B,5,46,398,FSR Investment - $14
B,5,46,399,FSR Investment - $14
B,6,68,400,FSR Investment - $14
B,13,131,401,FSR Investment - $14
B,13,132,402,FSR Investment - $14
A,12,137,403,FSR Investment - $14
B,6,87,404,FSR Investment - $14
B,13,134,405,FSR Investment - $14
B,5,81,407,FSR Investment - $14
B,13,66,408,FSR Investment - $14
A,12,137,409,FSR Investment - $14
E,41,146,410,FSR Investment - $14
A,14,138,411,FSR Investment - $14
B,5,45,412,FSR Investment - $14
B,6,569,413,FSR Investment - $14
B,44,349,414,FSR Investment - $14
B,13,132,415,FSR Investment - $14
B,44,47,417,FSR Investment - $14
M,47,407,418,FSR Investment - $14
M,47,406,419,FSR Investment - $14
B,44,349,420,FSR Investment - $14
B,5,479,421,FSR Investment - $14
A,14,13,423,FSR Investment - $14
A,14,8,424,FSR Investment - $14
A,14,11,425,FSR Investment - $14
B,5,53,426,FSR Investment - $14
B,44,47,427,FSR Investment - $14
B,13,130,428,FSR Investment - $14
B,6,80,429,FSR Investment - $14
E,41,253,430,FSR Investment - $14
E,41,253,431,FSR Investment - $14
A,14,10,432,FSR Investment - $14
A,12,5,433,FSR Investment - $14
A,12,5,434,FSR Investment - $14
E,25,272,435,FSR Investment - $14
E,25,272,436,FSR Investment - $14
B,6,84,437,FSR Investment - $14
B,5,74,438,FSR Investment - $14
B,6,78,440,FSR Investment - $14
B,6,78,442,FSR Investment - $14
B,46,88,443,FSR Investment - $14
E,40,333,444,FSR Investment - $14
E,41,256,445,FSR Investment - $14
B,6,85,446,FSR Investment - $14
B,46,88,447,FSR Investment - $14
A,42,127,448,FSR Investment - $14
B,13,66,449,FSR Investment - $14
A,42,127,450,FSR Investment - $14
E,40,359,451,FSR Investment - $14
B,6,80,452,FSR Investment - $14
A,12,329,453,FSR Investment - $14
B,6,569,456,FSR Investment - $14
B,13,66,457,FSR Investment - $14
B,6,78,458,FSR Investment - $14
A,2,25,459,FSR Investment - $14
B,46,88,461,FSR Investment - $14
B,6,61,462,FSR Investment - $14
B,6,78,464,FSR Investment - $14
B,6,77,465,FSR Investment - $14
A,12,147,466,FSR Investment - $14
B,5,52,467,FSR Investment - $14
B,44,47,468,FSR Investment - $14
B,13,66,469,FSR Investment - $14
B,6,78,470,FSR Investment - $14
B,5,49,471,FSR Investment - $14
B,44,356,472,FSR Investment - $14
B,6,85,473,FSR Investment - $14
B,5,83,475,FSR Investment - $14
B,5,81,476,FSR Investment - $14
A,2,119,477,FSR Investment - $14
B,44,349,479,FSR Investment - $14
E,25,275,480,FSR Investment - $14
B,6,61,482,FSR Investment - $14
A,14,8,483,FSR Investment - $14
B,13,129,485,FSR Investment - $14
A,3,97,488,FSR Investment - $14
B,13,128,489,FSR Investment - $14
B,6,78,490,FSR Investment - $14
E,41,253,491,FSR Investment - $14
A,14,138,495,FSR Investment - $14
B,13,134,498,FSR Investment - $14
B,44,344,499,FSR Investment - $14
B,46,505,500,FSR Investment - $14
B,13,141,501,FSR Investment - $14
B,13,129,502,FSR Investment - $14
B,6,84,503,FSR Investment - $14
B,6,61,504,FSR Investment - $14
B,13,134,505,FSR Investment - $14
B,6,506,508,FSR Investment - $14
A,2,21,510,FSR Investment - $14
F,4,38,511,FSR Investment - $14
B,46,505,512,FSR Investment - $14
A,2,39,514,FSR Investment - $14
B,5,45,516,FSR Investment - $14
B,44,353,517,FSR Investment - $14
A,2,26,518,FSR Investment - $14
A,2,25,520,FSR Investment - $14
B,13,66,521,FSR Investment - $14
B,6,60,522,FSR Investment - $14
B,5,46,523,FSR Investment - $14
B,6,61,527,FSR Investment - $14
B,6,61,529,FSR Investment - $14
A,42,327,530,FSR Investment - $14
B,13,132,531,FSR Investment - $14
B,13,130,532,FSR Investment - $14
B,13,132,533,FSR Investment - $14
B,5,74,535,FSR Investment - $14
B,5,74,536,FSR Investment - $14
A,3,93,538,FSR Investment - $14
B,13,134,539,FSR Investment - $14
B,13,129,540,FSR Investment - $14
B,13,128,541,FSR Investment - $14
B,13,129,542,FSR Investment - $14
B,13,132,543,FSR Investment - $14
B,44,353,544,FSR Investment - $14
E,41,258,545,FSR Investment - $14
B,6,62,546,FSR Investment - $14
A,9,114,547,FSR Investment - $14
A,2,25,548,FSR Investment - $14
A,3,93,551,FSR Investment - $14
E,41,258,552,FSR Investment - $14
B,13,125,553,FSR Investment - $14
B,46,88,554,FSR Investment - $14
A,3,32,555,FSR Investment - $14
A,3,28,556,FSR Investment - $14
M,47,407,557,FSR Investment - $14
E,40,360,560,FSR Investment - $14
B,5,76,561,FSR Investment - $14
A,14,2,562,FSR Investment - $14
B,44,344,564,FSR Investment - $14
B,5,55,565,FSR Investment - $14
B,6,85,567,FSR Investment - $14
E,41,152,568,FSR Investment - $14
E,41,257,569,FSR Investment - $14
B,5,46,572,FSR Investment - $14
F,4,37,574,FSR Investment - $14
A,2,24,575,FSR Investment - $14
B,44,345,576,FSR Investment - $14
A,2,123,578,FSR Investment - $14
A,3,94,579,FSR Investment - $14
A,9,116,580,FSR Investment - $14
M,52,414,581,FSR Investment - $14
A,2,121,583,FSR Investment - $14
F,4,37,586,FSR Investment - $14
E,41,152,587,FSR Investment - $14
A,3,27,588,FSR Investment - $14
B,5,48,590,FSR Investment - $14
M,47,406,592,FSR Investment - $14
A,3,28,593,FSR Investment - $14
A,2,22,594,FSR Investment - $14
B,6,569,595,FSR Investment - $14
M,47,429,598,FSR Investment - $14
F,4,124,599,FSR Investment - $14
B,5,74,601,FSR Investment - $14
B,6,68,602,FSR Investment - $14
