StoreNumber,Item #,Item Description,Hot PLU, New Retails  ,
3331,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3331,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3332,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3332,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3332,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3332,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3332,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3332,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3332,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3332,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3332,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3332,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3334,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3334,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3334,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3334,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3334,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3334,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3334,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3334,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3334,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3334,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3336,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3336,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3336,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3336,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3336,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3336,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3336,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3336,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3336,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3336,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3337,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3337,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3337,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3337,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3337,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3337,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3337,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3337,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3337,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3337,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3339,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3339,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3339,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3339,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3339,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3339,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3339,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
