Store,,JUL,73,YTD,74,JUL,75,YTD,76,JUL,77,YTD,78,JUL,79,YTD,80,L12 Mths,81,L12 Mths,82,JUL,83,YTD,84,JUL,85,YTD,86,JUL,87,YTD,88,JUL,89,YTD,90,JUL,91,YTD,92
2113,,10.72%,,0.47%,,-6.66%,,-19.41%,R,-11.76%,,-19.43%,R,-16.04%,,-33.98%,R,4.43,,4.43,,50.81%,,43.33%,,0.67%,,0.37%,,57.93%,,26.02%,,0:59:51,R,1:08:55,R,1657/2578,,2496/2578,R
2766,,2.95%,,1.33%,,-1.71%,,3.06%,,-2.44%,,6.01%,,-1.62%,,-18.43%,,4.78,G,4.78,G,74.59%,G,66.19%,G,0.44%,,0.64%,,28.71%,,35.61%,,0:54:33,,0:49:58,,1532/2578,,1530/2578,
5124,,15.75%,G,10.99%,G,6.93%,,16.93%,G,-5.05%,,4.50%,,2.29%,,-1.47%,,4.71,,4.71,,63.18%,G,59.55%,G,0.00%,R,0.25%,R,33.33%,,29.01%,,0:51:08,,0:51:52,,715/2578,,621/2578,
5190,,-1.00%,R,-1.10%,,-2.90%,,-0.99%,,-2.63%,,-0.68%,,-20.99%,,-21.70%,R,4.46,,4.46,,73.44%,G,73.19%,G,1.18%,,1.70%,,65.63%,,75.49%,G,0:51:43,,1:02:57,R,1744/2578,,1839/2578,
5329,,3.51%,,1.34%,,-10.50%,,2.93%,,-19.77%,R,-2.33%,,-27.66%,R,-20.39%,,4.81,G,4.81,G,79.41%,G,63.73%,G,1.60%,,0.25%,R,92.16%,G,87.96%,G,1:18:41,R,0:45:56,,2018/2578,,1544/2578,
Total,B,6.29%,,2.43%,,-2.25%,,-0.12%,,-7.85%,,-3.10%,R,-11.67%,,-20.91%,R,4.64,G,4.64,G,64.61%,G,59.20%,G,0.68%,,0.66%,R,50.03%,,43.44%,,0:56:34,R,0:56:48,R,257/394,,315/394,
2482,,7.78%,,5.42%,,4.00%,,10.23%,,12.27%,,19.88%,,-15.69%,,-14.30%,,4.45,,4.45,,41.28%,,40.11%,,3.02%,G,2.28%,,61.24%,,61.33%,,0:58:35,R,0:50:04,,1151/2578,,921/2578,
3771,,14.39%,,6.07%,,-11.53%,,4.36%,,-18.03%,R,-1.86%,,-7.29%,,-12.69%,,4.40,,4.40,,22.47%,R,30.58%,R,1.00%,,0.68%,,18.20%,R,17.10%,R,1:28:21,R,1:16:32,R,1904/2578,,1656/2578,
3799,,7.72%,,5.01%,,-9.87%,,0.48%,,-4.96%,,10.29%,,-32.30%,R,-23.76%,R,4.59,,4.59,,48.25%,,41.91%,,0.23%,,0.23%,R,66.31%,,66.36%,,0:37:14,,0:36:27,,1754/2578,,1395/2578,
Total,B,10.09%,,5.53%,,-5.53%,,5.00%,,-4.54%,,9.13%,,-18.78%,R,-16.95%,,4.49,,4.49,,36.94%,,37.62%,,1.39%,,1.03%,,48.27%,,48.77%,,0:58:17,R,0:51:54,R,295/394,,213/394,
1381,,17.54%,G,14.46%,G,33.59%,G,54.21%,G,33.24%,G,61.42%,G,47.16%,G,25.13%,G,4.15,R,4.15,R,54.01%,,51.79%,,2.54%,G,4.25%,G,46.88%,,50.98%,,0:50:00,,0:43:11,,123/2578,G,79/2578,G
2112,,11.74%,,10.46%,G,14.92%,G,40.98%,G,-0.39%,,31.51%,G,-9.89%,,5.63%,G,4.13,R,4.13,R,51.37%,,48.26%,,1.17%,,1.80%,,24.31%,,23.10%,,0:33:31,,0:37:56,,635/2578,,212/2578,G
2767,,2.32%,,1.83%,,20.06%,G,2.49%,,33.33%,G,2.56%,,-30.99%,R,-33.90%,R,4.55,,4.55,,44.31%,,49.40%,,0.50%,,2.00%,,47.90%,,42.16%,,0:31:55,,0:33:19,,892/2578,,1461/2578,
2768,,13.39%,,7.59%,,31.54%,G,16.30%,G,35.42%,G,15.11%,,-6.75%,,-6.81%,,4.67,,4.67,,65.61%,G,46.47%,,2.21%,,2.19%,,24.89%,,32.66%,,1:06:09,R,1:02:25,R,329/2578,G,689/2578,
3833,,-6.33%,R,-3.90%,R,-33.97%,R,-20.78%,R,-27.79%,R,-14.01%,R,-36.20%,R,-32.22%,R,4.76,,4.76,,46.83%,,48.35%,,0.21%,,0.75%,,65.29%,,73.15%,G,1:08:08,R,0:56:27,R,2516/2578,R,2435/2578,R
5428,,14.35%,,5.15%,,28.40%,G,9.54%,,18.59%,G,14.95%,,5.61%,G,-9.00%,,4.00,R,4.00,R,58.43%,G,52.68%,,2.13%,,1.96%,,33.95%,,34.25%,,1:08:37,R,1:00:58,R,346/2578,G,1016/2578,
Total,B,8.05%,,5.28%,,9.95%,G,11.19%,G,10.88%,G,13.83%,,-9.85%,,-12.22%,,4.43,,4.43,,53.77%,G,49.89%,,1.46%,,2.17%,,41.61%,,46.11%,,0:53:11,,0:49:10,,88/394,,113/394,
2671,,11.16%,,7.80%,,-4.97%,,-0.71%,,-11.39%,,-0.49%,,-12.61%,,-9.93%,,5.00,G,5.00,G,40.45%,,42.71%,,3.21%,G,2.19%,,22.76%,,22.97%,,1:13:14,R,1:06:24,R,1572/2578,,1406/2578,
3360,,4.19%,,-1.18%,R,-0.95%,,-8.10%,,4.10%,,6.10%,,-16.11%,,-30.04%,R,4.88,G,4.88,G,61.28%,G,56.08%,G,15.51%,G,4.82%,G,31.10%,,26.71%,,1:17:10,R,0:58:17,R,1476/2578,,2092/2578,R
3751,,8.96%,,8.03%,,-0.13%,,6.08%,,-9.90%,,-0.93%,,-5.00%,,-10.42%,,4.33,,4.33,,56.80%,,54.14%,,0.39%,,0.20%,R,16.89%,R,24.28%,,1:23:07,R,0:55:07,R,1567/2578,,1289/2578,
3861,,14.73%,,12.83%,G,-4.28%,,10.72%,,0.53%,,8.82%,,-16.84%,,3.21%,G,4.90,G,4.90,G,70.55%,G,62.87%,G,0.89%,,0.87%,,107.36%,G,88.76%,G,0:44:57,,0:36:52,,935/2578,,268/2578,G
4451,,14.27%,,17.82%,G,3.14%,,29.81%,G,11.11%,,25.22%,G,-8.38%,,22.33%,G,4.48,,4.48,,58.48%,G,56.98%,G,0.00%,R,0.52%,,23.88%,,33.08%,,0:51:30,,0:37:37,,922/2578,,135/2578,G
5186,,16.37%,G,13.12%,G,11.47%,,24.67%,G,8.90%,,25.64%,G,19.84%,G,13.21%,G,4.80,G,4.80,G,58.44%,G,57.77%,G,0.65%,,1.34%,,66.88%,,69.12%,,0:51:46,,0:37:03,,296/2578,G,72/2578,G
Total,B,11.45%,,9.83%,G,0.59%,,11.13%,G,0.47%,,10.77%,,-8.32%,,-3.33%,G,4.67,G,4.67,G,56.45%,G,54.00%,G,2.47%,,1.29%,,40.46%,,40.56%,,1:02:44,R,0:46:59,,120/394,,46/394,G
826,,12.56%,,5.35%,,5.63%,,12.68%,,12.37%,,10.88%,,-15.04%,,1.52%,G,<5 Reviews,,<5 Reviews,,28.10%,R,34.03%,R,3.06%,G,2.02%,,29.42%,,21.56%,R,0:55:37,,1:15:39,R,1012/2578,,1010/2578,
869,,-5.28%,R,-2.64%,R,-29.00%,R,-15.59%,R,-27.24%,R,-10.34%,R,-23.53%,,-18.27%,,4.83,G,4.83,G,37.50%,,46.36%,,0.50%,,1.25%,,42.50%,,38.28%,,1:07:41,R,0:54:48,R,2490/2578,R,2311/2578,R
966,,-3.24%,R,-9.19%,R,-12.98%,,-11.99%,R,-0.38%,,-6.12%,R,-15.27%,,-23.59%,R,<5 Reviews,,<5 Reviews,,28.23%,R,40.05%,,0.00%,R,0.20%,R,65.17%,,64.79%,,0:54:24,,0:53:13,R,2253/2578,R,2451/2578,R
2270,,-0.53%,R,-0.79%,,-32.11%,R,22.72%,G,-29.82%,R,42.90%,G,-26.36%,R,-0.52%,G,<5 Reviews,,<5 Reviews,,39.51%,,36.47%,,1.10%,,4.26%,G,61.73%,,49.53%,,0:36:03,,0:33:14,,2327/2578,R,597/2578,
2656,,-9.78%,R,-1.44%,R,-33.07%,R,-1.00%,,-20.40%,R,15.80%,,-38.92%,R,-10.11%,,3.75,R,3.75,R,39.71%,,40.57%,,0.84%,,0.80%,,0.00%,R,7.96%,R,0:31:39,G,0:33:25,,2486/2578,R,1677/2578,
Total,B,-1.07%,R,-1.89%,R,-20.68%,R,-2.36%,,-10.95%,R,5.56%,,-24.79%,R,-11.85%,,4.27,R,4.27,R,34.24%,R,39.92%,,1.30%,,1.60%,,35.79%,,32.86%,,0:50:55,,0:54:03,R,392/394,R,355/394,R
906,,-0.87%,R,4.33%,,1.97%,,26.35%,G,11.46%,,27.82%,G,-18.17%,,7.55%,G,3.83,R,3.83,R,25.99%,R,27.30%,R,0.67%,,0.57%,,64.54%,,66.79%,,0:45:54,,0:45:56,,1640/2578,,652/2578,
1397,,18.75%,G,6.30%,,20.91%,G,12.76%,,18.70%,G,19.62%,,7.01%,G,-14.65%,,4.33,,4.33,,46.90%,,46.64%,,0.22%,,0.80%,,90.69%,G,73.28%,G,0:57:03,,0:46:46,,282/2578,G,819/2578,
1414,,7.39%,,3.71%,,-1.20%,,9.99%,,-5.72%,,9.26%,,-9.26%,,-13.56%,,4.86,G,4.86,G,44.08%,,47.99%,,0.00%,R,0.13%,R,70.20%,,53.17%,,0:47:09,,0:37:40,,1403/2578,,989/2578,
2924,,9.27%,,9.26%,,11.82%,,27.78%,G,17.16%,G,32.40%,G,3.50%,G,2.01%,G,4.00,R,4.00,R,54.97%,,52.90%,,0.30%,,0.56%,,21.58%,R,19.65%,R,0:42:30,,0:35:31,,708/2578,,306/2578,G
3596,,5.67%,,2.85%,,-3.15%,,5.21%,,-1.34%,,10.85%,,-18.30%,,-17.76%,,<5 Reviews,,<5 Reviews,,57.14%,,62.59%,G,1.70%,,2.13%,,64.09%,,54.35%,,0:49:15,,0:40:30,,1522/2578,,1140/2578,
5430,,21.82%,G,17.40%,G,5.23%,,13.52%,,-3.38%,,5.87%,,12.63%,G,0.64%,G,4.20,R,4.20,R,48.43%,,46.32%,,0.54%,,0.64%,,31.84%,,38.97%,,1:08:37,R,0:58:41,R,790/2578,,670/2578,
Total,B,8.91%,,7.26%,,6.40%,G,18.30%,G,8.00%,G,19.89%,G,-6.58%,,-3.11%,G,4.18,R,4.18,R,44.30%,,43.33%,,0.53%,R,0.72%,R,54.53%,,51.46%,,0:50:47,,0:44:39,,117/394,,62/394,G
850,,-5.25%,R,-3.22%,R,-40.38%,R,-21.72%,R,-35.35%,R,-16.31%,R,-32.03%,R,-24.86%,R,3.69,R,3.69,R,42.86%,,44.19%,,0.58%,,0.86%,,40.35%,,61.31%,,1:04:44,R,0:54:00,R,2556/2578,R,2482/2578,R
3731,,6.44%,,8.43%,,-13.49%,,-5.10%,,-24.41%,R,-5.16%,,4.61%,G,-10.96%,,4.00,R,4.00,R,40.93%,,46.89%,,0.21%,,0.16%,R,11.14%,R,12.52%,R,0:49:53,,0:44:25,,2103/2578,R,1755/2578,
3732,,6.82%,,7.17%,,-22.96%,R,-1.74%,,-9.52%,,-2.61%,,-38.84%,R,-17.69%,,4.36,,4.36,,43.00%,,48.87%,,0.56%,,2.31%,,43.00%,,50.58%,,1:06:53,R,0:54:19,R,2306/2578,R,1541/2578,
4201,,10.48%,,5.90%,,5.34%,,14.16%,,23.10%,G,20.85%,,-11.39%,,-1.07%,G,4.43,,4.43,,48.33%,,54.12%,,4.29%,G,4.77%,G,96.90%,G,99.16%,G,0:46:18,,0:48:35,,656/2578,,482/2578,G
Total,B,4.30%,R,4.29%,,-22.68%,R,-7.42%,R,-21.44%,R,-7.00%,R,-20.03%,R,-14.02%,,4.15,R,4.15,R,43.99%,,48.59%,,1.11%,,1.52%,,49.61%,,57.55%,,0:59:38,R,0:51:02,R,388/394,R,337/394,R
611,,17.75%,G,6.56%,,43.63%,G,2.15%,,44.09%,G,1.20%,,39.20%,G,-3.79%,,4.73,,4.73,,43.68%,,42.02%,,1.64%,,1.29%,,81.59%,G,63.75%,,0:45:55,,0:42:04,,55/2578,G,1082/2578,
806,,5.70%,,3.13%,,-4.05%,,6.06%,,-3.36%,,13.39%,,-20.00%,,-18.02%,,4.00,R,4.00,R,53.87%,,53.84%,,0.52%,,0.19%,R,28.35%,,28.33%,,0:46:58,,0:45:00,,1755/2578,,1420/2578,
851,,-4.56%,R,3.68%,,-28.54%,R,16.35%,G,-13.02%,,9.83%,,-49.85%,R,-7.89%,,4.43,,4.43,,64.24%,G,62.22%,G,0.25%,,2.93%,G,43.64%,,40.60%,,0:32:09,,0:28:54,G,2318/2578,R,537/2578,
868,,25.02%,G,22.61%,G,20.20%,G,9.55%,,44.98%,G,29.44%,G,2.92%,,8.54%,G,4.90,G,4.90,G,45.27%,,47.29%,,2.46%,G,1.81%,,26.14%,,29.73%,,0:39:19,,0:38:11,,103/2578,G,245/2578,G
1306,,-0.30%,R,-0.35%,,-9.10%,,2.77%,,0.00%,,2.52%,,-30.79%,R,-25.53%,R,4.91,G,4.91,G,36.73%,,55.70%,G,0.32%,,0.35%,,8.57%,R,11.70%,R,0:36:08,,0:34:27,,2081/2578,R,1652/2578,
1357,,6.49%,,1.10%,,-15.69%,R,0.83%,,8.33%,,6.93%,,-31.04%,R,-15.51%,,4.00,R,4.00,R,62.54%,G,60.03%,G,3.08%,G,5.42%,G,37.80%,,40.85%,,0:44:01,,0:40:04,,1833/2578,,1438/2578,
3427,,8.07%,,4.42%,,0.75%,,0.90%,,2.22%,,4.00%,,-33.86%,R,-15.05%,,4.44,,4.44,,53.01%,,47.50%,,0.00%,R,0.25%,R,33.13%,,16.80%,R,0:26:07,G,0:31:52,,1301/2578,,1432/2578,
4341,,1.45%,R,3.72%,,-5.06%,,3.71%,,20.12%,G,39.39%,G,-22.19%,,-16.89%,,<5 Reviews,,<5 Reviews,,50.78%,,45.78%,,2.03%,,0.76%,,42.58%,,39.91%,,1:01:36,R,0:59:45,R,1747/2578,,1351/2578,
4601,,17.19%,G,14.20%,G,-1.67%,,19.48%,G,-2.97%,,7.10%,,-4.50%,,8.54%,G,4.33,,4.33,,49.83%,,54.19%,,1.20%,,1.61%,,75.42%,G,61.05%,,0:43:02,,0:44:09,,860/2578,,289/2578,G
5155,,10.56%,,3.35%,,-11.30%,,-0.62%,,-13.32%,,7.63%,,-23.18%,,-19.93%,,<5 Reviews,,<5 Reviews,,56.61%,,52.73%,,0.15%,R,0.24%,R,96.26%,G,93.29%,G,0:26:22,G,0:29:12,G,1551/2578,,1339/2578,
5166,,7.74%,,4.27%,,-15.47%,R,-2.19%,,-22.17%,R,0.62%,,-4.92%,,-10.23%,,3.80,R,3.80,R,41.35%,,48.69%,,0.00%,R,0.89%,,4.99%,R,23.52%,,0:35:55,,0:33:01,,2044/2578,,1506/2578,
Total,B,9.13%,,6.51%,,-4.63%,,5.34%,,0.15%,,8.71%,,-16.86%,,-10.77%,,4.51,,4.51,,49.46%,,51.47%,,0.90%,,1.18%,,40.55%,,41.01%,,0:38:39,,0:37:47,,232/394,,118/394,
1438,,15.49%,G,13.68%,G,5.86%,,10.37%,,1.77%,,12.11%,,13.31%,G,6.25%,G,4.50,,4.50,,53.71%,,50.49%,,0.50%,,0.19%,R,54.52%,,50.51%,,0:30:35,G,0:28:39,G,415/2578,G,347/2578,G
1439,,-9.78%,R,-3.31%,R,-34.74%,R,-8.67%,R,-33.29%,R,-6.81%,R,-37.84%,R,-17.35%,,4.45,,4.45,,51.92%,,52.07%,,0.19%,,0.28%,R,44.50%,,52.31%,,0:43:24,,0:36:12,,2488/2578,R,2151/2578,R
1442,,3.57%,,4.95%,,14.82%,G,21.06%,G,7.71%,,17.67%,,-0.86%,,3.84%,G,4.60,,4.60,,44.49%,,40.17%,,0.41%,,1.34%,,58.53%,,52.15%,,0:30:37,G,0:26:43,G,700/2578,,335/2578,G
1573,,5.55%,,1.18%,,-6.30%,,2.07%,,3.01%,,4.62%,,-7.49%,,0.19%,G,4.75,,4.75,,82.37%,G,82.55%,G,2.19%,,14.95%,G,96.24%,G,97.58%,G,0:36:43,,0:27:52,G,1158/2578,,817/2578,
2051,,4.65%,,-0.12%,,14.68%,G,4.27%,,-0.82%,,-5.59%,R,17.22%,G,8.17%,G,4.31,,4.31,,53.51%,,48.72%,,1.24%,,1.00%,,55.04%,,54.08%,,0:53:12,,0:53:24,R,854/2578,,1489/2578,
3220,,4.93%,,5.32%,,-13.26%,,-6.32%,,-24.22%,R,-13.09%,R,-13.81%,,-12.90%,,4.56,,4.56,,60.26%,G,52.32%,,8.47%,G,7.34%,G,120.73%,G,114.88%,G,1:15:34,R,1:06:38,R,1946/2578,,1669/2578,
3847,,3.86%,,9.81%,,1.06%,,-1.22%,,-8.86%,,-6.52%,R,-8.61%,,-8.43%,,4.10,R,4.10,R,56.89%,,52.50%,,0.35%,,0.33%,R,87.43%,G,94.34%,G,0:58:43,R,1:02:59,R,1565/2578,,1404/2578,
4678,,3.55%,,8.26%,,0.17%,,3.68%,,-1.39%,,4.50%,,-4.23%,,-1.71%,,4.29,,4.29,,62.24%,G,59.79%,G,1.06%,,0.59%,,88.44%,G,87.31%,G,0:43:29,,0:41:02,,1263/2578,,868/2578,
5168,,-16.02%,R,-20.25%,R,-49.14%,R,-43.75%,R,-52.40%,R,-43.12%,R,-37.76%,R,-43.55%,R,4.00,R,4.00,R,64.40%,G,56.07%,G,0.34%,,0.20%,R,39.32%,,47.23%,,1:25:58,R,1:05:50,R,2560/2578,R,2565/2578,R
Total,B,2.47%,R,2.47%,,-7.70%,,-1.60%,,-12.77%,R,-3.90%,R,-7.31%,,-6.18%,,4.38,,4.38,,57.39%,G,53.37%,G,1.32%,,2.31%,,70.27%,G,69.82%,G,0:46:34,,0:43:10,,313/394,,256/394,
500,,11.67%,,8.06%,,-8.38%,,2.90%,,-4.24%,,7.12%,,-6.27%,,-11.11%,,4.56,,4.56,,54.52%,,59.68%,G,6.32%,G,1.43%,,79.43%,G,71.84%,G,1:15:46,R,1:12:17,R,1381/2578,,1090/2578,
512,,26.47%,G,17.57%,G,14.23%,G,18.47%,G,7.66%,,17.18%,,4.66%,G,-2.45%,,4.46,,4.46,,59.25%,G,58.89%,G,5.71%,G,5.61%,G,39.90%,,46.78%,,0:31:42,G,0:27:02,G,116/2578,G,93/2578,G
964,,23.57%,G,26.32%,G,-5.46%,,14.24%,,4.05%,,17.83%,,-20.33%,,-4.53%,,5.00,G,5.00,G,48.98%,,49.53%,,1.15%,,1.08%,,19.90%,R,21.19%,R,1:10:38,R,0:59:37,R,1240/2578,,446/2578,G
2201,,37.27%,G,32.00%,G,-2.45%,,15.98%,G,10.30%,,24.36%,G,-8.33%,,-9.22%,,4.25,R,4.25,R,40.11%,,38.59%,,1.27%,,2.83%,G,55.88%,,54.20%,,0:44:32,,0:42:51,,795/2578,,340/2578,G
2612,,17.87%,G,12.55%,G,6.67%,,11.61%,,4.32%,,10.93%,,-18.31%,,-20.13%,,4.68,,4.68,,54.46%,,56.70%,G,6.40%,G,3.56%,G,8.92%,R,8.82%,R,1:12:34,R,1:05:33,R,828/2578,,825/2578,
3136,,13.38%,,9.46%,,-2.77%,,1.32%,,-6.65%,,-1.31%,,-14.08%,,-16.98%,,4.92,G,4.92,G,48.31%,,46.18%,,0.85%,,2.01%,,30.23%,,30.29%,,1:44:29,R,1:38:16,R,1427/2578,,1371/2578,
3763,,16.80%,G,10.93%,G,0.45%,,6.82%,,7.15%,,10.10%,,-19.70%,,-14.65%,,4.75,,4.75,,53.35%,,54.26%,,0.11%,R,0.24%,R,18.77%,R,13.59%,R,0:28:48,G,0:26:32,G,827/2578,,733/2578,
5717,,17.35%,G,15.20%,G,-4.14%,,2.77%,,7.66%,,13.78%,,-14.33%,,-9.64%,,4.93,G,4.93,G,55.63%,,48.96%,,1.42%,,1.69%,,14.95%,R,17.09%,R,1:00:49,R,0:53:48,R,1105/2578,,865/2578,
5947,,13.82%,,7.37%,,-8.31%,,8.54%,,7.49%,,16.93%,,-29.09%,R,-15.53%,,4.62,,4.62,,46.71%,,50.61%,,0.71%,,1.23%,,31.14%,,39.43%,,0:45:52,,0:41:27,,1477/2578,,816/2578,
Total,B,19.66%,G,15.50%,G,-1.14%,,8.68%,,3.58%,,12.09%,,-13.76%,,-11.35%,,4.69,G,4.69,G,52.24%,,52.25%,,2.84%,G,2.23%,,34.12%,,34.37%,,0:58:47,R,0:54:11,R,134/394,,66/394,G
&nbsp;,B,10.41%,G,6.95%,G,-3.65%,,3.50%,,-2.00%,,6.52%,,-12.13%,,-11.72%,,4.45,R,4.45,R,49.70%,,49.01%,G,1.40%,,1.51%,,44.63%,,44.46%,,0:52:03,R,0:48:06,R,21/30,,15/30,
&nbsp;,B,9.93%,,6.62%,G,-3.19%,R,2.82%,,-2.54%,,6.15%,R,-13.68%,R,-13.34%,,4.48,,4.48,,50.15%,G,49.96%,G,2.32%,G,2.23%,G,43.76%,,42.37%,,0:47:04,,0:43:14,,4/5,,3/5,
2631,,25.09%,G,5.52%,,68.25%,G,-2.93%,,80.88%,G,-4.29%,,10.37%,G,-11.26%,,3.83,R,3.83,R,63.26%,G,54.39%,,2.44%,,4.18%,G,83.98%,G,66.98%,,1:03:05,R,0:56:21,R,66/2578,G,1550/2578,
2872,,2.61%,,-1.61%,R,15.61%,G,-30.44%,R,24.55%,G,-10.44%,R,-18.64%,,-40.71%,R,<5 Reviews,,<5 Reviews,,65.83%,G,49.00%,,0.48%,,1.65%,,17.92%,R,16.10%,R,0:33:37,,0:36:15,,894/2578,,2384/2578,R
2912,,25.23%,G,20.16%,G,8.88%,,16.57%,G,54.88%,G,31.29%,G,-12.12%,,-0.64%,G,3.67,R,3.67,R,72.41%,G,67.85%,G,1.18%,,2.34%,,34.77%,,36.01%,,0:35:13,,0:36:10,,286/2578,G,176/2578,G
3336,,12.03%,,10.25%,G,-21.38%,R,-18.14%,R,-18.18%,R,-17.02%,R,-24.67%,R,-15.54%,,4.29,R,4.29,R,39.82%,,39.49%,,1.31%,,0.67%,,26.11%,,23.05%,,1:02:52,R,0:52:03,,2159/2578,R,2072/2578,R
Total,B,16.76%,G,9.37%,G,12.63%,G,-7.56%,R,25.94%,G,0.16%,,-10.84%,,-15.41%,,4.08,R,4.08,R,61.99%,G,55.26%,G,1.22%,,2.14%,,44.81%,,39.38%,,0:45:29,,0:42:59,,26/394,G,280/394,
1791,,1.70%,,-4.36%,R,18.79%,G,5.58%,,6.01%,,7.80%,,-11.78%,,-19.89%,,4.77,G,4.77,G,61.65%,G,51.44%,,0.73%,,1.29%,,96.82%,G,88.46%,G,0:23:46,G,0:23:12,G,580/2578,,1222/2578,
1923,,-10.77%,R,0.39%,,-40.08%,R,2.58%,,-42.33%,R,15.61%,,-28.79%,R,-1.97%,,<5 Reviews,,<5 Reviews,,25.00%,R,30.88%,R,0.00%,R,1.15%,,58.33%,,58.76%,,0:37:40,,0:40:51,,2508/2578,R,1304/2578,
1942,,7.03%,,10.43%,G,-20.57%,R,9.37%,,-6.98%,,15.87%,,-26.08%,R,0.16%,G,4.33,,4.33,,57.45%,G,45.37%,,4.02%,G,4.01%,G,90.18%,G,75.07%,G,0:39:53,,0:37:40,,1843/2578,,424/2578,G
2102,,7.37%,,4.45%,,2.06%,,20.63%,G,4.55%,,30.35%,G,-13.04%,,-4.05%,,4.14,R,4.14,R,42.50%,,47.06%,,4.35%,G,5.68%,G,140.00%,G,118.53%,G,0:33:49,,0:30:55,G,953/2578,,302/2578,G
2238,,-15.92%,R,-7.46%,R,-43.25%,R,-30.32%,R,-57.82%,R,-31.15%,R,-39.64%,R,-36.73%,R,<5 Reviews,,<5 Reviews,,37.81%,,33.73%,R,0.63%,,1.26%,,91.54%,G,72.71%,G,0:53:52,,0:54:28,R,2535/2578,R,2538/2578,R
2567,,3.27%,,16.24%,G,-28.25%,R,70.87%,G,-18.53%,R,113.04%,G,-39.27%,R,32.56%,G,4.20,R,4.20,R,53.89%,,60.12%,G,0.00%,R,0.43%,,51.50%,,38.20%,,0:31:50,,0:30:01,G,2263/2578,R,38/2578,G
3328,,2.36%,,-1.57%,R,-8.34%,,-12.14%,R,-8.33%,,-6.97%,R,-22.44%,,-25.39%,R,<5 Reviews,,<5 Reviews,,39.35%,,35.12%,,0.00%,R,0.39%,,77.78%,G,76.55%,G,0:17:32,G,0:17:09,G,1829/2578,,2152/2578,R
3458,,11.31%,,8.29%,,10.90%,,18.75%,G,21.48%,G,43.18%,G,-6.78%,,-0.82%,G,<5 Reviews,,<5 Reviews,,60.30%,G,53.40%,,1.10%,,2.08%,,106.36%,G,99.12%,G,0:21:05,G,0:18:19,G,257/2578,G,112/2578,G
3876,,4.67%,,0.54%,,34.87%,G,50.05%,G,82.68%,G,75.32%,G,-7.41%,,1.85%,G,<5 Reviews,,<5 Reviews,,32.00%,R,31.38%,R,3.02%,G,4.42%,G,63.00%,,81.26%,G,0:49:21,,0:47:33,,618/2578,,540/2578,
5386,,4.76%,,7.89%,,-8.24%,,28.33%,G,-12.40%,,41.30%,G,-22.57%,,0.38%,G,<5 Reviews,,<5 Reviews,,56.46%,,50.26%,,5.02%,G,3.15%,G,104.80%,G,93.49%,G,0:28:05,G,0:29:12,G,1545/2578,,102/2578,G
Total,B,1.30%,R,2.72%,,-9.65%,R,9.35%,,-9.05%,R,15.92%,G,-21.47%,R,-10.12%,,4.56,,4.56,,47.33%,,43.90%,,1.79%,,2.16%,,91.19%,G,82.60%,G,0:30:37,G,0:29:36,G,323/394,R,72/394,G
1540,,8.12%,,13.11%,G,23.34%,G,85.62%,G,20.57%,G,88.45%,G,-1.30%,,34.27%,G,<5 Reviews,,<5 Reviews,,24.67%,R,30.67%,R,0.00%,R,2.07%,,49.08%,,46.54%,,0:39:41,,0:39:24,,632/2578,,105/2578,G
2010,,-0.03%,R,0.53%,,-28.34%,R,-17.36%,R,-4.67%,,-5.37%,R,-23.67%,,-23.87%,R,4.57,,4.57,,41.81%,,46.24%,,2.94%,G,5.14%,G,75.26%,G,94.93%,G,0:25:06,G,0:23:56,G,2036/2578,,1890/2578,
2061,,14.63%,,2.36%,,1.78%,,-4.49%,,8.94%,,6.15%,,-3.60%,,-23.85%,R,5.00,G,5.00,G,35.83%,,34.67%,,0.00%,R,0.08%,R,106.23%,G,83.42%,G,0:20:00,G,0:21:35,G,494/2578,G,1576/2578,
2062,,11.05%,,7.03%,,48.68%,G,92.95%,G,61.90%,G,232.76%,G,-27.39%,R,24.09%,G,<5 Reviews,,<5 Reviews,,42.98%,,32.19%,R,1.96%,,1.81%,,26.32%,,12.04%,R,0:24:18,G,0:26:02,G,354/2578,G,185/2578,G
2680,,45.31%,G,27.72%,G,2497.97%,G,1880.81%,G,12900.00%,G,12545.45%,G,306.90%,G,226.42%,G,4.00,R,4.00,R,44.49%,,46.48%,,0.00%,R,0.29%,R,37.29%,,38.21%,,0:37:07,,0:33:32,,67/2578,G,65/2578,G
3436,,-13.03%,R,-5.06%,R,-29.97%,R,-7.67%,,-32.20%,R,-6.55%,R,-28.62%,R,-18.10%,,<5 Reviews,,<5 Reviews,,25.00%,R,39.23%,,1.08%,,1.11%,,12.62%,R,14.52%,R,1:06:14,R,1:04:08,R,2563/2578,R,2406/2578,R
5064,,14.19%,,6.56%,,27.88%,G,48.79%,G,21.53%,G,46.58%,G,18.44%,G,8.79%,G,4.80,G,4.80,G,31.74%,R,36.37%,,4.07%,G,3.46%,G,40.12%,,29.02%,,0:25:57,G,0:24:02,G,82/2578,G,144/2578,G
5065,,-26.06%,R,-11.30%,R,-80.99%,R,-55.57%,R,-89.77%,R,-63.32%,R,-81.20%,R,-45.68%,R,<5 Reviews,,<5 Reviews,,27.27%,R,26.65%,R,3.23%,G,6.60%,G,47.73%,,28.44%,,0:43:18,,0:45:58,,2526/2578,R,2550/2578,R
