Store Nbr,Store Name,Store Type Descr,,,,,,,,,,
440,ROCKPORT TX /FULTON,BASE STR Supercenter,,,,,,,,,,
1129,"AUSTIN (NW), TX",BASE STR Supercenter,,,,,,,,,,
2133,"AUSTIN (MID W), TX",BASE STR Supercenter,,,,,,,,,,
2991,"CEDAR PARK, TX",BASE STR Supercenter,,,,,,,,,,
4554,"AUSTIN (NORTHCROSS), TX",BASE STR Supercenter,,,,,,,,,,
280,ROCKDALE TX,BASE STR Supercenter,,,,,,,,,,
321,BRENHAM TX,BASE STR Supercenter,,,,,,,,,,
846,LAGRANGE TX,BASE STR Supercenter,,,,,,,,,,
1150,COLLEGE STATION TX,BASE STR Supercenter,,,,,,,,,,
3391,SCHERTZ TX,BASE STR Supercenter,,,,,,,,,,
755,AMARILLO TX,BASE STR Supercenter,,,,,,,,,,
793,CANYON TX,BASE STR Supercenter,,,,,,,,,,
5216,"AMARILLO, (NW) TX",BASE STR Supercenter,,,,,,,,,,
6898,LUBBOCK QUAKER TX,BASE STR Supercenter,,,,,,,,,,
438,BRECKENRIDGE TX,BASE STR Supercenter,,,,,,,,,,
535,ABILENE TX (S),BASE STR Supercenter,,,,,,,,,,
536,ABILENE TX (N),BASE STR Supercenter,,,,,,,,,,
1257,STAMFORD TX,BASE STR Supercenter,,,,,,,,,,
407,KILLEEN TX,BASE STR Supercenter,,,,,,,,,,
476,GATESVILLE TX,BASE STR Supercenter,,,,,,,,,,
781,MARBLE FALLS TX,BASE STR Supercenter,,,,,,,,,,
813,BROWNWOOD TX,BASE STR Supercenter,,,,,,,,,,
1073,LAMPASSAS TX,BASE STR Supercenter,,,,,,,,,,
1232,BELTON TX,BASE STR Supercenter,,,,,,,,,,
1303,GEORGETOWN TX,BASE STR Supercenter,,,,,,,,,,
3319,"HARKER HEIGHTS, TX",BASE STR Supercenter,,,,,,,,,,
6286,KILLEEN SW TX,BASE STR Supercenter,,,,,,,,,,
508,KERRVILLE TX,BASE STR Supercenter,,,,,,,,,,
1126,BOERNE TX,BASE STR Supercenter,,,,,,,,,,
1154,FREDERICKSBURG TX,BASE STR Supercenter,,,,,,,,,,
3056,BULVERDE TX,BASE STR Supercenter,,,,,,,,,,
345,PALESTINE TX,BASE STR Supercenter,,,,,,,,,,
399,LONGVIEW TX,BASE STR Supercenter,,,,,,,,,,
523,CARTHAGE TX,BASE STR Supercenter,,,,,,,,,,
572,KILGORE TX,BASE STR Supercenter,,,,,,,,,,
918,MARSHALL TX,BASE STR Supercenter,,,,,,,,,,
3828,"LONGVIEW (SE), TX",BASE STR Supercenter,,,,,,,,,,
408,"PORT ARTHUR, TX",BASE STR Supercenter,,,,,,,,,,
351,TOMBALL TX,BASE STR Supercenter,,,,,,,,,,
602,"THE WOODLANDS,TX",BASE STR Supercenter,,,,,,,,,,
3390,WOODLAND (W) TX,BASE STR Supercenter,,,,,,,,,,
3585,WOODLANDS E TX,BASE STR Supercenter,,,,,,,,,,
5287,"SPRING, TX",BASE STR Supercenter,,,,,,,,,,
140,LUFKIN TX,BASE STR Supercenter,,,,,,,,,,
163,NACOGDOCHES TX,BASE STR Supercenter,,,,,,,,,,
236,CROCKETT TX.,BASE STR Supercenter,,,,,,,,,,
249,CLEVELAND TX.,BASE STR Supercenter,,,,,,,,,,
275,LIVINGSTON TX,BASE STR Supercenter,,,,,,,,,,
285,HUNTSVILLE TX,BASE STR Supercenter,,,,,,,,,,
364,CENTER TX,BASE STR Supercenter,,,,,,,,,,
240,COMMERCE TX.,BASE STR Supercenter,,,,,,,,,,
417,SULPHUR SPRINGS TX,BASE STR Supercenter,,,,,,,,,,
427,GREENVILLE TX,BASE STR Supercenter,,,,,,,,,,
414,WICHITA FALLS TX,BASE STR Supercenter,,,,,,,,,,
420,"WICHITA FALLS (N), TX",BASE STR Supercenter,,,,,,,,,,
479,ALTUS OK,BASE STR Supercenter,,,,,,,,,,
1148,WICHITA FALLS TX,BASE STR Supercenter,,,,,,,,,,
3229,"VERNON, TX",BASE STR Supercenter,,,,,,,,,,
185,GAINESVILLE TX,BASE STR Supercenter,,,,,,,,,,
947,SHERMAN TX,BASE STR Supercenter,,,,,,,,,,
7326,OKLAHOMA CITY SW OK,BASE STR Supercenter,,,,,,,,,,
1099,WICHITA KS,BASE STR Supercenter,,,,,,,,,,
1221,WICHITA KS,BASE STR Supercenter,,,,,,,,,,
4321,"WICHITA (N), KS",BASE STR Supercenter,,,,,,,,,,
1411,GREEN VALLEY AZ,BASE STR Supercenter,,,,,,,,,,
2922,"TUCSON (FOOTHILLS), AZ",BASE STR Supercenter,,,,,,,,,,
5031,TUCSON AZ,BASE STR Supercenter,,,,,,,,,,
1240,SIERRA VISTA AZ,BASE STR Supercenter,,,,,,,,,,
1291,TUCSON (E) AZ,BASE STR Supercenter,,,,,,,,,,
3807,"BENSON, AZ",BASE STR Supercenter,,,,,,,,,,
5799,"TUCSON, AZ",BASE STR Supercenter,,,,,,,,,,
5858,"TUCSON (SE), AZ",BASE STR Supercenter,,,,,,,,,,
2777,"SUPRISE,AZ",BASE STR Supercenter,,,,,,,,,,
5429,"SURPRISE, AZ",BASE STR Supercenter,,,,,,,,,,
1532,GLENDALE(PHOENIX) AZ,BASE STR Supercenter,,,,,,,,,,
5768,"TEMPE (SOUTHERN), AZ",BASE STR Supercenter,,,,,,,,,,
6480,CHANDLER (FASHION CENTER),BASE STR Supercenter,,,,,,,,,,
1381,"APACHE JUNCTION, AZ",BASE STR Supercenter,,,,,,,,,,
1646,MESA (SUPERSTITION) AZ,BASE STR Supercenter,,,,,,,,,,
2767,MESA (NORTH) AZ,BASE STR Supercenter,,,,,,,,,,
5428,"MESA (GREENFIELD), AZ",BASE STR Supercenter,,,,,,,,,,
3360,"CHANDLER-AIRPORT, AZ",BASE STR Supercenter,,,,,,,,,,
3751,"QUEEN CREEK, AZ",BASE STR Supercenter,,,,,,,,,,
3833,"MESA (SE), AZ",BASE STR Supercenter,,,,,,,,,,
3861,"GILBERT (POWER), AZ",BASE STR Supercenter,,,,,,,,,,
4451,"QUEEN CREEK (N), AZ",BASE STR Supercenter,,,,,,,,,,
5186,"GILBERT (E), AZ",BASE STR Supercenter,,,,,,,,,,
1397,ALBQUERQUE (NW) NM,BASE STR Supercenter,,,,,,,,,,
3731,"BERNALILLO, NM",BASE STR Supercenter,,,,,,,,,,
3732,"RIO RANCHO (W), NM",BASE STR Supercenter,,,,,,,,,,
1047,MORROW GA,BASE STR Supercenter,,,,,,,,,,
3627,OAKWOOD GA,BASE STR Supercenter,,,,,,,,,,
1373,LILBURN (DULUTH) GA,BASE STR Supercenter,,,,,,,,,,
2584,"TUCKER, GA",BASE STR Supercenter,,,,,,,,,,
3621,CHAMBLEE GA,BASE STR Supercenter,,,,,,,,,,
3388,LAWRENCEVILLE (S) GA,BASE STR Supercenter,,,,,,,,,,
547,"PLANT CITY, FL",BASE STR Supercenter,,,,,,,,,,
814,"OKEECHOBEE, FL",BASE STR Supercenter,,,,,,,,,,
528,"BRADENTON, FL",BASE STR Supercenter,,,,,,,,,,
3370,"PALMETTO, FL",BASE STR Supercenter,,,,,,,,,,
759,WAUCHULA FL,BASE STR Supercenter,,,,,,,,,,
1203,WIMAUMA FL,BASE STR Supercenter,,,,,,,,,,
811,ARCADIA FL,BASE STR Supercenter,,,,,,,,,,
6190,LABELLE FL,BASE STR Supercenter,,,,,,,,,,
5173,DALTON (W) GA,BASE STR Supercenter,,,,,,,,,,
279,DE QUEEN AR,BASE STR Supercenter,,,,,,,,,,
388,FT SMITH AR,BASE STR Supercenter,,,,,,,,,,
4108,SPRINGDALE ELM SPRINGS AR,BASE STR Supercenter,,,,,,,,,,
5260,ROGERS (SOUTH) AR,BASE STR Supercenter,,,,,,,,,,
1942,"HOLLAND, MI",BASE STR Supercenter,,,,,,,,,,
3436,"SOUTH BEND, IN",BASE STR Supercenter,,,,,,,,,,
2817,"LANSING, IL",BASE STR Supercenter,,,,,,,,,,
2818,"HAMMOND, IN",BASE STR Supercenter,,,,,,,,,,
854,FRANKFORT IN,BASE STR Supercenter,,,,,,,,,,
1003,PLANO IL,BASE STR Supercenter,,,,,,,,,,
2956,"JOLIET (N), IL",BASE STR Supercenter,,,,,,,,,,
1553,BLOOMINGDALE IL,BASE STR Supercenter,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
