STORE,market_nbr,Region_nbr,Effective Week,D3 C70 Moving Ftg,D3 C231 Soho Ftg,D12 C72 Moving Ftg,D12 Flooring Ftg
852,262,25,37,0,20,28,0
853,1,14,37,0,12,20,0
854,246,21,37,0,20,8,0
855,20,2,37,0,20,32,0
856,22,2,37,0,20,8,0
857,94,3,37,0,20,12,0
858,97,14,37,0,20,20,0
859,116,9,37,0,12,16,0
860,94,3,37,28,0,0,0
861,71,7,37,0,20,20,0
862,28,3,37,0,20,32,0
863,10,14,37,0,12,16,0
864,28,3,37,0,12,8,0
865,87,7,37,0,20,20,0
866,1,14,37,0,20,24,0
867,429,47,37,0,20,12,0
868,387,46,37,0,0,0,0
869,375,46,37,0,12,16,0
870,580,41,37,0,20,20,0
871,333,40,37,0,8,8,0
872,62,6,37,0,20,16,0
873,375,46,37,16,0,0,0
874,141,13,37,0,20,20,0
875,140,11,37,0,12,16,0
876,127,42,37,0,20,32,0
877,309,26,37,0,20,16,0
878,24,2,37,0,20,20,0
879,152,12,37,0,12,20,0
880,50,5,37,0,20,20,0
881,41,4,37,0,20,8,0
882,425,53,37,0,20,24,0
884,249,41,37,0,20,32,0
885,433,47,37,0,12,20,0
886,426,52,37,0,20,20,0
887,141,13,37,0,20,20,0
888,334,42,37,0,12,12,0
889,27,3,37,0,20,24,0
890,91,9,37,0,20,32,0
891,279,25,37,0,20,16,0
892,414,52,37,0,20,32,0
893,349,44,37,20,0,0,0
894,356,44,37,0,20,16,0
895,336,40,37,8,0,0,0
