Store Number,Ship Date,Item Description,Item Number,Qty Shipped,Carrier,Tracking Number,Website
354,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280377616410,https://www.fedex.com/fedextrack/?trknbr=280377616410&trkqual=12028~280377616410~FDEG
389,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280366001847,https://www.fedex.com/fedextrack/?trknbr=280366001847&trkqual=12028~280366001847~FDEG
549,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,279819559277,https://www.fedex.com/fedextrack/?trknbr=279819559277&trkqual=12028~279819559277~FDEG
608,10/8/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280365918623,https://www.fedex.com/fedextrack/?trknbr=280365918623&trkqual=12028~280365918623~FDEG
1637,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280333542139,https://www.fedex.com/fedextrack/?trknbr=280333542139&trkqual=12028~280333542139~FDEG
4412,10/7/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,280278913125,https://www.fedex.com/fedextrack/?trknbr=280278913125&trkqual=12028~280278913125~FDEG
3228,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700407856,https://www.fedex.com/fedextrack/?trknbr=412700407856&trkqual=12028~412700407856~FDEG
5381,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410646,https://www.fedex.com/fedextrack/?trknbr=412700410646&trkqual=12028~412700410646~FDEG
5239,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700408120,https://www.fedex.com/fedextrack/?trknbr=412700408120&trkqual=12028~412700408120~FDEG
3612,10/14/2024,PAPER 15IN X 950 FT BRN,100713349,1,FedEx Ground,412700410120,https://www.fedex.com/fedextrack/?trknbr=412700410120&trkqual=12028~412700410120~FDEG
