Store,Dept,Inventory Dollars,Format
585,80,17717.33,WM Supercenter
586,80,20461.92,WM Supercenter
587,80,12616.51,WM Supercenter
588,80,17714.76,WM Supercenter
589,80,18852.23,WM Supercenter
590,80,14627.72,WM Supercenter
591,80,19730.15,WM Supercenter
592,80,16845.38,WM Supercenter
593,80,17582.73,WM Supercenter
594,80,12371.56,WM Supercenter
595,80,18637.62,WM Supercenter
598,80,14444.35,WM Supercenter
599,80,13992.94,WM Supercenter
600,80,12062.86,WM Supercenter
601,80,10666.5,WM Supercenter
602,80,11693.04,WM Supercenter
603,80,19401.68,WM Supercenter
604,80,18127.8,WM Supercenter
605,80,13043.3,WM Supercenter
608,80,20834.28,WM Supercenter
609,80,11870.02,WM Supercenter
610,80,13195.63,WM Supercenter
611,80,9004.61,WM Supercenter
612,80,15018.79,WM Supercenter
613,80,23413.99,WM Supercenter
614,80,11921.95,WM Supercenter
615,80,25855.21,WM Supercenter
616,80,17057.89,WM Supercenter
618,80,18580.69,WM Supercenter
619,80,13465.91,WM Supercenter
620,80,13353.99,WM Supercenter
621,80,13202.43,WM Supercenter
622,80,17889.51,WM Supercenter
623,80,18724.06,WM Supercenter
624,80,14837.81,WM Supercenter
625,80,11284.35,WM Supercenter
627,80,11095.26,WM Supercenter
628,80,13526.38,WM Supercenter
629,80,10999.3,WM Supercenter
630,80,16800.71,WM Supercenter
631,80,12188.12,WM Supercenter
632,80,9924.56,WM Supercenter
633,80,14351.18,WM Supercenter
634,80,10488.37,WM Supercenter
635,80,15337.9,WM Supercenter
636,80,13045.39,WM Supercenter
637,80,14215.63,WM Supercenter
638,80,9319.08,WM Supercenter
639,80,19837.86,WM Supercenter
640,80,11552.63,WM Supercenter
641,80,13004.86,WM Supercenter
642,80,17038.79,WM Supercenter
643,80,16389.07,WM Supercenter
644,80,11144.63,WM Supercenter
645,80,15408.32,WM Supercenter
646,80,9268.74,WM Supercenter
647,80,13511.71,WM Supercenter
648,80,15216.2,WM Supercenter
649,80,23676.31,WM Supercenter
651,80,8034.08,WM Supercenter
652,80,12253.86,WM Supercenter
653,80,13274.93,WM Supercenter
655,80,15555.48,WM Supercenter
656,80,14827.75,WM Supercenter
657,80,14856.24,WM Supercenter
658,80,11917.15,WM Supercenter
659,80,15638.24,WM Supercenter
660,80,17134.97,WM Supercenter
661,80,17227.45,WM Supercenter
662,80,13697.8,WM Supercenter
663,80,14405.81,WM Supercenter
664,80,16356.4,WM Supercenter
665,80,14339.85,WM Supercenter
666,80,15218.88,WM Supercenter
667,80,18082,WM Supercenter
668,80,18061.24,WM Supercenter
669,80,19983.23,WM Supercenter
670,80,22879.29,WM Supercenter
671,80,14945.24,WM Supercenter
672,80,18613.17,WM Supercenter
673,80,16697.95,WM Supercenter
674,80,15442.6,WM Supercenter
675,80,17401.15,WM Supercenter
676,80,11543.4,WM Supercenter
677,80,20198.13,WM Supercenter
678,80,16034.15,WM Supercenter
680,80,11789.24,WM Supercenter
681,80,15282.06,WM Supercenter
682,80,13790.43,WM Supercenter
683,80,16540.76,WM Supercenter
684,80,17738.18,WM Supercenter
685,80,15863.52,WM Supercenter
686,80,14258.61,WM Supercenter
687,80,18705.11,WM Supercenter
688,80,14440.2,WM Supercenter
689,80,21867.03,WM Supercenter
690,80,16111.43,WM Supercenter
691,80,12890.58,WM Supercenter
692,80,13203.58,WM Supercenter
694,80,15136.49,WM Supercenter
695,80,16932.5,WM Supercenter
697,80,14732.57,WM Supercenter
698,80,24670.13,WM Supercenter
699,80,22649.05,WM Supercenter
700,80,13194.63,WM Supercenter
701,80,13666.33,WM Supercenter
702,80,13068.82,WM Supercenter
703,80,12701.25,WM Supercenter
705,80,15298.32,WM Supercenter
706,80,15847.51,WM Supercenter
707,80,10438.86,WM Supercenter
708,80,14032.11,WM Supercenter
709,80,21648.29,WM Supercenter
710,80,14155.5,WM Supercenter
711,80,19809.7,WM Supercenter
712,80,23035,WM Supercenter
714,80,21418.09,WM Supercenter
715,80,16274.19,WM Supercenter
716,80,8089,WM Supercenter
718,80,22404.72,WM Supercenter
719,80,23807.73,WM Supercenter
720,80,10278.57,WM Supercenter
721,80,16763.02,WM Supercenter
722,80,8783.41,WM Supercenter
723,80,10100.54,WM Supercenter
724,80,11550.1,WM Supercenter
725,80,17408.09,WM Supercenter
726,80,13752.71,WM Supercenter
727,80,10176.76,WM Supercenter
728,80,14864.64,WM Supercenter
729,80,26466.16,WM Supercenter
730,80,14280.98,WM Supercenter
731,80,11650.46,WM Supercenter
733,80,23012.75,WM Supercenter
734,80,16058.27,WM Supercenter
735,80,13170.74,WM Supercenter
736,80,16941.94,WM Supercenter
737,80,13733.98,WM Supercenter
738,80,16578.03,WM Supercenter
739,80,23642.44,WM Supercenter
740,80,13165.74,WM Supercenter
741,80,14762.71,WM Supercenter
742,80,16779.84,WM Supercenter
743,80,18502.1,WM Supercenter
744,80,13923.82,WM Supercenter
745,80,13282.47,WM Supercenter
746,80,9177.65,WM Supercenter
748,80,13602.18,WM Supercenter
749,80,10654.17,WM Supercenter
750,80,5891.72,WM Supercenter
751,80,7223.97,WM Supercenter
752,80,19319.4,WM Supercenter
753,80,21135.02,WM Supercenter
754,80,11695.75,WM Supercenter
755,80,19451.06,WM Supercenter
756,80,15409.9,WM Supercenter
757,80,14977.35,WM Supercenter
758,80,11862.05,WM Supercenter
759,80,9824.52,WM Supercenter
761,80,13259.81,WM Supercenter
762,80,22925.74,WM Supercenter
764,80,15377.33,WM Supercenter
765,80,7882.37,WM Supercenter
766,80,16724.64,WM Supercenter
767,80,28410.29,WM Supercenter
768,80,17371.47,WM Supercenter
769,80,16167.82,WM Supercenter
770,80,11193.44,WM Supercenter
771,80,20338.19,WM Supercenter
772,80,10803.08,WM Supercenter
773,80,13746.44,WM Supercenter
774,80,18118.87,WM Supercenter
775,80,14589.52,WM Supercenter
776,80,11361.38,WM Supercenter
777,80,13911.38,WM Supercenter
778,80,20851.21,WM Supercenter
779,80,11870.19,WM Supercenter
780,80,14407.15,WM Supercenter
781,80,9434.7,WM Supercenter
782,80,8928.61,WM Supercenter
784,80,10963.55,WM Supercenter
785,80,12003.26,WM Supercenter
786,80,24495.64,WM Supercenter
787,80,36525.44,WM Supercenter
788,80,11557.75,WM Supercenter
789,80,16346.95,WM Supercenter
790,80,10403.43,WM Supercenter
791,80,7380.41,WM Supercenter
793,80,18146.34,WM Supercenter
794,80,16919.89,WM Supercenter
795,80,16891.66,WM Supercenter
796,80,14221.73,WM Supercenter
797,80,8492.84,WM Supercenter
798,80,10737.64,WM Supercenter
799,80,9655.37,WM Supercenter
800,80,17652.53,WM Supercenter
801,80,11428.18,WM Supercenter
802,80,10725.47,WM Supercenter
803,80,1936.02,WM Supercenter
804,80,13234,WM Supercenter
805,80,18835.18,WM Supercenter
806,80,22781.02,WM Supercenter
807,80,13601.18,WM Supercenter
808,80,17240.56,WM Supercenter
809,80,13257.58,WM Supercenter
810,80,13247.67,WM Supercenter
811,80,13379.47,WM Supercenter
812,80,12276.72,WM Supercenter
813,80,22378.91,WM Supercenter
814,80,15322.36,WM Supercenter
815,80,11668.62,WM Supercenter
816,80,16464.4,WM Supercenter
817,80,24758.57,WM Supercenter
818,80,17142.41,WM Supercenter
819,80,17024.37,WM Supercenter
820,80,13037.22,WM Supercenter
821,80,19102.5,WM Supercenter
822,80,15733.21,WM Supercenter
823,80,13179.83,WM Supercenter
824,80,16319.65,WM Supercenter
825,80,11264.53,WM Supercenter
826,80,24906.75,WM Supercenter
827,80,22396.3,WM Supercenter
828,80,14482.46,WM Supercenter
833,80,10626.36,WM Supercenter
834,80,6851.09,WM Supercenter
835,80,23833.69,WM Supercenter
836,80,13736.84,WM Supercenter
838,80,18036.7,WM Supercenter
839,80,22172.61,WM Supercenter
840,80,5128.16,Neighborhood Market
842,80,35206.66,WM Supercenter
843,80,2415.69,WM Supercenter
844,80,17110.21,WM Supercenter
846,80,5910.61,WM Supercenter
847,80,12382.42,WM Supercenter
848,80,20987.41,WM Supercenter
849,80,9448.39,WM Supercenter
850,80,16960.49,WM Supercenter
851,80,9727.3,WM Supercenter
852,80,12107.91,WM Supercenter
853,80,18398.93,WM Supercenter
854,80,10558.08,WM Supercenter
855,80,14898.41,WM Supercenter
856,80,13492.94,WM Supercenter
857,80,25054.98,WM Supercenter
858,80,10539.31,WM Supercenter
859,80,15710.34,WM Supercenter
860,80,21483.7,WM Supercenter
861,80,17224.04,WM Supercenter
862,80,12020.82,WM Supercenter
863,80,13451.16,WM Supercenter
864,80,15312.31,WM Supercenter
865,80,17521.58,WM Supercenter
866,80,16284.85,WM Supercenter
867,80,17350.91,WM Supercenter
868,80,18076.69,WM Supercenter
869,80,8652.96,WM Supercenter
870,80,15193.92,WM Supercenter
872,80,15286.94,WM Supercenter
874,80,15042.43,WM Supercenter
875,80,8077.33,WM Supercenter
876,80,17809.13,WM Supercenter
877,80,12606.04,WM Supercenter
878,80,14607.37,WM Supercenter
879,80,12811.43,WM Supercenter
880,80,21832.8,WM Supercenter
881,80,13914.34,WM Supercenter
882,80,11091.69,WM Supercenter
884,80,18655.29,WM Supercenter
885,80,11365.51,WM Supercenter
886,80,21896.27,WM Supercenter
887,80,10639.62,WM Supercenter
888,80,2935.94,WM Supercenter
889,80,15318.5,WM Supercenter
890,80,27832.84,WM Supercenter
891,80,22104.47,WM Supercenter
892,80,19325.9,WM Supercenter
894,80,16455.85,WM Supercenter
896,80,19370.08,WM Supercenter
897,80,11223.95,WM Supercenter
899,80,15536.18,WM Supercenter
900,80,4521.89,WM Supercenter
901,80,10830.4,WM Supercenter
902,80,14046.38,WM Supercenter
903,80,14797.94,WM Supercenter
904,80,23684.96,WM Supercenter
905,80,15568.63,WM Supercenter
906,80,16848.99,WM Supercenter
907,80,15920.6,WM Supercenter
908,80,10397.82,WM Supercenter
909,80,27987.77,WM Supercenter
910,80,16294.17,WM Supercenter
911,80,19809.35,WM Supercenter
912,80,25121.6,WM Supercenter
913,80,12838.63,WM Supercenter
914,80,12660.74,WM Supercenter
915,80,18806.95,WM Supercenter
916,80,11854,WM Supercenter
917,80,7560.94,WM Supercenter
