Store,,DEC,73,YTD,74,DEC,75,YTD,76,DEC,77,YTD,78,DEC,79,YTD,80,DEC,81,YTD,82,DEC,83,YTD,84,DEC,85,YTD,86,DEC,87,YTD,88,DEC,89,YTD,90,DEC,91,YTD,92
454,,-5.26%,,-0.89%,R,23.78%,,6.48%,R,4.57%,,3.91%,,25.59%,G,-3.62%,R,10,,245,,47.34%,G,48.12%,G,4,,68,,102.82%,G,98.95%,G,0:45:47,,0:47:20,,733/2576,,1992/2576,
506,,-4.76%,,1.15%,,9.66%,,14.77%,,12.28%,,10.15%,,-22.28%,R,-3.31%,R,1,R,49,,41.26%,,40.98%,,0,R,30,,92.31%,G,74.46%,,0:27:13,G,0:31:10,G,1503/2576,,1565/2576,
936,,-5.02%,,7.21%,,25.64%,,38.02%,G,55.80%,G,50.53%,G,-6.16%,,16.33%,,1,R,2,R,47.91%,G,39.90%,,3,,58,,22.86%,R,31.37%,R,0:37:46,,0:42:43,,875/2576,,374/2576,G
Total,B,-4.16%,,2.44%,,19.28%,,20.14%,,22.54%,G,12.86%,G,0.81%,,9.05%,,0.25,,0.23,R,39.37%,,41.57%,,0.15,,0.18,,63.08%,,59.16%,,0:34:26,G,0:37:42,G,112/394,,139/394,
15,,-4.61%,,-1.95%,R,5.04%,,5.97%,R,-7.94%,R,-4.15%,R,-6.95%,,0.08%,R,22,,208,,43.35%,G,42.24%,,1,R,28,,60.47%,,50.71%,,0:44:16,,0:46:52,,1862/2576,,2285/2576,R
32,,-10.64%,R,1.81%,,18.01%,,17.85%,,40.24%,G,14.07%,,-16.00%,R,5.76%,,40,G,242,,57.14%,G,60.60%,G,33,G,245,G,110.82%,G,99.30%,G,0:45:06,,0:48:28,,1011/2576,,1024/2576,
379,,0.83%,,0.70%,,27.32%,,14.88%,,2.52%,,-2.19%,R,9.41%,,11.31%,,98,G,387,G,39.39%,,37.26%,,32,G,85,,47.23%,,31.41%,R,0:26:38,G,0:24:09,G,373/2576,G,1527/2576,
871,,0.22%,,6.61%,,19.51%,,29.21%,G,12.68%,,12.01%,,-6.21%,,15.80%,,2,R,19,R,37.50%,,52.91%,G,2,,7,R,80.15%,,63.24%,,0:26:22,G,0:24:14,G,781/2576,,446/2576,G
1009,,-0.88%,,2.08%,,37.90%,G,10.16%,,19.78%,,-4.05%,R,15.63%,,10.47%,,6,,246,,40.79%,,42.72%,,0,R,60,,94.87%,G,74.50%,,0:46:57,,1:01:29,,446/2576,G,1880/2576,
2175,,0.38%,,4.45%,,37.30%,G,26.50%,,48.74%,G,23.16%,G,-5.75%,,5.05%,,32,G,273,,56.50%,G,54.58%,G,4,,110,G,132.89%,G,118.96%,G,0:59:14,,0:47:50,,346/2576,G,497/2576,G
2221,,-10.84%,R,-1.87%,R,-10.68%,R,5.65%,R,-18.26%,R,-6.82%,R,-8.75%,R,1.97%,R,2,R,135,,33.57%,,43.27%,,2,,82,,70.69%,,67.91%,,0:49:13,,0:53:02,,2467/2576,R,2268/2576,R
2702,,-1.98%,,9.79%,G,13.89%,,19.86%,,6.51%,,6.44%,,17.01%,,28.28%,G,7,,39,R,34.36%,,42.10%,,3,,37,,46.04%,,30.15%,R,0:41:51,,0:36:29,G,1106/2576,,645/2576,
4381,,-10.79%,R,-0.90%,R,-5.11%,R,12.76%,,4.89%,,11.82%,,-14.11%,R,3.81%,R,2,R,48,,49.86%,G,59.34%,G,0,R,26,,100.43%,G,97.58%,G,0:58:01,,0:49:54,,2373/2576,R,1802/2576,
Total,B,-4.88%,,1.48%,R,11.29%,,13.70%,,4.64%,R,2.47%,,-2.85%,R,7.41%,R,0.78,,0.53,,43.12%,G,47.77%,G,0.29,,0.23,,79.78%,G,70.08%,G,0:44:35,,0:43:58,,223/394,,289/394,
9,,9.68%,G,4.98%,,54.53%,G,20.02%,,25.07%,,14.02%,,45.82%,G,12.02%,,1,R,17,R,21.66%,R,30.51%,,1,R,25,,36.31%,R,35.20%,,0:47:04,,0:47:28,,282/2576,G,1176/2576,
19,,-4.03%,,2.43%,,9.16%,,13.90%,,3.33%,,1.63%,,4.85%,,23.74%,,73,G,424,G,40.04%,,49.37%,G,23,G,176,G,89.34%,,88.45%,G,0:45:10,,1:00:26,,1224/2576,,1291/2576,
30,,-7.47%,,2.38%,,9.89%,,18.25%,,17.88%,,13.10%,,-4.46%,,4.88%,R,1,R,2,R,39.94%,,53.32%,G,1,R,66,,104.96%,G,103.51%,G,0:32:06,G,0:37:50,,1424/2576,,1094/2576,
37,,-8.28%,,4.21%,,21.08%,,14.29%,,11.59%,,8.80%,,6.48%,,6.56%,,3,,28,R,26.60%,,32.83%,,2,,50,,44.23%,,36.59%,,1:00:55,,1:03:53,R,1582/2576,,1766/2576,
69,,-7.05%,,-1.84%,R,22.77%,,6.25%,R,13.30%,,-0.46%,,16.60%,,-0.88%,R,1,R,172,,42.56%,G,47.13%,G,2,,132,G,86.57%,,56.31%,,0:43:43,,0:47:19,,947/2576,,2142/2576,R
95,,4.54%,G,2.72%,,24.80%,,19.40%,,8.90%,,13.38%,,28.98%,G,1.34%,R,4,,201,,42.29%,G,40.52%,,6,,82,,46.92%,,35.15%,,0:33:52,G,0:40:39,,330/2576,G,1144/2576,
152,,-4.99%,,3.46%,,9.39%,,15.01%,,-0.37%,,9.85%,,19.59%,,4.55%,R,15,,260,,34.47%,,45.81%,G,13,G,278,G,91.06%,,96.38%,G,0:48:52,,0:52:24,,1356/2576,,1205/2576,
188,,-8.13%,,-0.34%,R,8.31%,,22.97%,,10.21%,,12.86%,,-5.51%,,8.38%,,9,,182,,34.65%,,37.92%,,3,,55,,93.65%,G,78.49%,,0:45:20,,0:47:04,,1719/2576,,1128/2576,
Total,B,-3.63%,,2.02%,,18.36%,,16.23%,,10.77%,,8.86%,,12.18%,,7.72%,R,0.45,,0.48,,35.75%,,42.24%,G,0.21,,0.33,G,75.64%,,66.96%,,0:43:55,,0:49:31,,113/394,,233/394,
21,,-6.58%,,1.35%,,-2.70%,R,5.94%,R,-9.33%,R,-8.25%,R,-14.11%,R,5.89%,,16,,275,G,38.30%,,41.92%,,7,,58,,100.28%,G,90.87%,G,0:45:21,,0:48:56,,2098/2576,R,1999/2576,
29,,2.51%,G,4.91%,,27.67%,,18.62%,,36.79%,G,14.58%,,34.27%,G,18.26%,,0,R,43,,31.05%,,33.07%,,0,R,25,,21.52%,R,21.33%,R,0:39:40,,0:49:57,,485/2576,G,1169/2576,
65,,-1.14%,,5.01%,,19.23%,,17.30%,,28.15%,,9.07%,,8.75%,,8.79%,,2,R,92,,41.76%,,39.21%,,2,,53,,76.82%,,68.03%,,0:42:12,,0:45:00,,701/2576,,1088/2576,
89,,-0.44%,,5.94%,,15.20%,,8.91%,,1.22%,,-5.70%,R,4.16%,,5.75%,,0,R,10,R,39.77%,,44.09%,,4,,18,R,100.17%,G,88.49%,G,1:02:26,R,1:17:54,R,1252/2576,,1981/2576,
101,,-9.04%,,0.44%,,-12.74%,R,13.25%,,-2.37%,R,1.67%,,-17.72%,R,3.22%,R,3,,328,G,25.03%,R,43.54%,,2,,72,,75.10%,,54.90%,,1:16:44,R,1:10:17,R,2526/2576,R,1933/2576,
219,,-7.79%,,6.87%,,0.82%,R,20.83%,,7.05%,,12.22%,,-6.65%,,11.02%,,66,G,192,,29.83%,,39.25%,,16,G,74,,22.54%,R,35.11%,,0:48:19,,0:47:42,,2074/2576,R,773/2576,
815,,-3.16%,,-0.21%,R,17.49%,,25.61%,,6.67%,,6.40%,,7.42%,,23.97%,,13,,81,,34.53%,,35.59%,,0,R,7,R,86.74%,,65.23%,,0:45:54,,0:56:44,,1142/2576,,1300/2576,
5477,,-14.95%,R,-7.76%,R,-2.27%,R,7.09%,R,-8.64%,R,-6.29%,R,3.24%,,-1.41%,R,0,R,1,R,30.72%,,39.07%,,1,R,11,R,65.05%,,51.26%,,0:57:56,,0:58:54,,2486/2576,R,2502/2576,R
Total,B,-5.52%,,2.06%,,4.85%,R,13.19%,,3.53%,R,0.91%,R,-1.46%,R,8.14%,R,0.42,,0.38,,33.63%,,39.93%,,0.13,,0.12,,69.26%,,61.02%,,0:52:17,,0:55:53,,363/394,R,345/394,R
60,,-7.92%,,0.02%,R,-3.41%,R,-2.16%,R,-16.16%,R,-18.46%,R,7.83%,,5.97%,,5,,56,,23.24%,R,27.46%,R,0,R,3,R,46.89%,,47.66%,,0:57:49,,0:59:30,,2409/2576,R,2518/2576,R
243,,-13.17%,R,3.54%,,-16.63%,R,21.85%,,-13.62%,R,7.28%,,-20.08%,R,15.25%,,0,R,34,R,28.89%,,37.91%,,2,,144,G,30.15%,R,24.74%,R,0:58:36,,1:08:41,R,2560/2576,R,1288/2576,
648,,6.60%,G,13.60%,G,43.51%,G,32.21%,G,88.82%,G,24.90%,G,65.67%,G,39.82%,G,28,,32,R,39.49%,,43.58%,,6,,33,,68.17%,,52.42%,,0:31:10,G,0:40:40,,20/2576,G,125/2576,G
1021,,1.78%,,5.14%,,11.26%,,11.68%,,4.24%,,6.37%,,25.97%,G,12.00%,,2,R,55,,34.87%,,39.23%,,2,,57,,33.33%,R,46.40%,,0:53:41,,0:54:41,,1237/2576,,1600/2576,
1161,,-18.50%,R,-6.95%,R,-1.45%,R,9.99%,,35.94%,G,15.46%,,-17.72%,R,1.61%,R,0,R,4,R,61.85%,G,69.62%,G,3,,38,,21.73%,R,27.71%,R,0:52:23,,0:58:47,,2324/2576,R,2232/2576,R
2600,,-4.23%,,2.49%,,11.90%,,26.96%,,37.50%,G,22.88%,G,-3.70%,,15.14%,,9,,42,,44.38%,G,51.19%,G,7,,71,,104.14%,G,94.02%,G,0:32:28,G,0:26:17,G,903/2576,,485/2576,G
2616,,-9.93%,R,1.78%,,22.23%,,32.58%,G,30.42%,G,31.97%,G,15.65%,,14.99%,,2,R,59,,43.31%,G,49.80%,G,0,R,21,,58.95%,,64.08%,,0:53:12,,0:50:20,,1198/2576,,738/2576,
5313,,-0.27%,,-2.01%,R,31.38%,G,-0.01%,R,35.25%,G,-12.46%,R,38.03%,G,5.13%,,1,R,14,R,32.65%,,47.77%,G,2,,12,R,85.86%,,93.73%,G,0:51:46,,0:58:10,,448/2576,G,2455/2576,R
Total,B,-7.02%,,1.43%,R,10.37%,,15.09%,,22.24%,G,8.99%,,7.78%,,11.61%,,0.20,,0.11,R,41.21%,G,48.85%,G,0.09,,0.14,,53.23%,,51.38%,,0:49:23,,0:53:02,,261/394,,306/394,
172,,-13.08%,R,4.41%,,-16.18%,R,12.23%,,-19.20%,R,3.55%,,-8.13%,R,13.10%,,3,,101,,31.54%,,39.43%,,2,,103,,86.54%,,87.95%,G,1:10:26,R,1:15:20,R,2539/2576,R,1577/2576,
295,,-4.09%,,0.95%,,17.39%,,11.74%,,13.64%,,2.37%,,3.33%,,9.70%,,6,,68,,59.14%,G,57.69%,G,7,,69,,106.02%,G,102.98%,G,0:51:08,,0:51:26,,961/2576,,1739/2576,
313,,-8.00%,,9.63%,G,25.46%,,43.86%,G,5.83%,,7.21%,,26.04%,G,41.32%,G,6,,218,,51.24%,G,44.08%,,8,,86,,116.69%,G,103.44%,G,1:25:16,R,1:15:55,R,1010/2576,,190/2576,G
805,,-7.49%,,1.83%,,12.80%,,13.83%,,21.60%,,6.94%,,10.27%,,13.46%,,28,,341,G,41.07%,,53.24%,G,14,G,230,G,98.09%,G,104.35%,G,0:38:01,,0:41:44,,939/2576,,1130/2576,
1177,,-2.64%,,-1.09%,R,25.53%,,0.21%,R,-17.49%,R,-27.31%,R,37.87%,G,25.83%,,1,R,4,R,44.27%,G,34.22%,,3,,19,R,76.68%,,38.28%,,1:20:15,R,1:53:42,R,1080/2576,,2489/2576,R
1514,,-5.54%,,4.98%,,20.21%,,18.96%,,42.91%,G,12.00%,,8.61%,,14.35%,,0,R,23,R,60.78%,G,53.61%,G,0,R,15,R,91.38%,,82.69%,G,1:21:52,R,1:25:49,R,1168/2576,,1185/2576,
2213,,-8.53%,,-1.69%,R,10.80%,,10.73%,,18.90%,,7.77%,,0.98%,,-0.71%,R,1,R,20,R,27.54%,,31.60%,,1,R,20,,52.17%,,55.11%,,0:54:25,,0:52:25,,1884/2576,,2269/2576,R
5150,,-16.78%,R,-14.09%,R,-34.33%,R,-29.65%,R,-55.75%,R,-41.90%,R,-25.14%,R,-17.85%,R,1,R,26,R,38.11%,,38.86%,,0,R,2,R,62.08%,,54.59%,,0:47:29,,1:00:09,,2552/2576,R,2566/2576,R
Total,B,-8.52%,,0.93%,R,5.49%,R,9.47%,R,1.32%,R,-3.10%,R,3.47%,,9.45%,,0.19,,0.30,,43.65%,G,44.35%,G,0.15,,0.20,,86.65%,G,80.16%,G,1:00:37,R,1:05:17,R,362/394,R,366/394,R
201,,-4.03%,,-4.32%,R,32.32%,G,4.17%,R,30.08%,G,-6.31%,R,29.97%,G,3.11%,R,7,,71,,41.82%,,45.97%,G,1,R,41,,67.16%,,47.52%,,0:57:00,,1:18:57,R,609/2576,,2478/2576,R
253,,-4.77%,,-10.10%,R,5.57%,,6.57%,R,3.57%,,-1.12%,,1.32%,,1.61%,R,4,,36,R,44.03%,G,46.46%,G,0,R,5,R,54.01%,,50.17%,,0:44:33,,0:55:26,,1828/2576,,2452/2576,R
256,,-12.10%,R,-3.31%,R,15.87%,,25.76%,,18.71%,,20.34%,G,-2.49%,,8.82%,,10,,220,,40.37%,,41.77%,,8,,132,G,44.80%,,51.66%,,0:32:20,G,0:27:35,G,1284/2576,,845/2576,
328,,-11.52%,R,0.01%,R,-7.19%,R,11.87%,,-13.23%,R,12.00%,,-3.97%,,0.22%,R,8,,238,,45.18%,G,43.25%,,3,,139,G,118.46%,G,107.75%,G,0:28:06,G,0:26:00,G,2112/2576,R,1428/2576,
361,,-6.72%,,-2.15%,R,13.68%,,14.61%,,15.37%,,15.46%,,6.26%,,4.87%,R,2,R,41,,33.87%,,38.61%,,1,R,33,,91.57%,,76.42%,,0:53:17,,0:51:04,,1483/2576,,1823/2576,
1071,,-7.65%,,3.75%,,9.75%,,22.72%,,16.12%,,14.24%,,6.07%,,14.86%,,4,,85,,32.12%,,36.45%,,1,R,54,,91.42%,,85.92%,G,1:00:05,,0:59:26,,1732/2576,,906/2576,
1418,,-4.28%,,6.58%,,15.00%,,22.38%,,14.66%,,21.64%,G,17.60%,,16.40%,,0,R,19,R,44.00%,G,48.95%,G,2,,15,R,66.52%,,60.57%,,1:10:17,R,1:08:02,R,1319/2576,,841/2576,
1761,,-8.59%,,-5.77%,R,27.02%,,17.94%,,38.30%,G,23.26%,G,17.78%,,3.48%,R,0,R,6,R,39.62%,,52.44%,G,0,R,21,,42.77%,,38.82%,,0:57:00,,0:53:40,,1150/2576,,1807/2576,
Total,B,-7.50%,,-1.75%,R,13.68%,,16.18%,,14.29%,,13.70%,G,9.26%,,7.13%,R,0.15,R,0.27,,39.42%,,43.69%,G,0.07,,0.17,,72.19%,,64.50%,,0:49:46,,0:49:55,,238/394,,275/394,
14,,-4.06%,,1.23%,,28.65%,,12.53%,,20.88%,,1.30%,,13.22%,,1.81%,R,2,R,40,,44.92%,G,46.30%,G,7,,156,G,92.89%,G,90.75%,G,0:39:44,,0:48:55,,503/2576,G,1786/2576,
46,,-8.19%,,1.07%,,-4.03%,R,5.78%,R,-21.98%,R,-1.21%,,2.51%,,3.44%,R,5,,174,,38.29%,,44.27%,G,32,G,35,,81.87%,,60.58%,,1:03:02,R,0:49:19,,2260/2576,R,2113/2576,R
78,,-13.93%,R,-1.85%,R,-5.05%,R,11.02%,,6.19%,,-0.19%,,-17.88%,R,-3.02%,R,15,,210,,35.02%,,37.49%,,0,R,88,,21.77%,R,20.75%,R,0:47:13,,0:58:47,,2449/2576,R,2245/2576,R
86,,-5.62%,,-6.18%,R,45.55%,G,-11.28%,R,53.42%,G,-18.96%,R,41.79%,G,-10.40%,R,5,,104,,40.55%,,42.26%,,1,R,36,,86.40%,,48.99%,,0:57:01,,1:08:23,R,495/2576,G,2540/2576,R
88,,6.83%,G,-0.18%,R,21.57%,,4.70%,R,1.78%,,-5.93%,R,34.95%,G,1.51%,R,0,R,96,,38.21%,,49.18%,G,4,,69,,86.67%,,89.87%,G,0:33:25,G,0:36:12,G,427/2576,G,2034/2576,
138,,-5.40%,,6.01%,,13.72%,,28.23%,G,31.51%,G,23.24%,G,10.96%,,26.21%,G,4,,67,,38.48%,,48.08%,G,1,R,45,,77.16%,,83.10%,G,1:04:40,R,1:02:10,,1316/2576,,455/2576,G
179,,-7.12%,,-0.63%,R,-17.22%,R,0.06%,R,-15.56%,R,-10.35%,R,9.60%,,7.60%,,4,,356,G,38.29%,,46.72%,G,0,R,223,G,76.38%,,94.02%,G,0:56:54,,0:55:42,,2354/2576,R,2148/2576,R
Total,B,-5.59%,,0.13%,R,7.26%,R,6.83%,R,3.13%,R,-2.71%,R,11.15%,,4.10%,R,0.17,R,0.45,,39.13%,,45.14%,G,0.21,,0.28,,76.47%,,71.60%,G,0:52:29,,0:53:33,,310/394,,365/394,R
25,,-4.69%,,0.07%,R,5.18%,,6.23%,R,2.12%,,-0.78%,,-1.17%,,1.86%,R,4,,50,,38.22%,,40.43%,,2,,18,R,78.42%,,72.14%,,0:38:19,,0:40:43,,1711/2576,,2176/2576,R
40,,7.55%,G,5.09%,,62.86%,G,24.92%,,93.33%,G,21.96%,G,39.38%,G,11.97%,,34,G,158,,40.13%,,48.16%,G,3,,25,,33.86%,R,24.23%,R,0:38:17,,0:45:46,,40/2576,G,705/2576,
80,,4.91%,G,2.87%,,116.53%,G,20.45%,,113.18%,G,17.78%,G,60.30%,G,13.14%,,1,R,24,R,39.32%,,36.30%,,4,,32,,32.14%,R,49.38%,,1:06:22,R,1:15:48,R,193/2576,G,1387/2576,
159,,-4.74%,,-0.74%,R,-10.92%,R,23.07%,,-28.90%,R,39.95%,G,1.22%,,20.68%,,32,G,68,,32.93%,,30.78%,,3,,20,,40.63%,,32.13%,R,0:52:46,,0:55:47,,2262/2576,R,1330/2576,
189,,-5.20%,,3.62%,,8.06%,,15.33%,,7.85%,,6.21%,,-10.30%,R,9.80%,,1,R,6,R,40.77%,,46.59%,G,0,R,0,R,76.13%,,71.63%,,0:40:10,,0:37:34,G,1760/2576,,1423/2576,
363,,-9.15%,,2.30%,,5.55%,,6.47%,R,0.21%,,-2.97%,R,-6.32%,,7.38%,,5,,70,,60.00%,G,62.54%,G,12,G,15,R,99.76%,G,86.20%,G,0:42:42,,0:40:36,,1788/2576,,1913/2576,
451,,3.53%,G,-5.93%,R,54.79%,G,9.26%,,123.72%,G,24.16%,G,26.44%,G,-3.61%,R,52,G,293,G,36.76%,,35.94%,,6,,23,,102.70%,G,90.74%,G,0:40:15,,1:04:59,R,34/2576,G,2093/2576,R
783,,-1.52%,,22.92%,G,40.86%,G,109.04%,G,32.61%,G,113.51%,G,27.27%,G,92.81%,G,7,,25,R,63.74%,G,68.78%,G,0,R,12,R,95.05%,G,86.21%,G,0:34:35,G,0:37:14,G,179/2576,G,19/2576,G
Total,B,-1.45%,,2.54%,,26.02%,G,17.41%,,23.37%,G,14.70%,G,13.07%,,10.47%,,0.57,,0.26,R,41.95%,G,44.75%,G,0.13,,0.05,R,68.56%,,64.53%,,0:43:50,,0:47:50,,26/394,G,204/394,
109,,-9.95%,R,1.95%,,-5.24%,R,4.31%,R,-3.74%,R,0.45%,,-8.70%,R,0.91%,R,0,R,18,R,53.42%,G,54.58%,G,2,,26,,85.92%,,79.84%,G,1:05:50,R,1:09:07,R,2406/2576,R,2265/2576,R
135,,-8.55%,,7.21%,,7.87%,,21.45%,,11.99%,,11.96%,,-0.59%,,13.54%,,15,,177,,59.84%,G,61.57%,G,2,,72,,96.02%,G,87.63%,G,0:35:45,G,0:43:35,,1441/2576,,476/2576,G
195,,-1.15%,,10.11%,G,21.69%,,30.32%,G,7.12%,,12.41%,,15.84%,,24.85%,,1,R,31,R,39.84%,,47.34%,G,0,R,33,,48.44%,,38.82%,,0:34:18,G,0:35:35,G,845/2576,,278/2576,G
234,,-10.45%,R,-2.02%,R,13.96%,,6.68%,R,14.05%,,-6.08%,R,14.05%,,10.90%,,2,R,35,R,36.32%,,39.37%,,0,R,33,,21.12%,R,22.43%,R,1:01:08,,1:05:24,R,1803/2576,,2428/2576,R
325,,0.03%,,4.34%,,41.63%,G,14.16%,,10.19%,,6.56%,,37.81%,G,7.52%,,1,R,22,R,54.87%,G,49.95%,G,1,R,23,,14.10%,R,17.29%,R,0:23:05,G,0:26:20,G,319/2576,G,1434/2576,
560,,-7.95%,,1.95%,,2.36%,,7.69%,R,-1.93%,R,0.91%,,2.34%,,7.62%,,3,,12,R,31.39%,,41.17%,,1,R,20,,29.94%,R,33.25%,,0:49:55,,0:51:25,,2248/2576,R,2182/2576,R
801,,-15.44%,R,1.59%,,5.93%,,9.24%,,-4.07%,R,-3.22%,R,-18.44%,R,-3.38%,R,44,G,235,,29.79%,,33.59%,,0,R,43,,94.95%,G,77.18%,,0:41:25,,0:45:06,,2216/2576,R,2016/2576,
1120,,-4.67%,,17.79%,G,45.10%,G,76.13%,G,47.13%,G,62.84%,G,16.23%,,56.08%,G,3,,90,,43.92%,G,39.27%,,7,,69,,64.41%,,53.42%,,0:48:28,,0:47:53,,455/2576,G,35/2576,G
2857,,-12.88%,R,-2.08%,R,-17.43%,R,-0.94%,R,-14.89%,R,-10.05%,R,-17.02%,R,3.10%,R,1,R,77,,33.27%,,30.43%,,1,R,41,,20.72%,R,38.37%,,1:34:37,R,1:21:48,R,2569/2576,R,2537/2576,R
2994,,-13.94%,R,-0.63%,R,9.58%,,-0.37%,R,36.84%,G,-0.35%,,15.28%,,-0.06%,R,1,R,63,,30.12%,,41.81%,,3,,65,,64.06%,,65.84%,,0:55:00,,1:01:21,,1776/2576,,2383/2576,R
Total,B,-8.73%,,3.92%,,11.95%,,16.30%,,9.69%,,7.27%,,4.33%,,12.05%,,0.24,,0.23,R,41.35%,G,44.02%,G,0.06,R,0.13,,53.80%,,52.38%,,0:51:51,,0:53:15,,299/394,,234/394,
20,,-7.68%,,4.22%,,11.25%,,10.63%,,-1.43%,R,-2.36%,R,4.72%,,9.97%,,8,,227,,43.80%,G,48.80%,G,7,,63,,83.83%,,69.24%,,0:40:21,,0:44:47,,1444/2576,,1512/2576,
61,,-7.74%,,3.42%,,18.51%,,24.29%,,22.44%,,16.70%,,-10.34%,R,8.22%,,70,G,436,G,34.13%,,42.76%,,8,,170,G,72.28%,,52.85%,,0:48:22,,0:54:48,,1192/2576,,788/2576,
96,,0.64%,,4.44%,,15.96%,,5.90%,R,2.37%,,-9.39%,R,32.34%,G,12.43%,,4,,110,,32.24%,,36.37%,,1,R,162,G,82.14%,,70.33%,,1:01:06,,1:08:18,R,1093/2576,,1927/2576,
184,,2.93%,G,6.95%,,41.06%,G,30.48%,G,51.74%,G,24.13%,G,33.27%,G,29.70%,G,4,,13,R,41.02%,,42.29%,,0,R,25,,53.50%,,45.48%,,1:08:15,R,0:51:44,,383/2576,G,467/2576,G
319,,-5.36%,,0.90%,,2.29%,,3.54%,R,-3.60%,R,-6.62%,R,17.26%,,12.50%,,5,,88,,46.32%,G,53.44%,G,10,G,116,G,64.63%,,62.98%,,1:11:50,R,1:05:25,R,1906/2576,,2163/2576,R
326,,-2.93%,,1.95%,,16.26%,,24.50%,,27.17%,,26.58%,G,-4.43%,,8.83%,,1,R,11,R,46.91%,G,48.26%,G,2,,7,R,73.20%,,57.16%,,0:36:25,,0:35:37,G,954/2576,,917/2576,
573,,-11.23%,R,7.70%,,3.30%,,24.87%,,9.11%,,17.61%,G,5.87%,,31.34%,G,0,R,14,R,39.48%,,47.22%,G,2,,29,,38.34%,,54.88%,,1:04:03,R,0:50:50,,2243/2576,R,498/2576,G
1014,,-9.11%,,-3.30%,R,17.88%,,3.83%,R,-2.74%,R,-11.98%,R,24.22%,G,11.34%,,0,R,48,,46.72%,G,45.27%,G,9,,86,,94.62%,G,63.00%,,1:07:34,R,1:19:21,R,1426/2576,,2387/2576,R
4553,,-13.11%,R,3.61%,,43.34%,G,51.92%,G,244.35%,G,191.07%,G,-9.86%,R,13.15%,,9,,79,,33.37%,,34.79%,,4,,59,,57.44%,,46.14%,,0:35:33,G,0:31:15,G,889/2576,,392/2576,G
4590,,-9.72%,,1.68%,,3.57%,,7.96%,R,21.94%,,-8.34%,R,1.95%,,13.18%,,4,,81,,30.14%,,40.02%,,4,,79,,112.02%,G,100.22%,G,0:48:28,,1:06:06,R,1832/2576,,2024/2576,
Total,B,-6.68%,,3.26%,,15.98%,,17.79%,,18.16%,,9.53%,,7.12%,,15.43%,,0.35,,0.33,,38.65%,,43.20%,G,0.16,,0.24,,71.40%,,60.08%,,0:56:26,,0:56:17,,193/394,,171/394,
486,,-4.52%,,-6.78%,R,18.24%,,-2.66%,R,9.04%,,-13.67%,R,10.90%,,-7.52%,R,1,R,62,,38.94%,,41.99%,,0,R,21,,94.52%,G,85.80%,G,1:03:05,R,0:59:33,,1312/2576,,2514/2576,R
577,,-8.33%,,1.12%,,13.50%,,14.92%,,3.29%,,5.49%,,-3.99%,,7.08%,,24,,35,R,25.99%,,22.92%,R,0,R,10,R,115.59%,G,94.30%,G,0:39:40,,0:36:21,G,1592/2576,,1752/2576,
1151,,8.63%,G,14.90%,G,69.24%,G,48.59%,G,74.04%,G,23.43%,G,21.48%,,43.07%,G,6,,92,,38.12%,,35.64%,,10,G,92,,90.72%,,65.73%,,0:37:37,,0:44:30,,30/2576,G,47/2576,G
1599,,-6.83%,,5.07%,,36.25%,G,30.06%,G,54.73%,G,8.84%,,40.18%,G,29.36%,G,15,,278,G,40.86%,,44.37%,G,2,,72,,45.96%,,44.78%,,1:35:04,R,1:26:00,R,722/2576,,641/2576,
1691,,-19.73%,R,-1.60%,R,-5.44%,R,4.10%,R,4.18%,,-1.95%,,-20.36%,R,-4.06%,R,4,,37,R,18.54%,R,26.82%,R,3,,21,,66.52%,,50.31%,,1:02:48,R,1:13:48,R,2537/2576,R,2525/2576,R
2855,,-8.61%,,3.64%,,19.49%,,18.49%,,30.25%,G,-3.06%,R,2.30%,,20.77%,,0,R,16,R,32.82%,,35.09%,,0,R,10,R,61.66%,,46.72%,,1:11:42,R,1:20:42,R,1614/2576,,1711/2576,
2955,,-18.50%,R,2.49%,,-17.73%,R,31.29%,G,-0.97%,,23.82%,G,-14.83%,R,24.49%,,0,R,24,R,34.53%,,49.84%,G,4,,28,,37.54%,R,35.05%,,0:30:48,G,0:30:58,G,2466/2576,R,560/2576,
3273,,-21.36%,R,-3.55%,R,-18.12%,R,-2.04%,R,-20.62%,R,-7.84%,R,-21.66%,R,2.31%,R,15,,121,,61.73%,G,56.04%,G,7,,31,,121.48%,G,96.35%,G,1:05:18,R,0:56:44,,2484/2576,R,2391/2576,R
4475,,-2.74%,,8.84%,G,27.19%,,33.84%,G,23.68%,,22.02%,G,19.23%,,22.66%,,2,R,147,,21.04%,R,23.81%,R,1,R,60,,81.35%,,67.12%,,0:43:54,,0:46:40,,731/2576,,271/2576,G
Total,B,-9.01%,R,2.77%,,14.68%,,17.58%,,17.51%,,5.12%,,2.35%,,13.44%,,0.25,,0.27,,33.38%,,36.04%,,0.10,,0.12,,79.11%,,64.65%,,0:53:53,,0:55:24,,270/394,,248/394,
&nbsp;,B,-6.27%,,1.87%,R,12.79%,,14.95%,R,11.80%,,6.07%,,5.17%,,9.96%,R,0.34,,0.32,R,39.17%,G,43.35%,G,0.14,,0.18,,70.60%,,63.50%,,0:49:40,,0:51:46,,21/34,,33/34,R
