BU,Region,Market,Stores,Wk7,Wk8,Wk9,Wk10,Wk11,Wk12,Wk13,Wk14,,,
B,44,344,108,"$16,932.91","$16,932.91","$16,932.91","$16,362.65","$16,362.65","$16,362.65","$16,362.65","$14,469.57",,,
E,40,360,109,"$13,345.03","$13,345.03","$13,345.03","$11,773.29","$11,773.29","$11,773.29","$11,773.29","$10,510.30",,,
A,9,89,110,"$26,589.04","$26,589.04","$26,589.04","$22,564.79","$22,564.79","$22,564.79","$22,564.79","$19,564.93",,,
B,44,410,111,"$13,079.18","$13,079.18","$13,079.18","$10,912.59","$10,912.59","$10,912.59","$10,912.59","$10,088.30",,,
A,14,138,112,"$31,570.14","$31,570.14","$31,570.14","$22,877.58","$22,877.58","$22,877.58","$22,877.58","$20,452.07",,,
B,44,349,113,"$21,922.35","$21,922.35","$21,922.35","$18,447.18","$18,447.18","$18,447.18","$18,447.18","$16,281.42",,,
A,12,4,114,"$18,704.52","$18,704.52","$18,704.52","$14,359.67","$14,359.67","$14,359.67","$14,359.67","$12,635.13",,,
A,14,138,115,"$17,261.69","$17,261.69","$17,261.69","$14,092.13","$14,092.13","$14,092.13","$14,092.13","$13,184.49",,,
A,42,127,116,"$4,327.10","$4,327.10","$4,327.10","$3,902.65","$3,902.65","$3,902.65","$3,902.65","$3,551.09",,,
B,44,47,117,"$8,146.88","$8,146.88","$8,146.88","$6,660.25","$6,660.25","$6,660.25","$6,660.25","$6,119.50",,,
A,12,4,118,"$17,588.63","$17,588.63","$17,588.63","$15,075.44","$15,075.44","$15,075.44","$15,075.44","$13,868.12",,,
A,42,328,119,"$26,775.85","$26,775.85","$26,775.85","$24,186.24","$24,186.24","$24,186.24","$24,186.24","$21,242.11",,,
E,41,146,120,"$17,414.18","$17,414.18","$17,414.18","$15,019.21","$15,019.21","$15,019.21","$15,019.21","$13,153.73",,,
B,44,351,121,"$18,236.34","$18,236.34","$18,236.34","$15,634.64","$15,634.64","$15,634.64","$15,634.64","$14,477.42",,,
E,40,335,122,"$14,979.60","$14,979.60","$14,979.60","$13,089.84","$13,089.84","$13,089.84","$13,089.84","$11,724.07",,,
B,44,351,123,"$14,042.31","$14,042.31","$14,042.31","$12,742.93","$12,742.93","$12,742.93","$12,742.93","$10,874.86",,,
A,42,324,124,"$20,564.06","$20,564.06","$20,564.06","$19,392.20","$19,392.20","$19,392.20","$19,392.20","$17,828.94",,,
A,42,321,125,"$26,186.68","$26,186.68","$26,186.68","$22,391.81","$22,391.81","$22,391.81","$22,391.81","$19,441.13",,,
A,42,324,126,"$18,685.96","$18,685.96","$18,685.96","$15,303.11","$15,303.11","$15,303.11","$15,303.11","$13,362.97",,,
A,42,325,127,"$18,198.30","$18,198.30","$18,198.30","$15,701.53","$15,701.53","$15,701.53","$15,701.53","$13,521.70",,,
A,12,329,128,"$18,285.16","$18,285.16","$18,285.16","$15,544.04","$15,544.04","$15,544.04","$15,544.04","$13,532.62",,,
B,44,350,129,"$28,949.79","$28,949.79","$28,949.79","$24,962.58","$24,962.58","$24,962.58","$24,962.58","$21,476.64",,,
B,44,347,130,"$32,344.24","$32,344.24","$32,344.24","$25,244.22","$25,244.22","$25,244.22","$25,244.22","$22,199.60",,,
B,44,47,131,"$26,103.14","$26,103.14","$26,103.14","$22,493.74","$22,493.74","$22,493.74","$22,493.74","$19,686.15",,,
B,44,344,132,"$8,601.26","$8,601.26","$8,601.26","$7,556.75","$7,556.75","$7,556.75","$7,556.75","$6,778.24",,,
A,42,325,133,"$9,351.37","$9,351.37","$9,351.37","$7,231.46","$7,231.46","$7,231.46","$7,231.46","$6,316.27",,,
B,44,344,134,"$19,651.76","$19,651.76","$19,651.76","$17,010.30","$17,010.30","$17,010.30","$17,010.30","$14,695.34",,,
E,40,360,135,"$15,846.61","$15,846.61","$15,846.61","$14,130.90","$14,130.90","$14,130.90","$14,130.90","$12,025.85",,,
B,44,345,136,"$6,623.83","$6,623.83","$6,623.83","$4,477.53","$4,477.53","$4,477.53","$4,477.53","$3,687.79",,,
B,44,352,137,"$22,995.82","$22,995.82","$22,995.82","$19,744.78","$19,744.78","$19,744.78","$19,744.78","$16,488.65",,,
E,40,357,138,"$20,311.75","$20,311.75","$20,311.75","$18,017.32","$18,017.32","$18,017.32","$18,017.32","$15,163.05",,,
B,44,353,139,"$14,468.12","$14,468.12","$14,468.12","$12,767.00","$12,767.00","$12,767.00","$12,767.00","$12,243.57",,,
B,6,503,140,"$31,922.16","$31,922.16","$31,922.16","$27,039.85","$27,039.85","$27,039.85","$27,039.85","$23,738.41",,,
A,42,321,141,"$25,039.85","$25,039.85","$25,039.85","$22,363.40","$22,363.40","$22,363.40","$22,363.40","$19,651.46",,,
E,41,253,143,"$22,515.92","$22,515.92","$22,515.92","$19,459.88","$19,459.88","$19,459.88","$19,459.88","$18,701.01",,,
A,42,322,144,"$27,059.53","$27,059.53","$27,059.53","$24,995.74","$24,995.74","$24,995.74","$24,995.74","$21,527.60",,,
E,40,339,145,"$11,902.43","$11,902.43","$11,902.43","$9,842.75","$9,842.75","$9,842.75","$9,842.75","$8,849.53",,,
B,5,46,146,"$16,526.78","$16,526.78","$16,526.78","$14,126.96","$14,126.96","$14,126.96","$14,126.96","$12,030.36",,,
B,44,350,147,"$22,418.72","$22,418.72","$22,418.72","$20,454.28","$20,454.28","$20,454.28","$20,454.28","$17,635.63",,,
B,44,47,148,"$30,088.98","$30,088.98","$30,088.98","$25,250.73","$25,250.73","$25,250.73","$25,250.73","$22,980.76",,,
A,42,135,149,"$9,663.79","$9,663.79","$9,663.79","$9,009.93","$9,009.93","$9,009.93","$9,009.93","$8,104.54",,,
B,44,344,150,"$19,583.66","$19,583.66","$19,583.66","$18,819.02","$18,819.02","$18,819.02","$18,819.02","$14,061.90",,,
B,44,350,151,"$27,315.89","$27,315.89","$27,315.89","$23,548.47","$23,548.47","$23,548.47","$23,548.47","$22,171.87",,,
E,40,335,152,"$22,160.59","$22,160.59","$22,160.59","$16,335.28","$16,335.28","$16,335.28","$16,335.28","$14,825.91",,,
A,12,4,153,"$17,774.40","$17,774.40","$17,774.40","$15,106.55","$15,106.55","$15,106.55","$15,106.55","$13,481.00",,,
E,20,311,154,"$22,798.88","$22,798.88","$22,798.88","$18,014.86","$18,014.86","$18,014.86","$18,014.86","$18,992.16",,,
A,12,136,155,"$17,453.54","$17,453.54","$17,453.54","$15,120.94","$15,120.94","$15,120.94","$15,120.94","$13,448.80",,,
A,42,328,157,"$31,064.13","$31,064.13","$31,064.13","$26,182.85","$26,182.85","$26,182.85","$26,182.85","$23,264.09",,,
B,44,350,158,"$14,321.95","$14,321.95","$14,321.95","$12,761.25","$12,761.25","$12,761.25","$12,761.25","$11,154.29",,,
E,40,359,159,"$21,524.88","$21,524.88","$21,524.88","$17,894.64","$17,894.64","$17,894.64","$17,894.64","$15,225.89",,,
A,42,328,160,"$15,894.24","$15,894.24","$15,894.24","$13,268.22","$13,268.22","$13,268.22","$13,268.22","$12,377.81",,,
A,12,147,161,"$11,859.19","$11,859.19","$11,859.19","$10,311.87","$10,311.87","$10,311.87","$10,311.87","$8,921.32",,,
B,44,349,162,"$10,239.48","$10,239.48","$10,239.48","$9,142.02","$9,142.02","$9,142.02","$9,142.02","$8,654.82",,,
B,6,503,163,"$26,872.53","$26,872.53","$26,872.53","$23,756.64","$23,756.64","$23,756.64","$23,756.64","$20,342.24",,,
A,12,4,164,"$20,725.44","$20,725.44","$20,725.44","$17,540.24","$17,540.24","$17,540.24","$17,540.24","$15,200.32",,,
B,5,46,165,"$20,771.90","$20,771.90","$20,771.90","$16,685.24","$16,685.24","$16,685.24","$16,685.24","$14,775.90",,,
E,40,357,166,"$12,222.34","$12,222.34","$12,222.34","$10,074.07","$10,074.07","$10,074.07","$10,074.07","$8,772.08",,,
A,42,327,167,"$11,849.87","$11,849.87","$11,849.87","$10,710.13","$10,710.13","$10,710.13","$10,710.13","$10,021.22",,,
B,44,345,168,"$26,830.62","$26,830.62","$26,830.62","$23,344.25","$23,344.25","$23,344.25","$23,344.25","$19,732.36",,,
A,42,326,169,"$11,255.46","$11,255.46","$11,255.46","$9,355.14","$9,355.14","$9,355.14","$9,355.14","$8,687.42",,,
B,13,134,170,"$21,509.28","$21,509.28","$21,509.28","$18,703.52","$18,703.52","$18,703.52","$18,703.52","$15,415.11",,,
A,42,327,171,"$18,268.09","$18,268.09","$18,268.09","$16,019.80","$16,019.80","$16,019.80","$16,019.80","$13,040.62",,,
E,40,336,172,"$23,627.75","$23,627.75","$23,627.75","$19,872.42","$19,872.42","$19,872.42","$19,872.42","$18,310.09",,,
E,40,357,173,"$13,193.81","$13,193.81","$13,193.81","$11,178.81","$11,178.81","$11,178.81","$11,178.81","$9,614.97",,,
A,9,92,174,"$25,007.68","$25,007.68","$25,007.68","$21,911.51","$21,911.51","$21,911.51","$21,911.51","$19,056.13",,,
A,12,144,175,"$21,244.35","$21,244.35","$21,244.35","$18,506.22","$18,506.22","$18,506.22","$18,506.22","$18,566.87",,,
A,12,4,176,"$6,811.08","$6,811.08","$6,811.08","$5,712.85","$5,712.85","$5,712.85","$5,712.85","$5,119.02",,,
E,41,146,177,"$25,040.22","$25,040.22","$25,040.22","$22,493.16","$22,493.16","$22,493.16","$22,493.16","$18,197.80",,,
B,44,344,178,"$9,028.15","$9,028.15","$9,028.15","$8,142.17","$8,142.17","$8,142.17","$8,142.17","$7,146.27",,,
E,40,357,179,"$17,367.96","$17,367.96","$17,367.96","$15,124.72","$15,124.72","$15,124.72","$15,124.72","$13,258.11",,,
B,5,46,180,"$23,088.77","$23,088.77","$23,088.77","$19,679.04","$19,679.04","$19,679.04","$19,679.04","$16,239.32",,,
B,44,47,181,"$15,939.67","$15,939.67","$15,939.67","$13,764.42","$13,764.42","$13,764.42","$13,764.42","$11,703.36",,,
A,12,136,182,"$25,036.53","$25,036.53","$25,036.53","$19,402.82","$19,402.82","$19,402.82","$19,402.82","$17,539.71",,,
A,14,138,183,"$18,278.89","$18,278.89","$18,278.89","$13,017.40","$13,017.40","$13,017.40","$13,017.40","$12,294.36",,,
E,40,361,184,"$34,624.88","$34,624.88","$34,624.88","$29,022.69","$29,022.69","$29,022.69","$29,022.69","$25,240.30",,,
B,44,350,185,"$26,654.87","$26,654.87","$26,654.87","$22,556.78","$22,556.78","$22,556.78","$22,556.78","$19,757.45",,,
B,44,409,186,"$16,095.90","$16,095.90","$16,095.90","$13,740.37","$13,740.37","$13,740.37","$13,740.37","$12,422.60",,,
E,40,335,188,"$27,055.11","$27,055.11","$27,055.11","$22,958.97","$22,958.97","$22,958.97","$22,958.97","$22,642.01",,,
E,40,359,189,"$21,639.84","$21,639.84","$21,639.84","$18,433.13","$18,433.13","$18,433.13","$18,433.13","$15,760.23",,,
A,12,329,190,"$18,589.35","$18,589.35","$18,589.35","$14,437.80","$14,437.80","$14,437.80","$14,437.80","$13,565.35",,,
A,12,147,192,"$30,831.13","$30,831.13","$30,831.13","$24,603.72","$24,603.72","$24,603.72","$24,603.72","$21,336.99",,,
B,6,60,194,"$28,286.29","$28,286.29","$28,286.29","$24,891.54","$24,891.54","$24,891.54","$24,891.54","$20,959.57",,,
E,40,360,195,"$17,544.92","$17,544.92","$17,544.92","$15,659.98","$15,659.98","$15,659.98","$15,659.98","$13,350.75",,,
E,25,271,196,"$22,097.20","$22,097.20","$22,097.20","$15,256.62","$15,256.62","$15,256.62","$15,256.62","$13,184.26",,,
E,25,278,197,"$21,435.37","$21,435.37","$21,435.37","$19,438.34","$19,438.34","$19,438.34","$19,438.34","$18,206.68",,,
E,25,272,198,"$15,402.71","$15,402.71","$15,402.71","$12,850.95","$12,850.95","$12,850.95","$12,850.95","$11,522.35",,,
E,25,278,199,"$20,231.04","$20,231.04","$20,231.04","$15,758.85","$15,758.85","$15,758.85","$15,758.85","$14,778.00",,,
E,25,275,200,"$25,816.84","$25,816.84","$25,816.84","$21,922.36","$21,922.36","$21,922.36","$21,922.36","$19,219.78",,,
E,25,341,201,"$28,374.75","$28,374.75","$28,374.75","$23,559.55","$23,559.55","$23,559.55","$23,559.55","$19,352.34",,,
B,5,51,202,"$16,393.44","$16,393.44","$16,393.44","$15,987.75","$15,987.75","$15,987.75","$15,987.75","$12,571.62",,,
E,40,359,203,"$9,382.03","$9,382.03","$9,382.03","$8,512.78","$8,512.78","$8,512.78","$8,512.78","$7,496.71",,,
E,41,253,204,"$18,251.70","$18,251.70","$18,251.70","$14,967.53","$14,967.53","$14,967.53","$14,967.53","$13,876.87",,,
A,14,138,205,"$20,791.51","$20,791.51","$20,791.51","$17,599.53","$17,599.53","$17,599.53","$17,599.53","$15,404.99",,,
B,5,52,206,"$20,735.12","$20,735.12","$20,735.12","$19,209.24","$19,209.24","$19,209.24","$19,209.24","$14,996.48",,,
B,44,345,207,"$8,775.09","$8,775.09","$8,775.09","$7,909.27","$7,909.27","$7,909.27","$7,909.27","$6,628.51",,,
A,42,321,209,"$4,403.69","$4,403.69","$4,403.69","$3,835.82","$3,835.82","$3,835.82","$3,835.82","$3,377.28",,,
B,44,351,210,"$5,807.03","$5,807.03","$5,807.03","$4,791.74","$4,791.74","$4,791.74","$4,791.74","$4,393.45",,,
