Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5,5480,DOORDASH,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202226,87.14%,63.59%,10.6,84.30%,93.10%,81.80%,91.00%
5,940,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Store Focus,202226,90.91%,78.75%,11.3,92.40%,89.50%,94.50%,86.70%
64,3198,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202226,76.49%,53.96%,16.9,65.90%,71.80%,73.60%,92.90%
64,3341,SPARK,Scheduled Standard Delivery,47,Executive Review,Degrading,Store Focus,202226,76.86%,77.86%,11,79.10%,78.20%,70.40%,79.50%
64,7224,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202226,91.08%,80.89%,13.6,93.50%,91.00%,86.70%,93.70%
16,1967,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202226,89.21%,88.07%,15.8,95.80%,93.70%,90.40%,79.60%
16,1967,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202226,89.79%,89.23%,12.7,98.40%,91.40%,92.10%,77.10%
16,2174,UBER,Scheduled Standard Delivery,8,Executive Review,Recovering,Store Focus,202226,78.18%,84.59%,16.9,96.10%,81.10%,67.50%,73.30%
16,2228,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Driver Supply Focus,202226,94.12%,94.44%,7.4,100.00%,100.00%,83.30%,100.00%
16,2386,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202226,89.08%,90.58%,10.5,89.20%,94.50%,93.20%,81.20%
16,2386,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202226,80.18%,91.32%,9.8,86.00%,91.00%,75.20%,67.10%
16,5278,DOORDASH,Scheduled Standard Delivery,26,Executive Review,Recovering,Store Focus,202226,73.40%,75.79%,30.6,91.70%,80.10%,66.40%,50.30%
16,5278,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Store Focus,202226,73.31%,75.89%,24.2,91.70%,71.80%,70.30%,53.00%
16,2012,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202226,90.47%,88.88%,9.5,89.70%,91.90%,88.60%,92.00%
16,2158,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202226,83.97%,80.51%,17.5,84.70%,92.30%,69.60%,90.30%
16,2629,POINTPICKUP,Scheduled Express Delivery ,27,Executive Review,Degrading,Store Focus,202226,83.33%,81.44%,11.5,82.40%,81.00%,90.50%,78.90%
16,3409,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202226,87.95%,82.98%,11.2,84.90%,93.80%,95.80%,79.40%
16,4387,DOORDASH,Scheduled Standard Delivery,28,Executive Review,Degrading,Store Focus,202226,87.80%,74.50%,13.6,70.40%,82.80%,100.00%,84.70%
16,1762,SPARK,Scheduled Standard Delivery,22,Executive Review,Degrading,Store Focus,202226,87.09%,67.98%,11.8,89.90%,90.60%,79.70%,87.10%
16,2222,SPARK,Scheduled Standard Delivery,28,Executive Review,Degrading,Store Focus,202226,77.20%,78.22%,14.6,76.90%,71.40%,85.40%,72.90%
16,3114,SPARK,Scheduled Standard Delivery,34,Executive Review,Degrading,Store Focus,202226,67.73%,62.20%,23.5,69.80%,68.90%,64.80%,68.00%
16,3535,DOORDASH,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202226,86.72%,74.52%,12.4,85.50%,73.80%,92.90%,89.70%
16,3535,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202226,91.79%,80.85%,10,97.20%,92.90%,94.50%,83.30%
16,1970,DOORDASH,Scheduled Standard Delivery,43,Executive Review,Degrading,Store Focus,202226,84.72%,58.61%,14.4,88.50%,83.20%,85.80%,81.30%
16,1970,SPARK,Scheduled Standard Delivery,10,Executive Review,Recovering,Store Focus,202226,88.06%,66.15%,14.2,92.70%,81.80%,92.10%,85.40%
16,2103,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202226,80.09%,65.59%,19.7,81.40%,82.10%,80.00%,77.40%
16,2128,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202226,75.86%,84.23%,12.4,68.60%,78.70%,75.00%,81.50%
16,2128,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202226,90.16%,82.93%,13,92.00%,91.10%,86.60%,90.70%
16,2336,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202226,75.23%,55.83%,31.3,73.90%,70.00%,84.40%,71.60%
16,2336,SPARK,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202226,68.89%,55.79%,24.3,76.70%,66.00%,62.90%,71.80%
