Store Number,Department Category Description ,WK05,WK06,WK07,WK08,WK09,WK10,WK11,WK12,WK13,WK14,WK15,WK16,WK17,WK18,WK19,WK20,WK21,WK22,WK23,WK24,WK25,WK26,WK27,WK28,WK29,WK30,WK31,WK32,WK33,WK34,WK35,WK36,WK37,WK38,WK39,WK40,WK41,WK42,WK43,WK44,WK45,WK46,WK47,WK48,WK49,WK50,WK51,WK52,WK01,WK02,WK03,WK04,WK05,,,
1674,FULL SIZE GRIDDLES,1,,1,8,4,3,7,3,10,9,1,2,10,10,4,7,14,6,9,6,3,3,4,2,3,5,3,4,,2,1,,3,,1,,1,3,5,3,1,1,3,5,,,1,1,1,1,,2,1,,,
1674,FULL SIZE PELLET GRILLS,1,,,,2,1,8,3,4,,,2,2,4,7,3,2,3,1,1,2,,2,3,2,,2,5,5,1,3,4,1,1,,2,,2,,2,,2,,1,,,,2,1,,2,1,,,,
1675,COMBO GRILLS,1,,0,,1,1,2,1,,1,,,1,2,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,1,3,,1,,,
1675,FULL SIZE GAS GRILLS,1,2,1,,1,2,5,4,3,4,8,4,3,7,4,2,6,7,,2,2,2,3,1,2,1,2,,3,,2,1,1,,1,1,,,,,,,1,,,,1,1,,1,,,,,,
1675,FULL SIZE GRIDDLES,1,,,3,,4,1,,6,2,7,3,1,5,,1,9,2,,2,,1,3,,,2,5,2,1,3,,1,,1,,,1,,1,2,,,6,,1,,,,,,1,1,,,,
1675,FULL SIZE PELLET GRILLS,2,2,,,1,,,1,,,,,,,1,,2,,1,,,,2,,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,COMBO GRILLS,,1,,,,2,,,2,,,,2,,2,1,2,,1,2,,,1,,,,1,1,2,1,2,,1,,1,,,,,1,,,,,,,,1,,,,,,,,
1676,FULL SIZE GAS GRILLS,5,7,7,3,5,4,4,5,5,9,5,6,8,12,9,5,7,10,15,3,5,2,0,2,1,3,2,2,4,8,2,,2,1,2,,,,1,,,2,1,1,1,,,,1,,3,5,,,,
1676,FULL SIZE GRIDDLES,1,4,1,7,1,3,5,2,1,5,7,3,7,3,6,8,6,4,5,3,1,4,1,1,3,2,1,4,2,6,6,3,6,2,2,1,1,3,2,7,2,1,4,2,,1,,,1,,,2,,,,
1676,FULL SIZE PELLET GRILLS,1,1,3,2,2,4,3,2,1,3,9,,4,12,1,4,5,2,3,1,1,,4,1,1,2,2,2,,5,2,1,2,2,,,1,1,2,,1,1,,,3,1,,,,1,1,2,2,,,
1677,COMBO GRILLS,,1,,,,,1,,1,2,4,,1,2,2,1,2,1,,1,2,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,
1677,FULL SIZE GAS GRILLS,,2,7,3,6,8,5,8,6,13,13,10,26,18,7,9,15,10,4,11,14,4,3,8,5,3,4,8,1,7,3,,1,4,1,,1,,,,,,,1,2,,,1,,,3,,,,,
1677,FULL SIZE GRIDDLES,1,3,1,3,2,4,2,2,10,3,7,8,9,4,1,7,11,3,5,3,4,5,6,1,3,3,4,,5,1,1,2,,1,,1,,,1,,1,1,2,1,,,,,,,,,1,,,
1677,FULL SIZE PELLET GRILLS,2,1,,1,2,,,,,,2,1,2,1,1,7,,1,,,,3,1,2,,,4,2,,0,,1,,,,1,1,,,,1,1,1,,,,1,,1,,,2,,,,
1678,COMBO GRILLS,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,FULL SIZE GAS GRILLS,1,1,,1,,,1,3,1,2,1,2,2,3,,3,2,4,4,4,1,,1,3,3,3,1,2,1,,,,3,,1,,1,,2,1,,1,,,,,,,1,,,,,,,
1678,FULL SIZE GRIDDLES,1,1,1,2,1,1,2,,1,2,,1,1,2,5,3,0,,3,3,2,3,1,1,1,2,1,1,1,,,,,,1,1,,,4,2,2,,2,1,1,,,,,,,0,1,,,
1678,FULL SIZE PELLET GRILLS,,,,,,,1,,1,,,,1,0,1,1,,1,,1,,,,,1,2,2,,2,2,2,,,1,,,1,,,,,,,1,2,1,,1,1,,,,,,,
1679,COMBO GRILLS,1,,,,,1,,,1,1,1,,,3,,,,,,,1,1,,,,,1,3,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,
1679,FULL SIZE GAS GRILLS,1,1,6,6,3,3,5,6,7,4,9,12,16,4,7,6,5,5,3,4,6,8,10,3,3,5,5,6,1,4,3,1,2,,,,1,,,,,1,2,,,,,1,,,2,,1,,,
1679,FULL SIZE GRIDDLES,,5,2,1,7,6,4,3,1,4,6,10,6,10,7,10,11,4,9,6,3,9,5,2,3,1,1,1,,,,,,,1,2,1,,2,4,1,1,5,,,1,1,2,,2,1,2,,,,
1679,FULL SIZE PELLET GRILLS,6,2,,,4,1,3,1,1,1,5,,,0,4,3,1,6,5,3,,8,3,,1,2,2,2,,,,,,1,1,,1,,,,1,1,,1,,2,,,,2,,1,,,,
1680,COMBO GRILLS,1,,,1,,2,,,1,3,,,1,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,FULL SIZE GAS GRILLS,6,1,4,7,6,5,8,11,4,5,8,6,13,11,9,12,16,30,29,13,6,11,13,8,11,6,4,5,8,7,9,7,1,6,7,8,4,1,5,4,5,4,3,2,1,,,1,1,,,8,2,,,
1680,FULL SIZE GRIDDLES,1,2,,1,,3,2,0,1,2,4,2,3,1,1,3,9,4,2,3,2,3,,2,,4,2,2,,1,1,1,1,,1,,2,,1,5,,1,2,2,,1,,1,2,1,3,1,,,,
1680,FULL SIZE PELLET GRILLS,,1,,,,,,,,,,,2,1,,,3,,1,1,1,,,,,,,,,,,4,4,,,,,,1,,,,1,1,1,1,1,1,,1,,,,,,
1681,FULL SIZE GAS GRILLS,,,3,,1,1,2,1,3,,3,6,4,10,1,8,6,8,7,7,4,1,1,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1681,FULL SIZE GRIDDLES,,,,,,,1,1,1,,1,3,2,,2,2,,1,1,,1,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,
1681,FULL SIZE PELLET GRILLS,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,1,,,,1,,,,,
1682,COMBO GRILLS,,1,,,2,,1,,1,1,,1,2,2,,1,1,2,1,0,,,1,,,1,0,,,1,1,,1,,,,,,,,,,,,,1,,,,,1,,,,,
1682,FULL SIZE GAS GRILLS,,3,,1,2,2,4,2,5,2,1,,4,2,4,4,7,6,8,2,2,3,3,2,2,4,2,9,5,7,3,1,2,1,1,,,,,,1,,1,1,,1,1,2,1,2,3,,2,,,
1682,FULL SIZE GRIDDLES,1,2,1,2,3,4,2,4,2,1,4,3,3,6,3,10,6,4,5,3,,,,3,3,1,5,3,3,,,,1,1,,,,2,1,1,1,2,,1,2,,1,,1,2,1,1,,,,
1682,FULL SIZE PELLET GRILLS,,,1,1,,,,1,2,3,0,,1,3,3,,,4,4,2,,1,1,2,,,3,3,2,1,,,2,,1,2,,,,,,3,1,1,,1,1,,,2,,1,,,,
1683,COMBO GRILLS,,,,,,,,,,1,1,1,,2,,,,,,,1,,2,,1,,1,4,,2,2,,,,1,,,,,,1,,1,1,,,4,1,,,,,,,,
1683,FULL SIZE GAS GRILLS,2,3,5,2,5,2,3,2,2,2,1,7,5,5,5,3,3,9,3,2,1,1,1,2,1,3,2,1,1,3,,,,2,,,,,1,,,1,,,,1,1,1,,2,1,2,,,,
1683,FULL SIZE GRIDDLES,1,,1,2,2,2,1,1,,4,2,4,1,3,3,5,2,1,1,,2,2,5,4,,1,3,2,,,,,2,,,1,,1,1,5,2,,1,1,,,1,3,,,,2,1,,,
1683,FULL SIZE PELLET GRILLS,1,1,3,3,,2,4,,2,1,1,1,1,5,1,3,3,1,3,,2,2,5,4,,2,7,3,1,4,,1,,1,2,,,1,,1,4,2,1,1,1,1,,1,,4,1,1,2,,,
1684,COMBO GRILLS,,,,,1,,1,1,1,,,2,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,
1684,FULL SIZE GAS GRILLS,1,,2,,,3,3,1,8,6,4,8,6,7,3,5,7,9,10,4,1,2,4,2,2,2,1,1,,1,1,,1,,,1,,1,,,,,,,2,,,,,,,,,,,
1684,FULL SIZE GRIDDLES,,1,,1,3,3,1,2,2,1,2,4,3,1,4,4,3,4,2,3,2,1,1,,1,,3,2,1,,,,,,,,2,2,2,4,1,,,0,1,,1,3,,,,,,,,
1684,FULL SIZE PELLET GRILLS,,,,0,,1,1,,1,1,1,1,2,2,1,,2,3,2,0,1,1,,1,2,,,,1,,2,,,3,,,1,2,,,1,,,,,,,2,,1,,1,,,,
1685,COMBO GRILLS,,,,2,,,1,,,,,1,,,1,,2,1,2,,,1,,1,1,,1,1,2,,,,,,,,,,1,,,,,,,,,,,1,,,,,,
1685,FULL SIZE GAS GRILLS,1,1,5,5,4,3,9,5,4,7,15,11,8,9,4,10,11,16,11,4,5,1,5,5,2,3,1,6,6,3,3,6,,,,1,1,,,,,,1,1,,,,,,,1,2,2,,,
1685,FULL SIZE GRIDDLES,2,3,2,1,,,,1,2,1,3,3,2,4,2,4,3,3,3,,1,2,2,3,,1,3,,,,1,1,1,3,1,,,,,,,1,1,2,,,,,,1,2,1,,,,
1685,FULL SIZE PELLET GRILLS,,2,3,,,2,,,,1,1,2,2,4,1,5,3,1,3,,1,1,4,1,2,,1,3,5,3,,2,,1,1,,,,2,,,1,1,1,,,,,,,2,,,,,
1686,COMBO GRILLS,1,,,,,,,1,,,3,1,,,1,3,1,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1686,FULL SIZE GAS GRILLS,3,1,4,2,9,7,2,6,5,6,8,7,11,8,3,11,18,7,13,9,8,3,4,3,3,4,16,10,4,2,1,2,2,3,,3,1,3,3,2,1,1,2,2,,1,1,2,,1,1,1,,,,
1686,FULL SIZE GRIDDLES,,,,,3,,1,,1,1,1,,,2,,2,5,,1,,2,,1,,,4,10,,1,,,1,,3,,3,2,,,2,,,1,,,,,1,,,,,,,,
1686,FULL SIZE PELLET GRILLS,1,,,2,1,,1,1,,,,1,1,,2,4,2,1,1,,,,1,,2,1,,2,2,1,,,,,,,,,,,,,1,,,,,,,,3,,,,,
1687,COMBO GRILLS,,3,1,,,2,1,,1,2,,1,,2,,,3,,1,,,,1,,,,1,1,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,
1687,FULL SIZE GAS GRILLS,1,1,2,1,1,3,4,3,4,3,1,1,4,8,2,3,6,10,7,,4,1,2,1,5,2,1,5,,2,,3,1,2,1,1,1,2,,1,,,2,1,1,,1,,1,7,1,5,,,,
1687,FULL SIZE GRIDDLES,1,1,,4,1,3,4,3,2,6,5,3,2,5,7,11,12,3,8,7,5,,5,3,3,2,2,4,4,2,1,,1,,,2,,4,2,4,6,4,1,1,,,1,1,,2,5,1,,,,
1687,FULL SIZE PELLET GRILLS,,,1,,,,1,,4,,2,1,1,3,2,1,3,1,4,2,1,,,,,2,,6,,,1,2,,,,,,2,3,,1,,,2,2,,1,1,,1,,4,,,,
1688,FULL SIZE GAS GRILLS,1,,1,3,1,3,6,1,,2,1,,2,5,4,4,7,4,5,,3,2,3,3,4,,1,2,1,,3,,1,,,2,,2,2,,,1,5,,3,1,1,2,1,2,1,3,,,,
1688,FULL SIZE GRIDDLES,1,,,3,2,,2,2,1,2,1,1,,,2,3,2,1,,2,2,1,1,,,1,2,1,,1,1,,,,,,,,1,,2,,2,,1,,,1,1,0,2,2,1,,,
1688,FULL SIZE PELLET GRILLS,1,,,,,1,,,,1,1,,,3,,,,1,,1,,,,1,,1,,2,,2,,,,,,,,,,1,,,,,,,,,,,2,1,2,,,
1689,COMBO GRILLS,,,,1,1,2,1,2,1,2,2,2,0,4,,2,1,,2,1,2,,1,1,3,2,2,1,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,
1689,FULL SIZE GAS GRILLS,3,1,1,2,7,8,4,8,4,3,11,8,4,6,11,5,16,14,20,13,7,4,6,12,7,3,10,18,13,1,1,1,2,,4,,,,,,1,2,,,1,,,2,,2,,1,,,,
1689,FULL SIZE GRIDDLES,1,2,3,5,3,5,1,1,3,3,3,2,4,4,3,7,8,6,3,7,2,3,3,5,1,2,4,6,5,4,1,3,3,1,,,,1,2,2,1,1,1,1,,,,1,2,1,1,,1,,,
1689,FULL SIZE PELLET GRILLS,,2,,1,3,3,2,2,3,5,0,1,2,1,2,2,2,2,3,3,1,2,,2,2,2,5,5,7,7,4,4,0,2,,,,,1,,,,2,1,,1,,,2,1,1,2,,,,
1690,COMBO GRILLS,,,,,,,,,1,3,,,,1,1,,3,,,,,,,,1,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,1,,,,
1690,FULL SIZE GAS GRILLS,,4,3,3,4,2,2,5,4,3,3,8,7,14,4,6,8,6,3,3,1,3,3,,1,,6,2,4,3,,,,,1,,,,1,,,,2,1,,1,1,2,,2,1,9,2,,,
1690,FULL SIZE GRIDDLES,3,1,3,4,3,2,,5,1,2,7,5,2,4,4,4,5,4,3,,3,3,2,2,2,2,2,1,2,,1,1,,1,,2,2,,4,1,1,3,1,1,2,,,,,,3,2,1,,,
1690,FULL SIZE PELLET GRILLS,1,2,,1,2,1,2,,,2,2,3,,,2,1,1,,1,,,,,,2,,4,3,2,1,2,2,1,,1,,,1,1,,,,,,,,,,,,,1,,,,
1691,COMBO GRILLS,,1,0,1,,1,,,,1,1,,,,,1,,1,,,,,,,1,,2,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,
1691,FULL SIZE GAS GRILLS,,1,1,2,2,1,4,3,4,1,2,1,0,,,2,3,5,3,3,1,5,1,6,5,0,2,3,,1,2,,1,,1,,,,,,,,,,,0,,,1,1,2,3,2,,,
1691,FULL SIZE GRIDDLES,,1,2,,,1,2,4,3,,,2,0,,2,2,2,1,2,4,2,1,2,2,2,6,3,14,9,2,1,,1,5,,,,1,4,3,1,2,5,1,,0,,,1,,1,,,,,
1691,FULL SIZE PELLET GRILLS,,,1,,2,,,,1,,2,,,1,,3,3,1,1,,,,,2,1,4,2,,,1,,,,,,,,,1,,,,,1,,,1,,2,,,,,,,
1692,COMBO GRILLS,,,2,,1,,,,,4,,,,,,,1,1,1,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,FULL SIZE GAS GRILLS,4,2,5,3,3,2,6,4,1,4,1,5,4,6,8,11,6,8,20,7,9,5,7,6,5,4,6,1,,4,1,2,2,3,2,3,,1,,,,,,1,1,0,1,,3,1,1,1,,,,
1692,FULL SIZE GRIDDLES,,2,,,2,3,1,4,3,3,3,1,,,2,4,4,1,2,,1,2,2,4,1,1,9,1,1,,1,1,,,,,,,,,,,2,,,1,,2,,3,2,2,,,,
1692,FULL SIZE PELLET GRILLS,,,,1,,,,,,1,,,,,1,3,,,1,,1,,,,1,1,11,2,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,
1693,COMBO GRILLS,1,,,,,,2,1,1,2,1,,,,,,3,,3,1,1,2,,,,1,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,FULL SIZE GAS GRILLS,3,1,1,,3,2,2,5,2,,3,4,1,5,4,4,6,3,15,6,7,1,4,1,,4,4,21,13,8,3,2,,1,4,1,,,,,1,,,,,,,,,1,,,1,,,
1693,FULL SIZE GRIDDLES,,1,2,1,1,1,2,3,2,4,5,2,3,5,7,6,9,2,4,2,4,1,3,3,1,5,7,12,4,3,,1,,,,,,2,2,,1,2,1,,1,3,2,1,2,1,3,1,1,,,
1693,FULL SIZE PELLET GRILLS,,,1,1,,2,3,,,1,1,1,2,0,1,4,,,1,,1,,,,2,1,3,7,9,5,,,,,,0,,,,,,,,,,1,1,,,1,1,,1,,,
1694,COMBO GRILLS,1,,,1,1,,,,1,2,1,,1,,1,1,1,1,,,,,,,,,2,2,2,,,,,0,,,,,,,,,,,,,,,,,,,1,,,
1694,FULL SIZE GAS GRILLS,2,3,1,,1,2,7,2,1,6,3,6,4,9,9,5,11,5,3,5,2,2,2,1,,1,1,,1,1,,1,1,,,1,,,,,,,2,,,,,,1,,1,3,1,,,
1694,FULL SIZE GRIDDLES,5,,4,5,5,,4,4,2,3,6,7,5,6,5,16,13,6,11,3,3,2,5,0,2,1,2,4,2,2,1,,,2,1,1,1,1,1,2,2,1,4,5,1,1,,2,3,1,4,9,1,,,
1694,FULL SIZE PELLET GRILLS,,,1,,,,,,,1,,1,1,1,1,2,1,1,1,1,,,,,1,,,2,4,,,,,,,2,,1,,2,,,2,,,1,,,1,1,2,,,,,
1695,COMBO GRILLS,,,,,,1,,1,,1,2,3,1,1,,2,2,5,1,,1,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
1695,FULL SIZE GAS GRILLS,1,2,1,4,3,3,5,,2,5,6,2,5,13,10,8,5,21,11,5,2,1,2,1,2,1,7,2,3,0,,2,,1,,,1,1,,,1,1,1,,1,,,,,,,,,,,
1695,FULL SIZE GRIDDLES,2,,,2,3,1,2,1,,2,7,2,1,5,3,6,7,1,5,4,1,4,3,4,3,,1,,,1,,,1,1,,,,1,2,,,,,,,,1,1,1,,,1,1,,,
1695,FULL SIZE PELLET GRILLS,2,,1,2,2,1,,1,,1,2,2,2,1,1,9,1,6,7,1,2,2,1,4,2,,1,,,1,1,1,1,,,1,,2,,,,,,,,,1,,,,1,,,,,
1696,COMBO GRILLS,,,,,,,1,,,,1,4,1,,,2,,1,,,1,3,,,1,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1696,FULL SIZE GAS GRILLS,,,1,1,,,,1,1,2,2,4,3,6,3,4,5,1,6,1,2,2,1,3,3,1,,3,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
1696,FULL SIZE GRIDDLES,2,,,,1,2,2,1,1,5,6,2,1,4,4,8,3,5,5,2,,1,1,4,3,1,2,1,,,,,,3,,,,,2,2,1,2,,1,,,,,,,,,1,,,
1696,FULL SIZE PELLET GRILLS,,,1,1,1,1,,,,,1,2,1,4,4,4,4,1,1,2,1,,2,1,1,1,,2,2,1,,1,1,1,4,2,2,,1,3,1,,,,,2,,,,,,,1,,,
1697,FULL SIZE GAS GRILLS,0,1,1,3,2,1,1,3,3,1,0,2,,4,0,4,3,1,5,4,0,3,,1,2,3,3,3,9,3,0,1,1,,2,,,3,1,2,1,,3,2,,,,,,,2,1,,,,
1697,FULL SIZE GRIDDLES,1,1,2,1,4,2,3,1,5,2,1,3,4,7,4,5,3,1,3,,3,2,,,3,,5,1,4,,1,1,2,1,,2,1,,1,3,1,1,4,,,,,2,1,,2,2,,,,
1697,FULL SIZE PELLET GRILLS,2,,,,2,,,,1,,,,3,1,,1,2,,1,,,,1,,1,1,1,2,4,1,1,,1,,1,,1,,,1,,1,,,,,,,,1,,,,,,
1698,FULL SIZE GAS GRILLS,,1,,1,4,1,6,4,2,9,10,4,2,2,1,4,7,10,6,6,,2,3,,,1,2,5,,,1,,,,,,,,,,,,,,1,2,1,1,2,,,2,,,,
1698,FULL SIZE GRIDDLES,,3,,1,2,1,2,,4,1,1,5,2,4,6,4,4,1,4,1,1,2,1,1,2,,1,,,,1,,,,,,,,,,,,,,,,1,,1,2,1,2,1,,,
1698,FULL SIZE PELLET GRILLS,,,,,2,1,,,,,,,,1,,1,1,1,1,,1,,,,,,1,4,,,,,,,,,,,,,,,,,,,1,,3,2,,,,,,
1699,COMBO GRILLS,,1,,,,,,,1,,,2,,1,1,1,2,1,1,,,,,,1,2,,,,1,2,2,,,1,,2,2,2,,,,,1,,,,,,2,,1,,,,
1699,FULL SIZE GAS GRILLS,1,,3,1,10,5,2,4,3,3,4,4,6,6,6,6,9,5,13,4,8,2,19,4,5,2,3,6,2,7,2,2,2,2,5,1,3,4,1,,1,,1,1,1,,,,,3,2,1,1,,,
1699,FULL SIZE GRIDDLES,,2,1,,2,,2,3,3,1,3,4,4,2,1,2,3,5,3,4,1,,1,2,1,1,4,5,3,5,0,2,,,1,2,,,2,1,1,,,1,,,,2,1,2,,1,,,,
1699,FULL SIZE PELLET GRILLS,1,,3,,2,1,2,,2,,3,,,1,2,7,2,,2,1,,2,,,1,,,2,1,3,3,2,3,,,,1,,1,1,,,,,1,,,,,3,,2,,,,
1700,COMBO GRILLS,,1,1,1,,,2,1,,,1,2,1,2,1,0,,2,,,1,1,1,1,,,1,1,,,1,1,,,,,1,,,,,,,,,,,1,,,,,,,,
1700,FULL SIZE GAS GRILLS,3,3,1,2,1,3,2,1,2,3,5,3,3,2,2,1,6,14,7,7,3,6,2,15,2,1,3,2,2,3,3,,2,3,,1,,,,,,1,2,,,,,2,1,,1,1,,,,
1700,FULL SIZE GRIDDLES,3,1,2,1,2,3,4,,4,1,6,5,5,1,2,4,3,3,1,,2,5,1,1,,2,,3,,2,2,1,,,,2,,1,,1,1,,,,,,,,,2,1,3,,,,
1700,FULL SIZE PELLET GRILLS,,4,1,,,,1,,2,3,,0,1,2,2,1,,3,2,,1,,,,,1,0,3,,,,1,4,0,,,,,4,,1,,1,3,,,,3,1,,1,1,,,,
1701,FULL SIZE GAS GRILLS,,1,,1,,,2,0,,1,1,2,,2,1,2,,3,2,,,,,1,1,1,,1,,,,,1,1,,,,,,,,,1,,1,,,2,,1,1,,,,,
1701,FULL SIZE GRIDDLES,,,,1,2,,,2,,0,,,,,1,2,1,1,,,,,,,1,1,,,,,,,,1,,,,1,2,1,1,1,1,1,,,,,,1,,,2,,,
1701,FULL SIZE PELLET GRILLS,2,1,,,1,,,,1,2,,,1,2,,,,,,,,,,,2,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,
1702,COMBO GRILLS,1,,,,1,,,1,,,2,,,3,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,
1702,FULL SIZE GAS GRILLS,4,4,5,3,5,3,3,1,7,1,2,2,4,8,3,3,7,3,14,2,6,3,1,9,7,3,3,12,4,7,4,4,2,2,3,5,3,1,1,3,2,2,2,,1,,,,,,,1,1,,,
1702,FULL SIZE GRIDDLES,3,1,1,,,,,1,1,3,1,1,,2,1,2,3,1,7,1,2,,1,,1,1,1,2,,,,,,1,,,2,,1,1,1,1,5,,1,2,,,1,2,2,1,1,,,
1702,FULL SIZE PELLET GRILLS,1,1,1,,1,,,1,,1,,1,1,1,,,,1,3,1,,,,,,1,1,,1,1,0,,,1,,,,1,1,,1,,,,,,,1,,1,,,,,,
1703,COMBO GRILLS,1,,,,,,1,,,,1,1,,,,1,1,,1,,,,,,,,1,,3,3,2,,,1,1,,,,,,,1,2,,2,,,,1,,,1,,,,
1703,FULL SIZE GAS GRILLS,2,1,1,6,3,5,5,7,7,6,11,9,16,16,10,11,14,3,11,5,4,4,1,1,1,2,3,2,22,25,12,0,2,5,,3,,,2,1,,,3,,,,,,,2,,3,,,,
1703,FULL SIZE GRIDDLES,,1,2,,1,2,4,7,6,3,4,5,10,9,7,10,14,5,9,6,1,3,1,2,2,2,6,4,4,1,1,1,,1,1,1,,,1,1,,4,2,,1,,1,1,1,1,2,3,2,,,
1703,FULL SIZE PELLET GRILLS,,,,1,,2,2,1,2,1,1,,1,3,7,2,5,,2,,1,2,2,,,,5,1,3,1,,,,,1,1,,,,,,1,2,,1,3,,1,,,2,,,,,
1704,COMBO GRILLS,,,1,,1,,1,,,,2,1,,1,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1704,FULL SIZE GAS GRILLS,2,1,,1,0,2,2,1,,1,1,1,2,2,,2,4,,1,,,,2,3,1,1,1,1,1,1,,,,,,,1,,,,,,,,,,2,1,,,,1,,,,
1704,FULL SIZE GRIDDLES,,1,,,,2,1,4,2,2,1,3,3,1,3,2,5,5,3,1,,,1,,,1,1,2,4,2,,,1,,1,1,,1,1,2,,,1,,1,,,1,1,1,1,1,1,,,
1704,FULL SIZE PELLET GRILLS,,,,,1,,,,,,1,1,,,,1,1,,3,,2,1,0,1,,,1,3,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,
1705,COMBO GRILLS,,2,,,,,,1,1,2,,,1,1,1,2,2,1,1,,1,,,,,,1,4,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,
1705,FULL SIZE GAS GRILLS,2,1,4,1,6,4,7,8,5,7,10,9,7,3,2,8,6,11,7,4,5,4,3,2,5,7,3,4,1,3,1,4,2,,1,,1,,,,,2,2,,,,1,,,,,2,,,,
1705,FULL SIZE GRIDDLES,2,2,2,,,2,1,1,1,2,4,3,,2,2,7,7,2,3,,3,3,3,2,2,,2,3,1,2,,1,,,,,,,2,5,,,2,1,,,2,,,,,,,,,
1705,FULL SIZE PELLET GRILLS,1,1,,1,1,,,,2,2,,3,2,3,,4,4,1,1,,1,1,,1,1,2,1,1,,,,1,1,,,,1,,,2,2,1,1,,,1,,2,,1,,0,,,,
1707,COMBO GRILLS,,,2,,,1,,1,,,3,2,,2,,2,1,3,1,1,2,,1,,,1,,,,,1,1,,1,1,1,1,,,,,,,,,,1,,,,,1,,,,
1707,FULL SIZE GAS GRILLS,3,4,7,7,,6,13,4,15,8,11,6,13,19,7,10,22,21,17,7,3,7,6,3,3,5,5,2,2,5,3,4,1,1,0,,2,,1,1,,,1,,,,,,2,3,5,4,1,,,
1707,FULL SIZE GRIDDLES,4,2,3,6,1,2,6,5,4,10,8,6,10,14,7,9,9,11,9,6,6,4,1,5,1,3,3,3,5,6,4,4,2,1,1,,1,,2,3,2,1,4,1,,,2,1,3,4,2,4,,,,
1707,FULL SIZE PELLET GRILLS,1,1,1,2,,,2,1,2,2,,6,5,4,3,4,3,4,1,2,1,1,,,3,2,2,3,1,1,,2,3,,1,4,4,1,,2,2,1,3,,1,1,2,2,2,,1,,,,,
1708,COMBO GRILLS,,,,,,1,,,,1,,1,1,2,,,2,0,,,,1,,1,,,2,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
1708,FULL SIZE GAS GRILLS,3,1,1,,5,7,8,5,2,8,6,3,5,5,5,9,8,14,12,5,5,2,5,3,1,5,7,9,7,1,0,,2,1,,1,1,,,1,,,3,1,,,1,,,,1,,,,,
1708,FULL SIZE GRIDDLES,,,1,1,,,3,6,2,1,2,1,1,2,2,4,6,2,3,,1,3,,3,2,2,1,4,3,4,1,,,5,,,,1,3,1,3,,1,,1,,,2,,1,1,1,1,,,
1708,FULL SIZE PELLET GRILLS,,,1,1,1,2,1,,2,1,,1,1,1,2,3,6,,2,2,1,,,,2,4,5,1,3,7,1,8,,,1,,,,,,,0,,,,,,,1,1,2,,,,,
1709,COMBO GRILLS,,,,,,,,,2,,3,,4,3,,4,1,1,2,2,2,,1,,,,1,,,,3,1,3,,,,3,,,,1,1,,1,,1,,,,,,1,,,,
1709,FULL SIZE GAS GRILLS,4,8,2,2,1,6,7,3,12,7,12,14,15,19,11,15,14,17,22,6,9,12,7,4,7,4,15,9,1,2,1,1,3,1,2,2,3,,,2,3,2,1,2,3,4,,,4,3,4,,1,,,
1709,FULL SIZE GRIDDLES,4,4,2,1,2,5,8,5,4,5,13,9,9,11,12,13,16,7,8,6,6,2,4,1,2,4,2,5,3,2,,,1,1,4,,,1,1,5,2,2,6,1,1,2,3,1,1,2,1,2,,,,
1709,FULL SIZE PELLET GRILLS,2,3,1,,2,2,3,,1,4,4,2,1,3,5,8,6,1,4,1,1,,0,1,2,1,1,2,1,1,3,,,,2,,,1,3,1,,,4,1,,,,,,,1,3,,,,
