,,,,Action Alley,,,,Endcaps,,,,,,,,,,,Frozen Doors ,,,,
Store Nbr,Bakecenter + Trian ,Train No Bakecenter,Bakecenter No Train ,AA - Sparkling Water Pallet,AA - Tortilla Chips Pallet,AA - Potato Chips Pallet,AA - Cookies 1/2 Stack,1/2 EC - Coffee,1/2 EC - Soup,1/2 EC - Crackers,1/2 EC - Pasta,1/2 EC - Pasta Sauce,1/2 EC - Sparkling Water,1/2 EC - Fruit Juice,1/2 EC - Tortilla Chips,1/2 EC - Potato Chips,1/2 EC - Cookies,1/2 EC - Fruit Snacks,FD - Frozen Pizza,FD - Frozen Pot Pie,FD - Frozen Potatoes,FD - Frozen Smoothies,FD - Frozen Wings
219,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
220,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
221,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
222,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
224,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
225,,No Bakecenter,,YES,,,,,,,,,,,,,,,,,,,
226,,No Bakecenter,,,,,,,YES,,YES,YES,,,,,,,YES,,YES,YES,YES
228,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
229,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
231,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
233,,No Bakecenter,,YES,,,YES,YES,,,YES,YES,,,,,,,,,,,YES
234,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
236,Both ,,,YES,,,,YES,,,,,,,,,,,,,,,
237,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
238,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
239,Both ,,,YES,,,,YES,,,,,,,,,,,YES,,,YES,YES
242,Both ,,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,,,YES,YES
243,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
244,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
246,Both ,,,YES,YES,YES,,,,,,,,,,,,,,,,,YES
248,,No Bakecenter,,YES,,,YES,,,,YES,YES,,,,,,,YES,,,YES,YES
249,,No Bakecenter,,YES,,,,YES,YES,,,,,,,,,,YES,YES,YES,YES,YES
250,Both ,,,YES,,,,YES,,,YES,YES,,,,,,,YES,,YES,YES,YES
251,Both ,,,YES,YES,YES,YES,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
252,,No Bakecenter,,YES,,,,YES,,,YES,YES,,,,,,,,,,,
253,Both ,,,YES,YES,YES,,YES,,,YES,YES,,,,,,,YES,YES,,YES,YES
254,,No Bakecenter,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,
256,,No Bakecenter,,,,,,,,,,,,,,,,,YES,YES,YES,YES,YES
257,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
258,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,
259,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,,YES
260,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
261,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
262,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,,,,YES
264,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
265,Both ,,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,YES,YES,YES,YES
266,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,,YES
267,Both ,,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,,YES,,,YES
268,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
269,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
271,Both ,,,YES,,,,YES,YES,,,,,,,,,,YES,,YES,YES,YES
272,Both ,,,YES,YES,YES,,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
273,Both ,,,YES,,,,YES,YES,,,,,,,,,,,,,,YES
275,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,YES,,
276,,No Bakecenter,,,,,,,,,,,,,,,,,,,,,
277,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,,YES,YES,YES
278,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
279,,No Bakecenter,,YES,,,YES,YES,,YES,,,,,,,,,,,,,
280,Both ,,,YES,,,,,,YES,YES,YES,,,,,,,,,,,
281,,No Bakecenter,,YES,YES,YES,,YES,,,,,,,,,,,YES,YES,,YES,YES
282,,No Bakecenter,,YES,YES,YES,YES,YES,,YES,YES,YES,,,,,,,YES,,,YES,YES
284,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,,YES,YES,,YES
285,Both ,,,YES,,,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
286,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,,
287,,No Bakecenter,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,,YES,YES
288,,No Bakecenter,,YES,,,,YES,YES,,,,,,,,,,,,,,
294,,No Bakecenter,,,,,,YES,YES,,,,,,,,,,YES,,,,
295,Both ,,,YES,YES,YES,,YES,YES,,YES,YES,,,,,,,YES,,,YES,YES
296,Both ,,,YES,,,,YES,YES,YES,YES,YES,,,,,,,,,,,
297,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
298,Both ,,,YES,YES,YES,YES,YES,YES,YES,YES,YES,,,,,,,YES,YES,YES,YES,YES
