Store Number,NSW2 CONSOLE - QTY,NSW2 MARIO KART WLD - QTY,Total Estimate: In-store Launch (QTY) ,Time Zone,Event Type
518,6,11,17,EST,Morning Event- June 5
519,6,5,11,EST,Morning Event- June 5
520,5,11,16,EST,Morning Event- June 5
521,6,5,11,CST,Morning Event- June 5
522,4,6,10,CST,Morning Event- June 5
523,6,5,11,CST,Morning Event- June 5
524,2,5,7,CST,Morning Event- June 5
526,5,5,10,EST,Morning Event- June 5
527,4,6,10,CST,Morning Event- June 5
528,5,11,16,EST,Morning Event- June 5
529,6,11,17,CST,Morning Event- June 5
530,10,11,21,CST,Morning Event- June 5
531,2,11,13,CST,Morning Event- June 5
532,2,11,13,CST,Morning Event- June 5
533,5,11,16,CST,Morning Event- June 5
535,6,17,23,CST,Morning Event- June 5
536,6,11,17,CST,Morning Event- June 5
537,4,18,22,CST,Morning Event- June 5
538,3,11,14,EST,Morning Event- June 5
539,4,5,9,CST,Morning Event- June 5
540,8,5,13,CST,Morning Event- June 5
541,4,11,15,CST,Morning Event- June 5
542,4,11,15,CST,Morning Event- June 5
543,6,5,11,CST,Morning Event- June 5
544,2,11,13,CST,Morning Event- June 5
545,5,5,10,EST,Morning Event- June 5
546,4,11,15,CST,Morning Event- June 5
547,4,11,15,EST,Morning Event- June 5
548,2,6,8,EST,Morning Event- June 5
550,2,5,7,CST,Morning Event- June 5
551,7,11,18,EST,Morning Event- June 5
552,6,5,11,EST,Morning Event- June 5
553,6,11,17,CST,Morning Event- June 5
554,5,23,28,CST,Morning Event- June 5
555,10,11,21,EST,Morning Event- June 5
556,14,11,25,EST,Morning Event- June 5
557,8,11,19,CST,Morning Event- June 5
558,5,11,16,CST,Morning Event- June 5
559,2,16,18,CST,Morning Event- June 5
560,2,11,13,CST,Morning Event- June 5
561,5,5,10,CST,Morning Event- June 5
562,6,5,11,CST,Morning Event- June 5
563,6,11,17,EST,Morning Event- June 5
564,5,11,16,CST,Morning Event- June 5
565,9,11,20,CST,Morning Event- June 5
566,5,5,10,CST,Morning Event- June 5
567,5,5,10,CST,Morning Event- June 5
568,6,5,11,CST,Morning Event- June 5
569,10,11,21,CST,Morning Event- June 5
571,4,11,15,EST,Morning Event- June 5
572,9,11,20,CST,Morning Event- June 5
573,2,11,13,CST,Morning Event- June 5
574,4,11,15,EST,Morning Event- June 5
575,5,11,16,EST,Morning Event- June 5
576,4,11,15,CST,Morning Event- June 5
577,4,11,15,CST,Morning Event- June 5
578,7,23,30,EST,Morning Event- June 5
579,4,11,15,EST,Morning Event- June 5
580,3,11,14,EST,Morning Event- June 5
581,6,11,17,CST,Morning Event- June 5
582,4,11,15,EST,Morning Event- June 5
583,5,6,11,EST,Morning Event- June 5
584,6,11,17,EST,Morning Event- June 5
585,6,11,17,EST,Morning Event- June 5
586,2,11,13,EST,Morning Event- June 5
587,5,6,11,CST,Morning Event- June 5
588,5,11,16,EST,Morning Event- June 5
589,2,6,8,EST,Morning Event- June 5
590,4,11,15,CST,Morning Event- June 5
591,5,5,10,EST,Morning Event- June 5
592,5,11,16,CST,Morning Event- June 5
593,12,11,23,EST,Morning Event- June 5
594,4,5,9,EST,Morning Event- June 5
595,3,18,21,CST,Morning Event- June 5
596,6,5,11,CST,Morning Event- June 5
598,2,11,13,CST,Morning Event- June 5
599,2,11,13,EST,Morning Event- June 5
600,7,11,18,CST,Morning Event- June 5
601,2,11,13,CST,Morning Event- June 5
602,5,11,16,CST,Morning Event- June 5
603,2,11,13,CST,Morning Event- June 5
604,4,11,15,CST,Morning Event- June 5
605,5,6,11,EST,Morning Event- June 5
606,6,5,11,EST,Morning Event- June 5
608,10,23,33,CST,Morning Event- June 5
