Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
50,5,1178,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,85.39%,69.21%,13.2,80.60%,86.90%,86.10%,87.70%
50,5,2649,SPARK,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202230,56.43%,64.12%,21.2,63.00%,53.80%,42.40%,66.40%
50,5,5416,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,64.70%,69.59%,15.7,50.10%,67.20%,70.70%,68.60%
51,5,202,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202230,65.25%,52.41%,18.2,76.50%,39.30%,65.80%,73.70%
51,5,1117,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,66.48%,53.34%,13.6,86.70%,73.30%,61.20%,43.90%
51,5,2918,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202230,72.65%,68.39%,13.9,84.90%,84.40%,63.80%,55.50%
51,5,3406,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202230,75.23%,94.25%,13.8,73.90%,68.20%,75.50%,83.10%
52,5,467,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202230,75.54%,74.77%,18.4,76.70%,79.80%,68.60%,76.70%
52,5,2427,SPARK,Scheduled Standard Delivery,26,Executive Review,Degrading,Store Focus,202230,70.82%,76.12%,17.6,70.90%,80.30%,61.20%,72.40%
53,5,426,SPARK,Scheduled Standard Delivery,10,Executive Review,Recovering,Store Focus,202230,79.48%,69.30%,12.8,90.10%,86.60%,72.10%,68.40%
53,5,1216,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202230,84.92%,82.61%,11.9,89.80%,86.80%,83.90%,78.60%
53,5,2105,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202230,84.86%,83.05%,16.1,84.50%,80.90%,83.10%,90.90%
53,5,2996,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202230,90.76%,90.89%,10.9,90.20%,88.30%,90.20%,94.00%
53,5,5889,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Driver Supply Focus,202230,88.24%,91.96%,7.8,86.00%,97.60%,84.80%,85.70%
