Store Nbr,Market,Region,Tier,Details
870,580,25,Tier 1,ISA On in Total Store
2871,558,22,Tier 1,ISA On in Total Store
4483,149,12,Tier 1,ISA On in Total Store
5417,242,41,Tier 1,ISA On in Total Store
4603,9,61,Tier 1,ISA On in Total Store
927,71,46,Tier 1,ISA On in Total Store
2452,444,53,Tier 1,ISA On in Total Store
4499,299,26,Tier 1,ISA On in Total Store
3580,219,21,Tier 1,ISA On in Total Store
1669,438,53,Tier 1,ISA On in Total Store
3564,170,22,Tier 1,ISA On in Total Store
490,78,6,Tier 1,ISA On in Total Store
233,271,25,Tier 1,ISA On in Total Store
3561,160,16,Tier 2,GM Pause
243,339,40,Tier 1,ISA On in Total Store
5812,18,2,Tier 1,ISA On in Total Store
780,25,2,Tier 1,ISA On in Total Store
4436,24,2,Tier 1,ISA On in Total Store
405,134,13,Tier 1,ISA On in Total Store
6098,528,64,Tier 1,ISA On in Total Store
794,409,44,Tier 2,GM Pause
600,70,46,Tier 1,ISA On in Total Store
2975,561,64,Tier 1,ISA On in Total Store
2826,515,61,Tier 1,ISA On in Total Store
2715,143,13,Tier 1,ISA On in Total Store
2616,339,40,Tier 1,ISA On in Total Store
7181,29,4,Tier 1,ISA On in Total Store
406,153,12,Tier 1,ISA On in Total Store
1341,254,41,Tier 1,ISA On in Total Store
2846,144,12,Tier 1,ISA On in Total Store
111,410,44,Tier 1,ISA On in Total Store
3826,71,46,Tier 1,ISA On in Total Store
807,50,5,Tier 1,ISA On in Total Store
1226,149,12,Tier 1,ISA On in Total Store
3581,216,20,Tier 1,ISA On in Total Store
5624,504,64,Tier 1,ISA On in Total Store
5485,268,25,Tier 1,ISA On in Total Store
3605,509,59,Tier 1,ISA On in Total Store
3509,562,64,Tier 1,ISA On in Total Store
5716,566,59,Tier 1,ISA On in Total Store
3433,49,5,Tier 1,ISA On in Total Store
3409,156,16,Tier 1,ISA On in Total Store
5435,451,56,Tier 1,ISA On in Total Store
2932,122,2,Tier 1,ISA On in Total Store
1999,424,52,Tier 1,ISA On in Total Store
2828,435,53,Tier 1,ISA On in Total Store
712,5,12,Tier 1,ISA On in Total Store
1438,405,46,Tier 1,ISA On in Total Store
5102,543,64,Tier 1,ISA On in Total Store
1359,36,4,Tier 1,ISA On in Total Store
2512,369,46,Tier 1,ISA On in Total Store
1549,368,46,Tier 1,ISA On in Total Store
2951,448,57,Tier 1,ISA On in Total Store
1511,553,9,Tier 1,ISA On in Total Store
5087,37,4,Tier 2,GM Pause
4488,451,56,Tier 1,ISA On in Total Store
4415,526,64,Tier 1,ISA On in Total Store
5007,552,61,Tier 1,ISA On in Total Store
2717,141,13,Tier 1,ISA On in Total Store
1873,161,16,Tier 2,GM Pause
1988,455,56,Tier 1,ISA On in Total Store
3694,800,29,Tier 1,ISA On in Total Store
1861,422,52,Tier 1,ISA On in Total Store
660,137,12,Tier 1,ISA On in Total Store
4487,39,2,Tier 1,ISA On in Total Store
2139,157,16,Tier 2,GM Pause
5134,447,57,Tier 1,ISA On in Total Store
3367,36,4,Tier 1,ISA On in Total Store
