Store Nbr,Prime Item Nbr,Prime Item Desc,Dept Category Group Description,Curr Str On Hand Qty
1163,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,8 
1165,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1171,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1177,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1179,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1193,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
1198,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1203,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1206,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1209,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1218,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,7 
1221,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1229,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1231,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1237,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
1238,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
1239,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1240,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1244,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,6 
1245,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1248,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1252,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1261,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1271,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1281,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1284,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1291,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,5 
1299,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,6 
1304,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1311,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1313,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1318,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1319,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1324,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1326,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1327,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1332,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1333,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1339,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1340,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1347,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1351,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
1355,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,4 
1356,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,3 
1363,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,2 
1364,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,6 
1368,651772486,VT LS6381-2 2HS PHN,NETWORKING AND CONNECTIVITY,1 
