Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5740,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202251,91.30%,95.40%,11.9,94.10%,95.30%,92.30%,81.30%
494,,Scheduled Delivery Standard,39,Executive Review,Degrading,Store Focus,202251,85.80%,94.90%,14,88.60%,87.70%,85.20%,79.50%
614,,Scheduled Delivery Standard,7,Executive Review,Degrading,Store Focus,202251,74.50%,71.30%,11.4,78.40%,74.00%,73.00%,70.30%
932,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202251,80.50%,85.10%,18,85.00%,73.10%,82.70%,80.90%
1284,,Scheduled Delivery Standard,8,Executive Review,Recovering,Store Focus,202251,86.30%,80.20%,13.8,91.70%,93.30%,82.40%,76.10%
1311,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202251,77.50%,70.50%,15.8,88.40%,78.60%,80.50%,59.10%
4200,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202251,83.20%,78.70%,13.4,82.50%,89.50%,79.40%,81.20%
889,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202251,88.50%,85.10%,14.2,89.80%,83.20%,89.00%,93.10%
2615,,Scheduled Delivery Standard,43,Executive Review,Degrading,Store Focus,202251,79.40%,77.30%,21.3,86.80%,52.10%,84.90%,89.50%
5797,,Scheduled Delivery Standard,15,Executive Review,Recovering,Store Focus,202251,82.50%,83.80%,16.3,93.10%,66.50%,87.20%,80.50%
556,,Scheduled Delivery Standard,32,Executive Review,Degrading,Store Focus,202251,66.80%,60.90%,16.7,79.50%,80.10%,65.10%,41.70%
593,,Scheduled Delivery Standard,33,Executive Review,Degrading,Store Focus,202251,46.10%,36.90%,27.5,32.70%,37.10%,59.60%,55.00%
639,,Scheduled Delivery Express,5,At Risk,Degrading,Store Focus,202251,92.50%,44.20%,21.2,88.40%,90.20%,96.70%,93.80%
639,,Scheduled Delivery Standard,46,Executive Review,Degrading,Store Focus,202251,87.90%,87.00%,13.3,88.20%,88.50%,93.10%,78.80%
836,,Scheduled Delivery Standard,5,At Risk,Degrading,Store Focus,202251,79.30%,61.60%,13.8,89.50%,76.70%,73.30%,76.10%
