Store Number,Tracking Number,Ship date ,Status ,Delivered date,Service type 
5390,391049372799,7/21/2025,Delivered,7/23/2025,FedEx Ground
5036,391049373968,7/21/2025,Delivered,7/24/2025,FedEx Ground
3612,391049374298,7/21/2025,Out for delivery,,FedEx Ground
2985,391049375103,7/21/2025,Out for delivery,,FedEx Ground
2121,391049379017,7/21/2025,Out for delivery,,FedEx Ground
1572,391049379716,7/21/2025,Out for delivery,,FedEx Ground
1064,391049379727,7/21/2025,Out for delivery,,FedEx Ground
2469,391049379852,7/21/2025,Out for delivery,,FedEx Ground
2513,391049380043,7/21/2025,Delivered,7/23/2025,FedEx Ground
5151,391049380330,7/21/2025,Delivered,7/23/2025,FedEx Ground
5422,391049380904,7/21/2025,Out for delivery,,FedEx Ground
3728,391049381359,7/21/2025,On the way,,FedEx Ground
968,391049381668,7/21/2025,Out for delivery,,FedEx Ground
5096,391049382447,7/21/2025,Out for delivery,,FedEx Ground
817,391049383009,7/21/2025,Out for delivery,,FedEx Ground
2809,391049383020,7/21/2025,Delivered,7/23/2025,FedEx Ground
3469,391049383888,7/21/2025,Out for delivery,,FedEx Ground
1457,391049384038,7/21/2025,Delivered,7/23/2025,FedEx Ground
5266,391049384119,7/21/2025,Out for delivery,,FedEx Ground
3215,391049384244,7/21/2025,Delivered,7/23/2025,FedEx Ground
2278,391049384255,7/21/2025,Delivered,7/23/2025,FedEx Ground
4202,391049384440,7/21/2025,On the way,,FedEx Ground
1131,391049384509,7/21/2025,Out for delivery,,FedEx Ground
2081,391049385115,7/21/2025,Out for delivery,,FedEx Ground
3609,391049385435,7/21/2025,Delivered,7/23/2025,FedEx Ground
1871,391049385608,7/21/2025,Delivered,7/24/2025,FedEx Ground
1379,391049385696,7/21/2025,Out for delivery,,FedEx Ground
3573,391049385847,7/21/2025,Delivered,7/24/2025,FedEx Ground
4487,391049386442,7/21/2025,Out for delivery,,FedEx Ground
988,391049386453,7/21/2025,Out for delivery,,FedEx Ground
3465,391049386512,7/21/2025,Delivery updated,,FedEx Ground
2703,391049386545,7/21/2025,Out for delivery,,FedEx Ground
2946,391049387026,7/21/2025,Delivered,7/24/2025,FedEx Ground
1017,391049387118,7/21/2025,Out for delivery,,FedEx Ground
511,391049387129,7/21/2025,Delivered,7/24/2025,FedEx Ground
3334,391049387541,7/21/2025,Out for delivery,,FedEx Ground
1902,391049388077,7/21/2025,Out for delivery,,FedEx Ground
1883,391049388169,7/21/2025,Delivered,7/23/2025,FedEx Ground
