Store Number,Tracking Number,Delivered date,Service type ,Reference ,Received by 
2696,427914847877,1/28/2025,FedEx Ground,F0595,CDOLLY
2705,427914847888,1/28/2025,FedEx Ground,F0595,FGDGE
2715,427914847899,1/28/2025,FedEx Ground,F0595,KJOHNSTON
2717,427914847903,1/28/2025,FedEx Ground,F0595,PSHAW
2720,427914847914,1/28/2025,FedEx Ground,F0595,CGRANT
2730,427914847925,1/28/2025,FedEx Ground,F0595,HMCCABE
2772,427914847958,1/28/2025,FedEx Ground,F0595,KWALMART
2786,427914847969,1/28/2025,FedEx Ground,F0595,FHHN
2793,427914847980,1/28/2025,FedEx Ground,F0595,ZZZZZ
26,427914847991,1/28/2025,FedEx Ground,F0595,MWISE
86,427914848005,1/28/2025,FedEx Ground,F0595,EPETTY
96,427914848016,1/28/2025,FedEx Ground,F0595,CCINDY
138,427914848027,1/28/2025,FedEx Ground,F0595,JHARRISON
144,427914848038,1/28/2025,FedEx Ground,F0595,LMARTIN
179,427914848049,1/28/2025,FedEx Ground,F0595,KDUFFY
184,427914848050,1/28/2025,FedEx Ground,F0595,ADOWNES
195,427914848060,1/28/2025,FedEx Ground,F0595,ACRAM
234,427914848082,1/28/2025,FedEx Ground,F0595,EBOWLICK
319,427914848130,1/28/2025,FedEx Ground,F0595,JJAMES
373,427914848152,1/28/2025,FedEx Ground,F0595,TTEENAY
448,427914848222,1/28/2025,FedEx Ground,F0595,AWILLIAMS
450,427914848233,1/28/2025,FedEx Ground,F0595,DCLARK
573,427914848288,1/28/2025,FedEx Ground,F0595,OOWEN
577,427914848299,1/28/2025,FedEx Ground,F0595,BBLACKFORD
705,427914848370,1/28/2025,FedEx Ground,F0595,SBREWER
748,427914848439,1/28/2025,FedEx Ground,F0595,KBOGUE
769,427914848472,1/28/2025,FedEx Ground,F0595,LSMITH
771,427914848483,1/28/2025,FedEx Ground,F0595,MMARY
800,427914848520,1/28/2025,FedEx Ground,F0595,MMANAGER
874,427914848553,1/28/2025,FedEx Ground,F0595,AWILLIAMS
959,427914848623,1/28/2025,FedEx Ground,F0595,CCARDOSSO
994,427914848645,1/28/2025,FedEx Ground,F0595,BCOTTON
1014,427914848656,1/28/2025,FedEx Ground,F0595,ZSMITH
1147,427914848704,1/28/2025,FedEx Ground,F0595,JMOHR
1390,427914848807,1/28/2025,FedEx Ground,F0595,THUNTER
1513,427914848932,1/28/2025,FedEx Ground,F0595,JJOHN
1536,427914848943,1/28/2025,FedEx Ground,F0595,DWEBB
1548,427914848965,1/28/2025,FedEx Ground,F0595,JHENNEIKE
1599,427914848987,1/28/2025,FedEx Ground,F0595,WMART
