Store Number,Feature,Location
1007,Yes,Entertainment action alley or front of store
1009,Yes,Entertainment action alley or front of store
1010,Yes,Entertainment action alley or front of store
1012,Yes,Entertainment action alley or front of store
1014,Yes,Entertainment action alley or front of store
1015,Yes,Entertainment action alley or front of store
1016,Yes,Entertainment action alley or front of store
1018,Yes,Entertainment action alley or front of store
1019,Yes,Entertainment action alley or front of store
1020,Yes,Entertainment action alley or front of store
1021,Yes,Entertainment action alley or front of store
1023,Yes,Entertainment action alley or front of store
1024,Yes,Entertainment action alley or front of store
1025,Yes,Entertainment action alley or front of store
1026,Yes,Entertainment action alley or front of store
1027,Yes,Entertainment action alley or front of store
1028,Yes,Entertainment action alley or front of store
1030,Yes,Entertainment action alley or front of store
1032,Yes,Entertainment action alley or front of store
1033,Yes,Entertainment action alley or front of store
1034,Yes,Entertainment action alley or front of store
1035,Yes,Entertainment action alley or front of store
1036,Yes,Entertainment action alley or front of store
1037,Yes,Entertainment action alley or front of store
1039,Yes,Entertainment action alley or front of store
1041,Yes,Entertainment action alley or front of store
1044,Yes,Entertainment action alley or front of store
1045,Yes,Entertainment action alley or front of store
1047,Yes,Entertainment action alley or front of store
1052,Yes,Entertainment action alley or front of store
1053,Yes,Entertainment action alley or front of store
1054,Yes,Entertainment action alley or front of store
1055,Yes,Entertainment action alley or front of store
1056,Yes,Entertainment action alley or front of store
1058,Yes,Entertainment action alley or front of store
1059,Yes,Entertainment action alley or front of store
1060,Yes,Entertainment action alley or front of store
1062,Yes,Entertainment action alley or front of store
1064,Yes,Entertainment action alley or front of store
1065,Yes,Entertainment action alley or front of store
1066,Yes,Entertainment action alley or front of store
1067,Yes,Entertainment action alley or front of store
1068,Yes,Entertainment action alley or front of store
1070,Yes,Entertainment action alley or front of store
1071,Yes,Entertainment action alley or front of store
1072,Yes,Entertainment action alley or front of store
1073,Yes,Entertainment action alley or front of store
1075,Yes,Entertainment action alley or front of store
1077,Yes,Entertainment action alley or front of store
1079,Yes,Entertainment action alley or front of store
1080,Yes,Entertainment action alley or front of store
1081,Yes,Entertainment action alley or front of store
1082,Yes,Entertainment action alley or front of store
1083,Yes,Entertainment action alley or front of store
1085,Yes,Entertainment action alley or front of store
1086,Yes,Entertainment action alley or front of store
1087,Yes,Entertainment action alley or front of store
1088,Yes,Entertainment action alley or front of store
1089,Yes,Entertainment action alley or front of store
1091,Yes,Entertainment action alley or front of store
1093,Yes,Entertainment action alley or front of store
1094,Yes,Entertainment action alley or front of store
1095,Yes,Entertainment action alley or front of store
1096,Yes,Entertainment action alley or front of store
1097,Yes,Entertainment action alley or front of store
1098,Yes,Entertainment action alley or front of store
1099,Yes,Entertainment action alley or front of store
1101,Yes,Entertainment action alley or front of store
1103,Yes,Entertainment action alley or front of store
1104,Yes,Entertainment action alley or front of store
1105,Yes,Entertainment action alley or front of store
1110,Yes,Entertainment action alley or front of store
1112,Yes,Entertainment action alley or front of store
1113,Yes,Entertainment action alley or front of store
1116,Yes,Entertainment action alley or front of store
1117,Yes,Entertainment action alley or front of store
1118,Yes,Entertainment action alley or front of store
1121,Yes,Entertainment action alley or front of store
1122,Yes,Entertainment action alley or front of store
1123,Yes,Entertainment action alley or front of store
1125,Yes,Entertainment action alley or front of store
1126,Yes,Entertainment action alley or front of store
1128,Yes,Entertainment action alley or front of store
1132,Yes,Entertainment action alley or front of store
1133,Yes,Entertainment action alley or front of store
1136,Yes,Entertainment action alley or front of store
1139,Yes,Entertainment action alley or front of store
1140,Yes,Entertainment action alley or front of store
1141,Yes,Entertainment action alley or front of store
1149,Yes,Entertainment action alley or front of store
1150,Yes,Entertainment action alley or front of store
1151,Yes,Entertainment action alley or front of store
1156,Yes,Entertainment action alley or front of store
