Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
535,POINTPICKUP,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202229,74.65%,60.00%,18.2,73.90%,100.00%,64.70%,53.80%
535,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,83.46%,61.73%,15.4,80.80%,87.80%,81.60%,83.90%
746,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202229,87.23%,79.39%,11.9,90.20%,84.80%,81.80%,92.70%
6929,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Store Focus,202229,86.00%,89.22%,13.1,75.00%,91.70%,86.70%,84.90%
781,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202229,81.06%,84.91%,9.2,85.10%,85.50%,69.40%,86.00%
813,POINTPICKUP,Scheduled Express Delivery ,10,Executive Review,Degrading,Store Focus,202229,84.21%,100.00%,9.8,75.00%,80.00%,100.00%,80.00%
813,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202229,70.51%,92.93%,7.7,72.70%,61.40%,85.00%,70.30%
4130,UBER,Scheduled Standard Delivery,11,Executive Review,Recovering,Store Focus,202229,84.09%,69.70%,16.6,92.30%,66.70%,91.30%,85.30%
4219,POINTPICKUP,Scheduled Standard Delivery,19,Executive Review,Degrading,Store Focus,202229,69.73%,80.39%,16.9,67.00%,81.50%,54.00%,79.30%
4219,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202229,82.47%,77.32%,14.3,68.20%,86.10%,84.20%,96.90%
4554,SPARK,Scheduled Standard Delivery,30,Executive Review,Degrading,Store Focus,202229,77.48%,79.61%,9.3,70.70%,77.10%,82.90%,79.20%
3169,POINTPICKUP,Scheduled Standard Delivery,32,Executive Review,Degrading,Store Focus,202229,76.51%,68.94%,23.7,62.50%,100.00%,82.60%,71.40%
