Store,,MAY,73,YTD,74,MAY,75,YTD,76,MAY,77,YTD,78,MAY,79,YTD,80,MAY,81,YTD,82,MAY,83,YTD,84,MAY,85,YTD,86,MAY,87,YTD,88,MAY,89,YTD,90,MAY,91,YTD,92
5477,,-6.17%,R,-3.99%,R,4.92%,,5.38%,,-5.36%,,-8.97%,R,-6.76%,R,-1.51%,R,0,R,1,R,41.62%,,41.87%,,1,R,7,,26.94%,R,33.63%,,1:04:01,R,0:56:07,,2421/2577,R,2433/2577,R
Total,B,1.67%,,3.26%,,11.12%,,15.27%,,-3.02%,R,-2.20%,R,12.08%,,14.46%,,0.27,,0.45,,38.72%,,41.73%,,0.08,R,0.17,,52.08%,,54.57%,,0:55:13,,0:56:18,,331/394,R,282/394,
60,,-1.81%,,0.19%,,-16.73%,R,-2.60%,R,-32.25%,R,-22.88%,R,-11.64%,R,17.29%,,2,,2,R,31.71%,,29.65%,R,0,R,1,R,64.15%,,51.52%,,1:09:19,R,0:59:28,,2520/2577,R,2432/2577,R
243,,4.89%,,11.06%,G,21.07%,,41.16%,G,-6.06%,,8.04%,,18.59%,,47.77%,G,2,,24,,39.64%,,40.02%,,5,,105,G,20.00%,R,23.81%,R,0:58:29,,1:01:56,,1347/2577,,375/2577,G
648,,4.92%,,8.91%,,-6.57%,R,7.14%,,-11.94%,R,-5.01%,,1.88%,,22.91%,,0,R,0,R,47.32%,G,48.73%,G,2,,13,,41.04%,,41.58%,,0:44:51,,0:53:27,,2048/2577,,1592/2577,
1021,,7.03%,,5.32%,,6.20%,,7.07%,,1.50%,,-6.19%,,12.74%,,14.43%,,18,,47,,41.00%,,45.24%,,17,G,41,,63.41%,,59.19%,,0:54:50,,0:58:08,,1373/2577,,1709/2577,
1161,,-8.29%,R,-4.81%,R,13.27%,,13.05%,,6.60%,,7.48%,,4.17%,,5.66%,,0,R,0,R,78.03%,G,81.98%,G,10,,16,,28.96%,R,34.30%,,0:55:20,,1:04:43,R,1929/2577,,2065/2577,R
2600,,-0.14%,,7.88%,,22.27%,,36.80%,G,15.92%,,17.76%,G,4.51%,,38.98%,G,3,,15,,53.73%,G,57.40%,G,5,,25,,104.31%,G,97.24%,G,0:22:23,G,0:22:32,G,819/2577,,115/2577,G
2616,,1.15%,,0.19%,,34.44%,G,21.47%,,31.34%,G,11.44%,,25.98%,,14.94%,,4,,40,,54.50%,G,50.09%,G,0,R,14,,62.68%,,56.13%,,0:41:13,,0:46:02,,570/2577,,1179/2577,
5313,,-1.40%,,-4.96%,R,3.38%,,-8.29%,R,-10.24%,R,-19.34%,R,-1.90%,,-2.39%,R,0,R,1,R,56.34%,G,53.06%,G,3,,7,,109.46%,G,103.61%,G,0:50:34,,1:02:02,,2086/2577,R,2481/2577,R
Total,B,0.27%,,2.12%,,9.41%,R,12.84%,,-0.40%,,-1.03%,,6.56%,,16.28%,,0.12,R,0.13,R,53.91%,G,54.42%,G,0.17,,0.23,,54.05%,,52.38%,,0:49:39,,0:54:56,,335/394,R,314/394,
172,,6.58%,,10.28%,G,11.70%,,25.70%,,3.62%,,24.52%,G,21.30%,,27.80%,,17,,34,,38.60%,,40.01%,,9,,43,,87.21%,G,93.16%,G,1:14:31,R,1:11:42,R,1200/2577,,444/2577,G
295,,-5.67%,R,0.69%,,-4.84%,R,6.46%,,6.08%,,4.99%,,-19.87%,R,2.29%,R,5,,16,,55.26%,G,57.07%,G,2,,14,,112.13%,G,106.11%,G,0:48:21,,0:49:29,,2219/2577,R,1878/2577,
313,,13.78%,G,14.70%,G,58.45%,G,64.10%,G,9.04%,,17.89%,G,52.62%,G,66.88%,G,25,,111,G,38.86%,,44.44%,,7,,26,,106.48%,G,89.04%,G,1:06:32,R,1:01:18,,152/2577,G,66/2577,G
805,,1.02%,,-2.27%,R,5.31%,,10.09%,,-2.83%,,2.25%,,7.75%,,3.85%,,39,G,162,G,61.00%,G,58.00%,G,22,G,106,G,116.32%,G,111.40%,G,0:41:29,,0:38:58,,1448/2577,,1550/2577,
1177,,-13.17%,R,-6.60%,R,-6.87%,R,-3.42%,R,-10.89%,R,-21.14%,R,-12.34%,R,2.36%,R,1,R,3,R,29.33%,,44.06%,,1,R,15,,45.45%,,33.88%,,1:41:25,R,1:35:58,R,2560/2577,R,2538/2577,R
1514,,10.38%,G,7.61%,,27.98%,,22.90%,,18.29%,,15.20%,,33.79%,G,21.87%,,1,R,14,,52.03%,G,51.76%,G,0,R,10,,75.63%,,83.34%,G,1:28:38,R,1:28:08,R,566/2577,,794/2577,
2213,,-11.67%,R,-3.13%,R,-3.55%,R,6.41%,,12.80%,,0.75%,,-35.57%,R,-8.47%,R,1,R,9,R,37.33%,,38.63%,,2,,10,,59.47%,,55.66%,,0:44:40,,0:49:46,,2321/2577,R,2271/2577,R
5150,,-24.00%,R,-16.38%,R,-30.00%,R,-10.76%,R,-48.83%,R,-24.28%,R,-25.06%,R,-8.25%,R,6,,16,,48.41%,G,48.08%,G,1,R,2,R,74.84%,,80.27%,G,0:38:43,,0:58:52,,2450/2577,R,2510/2577,R
Total,B,-2.05%,R,1.11%,R,5.60%,R,13.88%,,-3.65%,R,1.58%,,0.57%,R,10.65%,,0.38,,0.38,,46.32%,G,47.69%,G,0.18,,0.24,,86.97%,G,84.71%,G,1:04:26,R,1:01:39,R,377/394,R,308/394,
201,,-10.55%,R,-7.67%,R,-6.25%,R,-0.77%,R,-17.69%,R,-18.22%,R,-14.01%,R,3.16%,,3,,20,,59.10%,G,54.20%,G,5,,9,,44.37%,,43.21%,,1:20:24,R,1:27:20,R,2497/2577,R,2493/2577,R
253,,-13.18%,R,-10.42%,R,-2.84%,R,7.21%,,-4.59%,,1.59%,,-12.63%,R,-1.07%,R,1,R,8,R,45.22%,,49.07%,G,1,R,3,R,53.15%,,61.67%,,0:51:38,,0:58:43,,2441/2577,R,2291/2577,R
256,,-5.18%,R,-3.80%,R,42.66%,G,34.93%,G,29.87%,G,33.82%,G,33.84%,G,18.42%,,43,G,133,G,42.67%,,45.33%,,19,G,86,G,60.23%,,62.93%,,0:26:14,G,0:24:19,G,383/2577,G,546/2577,
328,,4.77%,,2.84%,,22.00%,,22.50%,,26.00%,G,22.64%,G,17.08%,,11.08%,,17,,151,G,50.59%,G,50.20%,G,4,,102,G,101.88%,G,103.96%,G,0:28:20,G,0:26:40,G,403/2577,G,510/2577,G
361,,-4.55%,R,-2.68%,R,10.23%,,15.09%,,2.38%,,14.12%,,0.71%,,3.95%,,3,,23,,42.90%,,41.83%,,0,R,13,,71.87%,,78.12%,,0:38:44,,0:41:31,,1921/2577,,1617/2577,
1071,,3.13%,,4.59%,,16.43%,,28.83%,,3.07%,,14.51%,,4.29%,,20.50%,,7,,35,,38.26%,,40.29%,,4,,24,,98.48%,G,89.06%,G,0:52:54,,0:57:44,,1349/2577,,718/2577,
1418,,1.42%,,3.44%,,17.73%,,20.42%,,21.88%,G,19.91%,G,-6.81%,R,4.05%,,1,R,7,R,46.98%,,52.28%,G,2,,7,,61.79%,,62.85%,,0:58:23,,1:04:56,R,1485/2577,,1352/2577,
1761,,-13.94%,R,-8.38%,R,2.72%,R,13.10%,,20.18%,G,16.24%,G,-14.42%,R,6.52%,,1,R,4,R,50.98%,G,56.28%,G,0,R,5,R,33.70%,,38.21%,,0:46:18,,0:50:28,,2253/2577,R,1947/2577,
Total,B,-4.74%,R,-2.62%,R,13.12%,,18.12%,,11.64%,,14.99%,G,-0.49%,R,8.21%,R,0.31,,0.40,,46.60%,G,48.08%,G,0.14,,0.26,,66.47%,,67.34%,G,0:44:29,,0:47:56,,291/394,,226/394,
14,,-0.27%,,-0.24%,R,1.24%,R,6.40%,,-7.39%,R,-5.76%,,-12.35%,R,-0.23%,R,2,,25,,40.72%,,44.39%,,9,,104,G,102.01%,G,96.28%,G,0:46:52,,0:55:05,,2081/2577,R,2054/2577,
46,,1.53%,,5.06%,,4.64%,,14.81%,,0.35%,,3.47%,,-7.37%,R,13.42%,,33,G,114,G,46.54%,,48.87%,G,0,R,2,R,45.67%,,53.79%,,0:40:43,,0:40:07,,1853/2577,,1234/2577,
78,,-4.63%,R,1.25%,,11.04%,,18.13%,,-10.36%,R,-0.61%,,1.13%,,8.33%,,16,,118,G,37.67%,,37.45%,,9,,63,G,19.06%,R,20.52%,R,1:06:32,R,1:04:43,R,2164/2577,R,1691/2577,
86,,-12.94%,R,-8.68%,R,-41.04%,R,-28.25%,R,-50.36%,R,-38.18%,R,-40.10%,R,-25.16%,R,4,,62,,39.26%,,49.49%,G,2,,27,,50.83%,,53.22%,,1:01:17,,1:02:28,,2552/2577,R,2491/2577,R
88,,0.07%,,-1.49%,R,-4.00%,R,-2.24%,R,-11.21%,R,-8.82%,R,-6.90%,R,-1.51%,R,10,,47,,56.01%,G,50.89%,G,10,,34,,104.09%,G,96.36%,G,0:35:12,,0:39:28,,1922/2577,,2106/2577,R
138,,-0.83%,,6.19%,,6.91%,,28.75%,,9.46%,,18.81%,G,-2.25%,,28.77%,,5,,24,,51.99%,G,52.45%,G,9,,27,,84.07%,G,84.20%,G,1:03:54,R,1:03:42,R,1822/2577,,518/2577,
179,,4.76%,,3.53%,,24.18%,,9.20%,,8.92%,,-7.40%,R,17.93%,,18.22%,,68,G,216,G,51.92%,G,50.28%,G,46,G,150,G,99.39%,G,100.30%,G,0:45:46,,0:45:08,,470/2577,G,1346/2577,
Total,B,-1.45%,R,1.08%,R,1.81%,R,6.63%,R,-7.20%,R,-5.84%,R,-6.02%,R,6.71%,R,0.64,,0.72,,47.00%,G,47.87%,G,0.39,G,0.48,G,73.73%,G,73.71%,G,0:49:41,,0:50:47,,357/394,R,348/394,R
25,,4.68%,,5.35%,,11.35%,,10.62%,,4.28%,,8.90%,,10.70%,,10.60%,,8,,33,,37.17%,,40.49%,,1,R,7,,71.56%,,64.24%,,0:38:38,,0:37:37,,1317/2577,,1372/2577,
40,,-0.51%,,-6.52%,R,-0.50%,R,-20.23%,R,-7.87%,R,-21.34%,R,-1.23%,,-13.17%,R,26,,46,,51.86%,G,45.56%,,4,,4,R,7.69%,R,10.46%,R,0:49:48,,0:46:38,,2156/2577,R,2511/2577,R
80,,1.19%,,-2.43%,R,-11.58%,R,-12.42%,R,-26.91%,R,-16.95%,R,1.43%,,-1.23%,R,2,,15,,37.32%,,31.91%,,3,,17,,50.00%,,52.70%,,1:42:56,R,1:28:45,R,2411/2577,R,2528/2577,R
159,,-15.90%,R,-10.84%,R,-21.81%,R,5.92%,,-2.70%,,6.51%,,-33.81%,R,0.27%,R,0,R,1,R,26.17%,R,33.29%,,2,,4,R,20.87%,R,21.35%,R,1:01:23,,0:49:21,,2564/2577,R,2382/2577,R
189,,9.83%,G,8.86%,,8.72%,,19.60%,,3.81%,,8.53%,,-1.14%,,19.36%,,0,R,2,R,54.32%,G,50.00%,G,0,R,0,R,72.94%,,76.93%,,0:30:24,G,0:28:03,G,1246/2577,,698/2577,
363,,7.26%,,5.27%,,-0.32%,R,12.22%,,-3.73%,,6.16%,,8.42%,,20.87%,,4,,40,,60.07%,G,62.96%,G,0,R,2,R,82.07%,G,80.74%,G,0:31:03,G,0:33:20,G,1471/2577,,1099/2577,
451,,-9.05%,R,-12.01%,R,-19.49%,R,-25.27%,R,-17.74%,R,-25.73%,R,-24.65%,R,-23.87%,R,22,,84,,38.83%,,37.23%,,1,R,5,R,102.66%,G,95.21%,G,1:23:43,R,1:30:25,R,2506/2577,R,2539/2577,R
783,,53.69%,G,20.33%,G,1557.20%,G,100.12%,G,,,103.89%,G,394.12%,G,86.90%,G,0,R,4,R,73.81%,G,73.72%,G,2,,5,R,80.95%,,88.68%,G,0:37:38,,0:36:46,,47/2577,G,20/2577,G
Total,B,2.52%,,-0.08%,R,3.42%,R,4.25%,R,3.62%,,2.65%,,-1.91%,R,4.97%,R,0.25,,0.23,R,46.45%,G,46.06%,G,0.05,R,0.05,R,61.99%,,61.94%,,0:48:05,,0:44:41,,336/394,R,366/394,R
109,,5.17%,,8.34%,,3.11%,,10.02%,,-3.67%,,4.29%,,12.32%,,15.33%,,0,R,8,R,47.49%,G,56.44%,G,3,,12,,70.85%,,74.38%,,1:30:46,R,1:10:32,R,1871/2577,,1429/2577,
135,,9.57%,G,7.36%,,23.99%,,21.29%,,10.03%,,11.17%,,17.87%,,14.35%,,26,,81,,60.18%,G,60.31%,G,15,G,35,,87.60%,G,88.84%,G,0:51:02,,0:45:16,,389/2577,G,558/2577,
195,,12.21%,G,12.82%,G,23.68%,,36.65%,G,11.19%,,20.69%,G,21.97%,,28.69%,,4,,21,,47.62%,G,50.24%,G,2,,13,,40.37%,,45.75%,,0:39:35,,0:34:52,G,492/2577,G,170/2577,G
234,,-4.55%,R,1.49%,,-4.50%,R,17.61%,,-4.34%,,3.51%,,-6.00%,R,10.63%,,1,R,22,,40.52%,,44.02%,,2,,24,,18.76%,R,24.97%,R,1:16:19,R,0:57:40,,2484/2577,R,1660/2577,
325,,7.42%,,4.21%,,24.06%,,8.90%,,33.69%,G,11.62%,,8.16%,,-4.14%,R,0,R,9,R,52.56%,G,53.47%,G,2,,10,,22.10%,R,21.21%,R,0:30:09,G,0:27:22,G,589/2577,,1617/2577,
560,,3.32%,,3.94%,,6.88%,,14.46%,,10.33%,,11.79%,,18.95%,,14.53%,,0,R,4,R,38.98%,,42.48%,,2,,5,R,35.08%,,43.88%,,0:37:34,,0:39:25,,1517/2577,,1394/2577,
801,,16.69%,G,5.79%,,26.33%,,16.42%,,2.91%,,0.05%,,24.75%,,8.66%,,6,,34,,43.09%,,39.00%,,5,,26,,66.13%,,67.74%,,0:36:52,,0:44:08,,334/2577,G,1238/2577,
1120,,23.49%,G,23.79%,G,102.24%,G,109.49%,G,80.62%,G,90.64%,G,93.13%,G,84.79%,G,5,,38,,38.41%,,37.26%,,5,,18,,34.00%,,41.12%,,0:47:28,,0:45:47,,62/2577,G,58/2577,G
2857,,-3.72%,R,-1.07%,R,-0.76%,R,5.47%,,-7.72%,R,-8.87%,R,-7.30%,R,8.95%,,4,,40,,32.97%,,32.54%,,2,,8,,52.56%,,52.07%,,1:13:10,R,1:21:17,R,2438/2577,R,2352/2577,R
2994,,0.54%,,-4.06%,R,-9.08%,R,-7.57%,R,-26.75%,R,-13.87%,R,-2.39%,,-6.33%,R,5,,30,,48.33%,G,45.22%,,6,,18,,60.58%,,62.06%,,1:18:18,R,1:03:19,R,2314/2577,R,2464/2577,R
Total,B,6.56%,G,6.19%,,16.69%,,20.29%,,9.16%,,11.21%,G,15.52%,,15.83%,,0.16,R,0.24,R,44.84%,G,46.07%,G,0.14,,0.14,,50.25%,,53.84%,,0:55:21,,0:51:25,,152/394,,111/394,
20,,7.06%,,7.14%,,-1.60%,R,9.91%,,-18.20%,R,-10.44%,R,5.62%,,10.95%,,26,,115,G,50.00%,G,50.93%,G,8,,37,,68.87%,,70.23%,,0:46:16,,0:41:22,,1607/2577,,1278/2577,
61,,4.10%,,3.83%,,13.65%,,16.86%,,11.47%,,13.29%,,12.32%,,12.64%,,13,,101,G,43.14%,,45.24%,,12,G,54,G,53.24%,,42.62%,,0:44:37,,0:47:56,,1072/2577,,1106/2577,
96,,6.19%,,7.81%,,10.73%,,13.88%,,3.63%,,0.00%,,9.69%,,14.88%,,0,R,5,R,39.07%,,41.28%,,20,G,114,G,76.51%,,68.40%,,1:03:59,R,1:03:23,R,1441/2577,,1326/2577,
184,,3.73%,,6.92%,,22.59%,,24.93%,,11.18%,,7.56%,,13.91%,,30.20%,,4,,5,R,44.16%,,45.05%,,11,,19,,56.78%,,46.86%,,0:38:01,,0:42:10,,764/2577,,658/2577,
319,,3.13%,,1.67%,,3.36%,,4.47%,R,-9.97%,R,-6.12%,,19.80%,,15.94%,,17,,45,,49.38%,G,58.60%,G,18,G,73,G,65.50%,,63.07%,,0:58:17,,0:51:09,,1647/2577,,1840/2577,
326,,0.82%,,-0.95%,R,22.89%,,20.85%,,40.00%,G,24.42%,G,-11.11%,R,8.02%,,2,,4,R,46.12%,,45.21%,,0,R,1,R,42.24%,,47.26%,,0:34:44,G,0:37:50,,1155/2577,,1383/2577,
573,,4.49%,,11.20%,G,20.48%,,36.72%,G,16.92%,,23.72%,G,14.94%,,37.06%,G,2,,6,R,49.44%,G,49.10%,G,4,,11,,76.73%,,54.36%,,0:40:10,,0:46:07,,754/2577,,264/2577,G
1014,,-5.28%,R,-4.71%,R,-1.26%,R,-9.60%,R,-17.78%,R,-26.28%,R,4.84%,,9.90%,,2,,27,,54.71%,G,49.82%,G,3,,38,,62.34%,,45.95%,,1:16:17,R,1:27:53,R,2370/2577,R,2449/2577,R
4553,,0.23%,,5.38%,,26.97%,,44.89%,G,90.32%,G,206.86%,G,1.39%,,12.06%,,20,,21,,38.08%,,37.95%,,7,,11,,51.08%,,48.77%,,0:28:58,G,0:33:54,G,707/2577,,450/2577,G
4590,,2.60%,,4.98%,,-0.62%,R,4.86%,R,-13.47%,R,-15.64%,R,5.42%,,14.33%,,10,,51,,49.68%,G,45.58%,,13,G,50,G,100.43%,G,101.46%,G,1:16:13,R,1:10:00,R,1953/2577,,1821/2577,
Total,B,2.67%,,4.58%,,10.64%,,15.01%,,3.25%,,3.03%,,8.22%,,16.97%,,0.31,,0.32,,45.88%,G,46.42%,G,0.31,,0.34,,64.47%,,56.96%,,0:51:09,,0:53:18,,263/394,,221/394,
486,,-5.53%,R,-11.92%,R,-4.58%,R,-15.60%,R,-9.38%,R,-20.27%,R,-11.84%,R,-24.40%,R,16,,35,,43.45%,,44.49%,,4,,13,,80.43%,,80.20%,G,0:45:26,,0:58:10,,2280/2577,R,2490/2577,R
577,,6.06%,,2.66%,,27.22%,,23.40%,,18.79%,G,6.07%,,2.33%,,19.29%,,0,R,8,R,19.95%,R,24.55%,R,0,R,2,R,111.11%,G,94.39%,G,0:32:35,G,0:32:34,G,725/2577,,1094/2577,
1151,,16.46%,G,13.71%,G,38.35%,G,35.96%,G,13.02%,,12.78%,,44.31%,G,39.66%,G,6,,35,,37.75%,,40.61%,,6,,40,,71.81%,,53.86%,,0:45:19,,0:47:10,,168/2577,G,210/2577,G
1599,,17.23%,G,9.05%,,46.92%,G,41.29%,G,21.90%,G,23.32%,G,64.11%,G,41.67%,G,10,,96,,48.60%,G,47.12%,,3,,28,,49.72%,,49.94%,,1:16:39,R,1:17:12,R,196/2577,G,292/2577,G
1691,,5.52%,,6.63%,,13.46%,,16.21%,,8.44%,,2.62%,,5.37%,,8.99%,,0,R,1,R,22.94%,R,27.46%,R,0,R,2,R,45.88%,,50.21%,,1:02:43,R,1:04:52,R,1698/2577,,1699/2577,
2855,,4.58%,,5.34%,,22.48%,,16.33%,,-7.03%,R,-7.83%,R,32.62%,G,27.56%,,2,,8,R,34.47%,,38.44%,,0,R,2,R,56.37%,,44.16%,,1:17:50,R,1:17:19,R,1379/2577,,1684/2577,
2955,,4.25%,,12.31%,G,55.46%,G,82.42%,G,43.61%,G,68.85%,G,19.11%,,54.42%,G,2,,5,R,56.66%,G,57.55%,G,4,,8,,52.90%,,44.01%,,0:27:44,G,0:26:23,G,211/2577,G,38/2577,G
3273,,-6.17%,R,0.63%,,-6.29%,R,7.85%,,-12.24%,R,-0.19%,,-9.45%,R,2.38%,R,1,R,51,,60.05%,G,62.13%,G,2,,6,R,106.11%,G,107.18%,G,0:55:41,,0:41:28,,2392/2577,R,1814/2577,
4475,,14.75%,G,12.66%,G,31.15%,G,30.69%,G,2.86%,,16.50%,G,33.01%,G,18.70%,,14,,118,G,24.24%,R,25.84%,R,14,G,46,G,62.41%,,65.32%,,0:46:40,,0:42:20,,382/2577,G,294/2577,G
Total,B,6.17%,,5.47%,,20.73%,,20.97%,,6.51%,,6.39%,,16.45%,,15.82%,,0.18,R,0.33,,36.79%,,39.27%,,0.12,,0.14,,68.53%,G,63.87%,,0:50:39,,0:50:50,,95/394,,129/394,
&nbsp;,B,1.28%,,2.59%,R,11.10%,R,14.71%,R,3.36%,,4.06%,,5.00%,R,11.89%,,0.30,R,0.35,R,45.39%,G,46.32%,G,0.20,,0.24,,64.13%,G,62.48%,G,0:49:24,,0:50:00,,32/34,R,32/34,R
497,,-2.25%,,4.45%,,11.65%,,14.44%,,0.66%,,4.24%,,-2.31%,,14.41%,,8,,31,,66.93%,G,60.93%,G,8,,25,,100.00%,G,91.48%,G,0:27:29,G,0:24:24,G,1465/2577,,981/2577,
1053,,-3.58%,R,-2.91%,R,19.90%,,7.11%,,-11.27%,R,-1.49%,,33.56%,G,10.62%,,0,R,2,R,50.00%,G,44.22%,,0,R,1,R,107.87%,G,106.04%,G,0:45:52,,0:40:27,,1510/2577,,2064/2577,R
3294,,1.30%,,9.56%,G,37.73%,G,27.83%,,139.23%,G,9.37%,,-16.00%,R,35.34%,G,0,R,0,R,40.66%,,43.88%,,6,,29,,34.07%,,21.58%,R,0:47:16,,0:53:55,,939/2577,,627/2577,
4450,,15.66%,G,18.10%,G,59.38%,G,76.56%,G,42.50%,G,68.18%,G,57.95%,G,65.33%,G,40,G,112,G,42.27%,,47.73%,,52,G,120,G,73.56%,,51.68%,,0:30:19,G,0:31:23,G,5/2577,G,4/2577,G
5417,,-6.46%,R,1.34%,,-6.70%,R,-2.20%,R,-16.38%,R,-18.70%,R,-13.66%,R,-1.29%,R,29,G,50,,49.92%,G,49.48%,G,11,,24,,12.40%,R,16.99%,R,0:49:13,,0:54:55,,2391/2577,R,2306/2577,R
5418,,0.74%,,8.56%,,16.52%,,20.69%,,15.60%,,22.01%,G,-1.92%,,9.82%,,127,G,698,G,64.52%,G,63.20%,G,12,G,58,G,81.43%,G,83.73%,G,0:42:39,,0:42:16,,1012/2577,,408/2577,G
7290,,3.60%,,4.75%,,4.08%,,4.25%,R,-6.59%,,-10.95%,R,11.43%,,4.75%,,15,,46,,38.03%,,42.98%,,1,R,4,R,63.68%,,78.45%,,0:46:40,,0:55:12,,1766/2577,,2021/2577,
Total,B,0.41%,,5.97%,,16.86%,,18.44%,,10.41%,,10.05%,G,4.48%,,14.44%,,1.01,G,1.12,G,53.34%,G,53.44%,G,0.41,G,0.31,,68.11%,,64.30%,,0:40:56,,0:41:20,G,155/394,,64/394,G
922,,-2.70%,R,2.28%,,8.65%,,12.61%,,-7.41%,R,1.08%,,12.18%,,23.33%,,2,,6,R,32.17%,,28.72%,R,8,,72,G,43.44%,,44.60%,,0:41:49,,0:41:59,,1965/2577,,1590/2577,
1033,,5.31%,,8.66%,,11.42%,,11.72%,,3.72%,,5.07%,,9.29%,,10.64%,,42,G,216,G,34.15%,,42.34%,,3,,38,,30.07%,,25.15%,R,0:31:55,G,0:36:25,,1233/2577,,1064/2577,
1142,,-2.22%,,-0.54%,R,-3.13%,R,4.24%,R,2.16%,,-2.19%,,-4.51%,R,18.92%,,1,R,2,R,31.86%,,35.39%,,2,,29,,40.41%,,51.56%,,0:35:10,,0:35:38,G,2229/2577,R,1985/2577,
1160,,-0.07%,,2.55%,,2.24%,R,11.61%,,8.30%,,12.47%,,-7.50%,R,6.69%,,2,,4,R,53.04%,G,54.40%,G,2,,5,R,60.22%,,67.28%,,0:39:34,,0:41:38,,1907/2577,,1573/2577,
1180,,-3.92%,R,0.18%,,7.27%,,2.08%,R,16.76%,,15.19%,,3.86%,,5.91%,,11,,89,,24.01%,R,28.18%,R,2,,34,,28.22%,R,30.73%,,0:29:23,G,0:29:37,G,1830/2577,,1864/2577,
1327,,-1.85%,,3.39%,,24.11%,,36.64%,G,11.68%,,17.30%,G,-0.22%,,23.11%,,14,,74,,51.56%,G,50.63%,G,7,,30,,95.09%,G,83.90%,G,0:46:22,,0:48:47,,1063/2577,,465/2577,G
1476,,-0.78%,,-5.55%,R,-1.85%,R,-13.57%,R,-19.44%,R,-23.18%,R,23.22%,,-3.01%,R,19,,34,,32.73%,,39.19%,,13,G,47,G,22.15%,R,30.16%,,0:58:56,,0:57:05,,2162/2577,R,2498/2577,R
2691,,5.60%,,9.19%,G,33.83%,G,31.64%,G,14.29%,,10.23%,,18.69%,,29.80%,,52,G,172,G,49.21%,G,50.86%,G,13,G,51,G,61.61%,,62.07%,,0:41:21,,0:50:50,,287/2577,G,275/2577,G
7087,,2.45%,,10.08%,G,23.36%,,28.29%,,8.28%,,4.13%,,16.44%,,39.23%,G,2,,14,,41.85%,,39.91%,,5,,21,,48.24%,,42.23%,,0:40:43,,0:37:46,,937/2577,,442/2577,G
Total,B,0.16%,,3.24%,,11.41%,,12.92%,,1.85%,,1.57%,,8.01%,,16.39%,,0.52,,0.57,,39.34%,,41.73%,,0.20,,0.30,,46.98%,,48.65%,,0:41:13,,0:42:44,,298/394,,245/394,
884,,-3.59%,R,2.93%,,3.10%,,15.47%,,2.40%,,14.10%,,-7.31%,R,5.44%,,4,,7,R,46.87%,,42.43%,,1,R,4,R,82.83%,G,77.55%,,0:31:19,G,0:33:02,G,1993/2577,,1336/2577,
1141,,5.49%,,5.73%,,20.72%,,15.76%,,1.81%,,1.12%,,13.22%,,13.44%,,30,G,111,G,51.79%,G,56.20%,G,4,,29,,92.66%,G,91.70%,G,0:31:41,G,0:38:10,,637/2577,,898/2577,
1459,,-5.62%,R,-4.70%,R,-0.17%,R,2.30%,R,11.94%,,9.74%,,-12.38%,R,-8.95%,R,0,R,1,R,34.94%,,38.58%,,2,,6,R,22.68%,R,31.76%,,0:46:49,,0:42:31,,2325/2577,R,2317/2577,R
1580,,6.05%,,1.60%,,31.36%,G,17.39%,,36.66%,G,11.54%,,40.00%,G,-0.13%,R,0,R,4,R,31.03%,,35.03%,,3,,14,,48.28%,,56.55%,,1:16:55,R,1:20:45,R,688/2577,,1837/2577,
2787,,7.63%,,15.63%,G,67.30%,G,231.98%,G,42.95%,G,184.26%,G,161.70%,G,140.69%,G,0,R,11,,26.02%,R,36.25%,,0,R,1,R,15.04%,R,14.33%,R,0:41:30,,0:45:02,,324/2577,G,180/2577,G
3435,,1.17%,,5.89%,,13.67%,,24.03%,,9.41%,,12.43%,,0.00%,,17.66%,,13,,78,,40.09%,,42.60%,,1,R,3,R,79.95%,,73.18%,,0:48:16,,0:49:08,,1528/2577,,777/2577,
3529,,-14.53%,R,-11.55%,R,-15.35%,R,-5.61%,R,-23.91%,R,-15.53%,R,-2.16%,,-8.08%,R,26,,78,,46.02%,,63.90%,G,6,,12,,5.75%,R,16.03%,R,1:17:28,R,1:21:29,R,2507/2577,R,2508/2577,R
5443,,3.31%,,5.05%,,-2.66%,R,15.15%,,-12.84%,R,9.79%,,10.97%,,15.55%,,0,R,0,R,32.36%,,33.22%,,0,R,2,R,42.05%,,53.70%,,1:01:06,,0:52:57,,2249/2577,R,1557/2577,
Total,B,-0.10%,,2.21%,,9.45%,R,16.77%,,3.83%,,9.27%,,9.46%,,11.07%,,0.29,,0.30,,40.02%,,43.51%,,0.07,R,0.07,R,56.71%,,60.30%,,0:53:16,,0:54:29,,341/394,R,262/394,
828,,5.77%,,14.48%,G,8.14%,,33.00%,G,20.74%,G,27.53%,G,-11.82%,R,15.65%,,0,R,1,R,37.11%,,44.90%,,1,R,5,R,45.02%,,59.84%,,0:33:14,G,0:52:04,,1488/2577,,451/2577,G
902,,-4.07%,R,-2.07%,R,-4.06%,R,-5.40%,R,-10.27%,R,-13.52%,R,-12.70%,R,-9.14%,R,12,,58,,43.18%,,45.90%,,5,,21,,99.55%,G,99.68%,G,1:18:52,R,1:06:00,R,2366/2577,R,2368/2577,R
995,,-13.41%,R,-10.09%,R,-17.37%,R,-14.70%,R,-19.72%,R,-23.36%,R,-18.74%,R,-4.20%,R,3,,19,,31.94%,,34.18%,,3,,13,,79.72%,,82.65%,G,1:03:58,R,1:22:38,R,2534/2577,R,2543/2577,R
