State,Store ID,CBSA,Type,Address,Zip Code,City
IL,1998,"Chicago-Naperville-Elgin, IL-IN-WI",SUP,3626 Touhy Ave,60076-0000,Skokie
NJ,2003,"New York-Newark-Jersey City, NY-NJ-PA",SUP,979 Route 1,08902-0000,North Brunswick
NC,2005,"Charlotte-Concord-Gastonia, NC-SC",SUP,2420 Supercenter Dr Ne,28083-6426,Kannapolis
VA,2015,"Washington-Arlington-Alexandria, DC-VA-MD-WV",SUP,13059 Fair Lakes Parkway,22033-0000,Fairfax
VA,2038,"Washington-Arlington-Alexandria, DC-VA-MD-WV",SUP,45415 Dulles Crossing Plz,20166-8921,Sterling
NV,2050,"Las Vegas-Henderson-Paradise, NV",SUP,300 E Lake Mead Pkwy,89015-5576,Henderson
PA,2059,"Pittsburgh, PA",SUP,2200 Greengate Centre Cir,15601-1290,Greensburg
TX,2066,"Houston-The Woodlands-Sugar Land, TX",SUP,2727 Dunvale Rd,77063-4401,Houston
FL,2081,"Tampa-St. Petersburg-Clearwater, FL",SUP,23106 Us Highway 19 N,33765-1849,Clearwater
CA,2082,"Los Angeles-Long Beach-Anaheim, CA",SUP,12701 Towne Center Dr,90703-8545,Cerritos
TX,2086,"Dallas-Fort Worth-Arlington, TX",SUP,1700 Dallas Pkwy,75093-4519,Plano
FL,2091,"Miami-Fort Lauderdale-West Palm Beach, FL",SUP,8651 Nw 13th Ter,33126-1512,Doral
OH,2098,"Columbus, OH",SUP,3900 Morse Rd,43219-3016,Columbus
NY,2104,"New York-Newark-Jersey City, NY-NJ-PA",SUP,1201 Route 300,12550-5005,Newburgh
TX,2105,"Dallas-Fort Worth-Arlington, TX",SUP,4122 L B J Fwy,75244-5703,Dallas
CA,2110,"Los Angeles-Long Beach-Anaheim, CA",SUP,14501 Lakewood Blvd,90723-3601,Paramount
AZ,2112,"Phoenix-Mesa-Scottsdale, AZ",SUP,4915 N Pima Rd,85251-1872,Scottsdale
