Store,Day of Week,Date,8 am -12 pm Dispense,12 pm - 4 pm Dispense,4 pm - 8 pm Dispense,10 pm-7 am Pick & Stage
89,Monday,11/13/2023,1,1,1,0
90,Wednesday,11/8/2023,0,0,0,2
90,Thursday,11/9/2023,3,3,1,2
90,Friday,11/10/2023,1,1,1,0
90,Saturday,11/11/2023,1,1,1,0
90,Sunday,11/12/2023,1,1,1,0
90,Monday,11/13/2023,1,1,1,0
91,Wednesday,11/8/2023,0,0,0,2
91,Thursday,11/9/2023,1,1,1,2
91,Friday,11/10/2023,1,1,1,0
91,Saturday,11/11/2023,1,1,1,0
91,Sunday,11/12/2023,1,1,1,0
91,Monday,11/13/2023,1,1,1,0
92,Wednesday,11/8/2023,0,0,0,1
92,Thursday,11/9/2023,1,1,1,1
92,Friday,11/10/2023,1,1,1,0
92,Saturday,11/11/2023,1,1,1,0
92,Sunday,11/12/2023,1,1,1,0
92,Monday,11/13/2023,1,1,1,0
93,Wednesday,11/8/2023,0,0,0,3
93,Thursday,11/9/2023,3,3,1,3
93,Friday,11/10/2023,1,1,1,0
93,Saturday,11/11/2023,1,1,1,0
93,Sunday,11/12/2023,1,1,1,0
93,Monday,11/13/2023,1,1,1,0
94,Wednesday,11/8/2023,0,0,0,3
94,Thursday,11/9/2023,3,3,1,3
94,Friday,11/10/2023,1,1,1,0
94,Saturday,11/11/2023,1,1,1,0
94,Sunday,11/12/2023,1,1,1,0
94,Monday,11/13/2023,1,1,1,0
95,Wednesday,11/8/2023,0,0,0,2
95,Thursday,11/9/2023,3,3,1,2
95,Friday,11/10/2023,1,1,1,0
95,Saturday,11/11/2023,1,1,1,0
95,Sunday,11/12/2023,1,1,1,0
95,Monday,11/13/2023,1,1,1,0
96,Wednesday,11/8/2023,0,0,0,2
96,Thursday,11/9/2023,3,3,1,2
96,Friday,11/10/2023,1,1,1,0
96,Saturday,11/11/2023,1,1,1,0
96,Sunday,11/12/2023,1,1,1,0
96,Monday,11/13/2023,1,1,1,0
97,Wednesday,11/8/2023,0,0,0,2
97,Thursday,11/9/2023,3,3,1,2
97,Friday,11/10/2023,1,1,1,0
97,Saturday,11/11/2023,1,1,1,0
97,Sunday,11/12/2023,1,1,1,0
97,Monday,11/13/2023,1,1,1,0
98,Wednesday,11/8/2023,0,0,0,2
98,Thursday,11/9/2023,3,3,1,2
98,Friday,11/10/2023,3,3,1,0
98,Saturday,11/11/2023,1,1,1,0
98,Sunday,11/12/2023,1,1,1,0
