Store,Dept,Inventory Dollars,Format
183,80,"$6,239.18",WM Supercenter
183,93,"$46,247.18",WM Supercenter
183,94,"$12,698.28",WM Supercenter
183,98,"$9,309.23",WM Supercenter
184,80,"$17,251.13",WM Supercenter
184,93,"$66,285.84",WM Supercenter
184,94,"$34,564.08",WM Supercenter
184,98,"$26,349.13",WM Supercenter
185,80,"$20,730.57",WM Supercenter
185,93,"$75,183.86",WM Supercenter
185,94,"$33,023.62",WM Supercenter
185,98,"$24,219.46",WM Supercenter
186,80,"$15,929.36",WM Supercenter
186,93,"$66,010.35",WM Supercenter
186,94,"$25,230.08",WM Supercenter
