Store Number,Holiday ,Additional Pallets
1558,4th of July,2
1559,4th of July,2
1559,Memorial Day,2
1560,4th of July,3
1560,Memorial Day,3
1563,4th of July,3
1563,Memorial Day,3
1567,4th of July,2
1567,Memorial Day,2
1574,4th of July,2
1574,Memorial Day,2
1575,4th of July,4
1575,Memorial Day,4
1579,4th of July,2
1581,4th of July,2
1581,Memorial Day,2
1583,4th of July,3
1583,Memorial Day,3
1584,4th of July,2
1584,Memorial Day,2
1585,4th of July,3
1585,Memorial Day,3
1587,4th of July,1
1587,Memorial Day,1
1588,4th of July,2
1588,Memorial Day,2
1589,4th of July,2
1590,4th of July,2
1590,Memorial Day,2
1597,4th of July,2
1597,Memorial Day,2
1598,4th of July,2
1598,Memorial Day,2
1600,4th of July,3
1600,Memorial Day,3
1603,4th of July,2
1604,4th of July,3
1604,Memorial Day,3
1605,4th of July,1
1605,Memorial Day,1
1608,4th of July,4
1608,Memorial Day,4
1609,4th of July,2
1609,Memorial Day,2
1612,4th of July,3
1612,Memorial Day,3
1613,4th of July,2
1614,4th of July,1
1614,Memorial Day,1
1615,4th of July,1
1615,Memorial Day,1
1616,4th of July,1
1616,Memorial Day,1
1619,4th of July,2
1619,Memorial Day,2
1624,4th of July,2
1624,Memorial Day,2
1625,4th of July,1
1625,Memorial Day,1
1627,4th of July,2
1627,Memorial Day,2
1630,4th of July,1
1630,Memorial Day,1
1631,4th of July,1
1631,Memorial Day,1
1632,4th of July,2
1632,Memorial Day,2
1634,4th of July,2
1634,Memorial Day,2
1636,4th of July,2
1636,Memorial Day,2
1641,4th of July,2
1645,4th of July,2
1645,Memorial Day,2
1646,4th of July,2
1646,Memorial Day,2
1648,4th of July,3
1648,Memorial Day,3
1649,4th of July,2
1649,Memorial Day,2
1651,4th of July,1
1651,Memorial Day,1
1654,4th of July,2
1654,Memorial Day,2
1658,4th of July,2
1660,4th of July,3
1660,Memorial Day,3
1661,4th of July,2
1662,4th of July,2
1664,4th of July,2
1666,4th of July,2
1673,4th of July,2
1673,Memorial Day,2
1677,4th of July,1
1677,Memorial Day,1
1680,4th of July,2
1682,4th of July,2
1685,4th of July,2
1685,Memorial Day,2
1686,4th of July,2
1686,Memorial Day,2
1687,4th of July,1
1687,Memorial Day,1
1688,4th of July,1
1688,Memorial Day,1
1689,4th of July,1
1689,Memorial Day,1
1692,4th of July,2
1692,Memorial Day,2
1693,4th of July,2
1693,Memorial Day,2
1694,4th of July,2
1695,4th of July,2
1695,Memorial Day,2
1696,4th of July,1
1696,Memorial Day,1
1697,4th of July,2
1697,Memorial Day,2
1698,4th of July,2
1698,Memorial Day,2
1699,4th of July,3
1699,Memorial Day,3
1700,4th of July,2
1700,Memorial Day,2
1702,4th of July,1
1702,Memorial Day,1
1704,4th of July,2
1704,Memorial Day,2
1705,4th of July,2
1705,Memorial Day,2
1708,4th of July,2
