Market ID,Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
409,44,794,,Scheduled Delivery Standard,7,Executive Review,Degrading,Store Focus,202344,81.60%,88.50%,11.4,71.00%,69.10%,88.40%,89.30%
409,44,1507,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202344,82.60%,73.00%,17.5,69.10%,82.00%,88.60%,88.80%
541,64,4048,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202344,88.20%,84.80%,13.2,85.50%,96.30%,89.60%,82.10%
46,13,180,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202344,83.60%,82.60%,14,89.70%,92.00%,74.60%,80.30%
66,13,651,,Scheduled Delivery Standard,7,At Risk,Degrading,Store Focus,202344,78.10%,72.40%,18.3,63.00%,82.70%,81.40%,85.60%
68,13,400,,Scheduled Delivery Standard,11,Executive Review,Degrading,Store Focus,202344,83.20%,80.60%,13.8,77.60%,86.50%,82.10%,87.10%
68,13,602,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202344,76.90%,71.60%,18.6,61.40%,92.50%,71.10%,83.70%
132,13,2938,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202344,89.10%,91.40%,13.4,86.30%,86.00%,92.50%,90.00%
134,13,4295,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202344,81.00%,79.50%,16.3,81.00%,66.90%,82.70%,90.40%
503,13,140,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202344,82.20%,90.30%,21.5,76.30%,80.40%,84.00%,88.10%
125,13,1163,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202344,86.70%,83.70%,17.8,85.40%,82.50%,90.70%,87.20%
125,13,2706,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202344,86.20%,91.50%,16.8,92.20%,83.70%,78.70%,88.20%
125,13,5022,,Scheduled Delivery Standard,18,Executive Review,Degrading,Store Focus,202344,88.00%,97.40%,14.2,88.20%,90.00%,86.30%,87.70%
128,13,489,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202344,84.30%,73.10%,18.4,77.70%,84.60%,87.70%,87.50%
128,13,541,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202344,61.50%,59.10%,19.3,42.80%,62.00%,56.70%,79.60%
128,13,989,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202344,89.10%,91.50%,15.8,90.30%,85.50%,92.50%,86.90%
