Store Number,Link,Number of Scales,Tracking for Scales Shipment,Power/Data Install Date,Power/Data Install Vendor,Scale Install Date,Scale Install Vendor,Floorplan,Give Feedback
1781,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1781_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/26/2023,Telaid,8/2/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1782,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1782_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/11/2023,Wachter,9/20/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1783,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1783_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,TBD,Wachter,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1784,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1784_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,10/5/2023,Telaid,10/6/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1787,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1787_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/16/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1788,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1788_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/2/2023,Telaid,10/10/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1789,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1789_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,8/7/2023,Telaid,8/14/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1790,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1790_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/28/2023,Telaid,9/7/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1791,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1791_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/7/2023,Telaid,8/14/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1792,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1792_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/26/2023,Telaid,10/3/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1793,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1793_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,10/26/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1794,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1794_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/31/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1796,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1796_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/13/2023,Telaid,8/16/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1797,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1797_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/3/2023,Telaid,10/11/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1798,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1798_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/18/2023,Telaid,8/3/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1799,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1799_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,8/31/2023,Telaid,9/11/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1800,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1800_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,#N/A,,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1801,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1801_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,TBD,TBD,7/13/2023,Telaid,#N/A,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1802,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1802_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,9/13/2023,Telaid,9/20/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1803,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1803_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,1/2/2024,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1804,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1804_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/24/2023,Wachter,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1805,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1805_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/28/2023,Telaid,8/9/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1806,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1806_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/19/2023,Telaid,8/8/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1807,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1807_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/8/2023,Telaid,8/15/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1809,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1809_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/28/2023,Telaid,9/6/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1810,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1810_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,8/11/2023,Telaid,8/25/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1811,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1811_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/12/2023,Wachter,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1812,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1812_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,8/13/2023,Telaid,8/21/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1813,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1813_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/13/2023,Telaid,8/4/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1814,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1814_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,9/25/2023,Wachter,10/3/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1815,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1815_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/27/2023,Telaid,10/3/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1817,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1817_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,8/13/2023,Telaid,8/18/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1819,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1819_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,10/8/2023,Telaid,10/13/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1820,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1820_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/25/2023,Telaid,10/3/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1823,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1823_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/28/2023,Telaid,9/6/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1825,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1825_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,7/18/2023,Wachter,7/25/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1826,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1826_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/10/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1827,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1827_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/22/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1828,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1828_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/27/2023,Telaid,8/28/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1829,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1829_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/22/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1830,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1830_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/25/2023,Telaid,8/1/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1831,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1831_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/10/2023,Telaid,7/11/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1832,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1832_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,11/13/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1833,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1833_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,7/30/2023,Wachter,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1834,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1834_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,9/28/2023,Telaid,10/6/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1835,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1835_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/2/2023,Telaid,8/22/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1836,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1836_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/29/2023,Telaid,9/8/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1837,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1837_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/22/2023,Telaid,10/2/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1839,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1839_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,8/30/2023,Telaid,9/8/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1840,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1840_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/19/2023,Telaid,9/27/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1842,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1842_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,7/17/2023,Wachter,9/8/2023,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1845,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1845_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/13/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1846,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1846_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/4/2023,Telaid,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1847,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1847_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,8/6/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1848,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1848_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/19/2023,Wachter,9/26/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1849,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1849_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/18/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1850,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1850_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,TBD,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1851,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1851_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,9/6/2023,Wachter,TBD,Mettler-Toledo,,Scale Placement Feedback Form (Yes/No)
1852,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1852_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,4,TBD,7/20/2023,Wachter,8/7/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1853,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1853_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,7/31/2023,Telaid,8/15/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1854,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1854_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,8/30/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1855,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1855_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,12/21/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
1856,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1856_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,10/4/2023,Telaid,10/12/2023,Hobart,,Scale Placement Feedback Form (Yes/No)
1858,<a href='https://teams.wal-mart.com/:b:/r/sites/2023ProduceScaleRollout/Shared%20Documents/VENDOR%20SHARE%20FOLDER%20-%20NO%20SENSITIVE%20MATERIALS/FLOOR%20PLANS%20-%20TELAID_WACHTER%20SHARE%20FOLDER/1858_Produce_Scales.pdf' target='_blank''>Link to store map.</a>,3,TBD,9/27/2023,Telaid,TBD,Hobart,,Scale Placement Feedback Form (Yes/No)
