STORE,Effective Week,D3 C70 Moving Ftg,D3 C231 Soho Ftg,D12 C72 Moving Ftg,D12 Flooring Ftg
1129,37,0,20,28,0
1130,37,0,20,28,0
1131,37,0,20,20,0
1132,37,0,20,20,0
1133,37,0,20,20,0
1134,37,0,20,8,0
1135,37,0,12,8,0
1136,37,0,12,20,0
1137,37,0,12,8,0
1138,37,0,20,16,0
1139,37,0,20,12,0
1140,37,0,20,8,0
1141,37,0,20,12,0
1142,37,0,0,8,0
1143,37,0,12,20,0
1144,37,0,20,8,0
1146,37,0,0,8,0
1147,37,0,12,16,0
1148,37,32,0,0,0
1149,37,0,12,24,0
1150,37,0,0,8,0
1151,37,0,0,8,0
1152,37,0,0,8,0
1153,37,0,20,12,0
1154,37,0,20,16,0
1155,37,0,12,12,0
1156,37,0,12,32,0
1157,37,0,20,32,0
1158,37,0,20,20,0
1159,37,16,0,0,0
1160,37,0,20,28,0
1161,37,0,20,20,0
1162,37,0,20,16,0
1163,37,0,0,24,0
1164,37,0,20,12,0
1165,37,0,20,20,0
1166,37,0,8,8,0
1167,37,0,20,32,0
1168,37,0,8,24,0
1169,37,0,12,20,0
1170,37,0,20,20,0
1171,37,0,0,12,0
1172,37,0,12,20,0
1173,37,0,20,20,0
1174,37,0,12,8,0
1175,37,0,20,20,0
1176,37,0,20,16,0
1177,37,0,20,28,0
1178,37,0,20,32,0
1179,37,0,0,12,0
1180,37,0,20,12,0
1181,37,0,20,32,0
1182,37,0,12,32,0
1183,37,0,12,16,0
