Market ,Avg. ,Stores ,Avg Returns volume ,Volume bucket ,Avg Return Units Per day ,Avg DotCom Return Units Per Day ,Average MP Return Units  ,Avg MP Return Units Per Day,Avg NPS ,Avg Wait Time 
25,,548,29881,High,393,29,849,11,49,8.18
25,,1340,24692,Medium,325,17,484,6,35,9.47
25,,1720,44560,High,586,46,1138,15,56,8.13
25,,2475,32833,High,432,29,398,5,64,10.54
25,,3388,31054,High,409,25,612,8,60,9.19
25,,3389,27029,High,356,20,603,8,69,7.82
25,,3786,44966,High,592,56,1455,19,53,7.01
25,,4472,20980,Medium,276,15,513,7,61,10.95
25,,4558,26033,High,343,22,142,2,33,11.23
25,,5252,38836,High,511,37,876,12,45,6.13
26,Mkt Avg,,32807,,432,37,826,11,55,7.17
26,,575,41352,High,544,48,1096,14,67,6.99
26,,618,33002,High,434,34,818,11,46,7.28
26,,937,33494,High,441,34,893,12,42,7.22
26,,1181,27939,High,368,37,787,10,31,9.91
26,,1586,34628,High,456,34,937,12,38,7.69
26,,3403,41286,High,543,55,1157,15,66,6.58
26,,3471,20915,Medium,275,25,34,0,84,6.04
26,,3611,27032,High,356,21,588,8,64,6
26,,3748,34942,High,460,51,1279,17,69,6.69
26,,5275,37711,High,496,44,884,12,59,6.55
26,,5390,28579,High,376,28,614,8,42,7.91
27,Mkt Avg,,15829,,208,14,357,5,66,7.26
27,,588,26159,High,344,25,741,10,59,7.8
27,,843,5693,Low,75,3,144,2,50,7.81
27,,889,17436,Low,229,15,375,5,63,7.12
27,,899,21617,Medium,284,20,482,6,35,9.46
27,,952,16360,Low,215,13,351,5,79,5.85
27,,1006,12347,Low,162,9,266,4,50,11.31
27,,1072,23476,Medium,309,19,479,6,81,6.14
27,,2615,25359,Medium,334,31,547,7,51,6.12
27,,5797,9176,Low,121,5,192,3,100,7.3
27,,7194,10413,Low,137,7,188,2,76,6.83
27,,7245,6081,Low,80,5,158,2,85,4.08
28,Mkt Avg,,17450,,230,16,406,5,65,7.62
28,,556,20397,Medium,268,21,636,8,50,8.41
28,,593,16009,Low,211,14,373,5,46,7.5
28,,639,27998,High,368,30,711,9,53,7.23
28,,686,11259,Low,148,9,216,3,60,4.67
28,,836,24391,Medium,321,25,607,8,76,7.07
28,,862,27340,High,360,21,676,9,76,6.49
28,,864,19382,Medium,255,15,391,5,61,8.2
28,,1018,12029,Low,158,11,199,3,70,6.05
28,,1061,8685,Low,114,6,115,2,100,4.6
28,,2630,15639,Low,206,15,323,4,61,10.12
28,,5392,8818,Low,116,8,221,3,64,13.42
29,Mkt Avg,,18633,,245,16,410,5,55,8.57
29,,605,23421,Medium,308,23,576,8,64,9.74
29,,606,14286,Low,188,12,317,4,42,7.17
29,,635,22309,Medium,294,23,544,7,42,9.44
29,,728,14836,Low,195,11,287,4,39,11.88
29,,1011,22501,Medium,296,22,626,8,70,6.36
29,,1383,20391,Medium,268,14,334,4,50,5.8
29,,2832,15926,Low,210,13,323,4,55,7.09
29,,2860,26701,High,351,24,458,6,49,10.93
29,,4556,11687,Low,154,11,305,4,73,8.56
29,,6395,18951,Medium,249,16,460,6,54,7.39
29,,7181,13953,Low,184,10,282,4,72,9.91
30,Mkt Avg,,19839,,261,20,491,6,60,7.47
30,,754,27042,High,356,30,917,12,56,9.56
30,,1024,13312,Low,175,9,260,3,59,7.88
30,,1143,10792,Low,142,8,237,3,64,9.92
30,,1227,31280,High,412,32,784,10,66,5.48
30,,1293,17805,Medium,234,14,473,6,54,8.44
30,,1658,12121,Low,159,7,34,0,43,5.75
30,,2754,8701,Low,114,6,205,3,56,8.27
30,,3570,35991,High,474,50,970,13,72,6.04
30,,4144,18193,Medium,239,16,363,5,63,6.04
30,,5735,23152,Medium,305,28,665,9,64,7.34
32,Mkt Avg,,19194,,253,18,454,6,54,7.87
32,,555,21538,Medium,283,17,463,6,45,9.64
32,,758,12427,Low,164,11,233,3,63,8.57
32,,907,17822,Medium,235,15,388,5,46,6.43
32,,1076,15185,Low,200,14,0,0,60,4
32,,1153,16173,Low,213,11,80,1,48,16.48
32,,1367,36537,High,481,39,1076,14,63,5.59
32,,2733,18390,Medium,242,18,447,6,58,5.3
32,,2890,23105,Medium,304,26,1067,14,51,9.33
32,,3750,24088,Medium,317,25,629,8,78,4.93
32,,7246,6675,Low,88,6,157,2,29,8.44
35,Mkt Avg,,22062,,290,25,587,8,58,6.92
35,,631,23460,Medium,309,23,625,8,64,6.91
35,,640,30612,High,403,37,841,11,54,6.06
35,,641,16864,Low,222,10,284,4,53,4.94
35,,1123,24716,Medium,325,27,639,8,61,6.17
35,,1244,24678,Medium,325,24,609,8,57,7.72
35,,2265,31478,High,414,38,1047,14,46,7.57
35,,2687,21802,Medium,287,24,553,7,43,7.29
35,,3191,10844,Low,143,11,298,4,68,8.27
35,,3192,16870,Low,222,20,503,7,60,8.32
35,,3222,16799,Low,221,18,415,5,60,6.84
35,,4583,23891,Medium,314,36,676,9,56,7.04
35,,5487,22728,Medium,299,26,552,7,68,5.93
36,Mkt Avg,,23199,,305,24,504,7,41,10.58
36,,628,32869,High,432,33,918,12,45,8.49
36,,632,23987,Medium,316,28,543,7,36,8.5
36,,1037,29293,High,385,31,285,4,50,9.76
36,,1146,22032,Medium,290,22,517,7,48,6.23
36,,1358,17778,Medium,234,13,371,5,81,5.54
36,,1359,21276,Medium,280,16,480,6,48,7.58
36,,1748,24927,Medium,328,28,620,8,39,12.11
36,,2348,16486,Low,217,16,324,4,16,16.45
36,,2928,28752,High,378,35,868,11,39,9.14
36,,3367,16316,Low,215,15,165,2,7,16.66
36,,4384,21480,Medium,283,24,457,6,38,15.89
37,Mkt Avg,,25265,,332,22,621,8,63,6.26
37,,574,32378,High,426,30,861,11,62,6.05
37,,586,26507,High,349,22,634,8,70,5.84
37,,621,14774,Low,194,9,276,4,77,4.65
