Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago,DP
26,3658,DOORDASH,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202217,84.70%,73.53%,12.7,87.10%,96.90%,95.10%,57.10%,
26,3658,SPARK,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,202217,88.90%,76.90%,7.8,91.20%,97.90%,93.10%,70.90%,
26,1372,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,-,Store Focus,202217,72.22%,72.22%,7.7,,,66.70%,75.00%,
26,2247,UBER,Scheduled Standard Delivery,30,Executive Review,Recovering,Store Focus,202217,93.63%,83.33%,9.7,92.60%,98.50%,89.90%,93.30%,
26,2836,POINTPICKUP,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,63.89%,73.97%,14.6,72.20%,68.80%,57.90%,57.90%,
26,4499,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,85.01%,78.22%,7.6,76.10%,89.40%,88.20%,86.40%,
26,4499,UBER,Scheduled Standard Delivery,13,Executive Review,Degrading,Store Focus,202217,85.96%,70.41%,11.6,77.30%,87.60%,95.20%,84.10%,
26,5046,UBER,Scheduled Standard Delivery,33,Executive Review,Degrading,Store Focus,202217,74.48%,73.07%,14.5,87.90%,63.70%,69.40%,81.60%,
26,5743,UBER,Scheduled Standard Delivery,23,Executive Review,Degrading,Store Focus,202217,83.70%,78.96%,11,89.10%,82.10%,89.80%,76.50%,
26,1348,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202217,45.78%,83.33%,12.8,40.00%,42.40%,58.80%,46.20%,
26,4273,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202217,81.53%,64.95%,9.9,81.30%,82.80%,80.50%,81.50%,
26,1197,POINTPICKUP,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202217,78.65%,75.38%,9.8,53.30%,88.50%,81.10%,79.10%,
26,1661,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202217,90.54%,92.33%,5.5,89.90%,88.50%,94.20%,89.60%,
26,1552,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202217,85.32%,89.71%,8.5,84.40%,89.60%,85.70%,80.80%,
26,1552,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202217,75.82%,87.75%,14.1,75.50%,80.40%,77.50%,68.80%,
26,2793,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Store Focus,202217,43.46%,34.71%,22.6,38.20%,30.10%,46.50%,59.60%,
26,877,SPARK,Scheduled Standard Delivery,7,Executive Review,Degrading,Store Focus,202217,74.68%,65.64%,10.4,76.80%,75.30%,78.70%,68.30%,
26,877,UBER,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Store Focus,202217,77.08%,88.33%,22.3,83.30%,71.40%,75.00%,78.60%,
26,877,UBER,Scheduled Standard Delivery,25,Executive Review,Degrading,Store Focus,202217,58.21%,59.32%,20.9,71.20%,52.80%,58.60%,55.70%,
