Market,Store,Mobile Calling,
52,4627,#N/A,
53,1216,#N/A,
53,217,#N/A,
53,2427,#N/A,
53,2996,#N/A,
53,2105,#N/A,
53,5889,#N/A,
53,426,#N/A,
53,4240,#N/A,
53,5092,#N/A,
55,2667,#N/A,
55,4215,#N/A,
55,286,#N/A,
55,5191,#N/A,
55,1118,#N/A,
55,4164,#N/A,
55,260,#N/A,
55,565,TBD,
56,6300,#N/A,
56,7178,#N/A,
56,3777,#N/A,
56,2086,#N/A,
56,2883,#N/A,
56,2926,#N/A,
56,5866,#N/A,
56,2463,#N/A,
58,3594,#N/A,
58,3419,#N/A,
58,5624,#N/A,
58,2981,#N/A,
58,3043,#N/A,
58,7347,#N/A,
58,3392,#N/A,
58,5613,#N/A,
58,5614,#N/A,
58,6578,#N/A,
58,7251,#N/A,
58,2979,#N/A,
58,3135,#N/A,
58,3341,#N/A,
58,3653,#N/A,
59,849,6/10/25,
59,1279,TBD,
59,1837,6/10/25,
59,297,6/10/25,
59,744,6/10/25,
59,1103,TBD,
59,4298,TBD,
59,6579,TBD,
60,1137,TBD,
60,2439,6/10/25,
60,5116,TBD,
60,522,6/10/25,
60,3298,TBD,
60,3500,TBD,
60,194,6/10/25,
60,1186,6/10/25,
61,482,6/10/25,
61,527,TBD,
61,808,6/10/25,
61,504,6/10/25,
61,1405,TBD,
61,5388,TBD,
61,462,6/10/25,
61,529,6/10/25,
62,872,6/10/25,
62,546,6/10/25,
62,2505,6/10/25,
62,3510,TBD,
62,915,6/10/25,
62,2993,6/10/25,
62,3572,TBD,
62,5449,TBD,
63,5612,TBD,
63,1062,TBD,
63,752,#N/A,
63,2724,6/10/25,
63,4526,TBD,
63,5959,TBD,
63,3425,TBD,
64,3296,TBD,
64,772,6/10/25,
64,2066,6/10/25,
64,2718,6/10/25,
64,3302,TBD,
64,3584,TBD,
64,3827,TBD,
65,768,6/10/25,
65,1040,6/10/25,
65,1409,TBD,
65,344,6/10/25,
65,3226,TBD,
65,4512,TBD,
65,3640,TBD,
65,4111,TBD,
65,5246,TBD,
66,384,6/10/25,
66,283,6/10/25,
66,331,6/10/25,
66,651,6/10/25,
66,1204,TBD,
66,383,6/10/25,
66,408,6/10/25,
66,449,6/10/25,
66,469,6/10/25,
66,457,6/10/25,
66,521,TBD,
66,777,6/10/25,
67,5045,TBD,
67,703,6/10/25,
67,2257,TBD,
67,3297,TBD,
67,4538,TBD,
67,4416,TBD,
67,5091,TBD,
68,602,6/10/25,
68,3213,TBD,
68,3390,TBD,
68,5287,TBD,
68,351,6/10/25,
68,400,6/10/25,
68,3585,TBD,
68,3591,TBD,
70,3383,TBD,
70,600,6/10/25,
70,755,TBD,
70,822,6/10/25,
70,1516,TBD,
70,793,6/10/25,
70,900,6/10/25,
70,5216,TBD,
70,812,6/10/25,
70,3384,TBD,
71,549,TBD,
71,861,6/10/25,
71,927,6/10/25,
71,2653,TBD,
71,945,6/10/25,
71,1051,TBD,
71,4299,TBD,
71,6898,TBD,
71,821,6/10/25,
71,3826,TBD,
73,537,6/10/25,
73,608,6/10/25,
73,513,TBD,
73,2891,6/10/25,
73,3645,6/10/25,
73,897,6/10/25,
73,626,6/10/25,
73,898,6/10/25,
74,536,6/10/25,
74,438,TBD,
74,535,6/10/25,
74,601,6/10/25,
74,1257,6/10/25,
74,1078,6/10/25,
74,1249,6/10/25,
74,3381,TBD,
74,1272,TBD,
74,7281,TBD,
76,746,#N/A,
76,939,#N/A,
76,5389,TBD,
76,7156,TBD,
76,211,#N/A,
76,248,#N/A,
76,610,#N/A,
76,1254,#N/A,
76,320,#N/A,
76,561,#N/A,
76,6929,TBD,
77,465,6/10/25,
77,478,TBD,
77,901,TBD,
77,1313,TBD,
77,290,6/10/25,
77,757,6/10/25,
77,5144,TBD,
77,5245,TBD,
77,3112,TBD,
77,3279,TBD,
77,4103,TBD,
78,490,6/10/25,
78,464,6/10/25,
78,470,6/10/25,
78,791,6/10/25,
78,1494,TBD,
78,440,TBD,
78,458,6/10/25,
78,5460,TBD,
78,442,6/10/25,
78,5898,TBD,
80,5165,TBD,
80,1958,6/10/25,
80,3320,TBD,
80,3567,TBD,
80,5809,TBD,
80,395,6/10/25,
80,397,6/10/25,
80,429,6/10/25,
80,452,6/10/25,
80,3886,TBD,
80,4508,TBD,
81,781,TBD,
81,813,6/10/25,
81,917,TBD,
81,1303,TBD,
81,381,6/10/25,
81,407,6/10/25,
81,1073,TBD,
81,6286,TBD,
81,476,6/10/25,
81,1232,6/10/25,
81,3319,TBD,
82,2991,TBD,
82,4130,TBD,
82,4219,TBD,
82,1129,6/10/25,
82,1253,6/10/25,
82,5317,TBD,
