STORE_NBR,DEPT_NBR,PRIME_ITEM_NBR,ITEM1_DESC,OH
2230,71,595796927,MS STUDIO FUTON,68
2039,71,595796927,MS STUDIO FUTON,68
1856,71,599933533,MS STUDIO FUTON,66
5629,71,599933533,MS STUDIO FUTON,66
1856,71,595796927,MS STUDIO FUTON,66
5629,71,595796927,MS STUDIO FUTON,66
1428,71,599933533,MS STUDIO FUTON,65
853,71,599933533,MS STUDIO FUTON,65
144,71,599933533,MS STUDIO FUTON,65
1428,71,595796927,MS STUDIO FUTON,65
853,71,595796927,MS STUDIO FUTON,65
144,71,595796927,MS STUDIO FUTON,65
484,71,599933533,MS STUDIO FUTON,64
484,71,595796927,MS STUDIO FUTON,64
1640,74,583271813,FG 4.5 2DR VCM,127
5214,7,596614963,TURTLE RIDE-ON FLOAT,125
1362,7,596614963,TURTLE RIDE-ON FLOAT,109
1345,71,582833522,MS MEMFOAM FUTON,124
5335,7,599767018,SWIMLINE TUBE FLOAT,192
1555,7,599767018,SWIMLINE TUBE FLOAT,184
1832,7,599767018,SWIMLINE TUBE FLOAT,178
5156,7,599767018,SWIMLINE TUBE FLOAT,173
1805,7,599767018,SWIMLINE TUBE FLOAT,152
1859,7,599767018,SWIMLINE TUBE FLOAT,90
2141,71,582833522,MS MEMFOAM FUTON,96
1591,71,582833522,MS MEMFOAM FUTON,91
2067,71,582833522,MS MEMFOAM FUTON,90
4256,71,582833522,MS MEMFOAM FUTON,83
5768,71,582833522,MS MEMFOAM FUTON,80
2139,71,582833522,MS MEMFOAM FUTON,77
2711,9,653889262,TREK 60 W/ROPE,218
3734,9,578943056,TREK 60 SLED,84
5748,9,653889262,TREK 60 W/ROPE,80
3222,74,596364673,3.1CF 2D VCM,125
2599,74,596364673,3.1CF 2D VCM,106
3858,74,596364673,3.1CF 2D VCM,105
5869,74,596364673,3.1CF 2D VCM,102
1932,74,7431689,ST FOOTLOCKER BLACK,91
3543,7,572340777,LT TURTLE SANDBOX,213
5299,7,550575243,INFLATABLES,163
818,7,550575243,INFLATABLES,160
2560,7,550575243,INFLATABLES,130
7181,7,550575243,INFLATABLES,129
2077,7,550575243,INFLATABLES,120
2355,7,595019216,6V BUMPER CAR,117
7179,20,574797479,TOWEL FLORIDA NAUTIC,1033
2000,20,574797488,TOWEL STRIPED PINK,421
579,20,574797479,TOWEL FLORIDA NAUTIC,374
1874,20,574797489,TOWEL CLIP,335
613,20,574797479,TOWEL FLORIDA NAUTIC,319
5872,20,574797489,TOWEL CLIP,270
3442,20,566446291,30X60 BEACH TOWEL,254
4063,20,574797489,TOWEL CLIP,240
5420,20,574797490,TOWEL CLIP,218
1362,20,574797489,TOWEL CLIP,203
663,20,574797479,TOWEL FLORIDA NAUTIC,187
1540,20,574797489,TOWEL CLIP,181
649,20,574797486,TOWEL SOLID FL PINK,144
5055,20,574797489,TOWEL CLIP,132
5214,20,574797489,TOWEL CLIP,127
1321,20,574797479,TOWEL FLORIDA NAUTIC,117
1292,71,575374007,BIG JOE JOEY BLACK,219
1870,71,575374007,BIG JOE JOEY BLACK,167
2515,71,575374013,BIG JOE JOEY GREY,156
1853,71,575374007,BIG JOE JOEY BLACK,143
1612,71,575374013,BIG JOE JOEY GREY,137
1870,71,575374013,BIG JOE JOEY GREY,136
1418,71,575374007,BIG JOE JOEY BLACK,128
2482,71,575374013,BIG JOE JOEY GREY,121
3794,71,575374007,BIG JOE JOEY BLACK,120
1150,71,575374007,BIG JOE JOEY BLACK,120
5394,71,575374013,BIG JOE JOEY GREY,120
1811,71,575374007,BIG JOE JOEY BLACK,119
3570,71,575374007,BIG JOE JOEY BLACK,118
2044,71,575374007,BIG JOE JOEY BLACK,116
4340,9,585812749,7FT MY FIRST TRMPLN,120
1362,7,596614943,42IN DONUT SWIM RING,185
818,7,550575242,INFLATABLES,240
1415,7,550575242,INFLATABLES,218
2712,7,550575242,INFLATABLES,125
1156,9,596984377,OT BEACH BENCH CART,140
643,11,577875648,BM 3600W GEN CARB,148
2280,74,599583514,3 COMPARTMENT 60L,356
2119,74,599583514,3 COMPARTMENT 60L,330
2648,74,599583514,3 COMPARTMENT 60L,322
2031,74,599583514,3 COMPARTMENT 60L,255
2735,74,599583514,3 COMPARTMENT 60L,245
1554,74,599583514,3 COMPARTMENT 60L,202
1760,74,599583514,3 COMPARTMENT 60L,184
3712,74,599583514,3 COMPARTMENT 60L,181
2537,74,599583514,3 COMPARTMENT 60L,169
1789,74,599583514,3 COMPARTMENT 60L,165
2044,74,599583514,3 COMPARTMENT 60L,160
3081,74,599583514,3 COMPARTMENT 60L,152
2004,17,568416626,MS 20X32 CARPET MAT,204
1496,17,568416626,MS 20X32 CARPET MAT,204
750,17,568416626,MS 20X32 CARPET MAT,202
2945,17,568416626,MS 20X32 CARPET MAT,200
1506,17,568416626,MS 20X32 CARPET MAT,200
2889,17,568416626,MS 20X32 CARPET MAT,200
1509,17,568416626,MS 20X32 CARPET MAT,185
841,17,568416626,MS 20X32 CARPET MAT,140
646,17,568416626,MS 20X32 CARPET MAT,135
1692,74,595818242,32G LL BLACK BASE,140
3883,9,598030570,OT 45QT HP COOLERGRY,156
1081,74,577634200,MS WD SS 3DR CRT MNT,152
3219,7,585443200,15FTX33IN FRAME POOL,204
2028,7,585443200,15FTX33IN FRAME POOL,150
468,71,583248423,BHG 8 CUBE ORG OAK,159
