Store ,Market ,Region,Rollout Phase ,Fixture Arrival Week,Execution Set Week,Total Fixture Pallets
1440,403,54,TBD,TBD,TBD,TBD
1441,221,21,TBD,TBD,TBD,TBD
1442,405,46,TBD,TBD,TBD,TBD
1443,225,21,Oct-22,37,38,4
1444,98,3,TBD,TBD,TBD,TBD
1445,213,19,TBD,TBD,TBD,TBD
1446,436,53,TBD,TBD,TBD,TBD
1447,419,52,Oct-22,35,36,4
1448,213,19,TBD,TBD,TBD,TBD
1449,439,53,TBD,TBD,TBD,TBD
1450,316,20,Oct-22,37,38,4
1451,275,25,TBD,TBD,TBD,TBD
1452,309,26,TBD,TBD,TBD,TBD
1453,440,53,TBD,TBD,TBD,TBD
1454,275,25,TBD,TBD,TBD,TBD
1455,44,5,TBD,TBD,TBD,TBD
1456,381,54,TBD,TBD,TBD,TBD
1457,381,54,Oct-22,39,40,3
1458,120,2,TBD,TBD,TBD,TBD
1459,249,25,Oct-22,35,36,4
1460,429,47,TBD,TBD,TBD,TBD
1461,381,54,Oct-22,35,36,3
1462,7,14,TBD,TBD,TBD,TBD
1463,221,21,Oct-22,37,38,4
1464,305,4,Oct-22,39,40,4
1465,314,75,Oct-22,39,40,5
1466,121,2,Oct-22,37,38,4
1467,121,2,TBD,TBD,TBD,TBD
1468,136,12,TBD,TBD,TBD,TBD
1469,120,2,TBD,TBD,TBD,TBD
1470,421,52,Oct-22,37,38,5
1471,439,53,TBD,TBD,TBD,TBD
1472,423,52,TBD,TBD,TBD,TBD
1473,421,52,Oct-22,35,36,4
1474,365,57,Oct-22,35,36,5
1475,418,52,TBD,TBD,TBD,TBD
1476,243,25,TBD,TBD,TBD,TBD
1477,317,20,TBD,TBD,TBD,TBD
1478,259,41,Oct-22,35,36,4
1479,238,19,TBD,TBD,TBD,TBD
1480,239,21,TBD,TBD,TBD,TBD
1481,13,14,Oct-22,37,38,4
1482,112,9,Oct-22,35,36,4
1483,430,54,Oct-22,37,38,3
1485,382,54,TBD,TBD,TBD,TBD
1486,314,75,Oct-22,37,38,5
1487,238,19,TBD,TBD,TBD,TBD
1488,22,2,TBD,TBD,TBD,TBD
1489,269,25,TBD,TBD,TBD,TBD
1490,263,53,TBD,TBD,TBD,TBD
1491,413,52,TBD,TBD,TBD,TBD
1492,376,47,Oct-22,39,40,4
1493,14,14,Oct-22,39,40,3
1494,78,6,Oct-22,35,36,4
1495,223,21,Oct-22,35,36,4
1496,415,52,Oct-22,37,38,4
1497,266,25,TBD,TBD,TBD,TBD
1498,298,26,Oct-22,39,40,3
1499,317,20,Oct-22,35,36,3
1500,430,54,Oct-22,39,40,4
1501,112,9,Oct-22,39,40,3
1502,301,26,Oct-22,35,36,4
1503,221,21,Oct-22,35,36,5
1504,221,21,Oct-22,39,40,4
1505,258,41,TBD,TBD,TBD,TBD
1506,415,52,TBD,TBD,TBD,TBD
1507,409,44,Oct-22,39,40,5
1508,382,54,TBD,TBD,TBD,TBD
1509,415,52,TBD,TBD,TBD,TBD
1510,225,21,Oct-22,37,38,5
1511,553,9,Oct-22,35,36,3
1512,371,46,Oct-22,35,36,3
1513,111,9,TBD,TBD,TBD,TBD
1514,340,40,TBD,TBD,TBD,TBD
1515,442,53,Oct-22,37,38,4
1516,70,46,TBD,TBD,TBD,TBD
1517,108,9,Oct-22,37,38,3
1518,482,25,Oct-22,35,36,4
1519,218,21,TBD,TBD,TBD,TBD
1520,430,54,Oct-22,39,40,4
1521,225,21,Oct-22,39,40,4
1522,320,75,Oct-22,39,40,4
1523,287,75,Oct-22,35,36,4
1524,290,75,TBD,TBD,TBD,TBD
1525,287,75,Oct-22,37,38,4
1526,426,52,Oct-22,39,40,3
1527,301,26,Oct-22,37,38,4
1528,415,52,Oct-22,35,36,4
1529,233,22,Oct-22,35,36,5
1530,136,12,Oct-22,39,40,4
1531,270,25,TBD,TBD,TBD,TBD
1532,369,46,TBD,TBD,TBD,TBD
1533,369,46,Oct-22,39,40,5
1534,427,54,Oct-22,39,40,3
1535,430,54,Oct-22,37,38,5
1536,111,9,TBD,TBD,TBD,TBD
1537,234,22,Oct-22,39,40,3
1538,430,54,TBD,TBD,TBD,TBD
1539,213,19,Oct-22,37,38,5
1540,201,19,TBD,TBD,TBD,TBD
1541,107,9,Oct-22,37,38,5
1542,196,53,TBD,TBD,TBD,TBD
1543,430,54,TBD,TBD,TBD,TBD
1544,320,75,Oct-22,37,38,3
1545,412,52,Oct-22,39,40,4
1546,426,52,TBD,TBD,TBD,TBD
1547,246,21,Oct-22,35,36,4
1548,262,25,TBD,TBD,TBD,TBD
1549,368,46,Oct-22,39,40,5
1550,388,54,TBD,TBD,TBD,TBD
1551,435,53,TBD,TBD,TBD,TBD
1552,308,26,Oct-22,37,38,4
1553,264,25,TBD,TBD,TBD,TBD
1554,452,56,Oct-22,39,40,5
1555,463,57,Oct-22,39,40,5
1556,266,25,TBD,TBD,TBD,TBD
1557,482,25,Oct-22,39,40,4
1558,298,26,Oct-22,37,38,4
1559,394,57,Oct-22,37,38,4
1560,396,57,TBD,TBD,TBD,TBD
1561,145,12,Oct-22,39,40,4
1562,424,52,Oct-22,39,40,4
1563,448,57,TBD,TBD,TBD,TBD
1564,218,21,Oct-22,37,38,5
1565,427,54,Oct-22,37,38,4
1566,247,21,Oct-22,37,38,3
1567,427,54,Oct-22,39,40,4
1568,229,20,Oct-22,39,40,5
1569,259,41,Oct-22,35,36,4
1570,248,21,Oct-22,37,38,5
1571,442,53,TBD,TBD,TBD,TBD
1572,582,54,Oct-22,35,36,3
1573,405,46,Oct-22,37,38,4
1574,447,57,TBD,TBD,TBD,TBD
1575,457,56,Oct-22,35,36,3
1576,238,19,TBD,TBD,TBD,TBD
1577,424,52,TBD,TBD,TBD,TBD
1578,23,2,TBD,TBD,TBD,TBD
1579,296,26,Oct-22,35,36,4
1580,249,25,Oct-22,39,40,4
1581,427,54,Oct-22,39,40,4
1583,449,57,Oct-22,35,36,3
1584,396,57,TBD,TBD,TBD,TBD
1585,429,47,Oct-22,35,36,4
1586,26,2,TBD,TBD,TBD,TBD
1587,450,56,Oct-22,39,40,4
1588,445,57,Oct-22,35,36,4
1589,108,9,Oct-22,37,38,3
1590,553,9,Oct-22,37,38,5
1591,234,22,Oct-22,35,36,4
1592,205,19,Oct-22,39,40,3
1593,202,19,Oct-22,39,40,4
1594,219,21,Oct-22,37,38,5
1595,217,21,Oct-22,39,40,4
1596,265,25,TBD,TBD,TBD,TBD
1597,356,44,Oct-22,37,38,5
1598,370,46,Oct-22,39,40,3
1599,362,40,Oct-22,37,38,4
1600,447,57,Oct-22,39,40,3
1601,482,25,Oct-22,37,38,4
1602,275,25,TBD,TBD,TBD,TBD
1603,42,4,Oct-22,37,38,4
1604,430,54,TBD,TBD,TBD,TBD
1605,14,14,Oct-22,37,38,4
1606,119,2,Oct-22,39,40,4
1607,237,22,Oct-22,35,36,4
1608,457,56,Oct-22,35,36,4
1609,419,52,TBD,TBD,TBD,TBD
1610,192,17,Oct-22,37,38,3
1611,205,19,Oct-22,35,36,4
1612,366,46,TBD,TBD,TBD,TBD
1613,308,26,Oct-22,39,40,4
1614,297,26,Oct-22,39,40,3
1615,452,56,Oct-22,39,40,4
1616,457,56,TBD,TBD,TBD,TBD
1617,381,54,TBD,TBD,TBD,TBD
1618,238,19,TBD,TBD,TBD,TBD
1619,192,17,Oct-22,39,40,5
1620,14,14,TBD,TBD,TBD,TBD
1621,418,52,Oct-22,39,40,3
1622,213,19,TBD,TBD,TBD,TBD
1623,226,17,Oct-22,35,36,5
1624,447,57,Oct-22,35,36,4
1625,426,52,TBD,TBD,TBD,TBD
1626,352,44,Oct-22,35,36,5
1627,427,54,Oct-22,37,38,5
1628,213,19,Oct-22,37,38,4
1629,251,25,TBD,TBD,TBD,TBD
1630,457,56,Oct-22,35,36,3
1631,288,75,Oct-22,35,36,4
1632,412,52,TBD,TBD,TBD,TBD
1633,424,52,Oct-22,35,36,5
1634,419,52,Oct-22,37,38,5
1635,442,53,Oct-22,39,40,5
1636,427,54,TBD,TBD,TBD,TBD
1637,432,47,Oct-22,39,40,4
1638,7,14,TBD,TBD,TBD,TBD
1639,247,21,Oct-22,39,40,3
1640,237,22,Oct-22,39,40,4
1641,301,26,TBD,TBD,TBD,TBD
1642,202,19,TBD,TBD,TBD,TBD
1643,439,53,TBD,TBD,TBD,TBD
1644,232,22,Oct-22,35,36,4
1645,581,57,TBD,TBD,TBD,TBD
1646,372,46,Oct-22,39,40,5
1647,248,21,TBD,TBD,TBD,TBD
1648,392,56,TBD,TBD,TBD,TBD
1649,427,54,Oct-22,35,36,4
1650,444,53,TBD,TBD,TBD,TBD
1651,453,56,Oct-22,39,40,2
1652,312,75,TBD,TBD,TBD,TBD
1653,320,75,Oct-22,35,36,3
1654,419,52,Oct-22,35,36,4
1655,482,25,Oct-22,35,36,4
1656,228,17,Oct-22,39,40,5
1657,425,53,Oct-22,39,40,4
1658,30,3,TBD,TBD,TBD,TBD
1659,379,47,Oct-22,39,40,4
1660,448,57,Oct-22,35,36,4
1661,302,26,Oct-22,35,36,4
1662,304,4,Oct-22,39,40,5
1663,294,2,TBD,TBD,TBD,TBD
1664,299,26,Oct-22,39,40,4
1665,239,21,TBD,TBD,TBD,TBD
1666,306,4,Oct-22,35,36,4
1667,247,21,TBD,TBD,TBD,TBD
1668,269,25,TBD,TBD,TBD,TBD
1669,438,53,Oct-22,39,40,5
1670,168,22,Oct-22,37,38,4
1671,433,47,Oct-22,39,40,4
1672,436,53,TBD,TBD,TBD,TBD
1673,192,17,TBD,TBD,TBD,TBD
1674,280,75,TBD,TBD,TBD,TBD
1675,256,41,TBD,TBD,TBD,TBD
1676,580,25,TBD,TBD,TBD,TBD
1677,189,17,Oct-22,39,40,4
1678,442,53,TBD,TBD,TBD,TBD
1679,438,53,TBD,TBD,TBD,TBD
1680,110,9,Oct-22,35,36,4
1681,268,25,TBD,TBD,TBD,TBD
1682,288,75,Oct-22,37,38,4
1683,413,52,TBD,TBD,TBD,TBD
1684,237,22,TBD,TBD,TBD,TBD
1685,430,54,Oct-22,37,38,3
1686,403,54,Oct-22,35,36,4
1687,289,75,Oct-22,37,38,5
1688,289,75,Oct-22,39,40,4
1689,376,47,Oct-22,35,36,5
1690,275,25,TBD,TBD,TBD,TBD
1691,362,40,Oct-22,39,40,5
1692,445,57,Oct-22,37,38,4
1693,445,57,Oct-22,35,36,3
1694,124,4,Oct-22,37,38,3
1695,427,54,Oct-22,35,36,3
1696,412,52,TBD,TBD,TBD,TBD
1697,454,56,Oct-22,37,38,3
1698,183,16,Oct-22,37,38,5
1699,401,54,Oct-22,39,40,4
1700,459,57,Oct-22,39,40,3
1701,21,2,Oct-22,37,38,2
1702,92,9,Oct-22,39,40,5
1703,280,75,TBD,TBD,TBD,TBD
1704,453,56,Oct-22,39,40,3
1705,191,17,TBD,TBD,TBD,TBD
1707,208,20,Oct-22,35,36,4
1708,401,54,Oct-22,37,38,4
1709,248,21,Oct-22,37,38,4
1710,140,13,Oct-22,37,38,4
1711,2,14,Oct-22,39,40,4
1712,111,9,TBD,TBD,TBD,TBD
1713,278,25,TBD,TBD,TBD,TBD
1714,320,75,Oct-22,39,40,4
1715,285,75,Oct-22,37,38,4
1716,508,75,TBD,TBD,TBD,TBD
1717,508,75,Oct-22,39,40,4
1718,222,21,TBD,TBD,TBD,TBD
1719,204,19,Oct-22,39,40,4
1720,25,2,TBD,TBD,TBD,TBD
1721,418,52,Oct-22,39,40,3
1722,421,52,Oct-22,37,38,4
1723,413,52,TBD,TBD,TBD,TBD
1724,216,20,TBD,TBD,TBD,TBD
1726,315,75,Oct-22,35,36,4
1727,439,53,TBD,TBD,TBD,TBD
1728,239,21,TBD,TBD,TBD,TBD
1729,239,21,TBD,TBD,TBD,TBD
1730,287,75,Oct-22,37,38,2
1731,192,17,Oct-22,35,36,4
1732,414,52,Oct-22,39,40,2
1733,203,19,TBD,TBD,TBD,TBD
1734,246,21,Oct-22,35,36,5
1735,269,25,TBD,TBD,TBD,TBD
1736,284,75,Oct-22,37,38,4
1737,268,25,TBD,TBD,TBD,TBD
1738,421,52,TBD,TBD,TBD,TBD
1739,227,20,Oct-22,37,38,5
1740,263,53,TBD,TBD,TBD,TBD
1741,284,75,Oct-22,39,40,4
1742,165,22,TBD,TBD,TBD,TBD
1743,258,41,TBD,TBD,TBD,TBD
1744,192,17,Oct-22,37,38,3
1745,239,21,TBD,TBD,TBD,TBD
1746,371,46,Oct-22,37,38,4
1747,461,57,Oct-22,37,38,4
1748,36,4,Oct-22,37,38,4
1749,183,16,Oct-22,39,40,5
1750,222,21,TBD,TBD,TBD,TBD
1751,297,26,Oct-22,37,38,4
1752,204,19,Oct-22,37,38,4
1753,184,16,Oct-22,37,38,3
1754,203,19,Oct-22,35,36,4
1755,453,56,Oct-22,39,40,4
1756,462,57,Oct-22,39,40,4
1757,419,52,Oct-22,39,40,4
1758,239,21,TBD,TBD,TBD,TBD
1759,288,75,Oct-22,35,36,5
1760,455,56,Oct-22,39,40,3
1761,341,25,TBD,TBD,TBD,TBD
1762,157,16,Oct-22,35,36,4
1763,311,20,TBD,TBD,TBD,TBD
1764,413,52,Oct-22,39,40,4
1765,237,22,TBD,TBD,TBD,TBD
1766,23,2,TBD,TBD,TBD,TBD
1767,300,26,Oct-22,39,40,4
1768,582,54,TBD,TBD,TBD,TBD
1769,231,22,Oct-22,35,36,4
1770,229,20,Oct-22,37,38,4
1771,202,19,Oct-22,35,36,4
1772,468,56,Oct-22,35,36,4
1773,288,75,Oct-22,37,38,4
1774,310,26,Oct-22,35,36,4
1775,478,60,TBD,TBD,TBD,TBD
1776,442,53,TBD,TBD,TBD,TBD
1777,168,22,Oct-22,39,40,5
1778,382,54,TBD,TBD,TBD,TBD
1779,265,25,TBD,TBD,TBD,TBD
1780,315,75,Oct-22,35,36,4
1781,190,17,Oct-22,37,38,5
1782,216,20,Oct-22,37,38,5
1783,580,25,TBD,TBD,TBD,TBD
1784,477,60,Oct-22,39,40,4
1785,184,16,Oct-22,35,36,4
1786,423,52,Oct-22,37,38,4
1787,414,52,TBD,TBD,TBD,TBD
1788,183,16,Oct-22,35,36,5
1789,452,56,Oct-22,37,38,5
1790,197,19,Oct-22,39,40,5
1791,200,19,TBD,TBD,TBD,TBD
1792,231,22,TBD,TBD,TBD,TBD
1793,477,60,Oct-22,37,38,4
1794,232,22,Oct-22,35,36,5
1795,294,2,TBD,TBD,TBD,TBD
1796,184,16,Oct-22,39,40,4
1797,179,16,TBD,TBD,TBD,TBD
1798,205,19,Oct-22,35,36,4
1799,441,53,TBD,TBD,TBD,TBD
1800,583,5,TBD,TBD,TBD,TBD
1801,44,5,TBD,TBD,TBD,TBD
1802,411,47,Oct-22,39,40,5
1803,87,6,Oct-22,39,40,3
1804,248,21,Oct-22,35,36,4
1805,463,57,Oct-22,39,40,4
1806,189,17,Oct-22,39,40,3
1807,165,22,Oct-22,39,40,4
1808,388,54,TBD,TBD,TBD,TBD
1809,202,19,Oct-22,35,36,4
1810,164,17,TBD,TBD,TBD,TBD
1811,288,75,Oct-22,35,36,4
1812,215,20,Oct-22,37,38,5
1813,192,17,Oct-22,37,38,4
1814,264,25,TBD,TBD,TBD,TBD
1815,449,57,Oct-22,39,40,4
1816,297,26,Oct-22,37,38,2
1817,475,60,Oct-22,35,36,4
1819,436,53,TBD,TBD,TBD,TBD
1820,229,20,Oct-22,37,38,3
1821,306,4,Oct-22,39,40,4
1822,#N/A,#N/A,TBD,TBD,TBD,TBD
1823,234,22,Oct-22,37,38,4
1825,286,75,TBD,TBD,TBD,TBD
1826,581,57,Oct-22,35,36,3
1827,582,54,TBD,TBD,TBD,TBD
1828,439,53,TBD,TBD,TBD,TBD
1829,37,4,TBD,TBD,TBD,TBD
1830,191,17,Oct-22,35,36,5
1831,191,17,TBD,TBD,TBD,TBD
1832,463,57,Oct-22,35,36,5
1833,291,75,TBD,TBD,TBD,TBD
1834,468,56,TBD,TBD,TBD,TBD
1835,190,17,Oct-22,35,36,5
1836,202,19,Oct-22,39,40,4
1837,59,6,Oct-22,37,38,4
1838,394,57,TBD,TBD,TBD,TBD
1839,214,20,TBD,TBD,TBD,TBD
1840,511,56,Oct-22,35,36,4
1841,289,75,Oct-22,37,38,5
1842,298,26,Oct-22,37,38,5
1843,477,60,Oct-22,39,40,3
1844,178,22,Oct-22,39,40,4
1845,109,9,Oct-22,37,38,3
1846,366,46,TBD,TBD,TBD,TBD
1847,93,3,TBD,TBD,TBD,TBD
1848,264,25,TBD,TBD,TBD,TBD
1849,308,26,Oct-22,35,36,4
1850,234,22,Oct-22,39,40,4
1851,109,9,Oct-22,37,38,3
1852,291,75,TBD,TBD,TBD,TBD
1853,461,57,Oct-22,35,36,4
1854,#N/A,#N/A,TBD,TBD,TBD,TBD
1855,423,52,Oct-22,37,38,3
1856,179,16,Oct-22,39,40,4
1857,209,20,Oct-22,39,40,3
1858,421,52,TBD,TBD,TBD,TBD
1859,463,57,Oct-22,37,38,5
1860,284,75,Oct-22,37,38,4
1861,422,52,Oct-22,35,36,5
1862,462,57,Oct-22,37,38,3
1863,209,20,TBD,TBD,TBD,TBD
1864,422,52,Oct-22,37,38,3
1865,421,52,TBD,TBD,TBD,TBD
1866,180,16,TBD,TBD,TBD,TBD
1867,293,75,Oct-22,35,36,4
1868,180,16,Oct-22,37,38,5
1869,165,22,Oct-22,37,38,4
1870,475,60,TBD,TBD,TBD,TBD
1871,187,17,Oct-22,39,40,5
1872,383,54,Oct-22,35,36,4
1873,161,16,Oct-22,37,38,4
1874,118,9,TBD,TBD,TBD,TBD
1875,282,75,Oct-22,39,40,3
1876,476,60,Oct-22,39,40,2
1877,581,57,Oct-22,37,38,3
1878,400,56,TBD,TBD,TBD,TBD
1879,445,57,Oct-22,39,40,4
1880,468,56,Oct-22,37,38,4
1881,454,56,Oct-22,39,40,3
1882,581,57,Oct-22,37,38,3
1883,208,20,Oct-22,39,40,5
1884,226,17,Oct-22,35,36,4
1885,229,20,Oct-22,35,36,5
1886,234,22,Oct-22,37,38,5
1887,232,22,Oct-22,39,40,4
1888,401,54,TBD,TBD,TBD,TBD
1889,475,60,TBD,TBD,TBD,TBD
1890,285,75,Oct-22,39,40,4
1891,162,17,Oct-22,37,38,3
1892,268,25,TBD,TBD,TBD,TBD
1893,508,75,TBD,TBD,TBD,TBD
1894,214,20,TBD,TBD,TBD,TBD
1895,215,20,Oct-22,37,38,3
1896,391,47,Oct-22,35,36,4
1897,268,25,TBD,TBD,TBD,TBD
1898,264,25,TBD,TBD,TBD,TBD
1899,461,57,Oct-22,39,40,4
1900,400,56,TBD,TBD,TBD,TBD
1901,383,54,Oct-22,39,40,4
1902,400,56,Oct-22,37,38,3
1903,455,56,Oct-22,39,40,4
1904,292,75,TBD,TBD,TBD,TBD
1905,400,56,TBD,TBD,TBD,TBD
1906,160,16,Oct-22,37,38,3
1907,184,16,Oct-22,35,36,3
1908,440,53,Oct-22,37,38,3
1909,195,17,Oct-22,35,36,5
1910,457,56,Oct-22,39,40,3
1911,215,20,TBD,TBD,TBD,TBD
1912,461,57,Oct-22,37,38,4
1913,207,19,Oct-22,35,36,4
1914,445,57,Oct-22,35,36,4
1915,463,57,Oct-22,35,36,3
1916,108,9,Oct-22,39,40,5
1917,459,57,Oct-22,37,38,4
1918,156,16,TBD,TBD,TBD,TBD
1919,179,16,TBD,TBD,TBD,TBD
1920,477,60,Oct-22,39,40,3
1921,178,22,TBD,TBD,TBD,TBD
1922,462,57,Oct-22,39,40,4
1923,200,19,Oct-22,37,38,5
1924,179,16,Oct-22,35,36,3
1925,478,60,TBD,TBD,TBD,TBD
1926,191,17,Oct-22,39,40,3
1927,214,20,TBD,TBD,TBD,TBD
1928,205,19,Oct-22,37,38,5
1929,419,52,TBD,TBD,TBD,TBD
1930,184,16,Oct-22,39,40,4
1931,440,53,TBD,TBD,TBD,TBD
1932,179,16,Oct-22,37,38,4
1933,267,25,Oct-22,39,40,4
1934,314,75,TBD,TBD,TBD,TBD
1935,237,22,Oct-22,37,38,4
1936,196,53,Oct-22,37,38,4
1937,216,20,Oct-22,39,40,3
1938,268,25,TBD,TBD,TBD,TBD
1939,180,16,Oct-22,37,38,4
1940,188,17,Oct-22,37,38,4
1941,462,57,TBD,TBD,TBD,TBD
1942,200,19,TBD,TBD,TBD,TBD
1943,433,47,Oct-22,37,38,4
1945,226,17,TBD,TBD,TBD,TBD
1946,187,17,TBD,TBD,TBD,TBD
1947,473,60,TBD,TBD,TBD,TBD
1948,227,20,Oct-22,37,38,3
1949,194,17,Oct-22,39,40,4
1950,301,26,TBD,TBD,TBD,TBD
1951,399,56,TBD,TBD,TBD,TBD
1952,422,52,Oct-22,35,36,3
1953,297,26,Oct-22,37,38,3
1954,183,16,Oct-22,37,38,4
1955,263,53,TBD,TBD,TBD,TBD
1956,382,54,Oct-22,39,40,3
1957,105,9,Oct-22,37,38,3
1958,80,6,Oct-22,35,36,3
1959,164,17,TBD,TBD,TBD,TBD
1960,112,9,Oct-22,39,40,3
1961,225,21,Oct-22,35,36,4
1962,247,21,Oct-22,39,40,5
1963,450,56,Oct-22,35,36,4
1964,161,16,TBD,TBD,TBD,TBD
1965,432,47,Oct-22,37,38,4
1966,194,17,Oct-22,35,36,4
1967,154,16,Oct-22,39,40,4
1968,281,75,Oct-22,39,40,5
1969,290,75,Oct-22,37,38,4
1970,159,16,Oct-22,37,38,3
1971,425,53,Oct-22,39,40,5
1972,511,56,Oct-22,35,36,5
1973,194,17,Oct-22,37,38,3
1974,179,16,TBD,TBD,TBD,TBD
1975,181,16,TBD,TBD,TBD,TBD
1976,190,17,Oct-22,37,38,4
1977,178,22,Oct-22,35,36,4
1978,247,21,Oct-22,37,38,4
1979,453,56,TBD,TBD,TBD,TBD
1980,162,17,Oct-22,35,36,4
1981,508,75,Oct-22,37,38,5
1982,439,53,TBD,TBD,TBD,TBD
1983,450,56,Oct-22,39,40,4
1984,154,16,Oct-22,37,38,3
1985,508,75,Oct-22,37,38,5
1986,213,19,Oct-22,35,36,5
1987,205,19,Oct-22,37,38,5
1988,455,56,Oct-22,35,36,4
1989,447,57,Oct-22,37,38,3
1990,217,21,TBD,TBD,TBD,TBD
1991,251,25,Oct-22,37,38,4
1992,462,57,Oct-22,37,38,4
1993,195,17,TBD,TBD,TBD,TBD
1994,187,17,Oct-22,35,36,5
1995,400,56,TBD,TBD,TBD,TBD
1996,553,9,Oct-22,39,40,4
1997,188,17,Oct-22,37,38,4
1998,267,25,TBD,TBD,TBD,TBD
1999,424,52,TBD,TBD,TBD,TBD
2000,301,26,Oct-22,39,40,2
2001,449,57,Oct-22,39,40,4
2002,451,56,Oct-22,35,36,5
2003,174,17,TBD,TBD,TBD,TBD
2004,415,52,Oct-22,37,38,4
2005,306,4,Oct-22,35,36,4
2006,475,60,Oct-22,35,36,5
2007,473,60,TBD,TBD,TBD,TBD
2008,229,20,TBD,TBD,TBD,TBD
2009,281,75,Oct-22,35,36,5
2010,201,19,Oct-22,35,36,4
2012,156,16,Oct-22,35,36,4
2013,179,16,Oct-22,35,36,4
2014,204,19,Oct-22,35,36,4
2015,292,75,TBD,TBD,TBD,TBD
2016,473,60,TBD,TBD,TBD,TBD
2019,235,20,Oct-22,39,40,5
2020,246,21,TBD,TBD,TBD,TBD
2021,160,16,Oct-22,35,36,4
2022,162,17,Oct-22,39,40,3
2023,233,22,Oct-22,39,40,5
2024,226,17,TBD,TBD,TBD,TBD
2025,511,56,Oct-22,35,36,5
2026,#N/A,#N/A,TBD,TBD,TBD,TBD
2027,280,75,Oct-22,35,36,4
2028,461,57,Oct-22,35,36,3
2030,450,56,Oct-22,39,40,3
2031,511,56,Oct-22,39,40,4
2032,446,57,TBD,TBD,TBD,TBD
2033,427,54,Oct-22,37,38,3
2035,239,21,TBD,TBD,TBD,TBD
2036,317,20,TBD,TBD,TBD,TBD
2037,472,60,Oct-22,39,40,4
2038,292,75,TBD,TBD,TBD,TBD
2039,450,56,Oct-22,35,36,4
2040,170,22,Oct-22,37,38,4
2041,284,75,TBD,TBD,TBD,TBD
2043,194,17,TBD,TBD,TBD,TBD
2044,457,56,Oct-22,35,36,4
2045,281,75,Oct-22,35,36,3
2046,180,16,Oct-22,39,40,5
2047,179,16,Oct-22,35,36,3
2048,453,56,Oct-22,35,36,5
2049,237,22,Oct-22,35,36,5
2050,396,57,TBD,TBD,TBD,TBD
2051,405,46,TBD,TBD,TBD,TBD
2052,453,56,Oct-22,37,38,3
2053,457,56,Oct-22,39,40,2
2054,450,56,TBD,TBD,TBD,TBD
2055,183,16,Oct-22,35,36,4
2056,188,17,TBD,TBD,TBD,TBD
2057,184,16,TBD,TBD,TBD,TBD
2058,297,26,Oct-22,39,40,4
2059,231,22,Oct-22,37,38,5
2061,201,19,Oct-22,39,40,4
2062,201,19,Oct-22,37,38,5
2063,208,20,Oct-22,35,36,4
2064,226,17,Oct-22,35,36,4
2065,122,2,Oct-22,37,38,4
2066,64,6,Oct-22,39,40,4
2067,#N/A,#N/A,TBD,TBD,TBD,TBD
2068,170,22,Oct-22,35,36,4
2069,468,56,Oct-22,39,40,3
2070,469,60,TBD,TBD,TBD,TBD
2071,469,60,TBD,TBD,TBD,TBD
2072,#N/A,#N/A,TBD,TBD,TBD,TBD
2073,214,20,TBD,TBD,TBD,TBD
2074,469,60,TBD,TBD,TBD,TBD
2075,478,60,TBD,TBD,TBD,TBD
2077,460,57,Oct-22,35,36,4
2078,216,20,Oct-22,35,36,5
2079,196,53,TBD,TBD,TBD,TBD
2080,202,19,Oct-22,37,38,5
2081,111,9,TBD,TBD,TBD,TBD
2082,464,57,TBD,TBD,TBD,TBD
2083,320,75,Oct-22,35,36,4
2084,382,54,Oct-22,35,36,3
2085,#N/A,#N/A,TBD,TBD,TBD,TBD
2086,56,5,TBD,TBD,TBD,TBD
2087,422,52,Oct-22,39,40,4
2088,195,17,Oct-22,39,40,5
2089,311,20,Oct-22,39,40,5
2090,174,17,TBD,TBD,TBD,TBD
2091,110,9,Oct-22,35,36,4
2092,187,17,Oct-22,39,40,3
2093,189,17,Oct-22,37,38,4
2094,460,57,Oct-22,37,38,3
2095,160,16,Oct-22,35,36,3
2096,170,22,Oct-22,37,38,3
2097,188,17,Oct-22,35,36,3
2098,219,21,Oct-22,37,38,5
2099,447,57,TBD,TBD,TBD,TBD
2100,196,53,TBD,TBD,TBD,TBD
2101,475,60,Oct-22,37,38,4
2102,200,19,Oct-22,37,38,4
2103,159,16,Oct-22,35,36,4
2104,164,17,TBD,TBD,TBD,TBD
2105,53,5,Oct-22,35,36,4
2106,392,56,TBD,TBD,TBD,TBD
2107,195,17,Oct-22,39,40,4
2108,165,22,Oct-22,35,36,4
2109,165,22,Oct-22,39,40,4
2110,465,57,TBD,TBD,TBD,TBD
2111,13,14,Oct-22,37,38,5
2112,372,46,Oct-22,39,40,4
2113,370,46,Oct-22,39,40,4
2114,7,14,TBD,TBD,TBD,TBD
2115,216,20,Oct-22,37,38,4
2116,187,17,Oct-22,37,38,5
2117,450,56,Oct-22,39,40,3
2118,156,16,Oct-22,39,40,4
2119,451,56,Oct-22,37,38,3
2120,190,17,TBD,TBD,TBD,TBD
2121,472,60,Oct-22,35,36,4
2122,159,16,Oct-22,37,38,4
2123,47,44,Oct-22,37,38,5
2124,223,21,TBD,TBD,TBD,TBD
2125,380,47,TBD,TBD,TBD,TBD
2126,470,60,TBD,TBD,TBD,TBD
2127,440,53,Oct-22,39,40,3
2128,159,16,TBD,TBD,TBD,TBD
2129,231,22,Oct-22,39,40,3
2130,183,16,TBD,TBD,TBD,TBD
2131,411,47,Oct-22,35,36,4
2132,131,13,Oct-22,39,40,5
