Mkt,Wk,Reg,Associate Material Handling,Associate Falls,Associate Falling Merchandise,Associate Other,Accident Free Week,Safety Meetings,Late Reporting,Points For the Week,YTD Points, Five Star ,Sales Growth,BU Rank,Company Rank
37,42,4,2,0,3,1,0,0,-3,3,21, 4.50 ,8.21%,70,400
232,42,22,0,1,0,0,0,0,0,1,21, 4.49 ,2.84%,71,401
194,42,17,2,1,3,0,0,0,0,6,21, 4.34 ,8.43%,72,405
173,42,17,2,1,0,0,0,0,0,3,20, 4.47 ,6.44%,73,409
302,42,26,2,0,3,0,0,0,0,5,20, 4.44 ,6.69%,74,413
180,42,16,2,0,3,1,0,0,-3,3,20, 4.42 ,11.28%,75,415
288,42,75,2,0,3,0,0,0,-6,-1,20, 4.40 ,5.61%,76,418
305,42,4,2,0,3,0,0,0,0,5,20, 4.36 ,7.76%,77,419
308,42,26,2,1,3,0,0,0,0,6,20, 4.36 ,6.89%,78,420
162,42,17,0,1,3,0,0,0,0,4,19, 4.40 ,12.47%,79,428
179,42,16,2,0,0,1,0,0,0,3,18, 4.36 ,10.68%,80,433
184,42,16,2,0,3,1,0,0,0,6,17, 4.44 ,4.32%,81,435
188,42,17,2,1,0,0,0,0,-3,0,12, 4.42 ,7.76%,82,444
406,42,47,2,1,3,1,0,0,0,7,51, 4.49 ,5.93%,1,51
421,42,52,2,0,3,1,0,0,0,6,46, 4.48 ,11.33%,2,74
462,42,57,2,0,3,1,0,0,0,6,43, 4.54 ,3.37%,3,97
471,42,60,0,1,3,1,0,0,0,5,43, 4.45 ,11.64%,4,99
472,42,60,0,1,3,1,0,0,0,5,41, 4.38 ,8.61%,5,130
365,42,57,2,1,0,0,0,0,0,3,40, 4.60 ,8.70%,6,138
412,42,52,0,0,3,0,0,0,0,3,40, 4.55 ,11.31%,7,139
389,42,47,2,0,3,1,0,0,0,6,40, 4.50 ,9.56%,8,141
376,42,47,0,0,3,0,0,0,0,3,39, 4.46 ,10.58%,9,152
468,42,56,2,0,3,0,0,0,0,5,39, 4.44 ,4.63%,10,154
449,42,57,2,0,0,1,0,0,0,3,38, 4.52 ,11.56%,11,160
466,42,57,2,0,3,0,0,0,0,5,38, 4.52 ,5.96%,12,161
514,42,60,2,1,3,1,0,0,0,7,38, 4.40 ,11.44%,13,167
429,42,47,2,1,3,0,0,0,0,6,38, 4.36 ,8.40%,14,169
378,42,54,0,1,3,1,0,0,0,5,37, 4.46 ,10.81%,15,176
450,42,56,0,1,3,0,0,0,-3,1,35, 4.47 ,13.06%,16,199
426,42,52,0,1,3,0,0,0,-3,1,35, 4.47 ,8.63%,17,200
473,42,60,2,0,3,1,0,0,0,6,35, 4.45 ,10.18%,18,201
458,42,57,0,1,3,1,0,0,0,5,34, 4.51 ,10.43%,19,217
581,42,57,2,0,3,1,0,0,0,6,34, 4.49 ,9.45%,20,218
419,42,52,2,0,0,0,0,0,-3,-1,33, 4.49 ,9.43%,21,229
585,42,47,2,0,3,1,0,0,0,6,33, 4.49 ,8.71%,22,230
451,42,56,2,1,3,0,0,0,0,6,33, 4.43 ,8.01%,23,235
465,42,57,2,0,3,1,0,0,0,6,32, 4.54 ,12.77%,24,244
445,42,57,2,0,3,0,0,0,0,5,32, 4.51 ,7.82%,25,246
396,42,57,2,1,3,1,0,0,0,7,32, 4.50 ,10.06%,26,247
511,42,56,2,0,3,1,0,0,0,6,32, 4.45 ,6.22%,27,249
380,42,47,2,1,3,0,0,0,0,6,32, 4.44 ,8.60%,28,251
478,42,60,0,1,3,0,0,0,0,4,32, 4.38 ,6.74%,29,258
423,42,52,0,1,0,1,0,0,0,2,32, 4.36 ,10.93%,30,259
394,42,57,0,0,3,1,0,0,-3,1,31, 4.52 ,8.52%,31,262
469,42,60,2,1,3,1,7,0,0,14,31, 4.49 ,6.70%,32,263
413,42,52,2,1,3,0,0,0,0,6,31, 4.47 ,9.87%,33,265
427,42,54,2,1,3,1,0,0,0,7,31, 4.41 ,13.21%,34,272
433,42,47,2,0,0,0,0,0,0,2,30, 4.39 ,10.69%,35,299
446,42,57,2,0,3,1,0,0,0,6,29, 4.51 ,8.89%,36,307
407,42,47,0,1,3,0,0,0,0,4,29, 4.49 ,9.04%,37,309
467,42,60,0,1,3,1,0,0,0,5,29, 4.41 ,7.54%,38,315
418,42,52,2,1,3,1,7,0,0,14,28, 4.53 ,9.97%,39,323
