Store,,MAR,69,YTD,70,MAR,71,YTD,72,MAR,73,YTD,74,MAR,75,YTD,76,MAR,77,YTD,78,MAR,79,YTD,80,MAR,81,YTD,82,MAR,83,YTD,84,MAR,85,YTD,86,MAR,87,YTD,88
224,,13.32%,G,9.49%,G,25.96%,G,19.02%,,26.07%,G,24.67%,G,20.61%,G,13.23%,,30,,45,,46.15%,,42.27%,,38,G,52,G,92.08%,,89.40%,,0:39:48,,0:36:30,,114/2576,G,247/2576,G
317,,9.22%,G,4.42%,,9.98%,,11.61%,,15.34%,,24.80%,G,-1.46%,,-8.56%,R,8,,12,R,43.94%,,44.35%,,1,R,2,R,38.64%,R,42.61%,,0:32:01,G,0:32:18,G,1246/2576,,1272/2576,
435,,4.12%,,2.32%,,1.84%,,3.42%,,7.31%,,4.63%,,3.65%,,8.64%,,0,R,1,R,49.16%,,46.93%,,2,R,2,R,89.12%,,82.20%,,0:34:19,G,0:31:49,G,1459/2576,,1448/2576,
454,,5.17%,,-2.40%,,10.74%,,7.10%,,20.98%,,11.86%,,-7.57%,,-2.91%,,16,,34,,53.61%,,54.81%,G,5,,5,,108.73%,G,107.90%,G,0:45:15,,0:44:30,,949/2576,,1398/2576,
506,,3.35%,,0.60%,,11.31%,,9.96%,,20.97%,,11.02%,,-17.50%,R,-10.38%,R,13,,20,,54.96%,,50.68%,,6,,12,,74.79%,,82.19%,,0:29:17,G,0:27:51,G,961/2576,,1155/2576,
936,,7.57%,,8.27%,G,7.88%,,15.66%,,28.61%,G,22.17%,,-12.52%,R,6.79%,,4,R,8,R,44.83%,,44.92%,,2,R,12,,31.20%,R,26.59%,R,0:33:07,G,0:35:24,G,1404/2576,,868/2576,
Total,B,6.82%,G,4.58%,G,13.71%,,14.14%,,17.67%,,14.51%,,1.13%,,5.95%,,0.39,R,0.36,R,49.16%,,48.13%,,0.24,,0.22,,63.10%,,62.36%,,0:35:20,G,0:35:24,G,94/394,,92/394,
15,,-5.86%,R,-4.51%,R,2.59%,,7.29%,,-8.06%,R,-1.74%,R,3.27%,,-0.98%,,7,,14,,48.53%,,46.82%,,0,R,1,R,69.24%,,65.48%,,0:44:07,,0:41:59,,2149/2576,R,1956/2576,
32,,-7.82%,R,-6.80%,R,11.89%,,13.40%,,9.76%,,6.01%,,-7.41%,,-5.82%,,61,G,89,G,81.12%,G,77.95%,G,43,G,70,G,121.46%,G,123.62%,G,0:44:36,,0:45:00,,1040/2576,,1088/2576,
379,,7.31%,,3.63%,,23.50%,,23.99%,,11.47%,,9.69%,,21.32%,G,4.26%,,40,,143,G,42.18%,,44.23%,,26,G,40,G,51.45%,,43.80%,,0:25:33,G,0:23:51,G,298/2576,G,416/2576,G
871,,13.80%,G,9.36%,G,53.53%,G,37.45%,G,57.40%,G,31.45%,G,31.82%,G,14.58%,,18,,49,,54.37%,,50.00%,,8,,8,,91.26%,,83.78%,,0:22:50,G,0:22:24,G,Aug-76,G,44/2576,G
1009,,7.66%,,3.93%,,19.22%,,17.57%,,6.51%,,4.18%,,20.00%,G,16.72%,G,58,G,83,,61.47%,G,57.63%,G,4,,5,,85.32%,,90.32%,,0:52:07,,0:50:33,,615/2576,,776/2576,
2175,,2.98%,,2.35%,,13.13%,,13.92%,,7.21%,,8.41%,,12.61%,,-4.99%,,18,,33,,56.69%,G,50.19%,,4,,8,,112.41%,G,110.62%,G,0:48:11,,0:44:54,,859/2576,,1071/2576,
2221,,-9.71%,R,-12.39%,R,-14.59%,R,-17.65%,R,-25.10%,R,-23.15%,R,-3.71%,,-10.07%,R,4,R,7,R,47.69%,,46.07%,,13,,25,,92.98%,,88.99%,,0:55:46,,0:51:50,,2429/2576,R,2472/2576,R
2702,,0.86%,,-1.30%,,3.14%,,2.74%,,5.79%,,2.55%,,-2.72%,,-9.78%,R,7,,14,,47.72%,,47.31%,,5,,6,,46.45%,,35.22%,R,0:45:46,,0:44:31,,1976/2576,,2212/2576,R
4381,,-1.67%,,2.06%,,-2.09%,R,-1.26%,R,11.50%,,7.15%,,-2.89%,,-1.99%,,16,,30,,55.90%,G,61.64%,G,0,R,1,R,96.51%,G,98.08%,G,0:47:28,,0:49:44,,1876/2576,,1796/2576,
Total,B,-0.35%,,-1.25%,R,6.56%,,6.00%,,1.60%,R,0.56%,R,5.47%,,-0.98%,R,0.82,,0.86,,53.16%,G,52.29%,G,0.37,,0.3,,82.74%,G,80.10%,,0:44:06,,0:42:49,,253/394,,284/394,
9,,0.53%,,-0.90%,,8.72%,,8.56%,,-4.05%,R,5.31%,,6.74%,,-1.66%,,0,R,1,R,26.08%,R,27.08%,R,0,R,3,R,59.66%,,50.59%,,0:44:40,,0:47:36,,1954/2576,,2055/2576,
19,,-2.82%,,-1.97%,,10.84%,,10.37%,,6.90%,,5.96%,,-4.09%,,1.17%,,103,G,190,G,57.63%,G,57.53%,G,39,G,65,G,107.36%,G,112.27%,G,0:53:00,,0:51:52,,1213/2576,,1141/2576,
30,,-8.21%,R,-5.28%,R,2.97%,,8.28%,,15.27%,,16.60%,,-18.98%,R,-13.73%,R,5,R,12,R,56.16%,G,58.36%,G,13,,18,,118.63%,G,122.48%,G,0:40:47,,0:38:19,,1583/2576,,1288/2576,
37,,2.78%,,-1.10%,,7.61%,,6.11%,,9.61%,,9.94%,,-3.46%,,-15.99%,R,7,,14,,41.74%,,45.39%,,10,,15,,37.69%,R,34.81%,R,0:53:08,,0:53:49,,1869/2576,,2139/2576,R
69,,2.47%,,1.93%,,10.21%,,6.75%,,6.81%,,1.33%,,6.41%,,2.03%,,7,,10,R,52.69%,,47.79%,,4,,4,R,88.31%,,86.54%,,0:50:21,,0:47:03,,1345/2576,,1676/2576,
95,,6.42%,,5.08%,,27.18%,G,29.69%,G,25.85%,G,21.34%,,-4.63%,,0.00%,,22,,53,,49.24%,,46.38%,,12,,29,G,54.25%,,57.73%,,0:45:58,,0:42:45,,629/2576,,464/2576,G
152,,7.69%,,4.18%,,19.85%,,14.05%,,6.83%,,7.68%,,18.13%,,15.75%,,13,,24,,56.44%,G,49.52%,,12,,24,,88.29%,,88.94%,,0:51:56,,0:48:57,,644/2576,,895/2576,
188,,-2.02%,,-3.80%,R,-6.68%,R,-2.99%,R,-3.40%,R,-3.84%,R,-9.75%,R,-6.55%,,5,R,29,,41.61%,,44.74%,,1,R,8,,102.53%,G,87.01%,,1:05:59,R,0:57:46,,2451/2576,R,2349/2576,R
Total,B,0.56%,,-0.37%,,9.21%,,9.63%,,8.41%,,8.12%,,-2.15%,R,-2.65%,R,0.65,,0.69,,47.30%,,46.52%,,0.37,,0.35,,84.01%,G,81.18%,G,0:50:50,,0:48:30,,268/394,,265/394,
21,,1.95%,,1.47%,,4.01%,,3.56%,,1.20%,,-1.69%,R,4.59%,,1.19%,,73,G,75,,55.86%,G,54.68%,G,12,,12,,94.92%,G,101.94%,G,0:54:50,,0:53:06,,1490/2576,,1593/2576,
29,,20.42%,G,21.55%,G,23.19%,,24.60%,G,19.51%,,25.15%,G,29.09%,G,33.44%,G,9,,16,,40.78%,,45.56%,,6,,15,,28.93%,R,28.93%,R,0:47:26,,0:43:55,,672/2576,,441/2576,G
65,,3.28%,,1.64%,,-5.28%,R,-5.73%,R,3.64%,,2.18%,,2.60%,,0.65%,,8,,20,,47.79%,,47.02%,,1,R,14,,53.69%,,53.09%,,0:58:06,,0:49:09,,2292/2576,R,2171/2576,R
89,,-2.24%,,1.77%,,3.73%,,7.71%,,5.54%,,1.16%,,0.00%,,6.11%,,0,R,0,R,47.50%,,48.96%,,2,R,2,R,96.07%,G,91.67%,,0:54:47,,1:01:21,R,2000/2576,,1812/2576,
101,,0.19%,,-5.27%,R,-0.53%,R,-13.07%,R,5.58%,,-1.50%,R,-17.50%,R,-23.11%,R,21,,28,,46.28%,,48.11%,,7,,9,,91.81%,,89.10%,,1:00:43,R,1:04:11,R,2136/2576,R,2487/2576,R
219,,4.36%,,6.83%,G,4.19%,,2.51%,,6.69%,,-0.77%,R,4.65%,,15.02%,,35,,45,,47.96%,,46.55%,,14,,16,,50.00%,,45.83%,,0:44:11,,0:45:41,,1494/2576,,1588/2576,
815,,4.66%,,11.38%,G,36.30%,G,45.33%,G,42.07%,G,37.16%,G,15.08%,,34.43%,G,16,,30,,50.35%,,49.59%,,3,,6,,89.79%,,86.44%,,1:04:33,R,0:59:12,R,477/2576,G,257/2576,G
5477,,-1.17%,,-4.75%,R,10.53%,,-4.31%,R,5.94%,,-6.21%,R,5.16%,,-6.08%,,3,R,4,R,40.44%,,35.81%,R,1,R,2,R,58.46%,,57.48%,,1:00:04,R,0:58:13,,1985/2576,,2540/2576,R
Total,B,3.62%,,3.51%,,7.41%,,4.05%,R,8.18%,,3.31%,R,3.32%,,3.62%,,0.67,,0.45,,47.36%,,47.33%,,0.19,,0.16,,71.72%,,71.19%,,0:55:15,,0:53:59,,290/394,,340/394,R
60,,3.74%,,2.71%,,12.59%,,8.31%,,46.03%,G,19.86%,,-11.66%,R,-11.34%,R,6,,15,,39.04%,,39.65%,,0,R,1,R,77.85%,,77.84%,,0:51:44,,0:48:37,,1468/2576,,1690/2576,
243,,-10.00%,R,-9.36%,R,-18.25%,R,-19.89%,R,0.96%,,-1.48%,R,-38.04%,R,-37.59%,R,2,R,2,R,46.90%,,44.38%,,5,,6,,101.77%,G,78.57%,,0:51:01,,0:51:37,,2435/2576,R,2530/2576,R
648,,11.46%,G,10.72%,G,44.89%,G,31.52%,G,88.78%,G,62.19%,G,5.00%,,2.38%,,56,G,94,G,61.65%,G,59.17%,G,4,,5,,56.57%,,53.96%,,0:35:18,G,0:34:13,G,93/2576,G,188/2576,G
1021,,6.84%,,2.39%,,5.39%,,5.73%,,-2.15%,R,0.66%,,4.88%,,-0.42%,,27,,60,,42.57%,,41.73%,,6,,8,,78.00%,,74.37%,,0:54:07,,0:53:27,,1658/2576,,1822/2576,
1161,,-14.04%,R,-10.41%,R,-8.82%,R,-1.23%,R,33.05%,G,34.21%,G,-31.74%,R,-26.04%,R,7,,12,R,77.02%,G,77.80%,G,8,,13,,16.85%,R,20.17%,R,0:41:39,,0:45:16,,2224/2576,R,2159/2576,R
2600,,-10.00%,R,-5.51%,R,-14.33%,R,-7.57%,R,11.79%,,15.45%,,-37.63%,R,-30.87%,R,3,R,12,R,48.89%,,50.29%,,7,,19,,82.96%,,78.17%,,0:31:51,G,0:33:39,G,2118/2576,R,1943/2576,
2616,,-4.10%,R,-0.04%,,-2.88%,R,4.45%,,18.59%,,16.80%,,-17.41%,R,-8.22%,R,10,,26,,54.79%,,54.78%,G,1,R,8,,72.21%,,66.57%,,0:43:56,,0:42:46,,2095/2576,R,1621/2576,
5313,,6.15%,,8.11%,G,13.51%,,16.98%,,36.43%,G,35.90%,G,-1.12%,,1.61%,,32,,36,,60.81%,G,57.74%,G,3,,5,,107.36%,G,107.67%,G,0:49:52,,0:47:38,,696/2576,,500/2576,G
Total,B,-1.91%,R,-0.79%,,0.99%,R,3.42%,R,25.85%,G,22.76%,G,-18.06%,R,-15.38%,R,0.58,,0.54,,56.19%,G,55.67%,G,0.14,,0.14,,68.05%,,64.10%,,0:44:12,,0:44:35,,323/394,R,309/394,
172,,-2.57%,,-2.36%,,-9.65%,R,-7.57%,R,3.77%,,1.55%,,-7.86%,,-9.86%,R,1,R,3,R,41.15%,,40.30%,,2,R,6,,87.90%,,83.82%,,0:54:36,,0:55:14,,2420/2576,R,2448/2576,R
295,,-1.71%,,0.67%,,6.93%,,4.58%,,16.96%,,10.10%,,-9.98%,R,-6.20%,,11,,22,,56.79%,G,59.29%,G,7,,18,,108.14%,G,100.61%,G,0:33:25,G,0:31:00,G,1121/2576,,1158/2576,
313,,1.07%,,3.49%,,-4.67%,R,0.75%,,-8.42%,R,-7.55%,R,-8.75%,R,2.46%,,8,,18,,45.19%,,48.41%,,8,,11,,113.83%,G,110.98%,G,1:17:00,R,1:15:42,R,2305/2576,R,1967/2576,
805,,6.24%,,7.19%,G,7.34%,,8.45%,,13.79%,,15.52%,,3.81%,,5.59%,,24,,41,,55.50%,G,53.05%,,9,,14,,78.02%,,81.61%,,0:36:49,,0:35:14,G,918/2576,,797/2576,
1177,,31.36%,G,28.61%,G,78.78%,G,71.03%,G,90.05%,G,56.84%,G,54.39%,G,60.14%,G,34,,61,,49.04%,,40.04%,,10,,13,,50.09%,,55.43%,,0:39:27,,0:38:49,,49/2576,G,77/2576,G
1514,,11.65%,G,7.48%,G,7.97%,,13.02%,,40.45%,G,26.51%,G,-6.52%,,-3.92%,,4,R,17,,54.63%,,55.67%,G,1,R,1,R,88.66%,,88.04%,,1:03:37,R,1:00:39,R,1417/2576,,1238/2576,
2213,,1.89%,,1.65%,,2.94%,,1.40%,,12.87%,,6.81%,,1.00%,,3.79%,,2,R,5,R,40.75%,,38.57%,,1,R,2,R,53.08%,,55.12%,,0:48:16,,0:48:57,,2028/2576,,2108/2576,R
5150,,11.27%,G,7.81%,G,-0.32%,R,-17.51%,R,-8.41%,R,-29.40%,R,-0.16%,,2.68%,,5,R,5,R,44.22%,,42.82%,,5,,5,,54.22%,,57.93%,,0:37:51,,0:39:54,,1801/2576,,2156/2576,R
Total,B,6.27%,G,5.80%,G,6.79%,,5.84%,R,15.83%,,7.89%,,0.83%,,3.50%,,0.36,R,0.36,R,48.35%,,47.08%,,0.17,,0.15,,77.64%,,78.36%,,0:48:39,,0:47:45,,238/394,,271/394,
201,,19.27%,G,12.23%,G,48.02%,G,33.74%,G,90.50%,G,69.92%,G,19.33%,,16.76%,G,3,R,9,R,45.63%,,47.74%,,0,R,4,R,78.33%,,74.54%,,1:05:21,R,1:00:15,R,458/2576,G,466/2576,G
253,,14.38%,G,14.43%,G,21.56%,,21.84%,,7.34%,,5.61%,,16.63%,,27.76%,G,8,,11,R,57.97%,G,53.90%,,2,R,4,R,33.40%,R,36.98%,R,0:44:33,,0:46:28,,775/2576,,822/2576,
256,,2.52%,,2.31%,,9.03%,,13.91%,,21.16%,,19.56%,,-13.24%,R,-8.31%,R,23,,35,,44.87%,,44.14%,,9,,19,,58.97%,,53.08%,,0:28:54,G,0:29:23,G,1156/2576,,986/2576,
328,,-0.50%,,1.22%,,10.67%,,5.46%,,2.03%,,3.80%,,-0.25%,,7.78%,,15,,21,,47.17%,,46.78%,,7,,12,,120.88%,G,110.32%,G,0:20:47,G,0:19:27,G,944/2576,,1037/2576,
361,,5.16%,,3.20%,,15.46%,,14.52%,,14.87%,,10.64%,,-0.50%,,4.75%,,5,R,6,R,46.25%,,45.15%,,5,,14,,82.08%,,80.81%,,0:47:07,,0:50:09,,1079/2576,,1204/2576,
1071,,0.84%,,1.19%,,9.78%,,5.71%,,17.77%,,12.45%,,-1.60%,,3.05%,,44,,75,,54.49%,,51.42%,,18,G,33,G,101.08%,G,95.58%,G,1:01:32,R,1:01:27,R,1238/2576,,1404/2576,
1418,,-2.55%,,-5.86%,R,-14.01%,R,-15.65%,R,11.79%,,2.16%,,-31.00%,R,-27.81%,R,0,R,0,R,48.01%,,48.69%,,0,R,2,R,47.17%,,50.29%,,1:03:31,R,1:10:00,R,2546/2576,R,2566/2576,R
1761,,5.97%,,3.36%,,13.73%,,13.64%,,25.71%,G,28.15%,G,-1.51%,,-2.71%,,0,R,0,R,54.51%,,55.78%,G,2,R,3,R,38.94%,R,33.09%,R,0:47:42,,0:47:25,,1307/2576,,1382/2576,
Total,B,5.29%,G,3.70%,,12.71%,,10.52%,,19.16%,G,15.72%,,-2.50%,R,1.39%,,0.4,R,0.33,R,49.64%,,49.05%,,0.17,,0.19,,70.70%,,67.90%,,0:46:20,,0:46:59,,169/394,,204/394,
14,,1.22%,,0.44%,,14.76%,,11.65%,,12.94%,,18.77%,,-0.21%,,-7.68%,R,34,,54,,48.64%,,47.68%,,28,G,41,G,88.52%,,88.78%,,0:44:31,,0:40:47,,889/2576,,1017/2576,
46,,-4.00%,R,-4.33%,R,-4.16%,R,-6.14%,R,-9.05%,R,-9.63%,R,-11.67%,R,-11.25%,R,28,,37,,46.34%,,46.36%,,13,,17,,83.17%,,76.97%,,0:54:49,,0:52:43,,2306/2576,R,2386/2576,R
78,,-7.17%,R,-6.49%,R,-35.03%,R,-23.72%,R,-1.40%,R,-0.45%,R,-48.22%,R,-32.44%,R,6,,19,,40.30%,,47.85%,,3,,11,,18.66%,R,21.77%,R,0:32:33,G,0:38:23,,2494/2576,R,2477/2576,R
86,,9.28%,G,9.75%,G,52.32%,G,52.33%,G,44.49%,G,51.41%,G,49.47%,G,41.14%,G,58,G,94,G,50.83%,,48.48%,,30,G,41,G,89.17%,,89.84%,,0:47:06,,0:47:59,,41/2576,G,47/2576,G
88,,9.13%,G,3.51%,,18.97%,,8.81%,,16.33%,,3.77%,,7.50%,,-0.62%,,9,,20,,54.46%,,51.72%,,9,,16,,101.37%,G,94.76%,G,0:41:10,,0:39:21,,400/2576,G,1162/2576,
138,,1.90%,,2.84%,,8.46%,,10.23%,,2.46%,,8.95%,,4.12%,,3.25%,,39,,80,,51.59%,,49.60%,,7,,20,,95.63%,G,95.12%,G,0:56:22,,0:58:31,,1427/2576,,1243/2576,
179,,-6.78%,R,-6.69%,R,-11.66%,R,-6.76%,R,-10.57%,R,-0.72%,R,-6.59%,,-8.13%,R,4,R,13,,56.90%,G,57.47%,G,5,,5,,107.11%,G,96.99%,G,1:02:46,R,1:00:48,R,2407/2576,R,2387/2576,R
Total,B,0.06%,,-0.51%,,3.02%,R,3.58%,R,3.58%,R,6.43%,,-4.24%,R,-4.85%,R,0.82,,0.75,,50.88%,,50.10%,,0.44,,0.36,,90.68%,G,85.22%,G,0:49:53,,0:49:41,,332/394,R,330/394,R
25,,2.49%,,-3.70%,R,3.01%,,3.07%,,-12.28%,R,-4.43%,R,-3.01%,,-8.45%,R,3,R,6,R,46.85%,,45.60%,,2,R,3,R,91.48%,,90.78%,,0:38:08,,0:36:05,,1751/2576,,1961/2576,
40,,24.58%,G,18.95%,G,114.51%,G,80.34%,G,129.20%,G,85.56%,G,67.31%,G,38.64%,G,19,,38,,54.73%,,54.80%,G,3,,7,,67.52%,,62.33%,,0:48:54,,0:46:19,,97/2576,G,105/2576,G
80,,18.95%,G,18.82%,G,60.94%,G,75.05%,G,72.73%,G,79.57%,G,26.63%,G,34.79%,G,39,,43,,45.22%,,45.49%,,5,,8,,49.68%,,44.23%,,1:04:46,R,1:01:23,R,324/2576,G,337/2576,G
159,,-2.96%,,1.85%,,-14.34%,R,-9.59%,R,-5.85%,R,-11.44%,R,-18.66%,R,-10.19%,R,11,,26,,51.15%,,51.47%,,11,,17,,73.11%,,68.30%,,0:54:01,,0:48:11,,2431/2576,R,2250/2576,R
189,,10.41%,G,10.04%,G,15.15%,,17.61%,,17.51%,,22.18%,,8.19%,,2.20%,,45,,74,,52.27%,,53.41%,,5,,5,,84.50%,,83.48%,,0:34:52,G,0:35:21,G,403/2576,G,381/2576,G
363,,9.30%,G,7.24%,G,17.82%,,17.26%,,1.22%,,0.83%,,12.61%,,12.02%,,31,,51,,66.94%,G,71.85%,G,0,R,0,R,93.23%,,95.66%,G,0:31:20,G,0:35:09,G,442/2576,G,506/2576,G
451,,30.85%,G,28.54%,G,153.13%,G,142.21%,G,238.10%,G,219.53%,G,53.59%,G,51.76%,G,18,,58,,39.72%,,39.94%,,11,,16,,96.91%,G,98.24%,G,0:38:06,,0:39:22,,19/2576,G,22/2576,G
783,,10.06%,G,6.20%,,4.10%,,15.78%,,26.29%,G,26.15%,G,-12.95%,R,4.68%,,13,,14,,61.96%,G,70.18%,G,4,,4,R,63.59%,,72.03%,,0:36:11,,0:34:48,G,1204/2576,,578/2576,
Total,B,12.01%,G,10.05%,G,32.54%,G,32.54%,G,31.28%,G,30.88%,G,14.76%,G,13.06%,G,0.72,,0.65,,51.48%,,53.17%,G,0.17,,0.13,R,80.89%,,79.65%,,0:41:13,,0:40:53,,6/394,G,10/394,G
109,,-7.32%,R,-6.39%,R,-28.75%,R,-18.83%,R,-27.37%,R,-15.77%,R,-21.59%,R,-19.01%,R,0,R,0,R,62.83%,G,61.84%,G,6,,9,,84.65%,,78.11%,,1:04:44,R,1:04:35,R,2535/2576,R,2536/2576,R
135,,12.70%,G,12.28%,G,21.50%,,26.80%,G,15.19%,,22.22%,,14.67%,,16.00%,,47,G,122,G,76.21%,G,76.06%,G,15,G,27,,93.54%,,92.87%,,0:42:18,,0:40:20,,197/2576,G,69/2576,G
195,,8.15%,G,6.24%,,15.43%,,20.06%,,22.53%,,17.24%,,0.91%,,9.86%,,4,R,18,,43.15%,,46.67%,,5,,14,,45.62%,,47.02%,,0:29:11,G,0:28:46,G,824/2576,,479/2576,G
234,,7.38%,,4.10%,,3.38%,,2.94%,,0.00%,,0.23%,R,-0.21%,,-0.87%,,50,G,72,,45.99%,,45.76%,,5,,13,,89.54%,,68.38%,,0:46:04,,0:45:59,,1498/2576,,1718/2576,
325,,20.98%,G,18.83%,G,19.57%,,34.57%,G,2.28%,,10.08%,,40.40%,G,50.23%,G,4,R,26,,60.13%,G,61.81%,G,4,,12,,36.12%,R,29.47%,R,0:20:39,G,0:22:08,G,465/2576,G,159/2576,G
560,,3.34%,,4.86%,,19.87%,,19.69%,,22.55%,,19.37%,,8.20%,,2.79%,,4,R,5,R,41.97%,,41.29%,,4,,5,,52.81%,,41.08%,R,0:50:36,,0:48:40,,1094/2576,,1171/2576,
801,,-7.63%,R,-3.13%,,3.27%,,2.69%,,1.25%,,-1.19%,R,-26.15%,R,-13.53%,R,28,,52,,35.41%,R,34.96%,R,2,R,5,,92.97%,,90.65%,,0:46:38,,0:44:58,,2151/2576,R,2090/2576,R
1120,,4.83%,,5.77%,,21.69%,,31.13%,G,10.80%,,19.33%,,25.23%,G,28.61%,G,4,R,25,,47.79%,,47.86%,,1,R,5,,56.76%,,54.75%,,0:54:58,,0:52:48,,1060/2576,,566/2576,
2857,,3.64%,,-0.29%,,5.72%,,8.39%,,-3.11%,R,3.98%,,-6.48%,,-20.95%,R,9,,11,R,50.52%,,50.64%,,4,,7,,51.80%,,50.38%,,1:14:09,R,1:14:14,R,2205/2576,R,2241/2576,R
2994,,12.46%,G,6.62%,G,24.39%,,25.96%,G,22.00%,,30.43%,G,21.18%,G,5.38%,,29,,35,,61.65%,G,57.91%,G,25,G,31,G,79.61%,,72.35%,,0:44:24,,0:44:30,,189/2576,G,312/2576,G
Total,B,5.36%,G,4.52%,,9.71%,,14.64%,,5.21%,R,9.59%,,4.59%,,4.62%,,0.58,,0.61,,53.52%,G,53.40%,G,0.23,,0.21,,67.85%,,62.14%,,0:48:50,,0:48:03,,230/394,,161/394,
20,,10.44%,G,2.03%,,14.73%,,5.14%,,-0.85%,R,5.33%,,29.24%,G,3.95%,,20,,52,,54.99%,,52.60%,,3,,14,,90.16%,,89.78%,,0:46:54,,0:42:56,,758/2576,,1311/2576,
61,,3.14%,,5.79%,,17.61%,,18.82%,,9.60%,,10.37%,,-1.16%,,3.98%,,69,G,143,G,52.01%,,50.00%,,11,,15,,70.40%,,66.62%,,0:57:10,,1:06:02,R,1104/2576,,1036/2576,
96,,4.14%,,2.25%,,18.00%,,15.80%,,-9.76%,R,2.15%,,34.76%,G,17.27%,G,17,,29,,53.35%,,51.40%,,15,G,23,,99.59%,G,96.82%,G,1:05:01,R,0:59:42,R,945/2576,,1051/2576,
184,,-12.43%,R,-11.36%,R,-8.19%,R,-8.45%,R,-6.02%,R,-18.08%,R,-20.27%,R,-14.21%,R,3,R,3,R,57.43%,G,56.81%,G,0,R,0,R,64.79%,,57.21%,,1:10:20,R,1:02:13,R,2557/2576,R,2558/2576,R
319,,1.74%,,2.44%,,-4.23%,R,-5.38%,R,-3.34%,R,-0.70%,R,2.66%,,-3.00%,,7,,23,,57.58%,G,58.35%,G,8,,17,,60.20%,,69.93%,,1:02:59,R,1:05:34,R,2254/2576,R,2224/2576,R
326,,1.95%,,9.97%,G,25.51%,,34.03%,G,38.50%,G,35.77%,G,-15.69%,R,-7.81%,R,7,,11,R,52.84%,,57.61%,G,12,,13,,94.76%,G,81.74%,,0:58:03,,0:49:48,,840/2576,,462/2576,G
573,,-11.09%,R,-5.45%,R,7.12%,,13.45%,,9.94%,,13.10%,,-14.08%,R,-4.10%,,6,,50,,51.47%,,49.42%,,61,G,95,G,58.91%,,52.42%,,1:02:07,R,1:01:05,R,2106/2576,R,1632/2576,
1014,,2.32%,,2.43%,,36.36%,G,39.03%,G,38.98%,G,38.50%,G,6.56%,,15.25%,,3,R,4,R,57.32%,G,55.65%,G,17,G,19,,90.65%,,92.68%,,0:57:58,,0:56:48,,467/2576,G,359/2576,G
4553,,2.84%,,4.69%,,7.33%,,26.81%,G,60.30%,G,113.38%,G,-8.22%,,-3.24%,,7,,15,,48.24%,,49.31%,,5,,12,,70.53%,,69.67%,,0:30:18,G,0:28:53,G,1096/2576,,326/2576,G
4590,,3.88%,,6.77%,G,23.57%,,22.97%,,41.32%,G,36.33%,G,3.40%,,6.82%,,43,,69,,39.79%,,41.56%,,38,G,59,G,104.21%,G,105.75%,G,0:43:10,,0:40:27,,311/2576,G,181/2576,G
Total,B,0.19%,,1.06%,,11.86%,,14.01%,,14.09%,,17.75%,,-0.56%,,0.54%,,0.59,,0.67,,52.61%,,51.94%,,0.55,G,0.45,,78.12%,,75.70%,,0:55:32,,0:53:55,,217/394,,168/394,
486,,25.31%,G,25.03%,G,49.50%,G,50.58%,G,38.62%,G,40.84%,G,51.14%,G,52.74%,G,22,,33,,54.38%,,47.02%,,5,,8,,90.75%,,91.64%,,0:49:23,,0:52:45,,71/2576,G,129/2576,G
577,,10.47%,G,8.11%,G,17.19%,,16.51%,,17.82%,,27.11%,G,9.89%,,5.75%,,17,,25,,27.49%,R,27.60%,R,0,R,0,R,98.92%,G,102.02%,G,0:35:39,G,0:34:24,G,554/2576,,540/2576,
1151,,8.19%,G,11.18%,G,19.50%,,34.78%,G,27.43%,G,34.31%,G,-9.25%,R,8.03%,,56,G,172,G,47.19%,,46.02%,,23,G,51,G,71.93%,,71.08%,,0:39:51,,0:40:29,,531/2576,,118/2576,G
1599,,6.59%,,5.73%,,22.39%,,26.46%,G,29.39%,G,23.74%,,3.39%,,18.08%,G,37,,82,,46.81%,,51.55%,,5,,5,,72.09%,,71.00%,,0:58:52,,1:04:49,R,774/2576,,572/2576,
1691,,0.27%,,1.49%,,-4.07%,R,-1.57%,R,-11.79%,R,-7.87%,R,-7.97%,,-7.67%,R,1,R,1,R,37.45%,R,36.54%,R,1,R,5,,63.09%,,61.81%,,0:59:38,,0:58:46,R,2507/2576,R,2463/2576,R
2855,,-1.86%,,3.27%,,39.88%,G,35.52%,G,42.67%,G,37.01%,G,12.90%,,11.75%,,16,,20,,49.06%,,45.82%,,0,R,0,R,47.80%,,50.72%,,0:57:54,,0:59:09,R,892/2576,,845/2576,
2955,,-4.67%,R,-1.98%,,-8.63%,R,-7.04%,R,-2.88%,R,-0.13%,R,-30.03%,R,-23.47%,R,1,R,3,R,58.33%,G,57.17%,G,0,R,2,R,34.58%,R,27.94%,R,0:22:50,G,0:21:45,G,2350/2576,R,2266/2576,R
3273,,-4.52%,R,-1.34%,,-19.83%,R,-10.89%,R,-12.88%,R,-8.26%,R,-24.75%,R,-9.00%,R,33,,67,,52.40%,,52.30%,,4,,10,,90.42%,,96.99%,G,1:10:25,R,1:07:41,R,2492/2576,R,2326/2576,R
4475,,-3.63%,R,-1.31%,,-2.95%,R,8.03%,,0.19%,,11.95%,,-11.56%,R,-4.68%,,11,,30,,38.11%,R,35.47%,R,4,,13,,93.17%,,92.21%,,0:51:09,,0:46:05,,2297/2576,R,1566/2576,
