Store,City,ST,Region,Ops Manager,Tire Capacity,Total Inventory,Ttl Replen. Inventory,Tires on Demand ,Non Mod Tires,L52 Avg Units,Last Week Units,4 Tire Instock,Total Valid,Total Traited,,
1888,NORTH LOGAN,UT,54,GEORGE WHEATLEY,1320,999,858,55,84, 89 , 81 ,86.1%,160,163,,
1890,SALISBURY,MD,75,RON SHEPPARD,1200,1016,870,29,115, 130 , 114 ,86.0%,152,160,,
1894,MEDINA,OH,20,JEFF KENNEDY,1000,888,778,44,64, 129 , 110 ,86.0%,139,143,,
1900,BURLEY,ID,56,GEORGE WHEATLEY,855,686,618,3,63, 59 , 69 ,84.3%,116,120,,
1901,BUTTE,MT,54,GEORGE WHEATLEY,1320,978,888,22,66, 57 , 65 ,91.5%,142,144,,
1902,AMMON,ID,56,GEORGE WHEATLEY,1320,997,803,77,115, 105 , 75 ,84.7%,146,154,,
1903,YUBA CITY,CA,56,GEORGE WHEATLEY,1320,861,772,19,68, 76 , 66 ,85.8%,147,152,,
1904,LEESBURG,VA,75,RON SHEPPARD,1120,916,736,62,116, 109 , 102 ,91.1%,126,130,,
1907,HINSDALE,NH,16,RON SHEPPARD,855,744,598,63,81, 98 , 102 ,85.2%,118,124,,
1909,NIAGARA FALLS,NY,17,RON SHEPPARD,1200,1027,904,22,99, 151 , 150 ,87.9%,148,156,,
1912,CORONA,CA,57,GEORGE WHEATLEY,780,730,660,23,45, 97 , 77 ,92.7%,115,119,,
1913,BOWLING GREEN,OH,19,JEFF KENNEDY,1320,857,764,21,70, 78 , 63 ,85.7%,152,157,,
1915,YUCCA VALLEY,CA,57,GEORGE WHEATLEY,780,926,792,60,72, 200 , 188 ,84.0%,125,132,,
1917,SANTEE,CA,57,GEORGE WHEATLEY,662,629,548,29,50, 67 , 51 ,89.0%,92,95,,
1922,RANCHO CUCAMONGA,CA,57,GEORGE WHEATLEY,780,754,644,15,93, 81 , 66 ,89.1%,104,109,,
1923,COMSTOCK PARK,MI,19,JEFF KENNEDY,1320,982,856,12,112, 90 , 68 ,84.4%,158,162,,
1924,PRESQUE ISLE,ME,16,RON SHEPPARD,855,1031,824,120,85, 72 , 48 ,86.4%,147,151,,
1927,MACEDONIA,OH,20,JEFF KENNEDY,550,513,450,26,35, 58 , 48 ,86.1%,83,84,,
1928,FLINT,MI,19,JEFF KENNEDY,550,534,492,30,10, 61 , 41 ,83.1%,83,85,,
1929,CLOQUET,MN,52,GEORGE WHEATLEY,1320,1080,921,66,91, 104 , 97 ,86.9%,155,162,,
1931,RHINELANDER,WI,53,JEFF KENNEDY,780,698,595,29,72, 91 , 104 ,85.5%,120,124,,
1932,ELLSWORTH,ME,16,RON SHEPPARD,1320,1272,984,181,105, 109 , 83 ,90.3%,157,162,,
1934,SOUTH HILL,VA,75,RON SHEPPARD,915,913,723,61,127, 78 , 65 ,87.7%,127,133,,
1935,JOHNSTOWN,PA,22,RON SHEPPARD,1320,1105,894,70,139, 108 , 95 ,86.2%,150,158,,
1936,SAULT SAINTE MARIE,MI,53,JEFF KENNEDY,1320,1019,819,88,110, 87 , 64 ,88.0%,143,149,,
1937,COSHOCTON,OH,20,JEFF KENNEDY,1320,815,713,36,64, 82 , 93 ,81.4%,152,156,,
1939,BRUNSWICK,ME,16,RON SHEPPARD,1000,1020,800,118,100, 148 , 151 ,88.9%,140,145,,
1940,EAST GREENBUSH,NY,17,RON SHEPPARD,1120,1030,793,66,169, 86 , 128 ,82.4%,145,150,,
1941,GLENDORA,CA,57,GEORGE WHEATLEY,780,871,693,94,82, 84 , 73 ,87.3%,120,121,,
1942,HOLLAND,MI,19,JEFF KENNEDY,1320,964,863,9,90, 86 , 66 ,91.3%,152,155,,
1943,LINCOLN,NE,47,GEORGE WHEATLEY,1120,1113,952,93,66, 153 , 159 ,80.0%,149,156,,
1946,MASSENA,NY,17,RON SHEPPARD,1320,923,764,82,75, 82 , 97 ,87.5%,148,153,,
1947,OMAK,WA,60,GEORGE WHEATLEY,1000,843,670,83,88, 80 , 80 ,86.7%,130,137,,
1948,WEIRTON,WV,20,JEFF KENNEDY,780,745,644,37,62, 81 , 70 ,87.6%,118,119,,
1949,FREDONIA,NY,17,RON SHEPPARD,915,833,735,60,36, 118 , 110 ,86.3%,131,135,,
1954,SANFORD,ME,16,RON SHEPPARD,1320,1070,923,55,90, 105 , 80 ,86.4%,163,167,,
1955,ROCKFORD,IL,53,JEFF KENNEDY,616,513,474,10,27, 53 , 79 ,88.4%,90,91,,
1956,BILLINGS,MT,54,GEORGE WHEATLEY,780,774,635,54,83, 72 , 59 ,87.0%,120,125,,
1958,RIO GRANDE CITY,TX,6,MONICA REED,915,737,603,53,79, 153 , 100 ,73.6%,138,145,,
1959,MIDDLETOWN,NY,17,RON SHEPPARD,662,735,644,30,59, 98 , 61 ,88.5%,107,111,,
1961,ALEXANDRIA,KY,21,JEFF KENNEDY,915,804,657,39,106, 84 , 90 ,87.9%,132,140,,
1962,KOKOMO,IN,21,JEFF KENNEDY,855,731,620,27,82, 61 , 57 ,88.2%,121,123,,
1963,TURLOCK,CA,56,GEORGE WHEATLEY,662,811,591,120,98, 85 , 49 ,89.8%,96,99,,
1965,COUNCIL BLUFFS,IA,47,GEORGE WHEATLEY,915,859,772,33,52, 109 , 90 ,84.7%,137,142,,
1966,GENESEO,NY,17,RON SHEPPARD,1320,1059,931,24,102, 143 , 131 ,87.9%,161,168,,
1971,ROCHESTER,MN,53,JEFF KENNEDY,915,864,720,71,71, 54 , 34 ,98.2%,120,124,,
1972,LIVERMORE,CA,56,GEORGE WHEATLEY,700,644,566,11,65, 45 , 20 ,90.0%,107,110,,
1973,LAKEWOOD,NY,17,RON SHEPPARD,550,619,486,71,60, 92 , 59 ,87.2%,88,92,,
1975,CLAREMONT,NH,16,RON SHEPPARD,700,768,587,96,83, 88 , 75 ,87.4%,103,105,,
1976,HORSEHEADS,NY,17,RON SHEPPARD,1320,1082,994,17,69, 259 , 206 ,89.9%,153,168,,
1978,PLYMOUTH,IN,21,JEFF KENNEDY,780,783,630,101,50, 122 , 95 ,84.8%,121,123,,
1979,CLEARLAKE,CA,56,GEORGE WHEATLEY,780,652,582,12,56, 85 , 114 ,78.3%,113,120,,
1981,CALIFORNIA,MD,75,RON SHEPPARD,1320,1052,911,46,93, 125 , 118 ,89.3%,164,169,,
1986,NORWALK,OH,19,JEFF KENNEDY,1200,922,762,72,86, 122 , 110 ,84.1%,144,155,,
1987,LAPEER,MI,19,JEFF KENNEDY,915,697,634,11,50, 91 , 95 ,76.4%,124,134,,
1988,ROSEVILLE,CA,56,GEORGE WHEATLEY,1000,994,832,64,96, 106 , 52 ,91.3%,138,141,,
1990,DELAWARE,OH,21,JEFF KENNEDY,780,670,587,25,56, 71 , 77 ,86.6%,115,119,,
1991,BLOOMINGTON,IN,25,JEFF KENNEDY,1320,869,742,15,110, 121 , 136 ,75.9%,152,163,,
1992,UPLAND,CA,57,GEORGE WHEATLEY,662,649,570,24,53, 75 , 84 ,90.7%,93,95,,
1993,BROCKPORT,NY,17,RON SHEPPARD,1320,1068,902,74,90, 149 , 142 ,86.8%,156,163,,
1995,CHUBBUCK,ID,56,GEORGE WHEATLEY,915,848,741,55,50, 96 , 84 ,86.4%,124,128,,
2002,GILROY,CA,56,GEORGE WHEATLEY,915,827,624,103,98, 66 , 86 ,79.8%,124,129,,
2004,DUBUQUE,IA,52,GEORGE WHEATLEY,498,431,398,13,18, 47 , 54 ,92.1%,81,84,,
2005,KANNAPOLIS,NC,4,RON SHEPPARD,1320,1034,908,29,95, 149 , 140 ,84.1%,154,165,,
2006,CLARKSTON,WA,60,GEORGE WHEATLEY,1320,948,815,53,78, 84 , 81 ,89.6%,147,152,,
2007,MOSES LAKE,WA,60,GEORGE WHEATLEY,1320,1094,920,83,89, 52 , 35 ,92.1%,150,155,,
2010,NILES,MI,19,JEFF KENNEDY,780,714,610,34,68, 87 , 77 ,88.7%,111,116,,
2013,WATERVILLE,ME,16,RON SHEPPARD,1320,1325,906,264,153, 128 , 102 ,88.9%,145,153,,
2014,HOUGHTON LAKE,MI,19,JEFF KENNEDY,780,677,570,13,92, 39 , 56 ,83.7%,106,115,,
2016,COLVILLE,WA,60,GEORGE WHEATLEY,915,978,700,157,119, 85 , 49 ,93.3%,115,120,,
2019,UNIONTOWN,PA,20,JEFF KENNEDY,1320,1327,1122,79,124, 291 , 191 ,88.7%,164,172,,
2022,NORTH WINDHAM,CT,17,RON SHEPPARD,616,676,576,25,73, 84 , 84 ,93.8%,102,104,,
2023,LEBANON,PA,22,RON SHEPPARD,855,845,703,37,103, 39 , 15 ,95.6%,124,125,,
2025,TRACY,CA,56,GEORGE WHEATLEY,855,729,661,32,34, 75 , 61 ,71.3%,126,129,,
2027,LAVALE,MD,75,RON SHEPPARD,1000,1020,913,31,74, 186 , 170 ,88.2%,140,149,,
2030,SONORA,CA,56,GEORGE WHEATLEY,662,721,596,32,91, 88 , 98 ,83.7%,109,113,,
2031,UNION CITY,CA,56,GEORGE WHEATLEY,700,724,624,32,66, 131 , 76 ,90.1%,97,98,,
2032,OXNARD,CA,57,GEORGE WHEATLEY,780,680,637,21,20, 87 , 77 ,90.5%,122,127,,
2033,MANDAN,ND,54,GEORGE WHEATLEY,400,511,392,94,23, 41 , 30 ,85.5%,68,69,,
2035,GREENVILLE,OH,21,JEFF KENNEDY,498,522,435,44,41, 63 , 37 ,88.2%,83,85,,
2036,SOUTH CHARLESTON,WV,20,JEFF KENNEDY,1320,1162,991,53,116, 324 , 249 ,85.6%,160,172,,
2038,STERLING,VA,75,RON SHEPPARD,915,853,754,36,61, 304 , 259 ,69.4%,132,134,,
2039,MERCED,CA,56,GEORGE WHEATLEY,662,660,563,44,51, 70 , 82 ,91.4%,97,101,,
2044,CHICO,CA,56,GEORGE WHEATLEY,855,849,636,97,114, 41 , 32 ,93.2%,115,115,,
2049,ALTOONA,PA,22,RON SHEPPARD,1200,1027,892,22,111, 171 , 131 ,81.6%,156,165,,
2050,HENDERSON,NV,57,GEORGE WHEATLEY,550,518,423,65,28, 58 , 44 ,77.9%,80,82,,
2051,KINGMAN,AZ,46,MONICA REED,1000,723,683,25,13, 152 , 122 ,79.0%,130,139,,
2052,UKIAH,CA,56,GEORGE WHEATLEY,780,942,708,114,118, 111 , 115 ,86.8%,126,135,,
2054,JACKSON,CA,56,GEORGE WHEATLEY,662,709,611,17,79, 26 , 37 ,87.2%,96,97,,
2056,SARATOGA SPRINGS,NY,17,RON SHEPPARD,915,913,770,39,102, 134 , 89 ,91.2%,135,138,,
2058,RALEIGH,NC,26,RON SHEPPARD,855,888,729,88,69, 93 , 82 ,88.5%,124,124,,
2059,GREENSBURG,PA,22,RON SHEPPARD,1320,1084,948,22,112, 161 , 122 ,87.8%,162,168,,
2061,PLAINWELL,MI,19,JEFF KENNEDY,915,806,675,45,84, 82 , 85 ,92.2%,122,128,,
2062,BENTON HARBOR,MI,19,JEFF KENNEDY,498,436,373,35,26, 26 , 30 ,77.9%,76,79,,
2063,AUSTINTOWN,OH,20,JEFF KENNEDY,780,749,635,18,94, 154 , 114 ,81.8%,114,121,,
2064,MILFORD,PA,17,RON SHEPPARD,1000,1017,844,97,74, 160 , 151 ,89.1%,137,141,,
2065,KNOXVILLE,TN,2,NATHAN STINES,780,640,553,55,30, 90 , 100 ,82.4%,108,115,,
2066,HOUSTON,TX,6,MONICA REED,915,1414,1267,68,77, 131 , 51 ,91.3%,122,129,,
2073,CLEVELAND,OH,20,JEFF KENNEDY,498,551,448,49,52, 74 , 94 ,79.5%,77,77,,
2078,MARIETTA,OH,20,JEFF KENNEDY,700,707,633,17,55, 109 , 101 ,92.5%,110,113,,
2079,MARQUETTE,MI,53,JEFF KENNEDY,915,766,698,15,51, 84 , 80 ,81.8%,129,133,,
2080,BATTLE CREEK,MI,19,JEFF KENNEDY,780,774,709,20,43, 115 , 96 ,84.6%,124,128,,
2083,MORGANTOWN,WV,75,RON SHEPPARD,1320,1048,850,100,96, 206 , 205 ,80.0%,161,169,,
2084,BOZEMAN,MT,54,GEORGE WHEATLEY,1000,1048,860,97,89, 112 , 81 ,86.8%,149,153,,
2086,PLANO,TX,5,MONICA REED,855,814,748,18,46, 88 , 92 ,88.9%,120,121,,
2087,VADNAIS HEIGHTS,MN,52,GEORGE WHEATLEY,855,865,741,46,76, 78 , 88 ,87.2%,126,128,,
2088,BATAVIA,NY,17,RON SHEPPARD,915,860,708,48,102, 108 , 102 ,83.5%,137,142,,
2089,BRISTOL,VA,20,JEFF KENNEDY,1000,899,758,65,74, 109 , 113 ,86.9%,142,150,,
2092,OGDENSBURG,NY,17,RON SHEPPARD,616,694,572,29,91, 57 , 46 ,86.5%,103,106,,
2094,VISTA,CA,57,GEORGE WHEATLEY,700,661,511,52,96, 52 , 59 ,88.6%,91,95,,
2097,HUDSON,NY,17,RON SHEPPARD,550,648,470,96,80, 68 , 80 ,88.9%,86,87,,
2098,COLUMBUS,OH,21,JEFF KENNEDY,855,695,613,29,51, 74 , 68 ,75.9%,121,123,,
2099,PASO ROBLES,CA,57,GEORGE WHEATLEY,662,551,480,25,44, 41 , 33 ,85.2%,90,95,,
2100,CHEBOYGAN,MI,53,JEFF KENNEDY,780,741,652,15,72, 48 , 59 ,89.7%,108,116,,
2101,KENNEWICK,WA,60,GEORGE WHEATLEY,855,829,620,111,96, 70 , 63 ,86.0%,115,120,,
2102,LUDINGTON,MI,19,JEFF KENNEDY,855,677,620,18,37, 83 , 80 ,81.4%,119,126,,
2104,NEWBURGH,NY,17,RON SHEPPARD,915,935,806,26,101, 138 , 82 ,91.9%,129,136,,
2105,DALLAS,TX,5,MONICA REED,1000,920,830,24,64, 129 , 121 ,89.6%,135,139,,
2107,LOCKPORT,NY,17,RON SHEPPARD,915,901,772,36,91, 102 , 79 ,94.5%,132,138,,
2108,MAYS LANDING,NJ,22,RON SHEPPARD,616,817,620,134,61, 119 , 88 ,94.4%,93,97,,
2110,PARAMOUNT,CA,57,GEORGE WHEATLEY,780,767,703,22,40, 132 , 122 ,90.3%,109,114,,
2111,HOOVER,AL,14,NATHAN STINES,1320,695,629,37,27, 69 , 67 ,73.1%,146,151,,
2112,SCOTTSDALE,AZ,46,MONICA REED,662,617,550,27,38, 52 , 41 ,85.7%,97,100,,
2113,PHOENIX,AZ,46,MONICA REED,1320,898,777,35,84, 99 , 103 ,83.7%,145,153,,
2114,CHIPLEY,FL,14,NATHAN STINES,550,539,476,24,37, 120 , 128 ,77.1%,87,93,,
2115,NEW PHILADELPHIA,OH,20,JEFF KENNEDY,616,666,570,14,80, 122 , 73 ,85.8%,109,111,,
2116,QUEENSBURY,NY,17,RON SHEPPARD,662,840,618,121,99, 100 , 85 ,86.1%,104,110,,
2117,LOS BANOS,CA,56,GEORGE WHEATLEY,855,624,512,53,57, 151 , 139 ,62.9%,123,128,,
2118,LUNENBURG,MA,16,RON SHEPPARD,550,922,528,268,124, 83 , 67 ,94.0%,89,91,,
2119,MILPITAS,CA,56,GEORGE WHEATLEY,700,785,575,134,74, 112 , 105 ,82.8%,99,102,,
2120,NORWICH,NY,17,RON SHEPPARD,780,727,643,47,35, 118 , 91 ,83.2%,120,126,,
2121,SHELTON,WA,60,GEORGE WHEATLEY,780,633,581,26,24, 58 , 61 ,78.3%,110,117,,
2123,TEXARKANA,TX,44,MONICA REED,780,649,610,16,21, 99 , 91 ,85.5%,113,124,,
2125,LAKEWOOD,CO,47,GEORGE WHEATLEY,1200,903,765,31,105, 104 , 46 ,86.8%,150,155,,
2127,WAUSAU,WI,53,JEFF KENNEDY,700,652,592,14,44, 63 , 54 ,85.9%,108,111,,
2129,CLEARFIELD,PA,22,RON SHEPPARD,1000,1148,864,161,121, 159 , 145 ,84.9%,149,156,,
2130,PORTSMOUTH,NH,16,RON SHEPPARD,915,878,717,98,61, 49 , 34 ,92.5%,130,132,,
2131,TOPEKA,KS,47,GEORGE WHEATLEY,915,761,694,27,38, 66 , 61 ,87.8%,122,125,,
2132,BATON ROUGE,LA,13,MONICA REED,780,770,680,34,54, 67 , 43 ,92.5%,117,118,,
2133,AUSTIN,TX,5,MONICA REED,915,762,605,91,64, 81 , 92 ,83.3%,135,138,,
2135,COBLESKILL,NY,17,RON SHEPPARD,780,848,627,139,80, 96 , 76 ,85.0%,115,120,,
2136,CULPEPER,VA,75,RON SHEPPARD,498,696,496,103,95, 94 , 105 ,88.9%,87,89,,
2137,DURHAM,NC,26,RON SHEPPARD,700,735,615,71,47, 103 , 92 ,78.6%,107,107,,
2142,SALEM,NH,16,RON SHEPPARD,915,991,852,50,87, 109 , 132 ,85.5%,125,128,,
2143,SKOWHEGAN,ME,16,RON SHEPPARD,550,609,454,101,52, 64 , 90 ,88.3%,80,84,,
2146,AMSTERDAM,NY,17,RON SHEPPARD,780,795,629,73,91, 84 , 70 ,89.1%,117,122,,
2149,MOUNT VERNON,OH,20,JEFF KENNEDY,780,761,613,52,94, 111 , 96 ,80.6%,117,123,,
2150,SAN DIEGO,CA,57,GEORGE WHEATLEY,915,878,773,40,63, 179 , 184 ,78.7%,134,144,,
2153,BIDDEFORD,ME,16,RON SHEPPARD,915,895,717,77,99, 94 , 97 ,84.7%,125,131,,
2154,DULUTH,GA,2,NATHAN STINES,1320,797,675,58,62, 96 , 70 ,63.5%,155,160,,
2155,GARDNER,MA,16,RON SHEPPARD,915,798,624,79,93, 90 , 94 ,69.1%,135,138,,
2156,MIDDLE ISLAND,NY,17,RON SHEPPARD,498,636,452,95,87, 66 , 51 ,93.2%,77,80,,
2159,OLEAN,NY,17,RON SHEPPARD,855,1034,764,152,116, 136 , 136 ,88.4%,130,137,,
2160,PETERSBURG,VA,75,RON SHEPPARD,780,883,770,33,78, 45 , 31 ,90.7%,105,105,,
2161,PLEASANTON,CA,56,GEORGE WHEATLEY,662,540,471,18,49, 65 , 93 ,74.2%,100,101,,
2164,SPRINGVILLE,NY,17,RON SHEPPARD,780,796,693,35,66, 96 , 89 ,96.3%,117,120,,
2166,EAST SYRACUSE,NY,17,RON SHEPPARD,662,751,618,100,31, 96 , 78 ,87.5%,101,101,,
2167,EXTON,PA,22,RON SHEPPARD,915,678,601,22,53, 67 , 61 ,84.9%,112,117,,
2169,LEHIGHTON,PA,22,RON SHEPPARD,915,760,675,22,61, 133 , 102 ,84.0%,126,134,,
2170,NORWICH,CT,17,RON SHEPPARD,616,509,422,42,43, 71 , 86 ,79.8%,91,91,,
2175,BRANSON WEST,MO,40,JEFF KENNEDY,855,1024,756,96,170, 84 , 76 ,84.1%,119,126,,
2177,SAN DIEGO,CA,57,GEORGE WHEATLEY,915,810,721,23,64, 125 , 84 ,83.9%,128,132,,
2178,CALAIS,ME,16,RON SHEPPARD,915,763,658,43,60, 67 , 90 ,80.7%,118,121,,
2183,OXFORD,ME,16,RON SHEPPARD,780,737,664,13,58, 104 , 78 ,89.8%,115,121,,
2189,RENO,NV,56,GEORGE WHEATLEY,915,756,633,56,65, 70 , 62 ,72.0%,126,130,,
2190,WOODLAND,CA,56,GEORGE WHEATLEY,550,565,417,85,61, 35 , 39 ,89.7%,79,80,,
2191,BRYAN,OH,19,JEFF KENNEDY,1320,867,773,22,70, 87 , 102 ,83.8%,155,162,,
2193,STEUBENVILLE,OH,20,JEFF KENNEDY,1200,1010,876,41,91, 107 , 99 ,90.7%,150,156,,
2194,ALEXANDRIA,VA,75,RON SHEPPARD,780,1254,1063,117,72, 456 , 402 ,97.0%,106,106,,
2197,CORTLAND,OH,20,JEFF KENNEDY,1320,1091,942,36,111, 204 , 180 ,84.0%,160,170,,
2199,SAINT CLAIRSVILLE,OH,20,JEFF KENNEDY,915,835,718,16,99, 119 , 98 ,87.9%,130,139,,
2201,EL PASO,TX,46,MONICA REED,550,547,422,61,62, 82 , 77 ,88.7%,76,80,,
2202,WINDHAM,ME,16,RON SHEPPARD,915,897,806,30,59, 128 , 79 ,91.1%,131,137,,
2204,FOREST PARK,IL,25,JEFF KENNEDY,780,929,798,41,88, 121 , 100 ,87.7%,121,121,,
2205,YORK,PA,22,RON SHEPPARD,700,641,581,25,33, 82 , 84 ,88.5%,111,112,,
2206,LAGUNA NIGUEL,CA,57,GEORGE WHEATLEY,915,883,763,46,72, 122 , 108 ,94.5%,120,124,,
2207,MIDVALE,UT,54,GEORGE WHEATLEY,780,658,565,16,75, 55 , 52 ,84.7%,111,113,,
2209,ZANESVILLE,OH,20,JEFF KENNEDY,780,709,591,32,84, 74 , 37 ,89.1%,114,118,,
2213,SAINT LOUIS,MO,40,JEFF KENNEDY,1200,1035,901,47,85, 130 , 103 ,88.4%,160,163,,
2214,COLUMBIA,SC,4,RON SHEPPARD,780,651,557,42,50, 59 , 25 ,76.6%,116,118,,
2215,DARIEN,IL,25,JEFF KENNEDY,700,630,572,8,48, 57 , 55 ,91.9%,105,106,,
2218,FOOTHILL RANCH,CA,57,GEORGE WHEATLEY,855,813,708,28,75, 84 , 121 ,89.1%,119,124,,
2221,SPRINGFIELD,MO,40,JEFF KENNEDY,1320,1025,865,80,78, 133 , 135 ,86.3%,165,169,,
2223,WESTMINSTER,CO,47,GEORGE WHEATLEY,915,781,688,27,64, 64 , 60 ,84.4%,129,134,,
2228,PITTSFIELD,MA,16,RON SHEPPARD,855,814,652,96,64, 80 , 53 ,89.1%,121,122,,
2230,STATE COLLEGE,PA,22,RON SHEPPARD,616,734,532,53,147, 150 , 185 ,77.1%,101,105,,
2233,FREDERICK,MD,75,RON SHEPPARD,780,801,712,37,50, 136 , 104 ,95.7%,120,126,,
2234,ROME,NY,17,RON SHEPPARD,1000,888,806,8,72, 107 , 80 ,86.5%,141,147,,
2237,LEHIGH ACRES,FL,9,NATHAN STINES,915,782,598,114,68, 190 , 213 ,63.3%,135,145,,
2238,MUSKEGON,MI,19,JEFF KENNEDY,1200,947,798,27,120, 53 , 52 ,89.1%,145,154,,
2239,SAN ANTONIO,TX,6,MONICA REED,1000,671,577,35,57, 134 , 127 ,66.1%,141,152,,
2241,SUNNYSIDE,WA,60,GEORGE WHEATLEY,662,657,555,18,82, 59 , 78 ,82.4%,100,104,,
2242,ANAHEIM,CA,57,GEORGE WHEATLEY,700,680,630,20,28, 136 , 115 ,77.1%,116,121,,
2243,REDMOND,OR,60,GEORGE WHEATLEY,1320,1075,953,37,83, 70 , 42 ,89.0%,154,160,,
2244,HUNTINGTON,WV,20,JEFF KENNEDY,1320,1017,906,11,98, 198 , 225 ,87.3%,160,171,,
2245,OCEANSIDE,CA,57,GEORGE WHEATLEY,915,1019,847,59,111, 91 , 75 ,85.7%,132,135,,
2249,CHEHALIS,WA,60,GEORGE WHEATLEY,915,842,813,14,13, 86 , 17 ,90.8%,131,132,,
2251,CITY OF INDUSTRY,CA,57,GEORGE WHEATLEY,662,716,604,55,55, 94 , 98 ,92.5%,100,101,,
2252,EASTON,PA,22,RON SHEPPARD,855,860,773,31,54, 146 , 111 ,92.4%,125,129,,
2253,EL CAJON,CA,57,GEORGE WHEATLEY,550,606,504,26,74, 82 , 49 ,93.6%,80,84,,
2255,HAZLE TOWNSHIP,PA,22,RON SHEPPARD,855,754,693,10,49, 134 , 109 ,86.7%,125,131,,
2256,HENDERSON,NC,26,RON SHEPPARD,700,670,533,65,70, 103 , 66 ,71.6%,99,103,,
2257,HOUSTON,TX,6,MONICA REED,1200,680,573,47,58, 115 , 116 ,62.4%,146,152,,
2262,ONEONTA,NY,17,RON SHEPPARD,1000,1042,834,86,120, 143 , 107 ,92.4%,141,146,,
2264,SCHENECTADY,NY,17,RON SHEPPARD,662,631,587,10,32, 113 , 121 ,88.2%,98,99,,
2265,SIMPSONVILLE,SC,2,NATHAN STINES,616,531,405,63,61, 106 , 105 ,64.0%,90,94,,
2269,YAKIMA,WA,60,GEORGE WHEATLEY,700,773,628,79,64, 61 , 50 ,89.2%,100,101,,
2270,DURANGO,CO,46,MONICA REED,780,683,546,31,104, 46 , 48 ,76.2%,110,112,,
2271,SHAWANO,WI,53,JEFF KENNEDY,700,728,612,52,62, 87 , 92 ,91.4%,110,112,,
2273,BURTON,MI,19,JEFF KENNEDY,915,756,676,10,68, 86 , 92 ,81.4%,123,127,,
2274,FOREST LAKE,MN,52,GEORGE WHEATLEY,662,631,544,40,45, 78 , 57 ,88.8%,104,106,,
2275,OXFORD,OH,21,JEFF KENNEDY,780,551,481,36,32, 45 , 37 ,90.1%,94,97,,
2276,LA PORTE,IN,19,JEFF KENNEDY,780,665,596,21,46, 106 , 114 ,80.9%,118,124,,
2277,CLOVIS,CA,57,GEORGE WHEATLEY,780,726,626,35,63, 92 , 62 ,84.9%,119,120,,
2281,WEST MIFFLIN,PA,20,JEFF KENNEDY,1320,1098,957,46,93, 216 , 192 ,87.1%,161,169,,
2283,COVENTRY,RI,16,RON SHEPPARD,1000,1033,852,55,124, 208 , 189 ,78.9%,153,161,,
2285,HERKIMER,NY,17,RON SHEPPARD,498,802,564,167,69, 89 , 81 ,82.3%,81,82,,
2286,CENTEREACH,NY,17,RON SHEPPARD,498,504,434,24,44, 68 , 69 ,85.9%,81,82,,
2287,NEW CASTLE,PA,20,JEFF KENNEDY,915,872,757,20,93, 106 , 85 ,92.0%,137,140,,
2288,POMONA,CA,57,GEORGE WHEATLEY,662,513,480,18,13, 63 , 55 ,82.8%,91,94,,
2291,CHULA VISTA,CA,57,GEORGE WHEATLEY,700,708,546,79,81, 91 , 92 ,83.3%,100,102,,
2292,COVINA,CA,57,GEORGE WHEATLEY,700,1224,1086,64,72, 70 , 47 ,87.8%,100,102,,
2293,EVERGREEN,CO,47,GEORGE WHEATLEY,915,902,667,144,89, 58 , 76 ,80.0%,123,129,,
2295,RICHMOND,VA,75,RON SHEPPARD,662,634,572,8,52, 112 , 131 ,88.7%,100,103,,
2297,STEVENSON RANCH,CA,57,GEORGE WHEATLEY,915,676,641,11,22, 88 , 82 ,85.5%,121,125,,
2300,PITTSBURGH,PA,20,JEFF KENNEDY,498,611,488,25,96, 107 , 97 ,88.2%,79,81,,
2306,NORTHPORT,AL,14,NATHAN STINES,616,542,436,48,56, 77 , 51 ,66.7%,102,104,,
2307,SOUTH JORDAN,UT,54,GEORGE WHEATLEY,915,799,683,55,59, 78 , 69 ,86.1%,126,130,,
2309,WEST CHESTER,OH,21,JEFF KENNEDY,1320,991,853,54,82, 126 , 129 ,88.7%,154,161,,
2310,KNOXVILLE,TN,2,NATHAN STINES,780,830,680,71,77, 121 , 99 ,83.9%,124,131,,
2311,HUNTINGTON,IN,21,JEFF KENNEDY,1320,927,806,24,95, 104 , 115 ,86.7%,152,162,,
2312,ROANOKE,VA,75,RON SHEPPARD,915,943,763,75,103, 137 , 120 ,93.3%,128,137,,
2313,STREETSBORO,OH,20,JEFF KENNEDY,780,625,580,22,21, 72 , 56 ,83.2%,115,120,,
2315,DALLAS,OR,60,GEORGE WHEATLEY,550,581,488,32,59, 52 , 36 ,91.4%,88,88,,
2317,BREMERTON,WA,60,GEORGE WHEATLEY,550,397,374,11,10, 42 , 16 ,84.2%,76,78,,
2318,INDIANA,PA,22,RON SHEPPARD,1120,980,886,37,55, 224 , 201 ,87.4%,154,160,,
2319,OAK HARBOR,WA,60,GEORGE WHEATLEY,662,641,558,26,55, 50 , 44 ,90.2%,102,102,,
2322,CORDOVA,TN,12,NATHAN STINES,915,959,904,19,34, 102 , 50 ,90.3%,139,142,,
2325,PORT ORCHARD,WA,60,GEORGE WHEATLEY,498,511,449,21,39, 62 , 40 ,88.8%,82,86,,
2326,HORNELL,NY,17,RON SHEPPARD,1000,1000,839,60,99, 172 , 161 ,88.3%,148,153,,
2330,ROCHESTER,NH,16,RON SHEPPARD,915,779,650,52,75, 135 , 124 ,76.8%,131,138,,
