Store,,APR,73,YTD,74,APR,75,YTD,76,APR,77,YTD,78,APR,79,YTD,80,L12 Mths,81,L12 Mths,82,APR,83,YTD,84,APR,85,YTD,86,APR,87,YTD,88,APR,89,YTD,90,APR,91,YTD,92
4417,,-14.07%,R,-11.30%,R,-22.32%,R,-13.07%,R,-15.82%,R,-11.02%,R,-39.80%,R,-22.18%,,4.71,,4.71,,47.11%,,42.25%,,0.34%,,0.57%,,9.92%,R,15.88%,R,1:06:39,R,1:06:26,R,2518/2578,R,2451/2578,R
Total,B,-4.43%,,-4.30%,R,-9.34%,,-0.10%,,0.17%,,8.82%,,-20.56%,,-17.62%,,4.69,G,4.69,G,45.72%,,46.86%,,1.49%,,1.27%,,67.56%,G,65.83%,G,0:44:44,,0:45:43,,275/394,,268/394,
844,,-11.60%,R,-5.15%,,12.60%,G,35.38%,G,31.34%,G,77.25%,G,17.70%,G,4.36%,G,4.80,G,4.80,G,51.13%,,47.76%,,0.76%,,0.40%,,44.36%,,40.60%,,0:39:48,,0:42:35,,754/2578,,655/2578,
852,,1.74%,,6.25%,,1.90%,,7.27%,,38.01%,G,31.80%,,-5.63%,,-3.83%,,<5 Reviews,,<5 Reviews,,42.35%,,40.76%,,2.48%,,3.11%,G,91.79%,G,92.28%,G,0:31:17,,0:32:54,,441/2578,G,487/2578,G
1003,,-9.03%,R,-13.48%,R,-19.41%,R,-26.39%,R,-17.61%,R,-12.67%,R,-28.33%,,-43.27%,R,5.00,G,5.00,G,45.24%,,41.30%,,1.53%,,2.18%,,101.90%,G,101.27%,G,0:43:38,,0:46:01,,2109/2578,R,2395/2578,R
1307,,-13.48%,R,-15.97%,R,-20.71%,R,-24.48%,R,-1.37%,,-6.93%,R,-36.67%,R,-36.13%,R,4.86,G,4.86,G,56.84%,G,48.73%,,0.23%,,0.40%,,26.71%,,23.90%,,0:48:30,,0:47:34,,2354/2578,R,2492/2578,R
1386,,-8.42%,R,-4.87%,,-31.73%,R,-24.32%,R,-36.40%,R,-19.23%,R,-23.33%,,-19.54%,,4.17,R,4.17,R,33.11%,,33.85%,,0.63%,,0.16%,R,34.45%,,25.37%,,0:32:50,,0:30:05,G,2375/2578,R,2353/2578,R
2956,,-13.59%,R,-19.63%,R,-57.89%,R,-69.20%,R,-42.90%,R,-47.40%,R,-57.19%,R,-76.52%,R,4.83,G,4.83,G,28.69%,R,31.14%,R,0.00%,R,0.00%,R,22.13%,,16.67%,R,0:31:38,,0:28:24,G,2517/2578,R,2524/2578,R
4323,,-8.06%,R,-9.35%,R,-25.54%,R,-19.75%,R,11.36%,,12.78%,,-36.07%,R,-32.46%,R,<5 Reviews,,<5 Reviews,,57.51%,G,59.70%,G,0.41%,,0.62%,,34.43%,,28.77%,,0:41:45,,0:43:53,,2216/2578,R,2307/2578,R
5038,,6.50%,,-1.48%,,4.88%,,-1.75%,,-2.20%,,-5.43%,R,-5.78%,,-17.42%,,<5 Reviews,,<5 Reviews,,48.47%,,45.23%,,6.31%,G,4.31%,G,122.09%,G,103.85%,G,0:35:46,,0:45:47,,468/2578,G,1585/2578,
Total,B,-7.89%,R,-8.62%,R,-18.24%,R,-17.63%,R,-4.26%,R,-0.47%,R,-24.64%,,-28.81%,R,4.79,G,4.79,G,46.81%,,44.55%,,1.53%,,1.51%,,58.71%,,54.86%,,0:39:03,,0:40:49,,344/394,R,378/394,R
786,,-5.91%,,-9.86%,R,-17.15%,,-20.47%,R,8.33%,,-7.12%,R,-26.26%,,-32.62%,R,3.83,R,3.83,R,46.13%,,46.65%,,0.00%,R,0.37%,,84.52%,G,63.75%,,0:47:06,,0:51:01,,2059/2578,,2475/2578,R
4405,,-8.86%,R,-10.59%,R,-18.11%,,-16.96%,R,28.35%,G,15.49%,,-25.07%,,-21.09%,,4.88,G,4.88,G,57.25%,G,51.27%,,0.00%,R,0.57%,,4.46%,R,3.46%,R,0:46:47,,0:55:27,R,2022/2578,,2289/2578,R
5352,,1.23%,,-3.33%,,-3.11%,,-11.63%,R,23.84%,,24.15%,,-5.76%,,-28.48%,R,4.75,,4.75,,53.89%,,56.00%,G,1.07%,,1.54%,,125.56%,G,134.18%,G,0:52:34,R,0:52:50,R,785/2578,,1794/2578,
5442,,1.45%,,-3.80%,,13.67%,G,-3.07%,,28.28%,G,22.77%,,-1.82%,G,-21.15%,,4.83,G,4.83,G,49.61%,,50.20%,,0.27%,,0.09%,R,28.97%,,29.50%,,0:29:47,G,0:35:38,,371/2578,G,1600/2578,
Total,B,-2.68%,,-6.70%,R,-4.81%,,-12.33%,R,21.69%,G,12.30%,,-13.83%,,-25.35%,R,4.68,G,4.68,G,50.81%,,50.27%,,0.27%,R,0.53%,R,49.19%,,46.43%,,0:41:44,,0:46:46,,161/394,,370/394,R
2215,,-4.06%,,-8.29%,R,7.00%,,-8.28%,,38.39%,G,31.18%,,-4.20%,G,-28.82%,R,4.42,,4.42,,37.05%,,35.68%,,0.32%,,0.25%,R,14.74%,R,18.08%,R,0:35:48,,0:40:18,,907/2578,,2140/2578,R
3400,,-10.10%,R,-16.96%,R,-23.48%,R,-38.34%,R,-14.64%,R,-25.85%,R,-26.16%,,-45.04%,R,4.89,G,4.89,G,45.29%,,49.06%,,0.42%,,0.85%,,31.84%,,32.52%,,0:43:30,,0:42:18,,2323/2578,R,2478/2578,R
3790,,-3.69%,,-9.64%,R,-15.35%,,-24.74%,R,-9.89%,R,-4.51%,R,-8.76%,,-37.86%,R,4.88,G,4.88,G,50.00%,,57.40%,G,0.39%,,1.39%,,55.20%,,45.82%,,0:24:06,G,0:27:49,G,1466/2578,,2164/2578,R
4286,,-5.83%,,-5.40%,,-32.13%,R,-22.43%,R,-19.25%,R,-10.27%,R,-43.85%,R,-34.92%,R,<5 Reviews,,<5 Reviews,,36.99%,,36.35%,,0.00%,R,0.80%,,77.40%,G,69.62%,G,0:55:46,R,1:01:16,R,2480/2578,R,2444/2578,R
4531,,6.34%,,4.88%,,18.36%,G,18.78%,G,24.04%,,38.57%,G,13.60%,G,-2.50%,,5.00,G,5.00,G,48.26%,,51.50%,,5.81%,G,2.64%,G,52.90%,,54.21%,,0:32:58,,0:34:30,,89/2578,G,234/2578,G
Total,B,-3.55%,,-7.13%,R,-9.97%,,-17.04%,R,2.62%,,3.41%,R,-14.86%,,-31.27%,R,4.75,G,4.75,G,44.11%,,46.37%,,1.48%,,1.24%,,43.93%,,43.77%,,0:36:53,,0:39:35,,245/394,,374/394,R
1256,,-5.20%,,-8.83%,R,-22.33%,R,-24.65%,R,0.00%,,1.84%,,-28.70%,,-39.95%,R,4.75,,4.75,,30.29%,R,34.62%,,0.34%,,0.11%,R,13.28%,R,7.73%,R,0:34:32,,0:44:34,,2190/2578,R,2513/2578,R
5486,,-6.97%,,-7.48%,R,-13.14%,,-12.54%,R,22.54%,,39.39%,G,-26.61%,,-27.09%,R,4.84,G,4.84,G,67.63%,G,69.14%,G,5.44%,G,6.94%,G,22.45%,,28.75%,,0:31:05,,0:31:28,,1428/2578,,1700/2578,
Total,B,-6.10%,R,-8.14%,R,-16.04%,R,-16.28%,R,11.72%,,20.50%,,-27.16%,R,-30.64%,R,4.81,G,4.81,G,58.01%,G,60.89%,G,3.25%,,4.04%,G,20.09%,R,23.73%,R,0:32:41,G,0:37:37,,286/394,,328/394,R
2204,,7.96%,G,2.30%,,5.55%,,0.29%,,50.46%,G,31.88%,,-13.35%,,-21.24%,,4.38,,4.38,,41.68%,,42.37%,,0.00%,R,0.00%,R,14.78%,R,17.78%,R,0:42:00,,0:41:20,,656/2578,,1466/2578,
2816,,-0.34%,,-4.79%,,-3.91%,,-1.81%,,-1.65%,,-0.63%,,-5.03%,,-12.93%,,4.54,,4.54,,32.68%,,29.42%,R,1.91%,,1.19%,,17.84%,R,17.61%,R,0:49:34,,0:50:18,,1358/2578,,1964/2578,
Total,B,3.31%,,-1.66%,,-0.49%,,-0.96%,,21.01%,G,14.54%,,-8.19%,G,-16.22%,,4.49,,4.49,,35.91%,,34.24%,R,0.88%,,0.55%,R,16.74%,R,17.67%,R,0:45:06,,0:45:10,,127/394,,303/394,
2815,,-1.74%,,0.15%,,-8.93%,,-7.98%,,2.08%,,8.78%,,-9.25%,,-10.38%,,4.86,G,4.86,G,53.17%,,46.66%,,0.68%,,0.78%,,29.48%,,27.81%,,0:52:33,R,0:50:44,,1438/2578,,1682/2578,
Total,B,-1.74%,,0.15%,,-8.93%,,-7.98%,R,2.08%,,8.78%,,-9.25%,G,-10.38%,,4.86,G,4.86,G,53.17%,G,46.66%,,0.68%,,0.78%,,29.48%,R,27.81%,R,0:52:33,R,0:50:44,R,254/394,,295/394,
3891,,3.11%,,-0.57%,,-17.73%,,-18.50%,R,-19.13%,R,-9.15%,R,-15.42%,,-20.92%,,4.14,R,4.14,R,53.82%,,53.63%,,0.00%,R,0.23%,R,22.94%,,19.59%,R,0:53:53,R,0:51:07,,1978/2578,,2268/2578,R
3893,,-6.36%,,-2.48%,,-11.12%,,-6.63%,,-1.83%,,0.64%,,-22.88%,,-22.69%,,3.40,R,3.40,R,70.33%,G,75.63%,G,4.98%,G,2.22%,,55.68%,,48.55%,,0:33:35,,0:31:29,,1580/2578,,1688/2578,
5199,,-3.24%,,-4.94%,,-1.88%,,-11.56%,R,13.49%,,10.81%,,-9.59%,,-20.32%,,4.83,G,4.83,G,43.64%,,40.67%,,0.41%,,0.16%,R,112.12%,G,106.01%,G,0:36:26,,0:39:58,,916/2578,,1950/2578,
5276,,2.48%,,-3.58%,,-4.58%,,-10.27%,,14.37%,,7.94%,,-8.88%,,-21.89%,,4.33,,4.33,,44.75%,,47.71%,,3.66%,G,2.26%,,30.75%,,36.54%,,1:05:18,R,1:05:26,R,1134/2578,,2074/2578,R
Total,B,-0.88%,,-2.62%,,-10.33%,,-11.96%,R,-2.14%,R,0.54%,R,-15.43%,,-21.53%,R,4.30,R,4.30,R,54.64%,G,56.45%,G,2.28%,,1.21%,,48.63%,,46.39%,,0:46:03,,0:45:32,,270/394,,364/394,R
1413,,-1.89%,,0.37%,,-17.62%,,-1.65%,,-5.66%,,-2.22%,R,-12.99%,,-4.15%,,4.20,R,4.20,R,29.86%,R,37.05%,,1.33%,,3.18%,G,73.80%,G,77.45%,G,0:43:08,,0:40:34,,1860/2578,,1379/2578,
3434,,18.18%,G,7.94%,G,10.49%,G,-0.83%,,1.89%,,6.59%,,18.82%,G,-16.41%,,<5 Reviews,,<5 Reviews,,41.83%,,46.28%,,2.22%,,4.78%,G,83.91%,G,91.53%,G,0:24:21,G,0:25:39,G,150/2578,G,835/2578,
3597,,-4.33%,,-9.47%,R,-4.90%,,-15.83%,R,11.33%,,2.59%,,-3.88%,G,-24.68%,,<5 Reviews,,<5 Reviews,,49.69%,,53.18%,,1.24%,,1.60%,,30.43%,,34.09%,,0:39:40,,0:37:56,,1217/2578,,2195/2578,R
5060,,16.39%,G,9.97%,G,-21.51%,R,-21.01%,R,5.19%,,-2.03%,R,-30.13%,,-29.61%,R,4.45,,4.45,,51.66%,,47.96%,,0.41%,,1.18%,,27.01%,,25.26%,,0:16:29,G,0:17:01,G,1320/2578,,1613/2578,
Total,B,5.47%,,1.36%,,-7.70%,,-9.93%,R,4.82%,,1.90%,R,-6.71%,G,-18.02%,,4.44,,4.44,,42.11%,,45.28%,,1.31%,,2.59%,G,58.51%,,61.59%,G,0:31:31,G,0:30:47,G,122/394,,265/394,
196,,-3.79%,,1.94%,,-5.78%,,7.57%,,16.38%,,28.76%,,-14.47%,,-4.85%,,3.57,R,3.57,R,42.86%,,40.08%,,0.25%,,0.25%,R,36.48%,,38.27%,,0:33:23,,0:39:22,,1336/2578,,1021/2578,
216,,-2.24%,,-9.17%,R,-0.94%,,-14.39%,R,-4.71%,,-11.25%,R,-8.98%,,-24.91%,,4.71,,4.71,,52.74%,,53.18%,,1.23%,,1.25%,,41.23%,,50.89%,,0:41:44,,0:38:34,,1120/2578,,2170/2578,R
222,,-12.30%,R,-11.43%,R,-16.57%,,-19.63%,R,-6.72%,,-9.03%,R,-31.44%,R,-29.28%,R,<5 Reviews,,<5 Reviews,,45.45%,,43.73%,,0.00%,R,0.29%,,45.85%,,43.86%,,0:56:37,R,0:51:29,,2370/2578,R,2491/2578,R
237,,-4.69%,,-4.86%,,-15.23%,,-11.12%,,-0.72%,,-5.67%,R,-20.41%,,-21.47%,,4.11,R,4.11,R,57.74%,G,54.73%,G,8.25%,G,11.67%,G,70.81%,,69.51%,G,0:44:39,,0:48:36,,1751/2578,,2039/2578,
262,,-7.93%,R,-13.25%,R,-10.42%,,-21.47%,R,0.62%,,-3.21%,R,-23.53%,,-33.51%,R,<5 Reviews,,<5 Reviews,,52.94%,,56.11%,G,0.31%,,0.33%,,46.83%,,51.19%,,0:35:04,,0:39:58,,1766/2578,,2405/2578,R
302,,-17.59%,R,-24.26%,R,-17.66%,,-23.21%,R,-2.41%,,-11.71%,R,-34.98%,R,-37.01%,R,4.63,,4.63,,40.83%,,40.96%,,0.49%,,0.60%,,97.31%,G,88.36%,G,0:39:04,,0:38:11,,2214/2578,R,2412/2578,R
Total,B,-7.25%,R,-9.74%,R,-10.76%,,-13.83%,R,0.46%,,-2.85%,R,-21.14%,,-25.19%,R,4.40,,4.40,,49.98%,,49.26%,,1.98%,,2.68%,G,55.93%,,57.02%,,0:40:37,,0:42:06,,306/394,,381/394,R
198,,-13.14%,R,-11.06%,R,-27.44%,R,-16.34%,R,-20.54%,R,-4.98%,R,-30.25%,,-26.51%,R,4.40,,4.40,,47.68%,,47.94%,,0.00%,R,0.19%,R,11.92%,R,8.90%,R,0:35:31,,0:34:50,,2453/2578,R,2403/2578,R
213,,-13.96%,R,-13.86%,R,-22.79%,R,-20.35%,R,-10.48%,R,-7.72%,R,-30.94%,,-33.37%,R,4.43,,4.43,,52.66%,,58.11%,G,0.38%,,0.52%,,73.21%,G,72.62%,G,0:37:21,,0:36:35,,2280/2578,R,2335/2578,R
224,,-8.97%,R,-9.05%,R,-6.75%,,-10.02%,,2.33%,,5.32%,,-26.01%,,-29.99%,R,5.00,G,5.00,G,44.57%,,45.13%,,0.68%,,1.79%,,77.90%,G,76.53%,G,0:48:52,,0:43:34,,1672/2578,,2050/2578,
253,,6.03%,,1.87%,,-3.43%,,-5.21%,,22.93%,,14.70%,,-10.54%,,-17.57%,,<5 Reviews,,<5 Reviews,,54.81%,,54.62%,G,0.40%,,0.38%,,43.99%,,37.59%,,0:36:29,,0:36:42,,717/2578,,1428/2578,
317,,-7.07%,,-8.30%,R,-13.14%,,-14.17%,R,-10.80%,R,-8.77%,R,-5.58%,,-17.79%,,4.20,R,4.20,R,49.73%,,44.33%,,0.78%,,0.38%,,40.86%,,40.29%,,0:41:01,,0:40:48,,1852/2578,,2291/2578,R
435,,3.04%,,1.79%,,-15.07%,,-4.49%,,0.48%,,12.37%,,-14.06%,,-11.75%,,5.00,G,5.00,G,39.40%,,40.65%,,0.00%,R,0.00%,R,38.25%,,36.13%,,0:20:26,G,0:22:02,G,1266/2578,,1236/2578,
Total,B,-6.12%,R,-6.86%,R,-15.60%,R,-12.45%,R,-5.02%,R,0.66%,R,-20.16%,,-23.44%,R,4.69,G,4.69,G,48.32%,,48.86%,,0.36%,R,0.58%,R,47.87%,,45.13%,,0:36:44,,0:35:20,,332/394,R,362/394,R
254,,-4.06%,,-13.63%,R,-12.22%,,-27.07%,R,-8.66%,R,-21.27%,R,-14.07%,,-38.20%,R,<5 Reviews,,<5 Reviews,,54.31%,,55.45%,G,0.43%,,4.53%,G,93.53%,G,97.64%,G,0:28:42,G,0:27:55,G,1477/2578,,2226/2578,R
422,,-1.31%,,-0.92%,,-5.55%,,-4.08%,,-4.76%,,-7.41%,R,-20.05%,,-14.46%,,<5 Reviews,,<5 Reviews,,55.18%,G,60.59%,G,24.29%,G,20.75%,G,108.03%,G,103.67%,G,0:40:08,,0:37:07,,1174/2578,,1375/2578,
454,,-9.31%,R,-8.26%,R,-11.64%,,-4.98%,,-13.96%,R,-1.01%,,-26.85%,,-23.19%,,<5 Reviews,,<5 Reviews,,62.19%,G,57.94%,G,3.51%,G,1.45%,,87.40%,G,87.16%,G,0:40:57,,0:39:55,,1853/2578,,1887/2578,
481,,-14.69%,R,-13.63%,R,-31.98%,R,-30.75%,R,-31.86%,R,-30.37%,R,-36.17%,R,-40.38%,R,<5 Reviews,,<5 Reviews,,37.77%,,43.97%,,5.56%,G,3.01%,G,55.42%,,58.53%,,0:48:18,,0:55:12,R,2484/2578,R,2508/2578,R
492,,1.49%,,-4.38%,,-17.37%,,-23.01%,R,-7.62%,R,-14.73%,R,-25.17%,,-28.67%,R,3.56,R,3.56,R,37.69%,,39.55%,,1.55%,,1.90%,,10.90%,R,12.61%,R,0:40:51,,0:40:41,,1999/2578,,2414/2578,R
506,,-6.83%,,-1.80%,,-2.41%,,21.05%,G,21.28%,,49.85%,G,-21.30%,,4.76%,G,<5 Reviews,,<5 Reviews,,50.00%,,43.55%,,0.00%,R,0.20%,R,22.02%,,22.73%,,0:22:41,G,0:22:37,G,1229/2578,,608/2578,
612,,-11.10%,R,-0.84%,,-14.82%,,52.62%,G,-18.77%,R,62.46%,G,-26.40%,,20.53%,G,<5 Reviews,,<5 Reviews,,41.77%,,42.49%,,0.42%,,0.21%,R,88.19%,G,81.68%,G,0:31:34,,0:37:13,,2051/2578,,428/2578,G
936,,4.29%,,-6.78%,R,-0.12%,,-22.98%,R,-1.50%,,-21.59%,R,-16.93%,,-30.67%,R,<5 Reviews,,<5 Reviews,,55.41%,G,42.50%,,0.38%,,0.84%,,39.49%,,41.88%,,0:37:30,,0:42:49,,954/2578,,2422/2578,R
Total,B,-4.66%,,-6.92%,R,-12.71%,,-13.19%,R,-11.19%,R,-8.29%,R,-23.98%,,-24.91%,R,3.81,R,3.81,R,49.88%,,48.30%,,3.57%,G,3.52%,G,61.48%,G,61.64%,G,0:36:06,,0:38:51,,314/394,,372/394,R
200,,-2.30%,,-3.14%,,-25.29%,R,-21.45%,R,-33.49%,R,-26.40%,R,-16.55%,,-17.95%,,4.20,R,4.20,R,58.38%,G,58.87%,G,3.19%,G,3.54%,G,33.29%,,33.03%,,1:14:13,R,1:13:59,R,2155/2578,R,2260/2578,R
343,,-8.17%,R,-5.50%,,-10.78%,,-5.63%,,7.41%,,3.88%,,-26.86%,,-21.59%,,<5 Reviews,,<5 Reviews,,61.79%,G,56.45%,G,0.16%,R,0.43%,,70.45%,,61.39%,,0:37:53,,0:39:06,,1728/2578,,1885/2578,
609,,-8.08%,R,-4.82%,,-12.41%,,-4.62%,,12.14%,,28.05%,,-26.28%,,-21.12%,,4.56,,4.56,,51.20%,,51.31%,,0.57%,,0.62%,,57.66%,,54.31%,,1:01:45,R,1:06:29,R,1942/2578,,1818/2578,
1454,,-4.92%,,-7.77%,R,-4.01%,,-11.82%,R,-17.15%,R,-15.75%,R,0.84%,G,-19.73%,,4.80,G,4.80,G,36.80%,,41.81%,,1.75%,,0.78%,,22.25%,,22.69%,,0:44:26,,0:40:37,,1482/2578,,2229/2578,R
1602,,-3.74%,,-6.50%,R,-25.29%,R,-23.68%,R,2.07%,,1.20%,,-25.55%,,-35.85%,R,5.00,G,5.00,G,55.35%,G,63.31%,G,0.00%,R,1.30%,,39.48%,,42.78%,,0:33:37,,0:35:28,,1923/2578,,2114/2578,R
1690,,-12.72%,R,-10.61%,R,-24.87%,R,-20.69%,R,-11.86%,R,-11.99%,R,-28.03%,,-25.92%,R,4.75,,4.75,,73.49%,G,70.60%,G,1.54%,,1.46%,,73.31%,G,72.82%,G,1:05:48,R,1:14:03,R,2301/2578,R,2360/2578,R
2728,,1.99%,,1.81%,,-9.98%,,0.62%,,-20.09%,R,-24.94%,R,12.09%,G,30.54%,G,3.63,R,3.63,R,91.18%,G,89.62%,G,0.29%,,0.64%,,46.08%,,46.23%,,0:45:32,,0:53:49,R,1412/2578,,1396/2578,
3210,,-3.79%,,-6.08%,R,-13.64%,,-23.00%,R,-3.33%,,-8.47%,R,-15.18%,,-26.79%,R,3.80,R,3.80,R,47.97%,,46.19%,,0.34%,,0.52%,,28.64%,,22.85%,,0:39:21,,0:40:00,,1881/2578,,2423/2578,R
3602,,-1.10%,,-3.27%,,1.03%,,-5.25%,,8.04%,,5.66%,,-1.48%,G,-7.65%,,4.00,R,4.00,R,56.99%,G,52.86%,,0.89%,,0.75%,,68.82%,,65.40%,,0:47:13,,0:45:40,,917/2578,,1695/2578,
Total,B,-5.00%,R,-5.20%,R,-15.04%,R,-13.52%,R,-6.74%,R,-6.35%,R,-16.21%,,-18.78%,,4.39,,4.39,,58.44%,G,58.59%,G,0.85%,,1.04%,,47.92%,,46.59%,,0:47:38,,0:50:17,R,349/394,R,383/394,R
197,,4.74%,,0.90%,,-2.57%,,-2.20%,,8.35%,,8.06%,,-11.30%,,-17.04%,,<5 Reviews,,<5 Reviews,,61.78%,G,62.63%,G,4.74%,G,3.26%,G,52.53%,,51.61%,,0:32:53,,0:38:08,,601/2578,,1280/2578,
199,,-31.74%,R,-27.38%,R,-58.11%,R,-74.56%,R,-43.68%,R,-78.88%,R,-54.00%,R,-61.12%,R,<5 Reviews,,<5 Reviews,,37.95%,,25.05%,R,2.04%,,1.56%,,19.20%,R,12.52%,R,1:09:51,R,1:07:30,R,2568/2578,R,2574/2578,R
603,,-3.63%,,-9.40%,R,-4.36%,,-22.96%,R,2.55%,,-24.06%,R,0.98%,G,-18.13%,,4.44,,4.44,,51.66%,,49.13%,,4.98%,G,4.28%,G,46.78%,,42.93%,,0:40:55,,0:42:04,,1111/2578,,2284/2578,R
1028,,-15.75%,R,-17.62%,R,-24.22%,R,-32.29%,R,-18.68%,R,-27.38%,R,-35.45%,R,-44.20%,R,4.55,,4.55,,46.67%,,48.95%,,0.00%,R,0.32%,,36.51%,,39.71%,,0:30:28,,0:33:59,,2376/2578,R,2465/2578,R
1125,,1.36%,,-6.18%,R,-29.20%,R,-35.39%,R,-42.20%,R,-43.63%,R,-14.72%,,-28.03%,R,3.00,R,3.00,R,47.88%,,45.76%,,1.40%,,1.95%,,22.15%,,16.43%,R,0:55:09,R,0:49:15,,2180/2578,R,2501/2578,R
1323,,-12.07%,R,-15.22%,R,-20.40%,R,-23.57%,R,-25.48%,R,-22.78%,R,-26.54%,,-34.54%,R,<5 Reviews,,<5 Reviews,,53.23%,,61.00%,G,0.00%,R,0.45%,,28.14%,,26.64%,,0:40:19,,0:43:33,,2366/2578,R,2496/2578,R
1421,,-10.49%,R,-6.17%,R,-21.41%,R,-10.78%,,16.86%,,2.29%,,-32.95%,R,-23.56%,,3.71,R,3.71,R,71.55%,G,65.97%,G,0.00%,R,2.07%,,83.62%,G,83.66%,G,0:22:14,G,0:20:11,G,1933/2578,,1788/2578,
3459,,-11.04%,R,-13.36%,R,-4.27%,,-13.47%,R,,,,,-36.56%,R,-39.32%,R,<5 Reviews,,<5 Reviews,,43.22%,,40.38%,,0.00%,R,0.32%,,72.88%,G,63.62%,,0:29:26,G,0:32:06,,1620/2578,,2213/2578,R
3460,,-16.36%,R,-17.69%,R,-40.83%,R,-39.60%,R,-45.03%,R,-38.73%,R,-35.10%,R,-37.89%,R,3.93,R,3.93,R,53.18%,,51.59%,,1.20%,,0.60%,,35.68%,,33.49%,,0:42:19,,0:30:05,G,2506/2578,R,2463/2578,R
5157,,0.49%,,2.59%,,-9.81%,,-13.55%,R,-8.44%,R,-10.60%,R,-12.79%,,-19.93%,,4.56,,4.56,,51.74%,,52.91%,,1.94%,,1.06%,,98.84%,G,92.40%,G,0:31:25,,0:29:15,G,1140/2578,,1560/2578,
Total,B,-9.23%,R,-11.07%,R,-22.04%,R,-26.40%,R,-11.69%,R,-17.82%,R,-25.49%,R,-32.18%,R,4.07,R,4.07,R,53.11%,G,52.57%,G,2.17%,,1.89%,,47.29%,,45.62%,,0:36:28,,0:37:13,,375/394,R,390/394,R
633,,-0.75%,,-6.59%,R,10.37%,G,9.68%,,23.64%,,23.92%,,8.48%,G,-6.94%,,<5 Reviews,,<5 Reviews,,53.75%,,58.89%,G,3.13%,G,1.63%,,87.62%,G,80.60%,G,0:33:13,,0:35:23,,330/2578,G,930/2578,
636,,7.58%,G,-3.67%,,53.46%,G,9.89%,,128.68%,G,27.68%,,12.17%,G,-15.79%,,4.67,,4.67,,56.59%,G,56.40%,G,0.00%,R,0.11%,R,72.87%,G,50.58%,,0:38:57,,0:35:02,,88/2578,G,1036/2578,
775,,2.88%,,-4.33%,,2.60%,,-9.50%,,36.18%,G,14.00%,,-7.24%,,-22.10%,,4.40,,4.40,,42.78%,,44.83%,,0.90%,,0.79%,,9.68%,R,9.16%,R,0:47:46,,0:52:02,R,831/2578,,2111/2578,R
796,,-5.32%,,-4.44%,,-18.42%,,1.97%,,-13.71%,R,28.30%,,-10.51%,,-4.39%,,<5 Reviews,,<5 Reviews,,32.95%,,32.55%,R,1.32%,,0.56%,,39.54%,,38.93%,,0:39:41,,0:34:08,,2030/2578,,1333/2578,
891,,-9.77%,R,-17.98%,R,-14.89%,,-29.70%,R,1.24%,,-13.78%,R,-25.77%,,-43.48%,R,<5 Reviews,,<5 Reviews,,56.94%,G,62.76%,G,1.97%,,3.21%,G,114.58%,G,110.59%,G,0:15:57,G,0:16:39,G,1602/2578,,2182/2578,R
4511,,-5.08%,,-16.55%,R,0.51%,,-18.92%,R,16.80%,,-3.35%,R,-9.35%,,-31.86%,R,2.60,R,2.60,R,43.30%,,44.54%,,7.19%,G,10.12%,G,46.56%,,49.93%,,0:23:30,G,0:25:36,G,858/2578,,2241/2578,R
5399,,-13.85%,R,-7.44%,R,-3.49%,,18.79%,G,26.72%,G,56.85%,G,-31.00%,R,-14.30%,,<5 Reviews,,<5 Reviews,,50.36%,,45.55%,,2.56%,,2.84%,G,49.64%,,56.71%,,0:34:26,,0:34:04,,1403/2578,,840/2578,
Total,B,-3.78%,,-8.92%,R,0.85%,,-7.86%,R,24.15%,G,13.08%,,-10.75%,,-23.12%,R,4.31,R,4.31,R,46.55%,,47.75%,,2.44%,,2.68%,G,52.47%,,49.73%,,0:32:57,G,0:33:08,G,96/394,,324/394,R
201,,7.92%,G,-3.98%,,-8.80%,,-14.01%,R,-4.87%,,-2.12%,R,-7.93%,,-21.80%,,4.78,G,4.78,G,43.99%,,46.41%,,5.91%,G,2.71%,G,31.06%,,31.20%,,0:54:16,R,0:56:27,R,1152/2578,,2146/2578,R
256,,13.22%,G,9.93%,G,9.57%,G,12.89%,,35.60%,G,45.44%,G,2.64%,G,-4.10%,,4.50,,4.50,,61.67%,G,55.58%,G,0.24%,,0.33%,,25.27%,,26.23%,,0:19:57,G,0:22:06,G,135/2578,G,317/2578,G
328,,13.85%,G,10.50%,G,20.20%,G,24.96%,G,27.82%,G,35.40%,G,1.62%,G,4.97%,G,3.73,R,3.73,R,65.50%,G,56.45%,G,10.47%,G,8.50%,G,88.18%,G,90.86%,G,0:18:16,G,0:19:28,G,21/2578,G,64/2578,G
361,,8.15%,G,7.55%,,12.25%,G,15.67%,,38.60%,G,45.57%,G,-6.53%,,-5.33%,,4.63,,4.63,,41.19%,,41.64%,,0.25%,,0.77%,,75.68%,G,65.93%,,0:33:38,,0:35:51,,237/2578,G,369/2578,G
1071,,-3.48%,,-7.13%,R,-17.16%,,-21.64%,R,-4.75%,,0.93%,,-23.63%,,-27.36%,R,3.90,R,3.90,R,42.63%,,44.70%,,0.59%,,1.44%,,87.05%,G,73.18%,G,0:44:04,,0:44:21,,2010/2578,,2327/2578,R
