store_nbr,acct_dept,UPC_Number,description,DEPT_CATEGORY_DESC,SIZE,pack_qty,pack_cost,base_retail
406,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
407,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
408,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
409,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
410,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
412,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
413,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
415,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
416,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
421,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
422,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
423,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
424,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
426,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
428,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
429,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
430,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
431,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
432,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
433,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
434,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
435,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
437,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
440,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
442,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
443,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
445,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
447,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
448,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
449,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
450,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
451,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
452,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
454,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
456,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
457,98,5573700020,MARBLE 1/2 CK,Cakes,N/A,6,38.38,29.14
