Store#,16' Train,8' Train,CRAYOLA ENDCAP,WRITING ENDCAP,HV DUMP BIN CRAYOLA,HV DUMP BIN NEWELL,8' OLDER STUDENT TRAIN,OLDER STUDENT TRAIN ENDCAPS
542,Yes,No,Yes,Yes,Yes,No,Yes,Yes
543,Yes,No,Yes,Yes,No,No,No,No
544,Yes,No,Yes,Yes,Yes,Yes,No,No
545,No,Yes,No,Yes,Yes,No,No,No
546,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
547,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
548,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
549,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
550,No,Yes,No,No,No,No,No,No
551,No,Yes,Yes,Yes,Yes,Yes,No,No
552,No,No,No,No,No,No,No,No
553,Yes,No,Yes,Yes,Yes,Yes,No,No
554,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
555,Yes,No,No,Yes,Yes,No,No,No
556,Yes,No,Yes,Yes,No,No,Yes,Yes
557,No,Yes,Yes,Yes,No,No,No,No
558,Yes,No,Yes,Yes,Yes,No,Yes,Yes
559,Yes,No,Yes,Yes,No,No,No,No
560,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
561,No,No,No,No,No,No,No,No
562,Yes,No,Yes,Yes,Yes,No,No,No
563,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
564,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
565,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
566,No,Yes,Yes,Yes,No,No,No,No
567,No,No,No,No,No,No,No,No
568,No,Yes,No,No,No,No,No,No
569,No,Yes,Yes,Yes,No,No,No,No
571,Yes,No,Yes,Yes,Yes,No,Yes,Yes
572,Yes,No,Yes,Yes,Yes,Yes,No,No
573,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
574,Yes,No,Yes,Yes,Yes,No,No,No
575,Yes,No,Yes,Yes,Yes,No,Yes,Yes
576,No,Yes,No,Yes,Yes,No,No,No
577,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
