Store,Dept,Inventory Dollars,Format
128,98,16243.64,WM Supercenter
129,80,11469.04,WM Supercenter
129,93,127082.84,WM Supercenter
129,94,43844.11,WM Supercenter
129,98,24218.07,WM Supercenter
130,80,17796.37,WM Supercenter
130,93,104042.21,WM Supercenter
130,94,31861.78,WM Supercenter
130,98,22137.35,WM Supercenter
131,80,14090.89,WM Supercenter
131,93,67951.98,WM Supercenter
131,94,34649.95,WM Supercenter
131,98,15469.15,WM Supercenter
132,80,7989.73,WM Supercenter
132,93,49236.95,WM Supercenter
132,94,16000.05,WM Supercenter
132,98,10477.42,WM Supercenter
133,80,11079.03,WM Supercenter
133,93,45754.21,WM Supercenter
133,94,16818.21,WM Supercenter
133,98,9120.49,WM Supercenter
134,80,13846.4,WM Supercenter
134,93,93508.21,WM Supercenter
134,94,25373.78,WM Supercenter
134,98,20151.79,WM Supercenter
135,80,11210.76,WM Supercenter
135,93,50992.99,WM Supercenter
135,94,14800.73,WM Supercenter
135,98,14817.2,WM Supercenter
136,80,-15.84,Wal-Mart
136,93,3889.71,Wal-Mart
136,94,-743.83,Wal-Mart
136,98,1597.01,Wal-Mart
137,80,16958.17,WM Supercenter
137,93,70542.08,WM Supercenter
137,94,36273.97,WM Supercenter
137,98,22355.15,WM Supercenter
138,80,13975.65,WM Supercenter
138,93,70391.76,WM Supercenter
138,94,18408.21,WM Supercenter
138,98,20887.34,WM Supercenter
139,80,11928.82,WM Supercenter
139,93,58834.39,WM Supercenter
139,94,21669.44,WM Supercenter
139,98,19224.92,WM Supercenter
140,80,11592.23,WM Supercenter
140,93,99651.56,WM Supercenter
140,94,19510.51,WM Supercenter
140,98,22710.43,WM Supercenter
141,80,13626.2,WM Supercenter
141,93,94228.72,WM Supercenter
141,94,41380.53,WM Supercenter
141,98,20298.07,WM Supercenter
143,80,14163.99,WM Supercenter
143,93,61660.89,WM Supercenter
143,94,22026.15,WM Supercenter
143,98,18657.74,WM Supercenter
144,80,14259.37,WM Supercenter
144,93,77599.59,WM Supercenter
144,94,20901.89,WM Supercenter
144,98,26606.55,WM Supercenter
145,80,12756.34,WM Supercenter
145,93,59358.3,WM Supercenter
145,94,24904.53,WM Supercenter
145,98,15555.91,WM Supercenter
146,80,8669.66,WM Supercenter
146,93,56709.96,WM Supercenter
146,94,24963.11,WM Supercenter
146,98,5828.65,WM Supercenter
147,80,20249.27,WM Supercenter
147,93,74828.68,WM Supercenter
147,94,26515.81,WM Supercenter
147,98,25454.04,WM Supercenter
148,80,12871.91,WM Supercenter
148,93,110164.64,WM Supercenter
148,94,31778.32,WM Supercenter
148,98,23347.03,WM Supercenter
149,80,6545.76,WM Supercenter
149,93,41339.55,WM Supercenter
149,94,16087.08,WM Supercenter
149,98,6855.72,WM Supercenter
150,80,17856.84,WM Supercenter
150,93,72680,WM Supercenter
150,94,29563.52,WM Supercenter
150,98,24980.68,WM Supercenter
151,80,22333.66,WM Supercenter
151,93,110758.07,WM Supercenter
151,94,42164.59,WM Supercenter
151,98,30535.02,WM Supercenter
152,80,13871.88,WM Supercenter
152,93,78019.88,WM Supercenter
152,94,34138.28,WM Supercenter
152,98,22229.31,WM Supercenter
153,80,11025.5,WM Supercenter
153,93,60260.8,WM Supercenter
153,94,18190.33,WM Supercenter
153,98,12646.43,WM Supercenter
154,80,12132.35,WM Supercenter
154,93,73440.82,WM Supercenter
154,94,24901,WM Supercenter
154,98,19069.45,WM Supercenter
155,80,15088.95,WM Supercenter
155,93,84022.33,WM Supercenter
155,94,22692.26,WM Supercenter
155,98,19305.26,WM Supercenter
157,80,22503.6,WM Supercenter
157,93,104913.51,WM Supercenter
157,94,41836.16,WM Supercenter
157,98,22217.78,WM Supercenter
158,80,13345.22,WM Supercenter
158,93,56940.72,WM Supercenter
158,94,20309.15,WM Supercenter
158,98,11752.52,WM Supercenter
159,80,22179.09,WM Supercenter
159,93,78144.77,WM Supercenter
159,94,27606.22,WM Supercenter
159,98,20947.49,WM Supercenter
160,80,2313.19,WM Supercenter
160,93,84936.73,WM Supercenter
160,94,21406.67,WM Supercenter
160,98,8686.39,WM Supercenter
161,80,9507.67,WM Supercenter
161,93,39752.07,WM Supercenter
161,94,18283.47,WM Supercenter
161,98,5182.71,WM Supercenter
162,80,7073.18,WM Supercenter
162,93,53630.68,WM Supercenter
162,94,19227.93,WM Supercenter
162,98,8792.08,WM Supercenter
163,80,19421.2,WM Supercenter
163,93,85493.84,WM Supercenter
163,94,28718.51,WM Supercenter
163,98,24535.23,WM Supercenter
164,80,15703.7,WM Supercenter
164,93,58733.55,WM Supercenter
164,94,23351.57,WM Supercenter
164,98,21038.6,WM Supercenter
165,80,13103.7,WM Supercenter
165,93,68558.36,WM Supercenter
165,94,34968.52,WM Supercenter
165,98,20130,WM Supercenter
166,80,10041.61,WM Supercenter
166,93,43897.22,WM Supercenter
166,94,18302.58,WM Supercenter
166,98,7299.86,WM Supercenter
167,80,16892.41,WM Supercenter
167,93,81640.56,WM Supercenter
167,94,27299.83,WM Supercenter
167,98,18101.79,WM Supercenter
168,80,16665.2,WM Supercenter
168,93,97952.77,WM Supercenter
168,94,32746.02,WM Supercenter
168,98,28797.5,WM Supercenter
169,80,8153.52,WM Supercenter
169,93,49709.78,WM Supercenter
169,94,15436.39,WM Supercenter
169,98,12537.11,WM Supercenter
170,80,11653.73,WM Supercenter
170,93,72016.17,WM Supercenter
170,94,19866.86,WM Supercenter
170,98,18197.2,WM Supercenter
171,80,15301.65,WM Supercenter
171,93,67252.9,WM Supercenter
171,94,26111.42,WM Supercenter
171,98,18713.39,WM Supercenter
172,80,18233.07,WM Supercenter
172,93,89420.62,WM Supercenter
172,94,38193.93,WM Supercenter
172,98,23093.59,WM Supercenter
173,80,11310.99,WM Supercenter
173,93,50980.32,WM Supercenter
173,94,21715.99,WM Supercenter
173,98,7587.18,WM Supercenter
174,80,22093.56,WM Supercenter
174,93,89145.79,WM Supercenter
174,94,33063.46,WM Supercenter
174,98,22236.13,WM Supercenter
175,80,17468.31,WM Supercenter
175,93,55320.06,WM Supercenter
175,94,14553.4,WM Supercenter
175,98,22766.73,WM Supercenter
176,80,0.37,Wal-Mart
176,93,-288.04,Wal-Mart
176,94,1881.54,Wal-Mart
176,98,47.67,Wal-Mart
177,80,13724.8,WM Supercenter
177,93,83741.93,WM Supercenter
177,94,37338.88,WM Supercenter
177,98,21564.73,WM Supercenter
178,80,8700.84,WM Supercenter
178,93,40585.82,WM Supercenter
178,94,18010.18,WM Supercenter
178,98,5948.32,WM Supercenter
179,80,11694.1,WM Supercenter
179,93,61096.95,WM Supercenter
179,94,23747.1,WM Supercenter
179,98,19587.46,WM Supercenter
180,80,13249.24,WM Supercenter
180,93,67521.18,WM Supercenter
180,94,25566.25,WM Supercenter
180,98,18381.67,WM Supercenter
181,80,10773.53,WM Supercenter
181,93,48606.4,WM Supercenter
181,94,20227.44,WM Supercenter
181,98,14716.29,WM Supercenter
182,80,10661.91,WM Supercenter
182,93,107152.58,WM Supercenter
182,94,32172.15,WM Supercenter
182,98,19466.93,WM Supercenter
183,80,7584.01,WM Supercenter
183,93,37095.83,WM Supercenter
183,94,12794.23,WM Supercenter
183,98,12463.04,WM Supercenter
184,80,14193.72,WM Supercenter
184,93,68854.52,WM Supercenter
184,94,26321.08,WM Supercenter
184,98,19439.34,WM Supercenter
185,80,12507.83,WM Supercenter
185,93,71580.62,WM Supercenter
185,94,38164.87,WM Supercenter
185,98,21985.89,WM Supercenter
186,80,15281.04,WM Supercenter
186,93,65151.96,WM Supercenter
186,94,23994.48,WM Supercenter
186,98,19966.64,WM Supercenter
188,80,13663.52,WM Supercenter
