Store Number,City, State, Article Description,Quantity,Delivery Date, PO Number
1025,MCCOMB,MS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670720
1027,CONCORD,NC,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670707
1027,CONCORD,NC,GRILL GARAGE 4 RS STR,1,02/08/2024,38670707
1035,SPARTANBURG,SC,GRILL GARAGE 4 RS ADD,9,02/08/2024,38670657
1035,SPARTANBURG,SC,GRILL GARAGE 4 RS STR,3,02/08/2024,38670657
1036,FOREST CITY,NC,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670656
1036,FOREST CITY,NC,GRILL GARAGE 4 RS STR,1,02/08/2024,38670656
1047,MORROW,GA,GRILL GARAGE 4 RS STR,2,01/04/2024,38566991
1047,MORROW,GA,GRILL GARAGE 4 RS ADD,2,01/04/2024,38566991
1069,NEWTON,MS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670810
1081,GAINESVILLE,FL,GRILL GARAGE 4 RS STR,1,01/04/2024,38566911
1081,GAINESVILLE,FL,GRILL GARAGE 4 RS ADD,1,01/04/2024,38566911
1088,BILOXI,MS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670843
1090,JACKSONVILLE,FL,GRILL GARAGE 4 RS STR,1,01/04/2024,38566921
1090,JACKSONVILLE,FL,GRILL GARAGE 4 RS ADD,1,01/04/2024,38566921
1098,PORT LAVACA,TX,GRILL GARAGE 4 RS STR,1,02/08/2024,38670876
1099,WICHITA,KS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670847
1099,WICHITA,KS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670847
1116,DUNCAN,OK,GRILL GARAGE 4 RS ADD,4,02/08/2024,38670681
1116,DUNCAN,OK,GRILL GARAGE 4 RS STR,3,02/08/2024,38670681
1129,AUSTIN,TX,GRILL GARAGE 4 RS STR,1,01/04/2024,38566886
1129,AUSTIN,TX,GRILL GARAGE 4 RS ADD,3,01/04/2024,38566886
1137,HOUSTON,TX,GRILL GARAGE 4 RS STR,1,01/04/2024,38566907
1137,HOUSTON,TX,GRILL GARAGE 4 RS ADD,2,01/04/2024,38566907
1138,MADISON,WI,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670722
1138,MADISON,WI,GRILL GARAGE 4 RS STR,1,02/08/2024,38670722
1141,GREENFIELD,IN,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670712
1141,GREENFIELD,IN,GRILL GARAGE 4 RS STR,1,02/08/2024,38670712
1152,SIOUX CENTER,IA,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670719
1152,SIOUX CENTER,IA,GRILL GARAGE 4 RS STR,1,02/08/2024,38670719
1168,COLUMBIA,MS,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670660
1168,COLUMBIA,MS,GRILL GARAGE 4 RS STR,1,02/08/2024,38670660
1171,SARASOTA,FL,GRILL GARAGE 4 RS STR,1,01/04/2024,38566890
1171,SARASOTA,FL,GRILL GARAGE 4 RS ADD,4,01/04/2024,38566890
1175,FLAGSTAFF,AZ,GRILL GARAGE 4 RS ADD,1,02/08/2024,38670784
1175,FLAGSTAFF,AZ,GRILL GARAGE 4 RS STR,1,02/08/2024,38670784
1179,ARDEN,NC,GRILL GARAGE 4 RS ADD,3,02/08/2024,38670862
1179,ARDEN,NC,GRILL GARAGE 4 RS STR,1,02/08/2024,38670862
1182,PALM COAST,FL,GRILL GARAGE 4 RS STR,1,01/04/2024,38566634
1182,PALM COAST,FL,GRILL GARAGE 4 RS ADD,3,01/04/2024,38566634
1185,AUSTIN,TX,GRILL GARAGE 4 RS STR,1,01/04/2024,38566854
